idx,facility_name,grade_range,ISCED010,ISCED020,ISCED1,ISCED2,ISCED3,authority_type,address_str,street_addr,city,postal_code,province,provider,address_str_clean,street_no,street_name
0,HOLY GHOST SCHOOL,K-8,0,1,1,1,0,ARCH. OF WINNIPEG CATHOLIC SCHOOLS,319 SELKIRK AVENUE WINNIPEG R2W 2L8 MB,319 SELKIRK AVENUE,WINNIPEG,R2W 2L8,MB,Province of Manitoba,319 selkirk avenue winnipeg r2w 2l8 mb,319,selkirk avenue
1,OUR LADY OF VICTORY SCHOOL,K-8,0,1,1,1,0,ARCH. OF WINNIPEG CATHOLIC SCHOOLS,249 ARNOLD AVENUE WINNIPEG R3L 0W4 MB,249 ARNOLD AVENUE,WINNIPEG,R3L 0W4,MB,Province of Manitoba,249 arnold avenue winnipeg r3l 0w4 mb,249,arnold avenue
2,ST. CHARLES INTERPAROCHIAL SCHOOL,K-8,0,1,1,1,0,ARCH. OF WINNIPEG CATHOLIC SCHOOLS,331 ST. CHARLES STREET WINNIPEG R3K 1T6 MB,331 ST. CHARLES STREET,WINNIPEG,R3K 1T6,MB,Province of Manitoba,331 st charles street winnipeg r3k 1t6 mb,331,st charles street
3,ST. EDWARD'S SCHOOL,K-6,0,1,1,0,0,ARCH. OF WINNIPEG CATHOLIC SCHOOLS,836 ARLINGTON STREET WINNIPEG R3E 2E4 MB,836 ARLINGTON STREET,WINNIPEG,R3E 2E4,MB,Province of Manitoba,836 arlington street winnipeg r3e 2e4 mb,836,arlington street
4,ST. IGNATIUS SCHOOL,N-8,1,1,1,1,0,ARCH. OF WINNIPEG CATHOLIC SCHOOLS,239 HARROW STREET WINNIPEG R3M 2Y3 MB,239 HARROW STREET,WINNIPEG,R3M 2Y3,MB,Province of Manitoba,239 harrow street winnipeg r3m 2y3 mb,239,harrow street
5,ST. JOHN BREBEUF SCHOOL,K-8,0,1,1,1,0,ARCH. OF WINNIPEG CATHOLIC SCHOOLS,605 RENFREW STREET WINNIPEG R3N 1J8 MB,605 RENFREW STREET,WINNIPEG,R3N 1J8,MB,Province of Manitoba,605 renfrew street winnipeg r3n 1j8 mb,605,renfrew street
6,ST. MARY'S ACADEMY,7-12,0,0,0,1,1,ARCH. OF WINNIPEG CATHOLIC SCHOOLS,550 WELLINGTON CRESCENT WINNIPEG R3M 0C1 MB,550 WELLINGTON CRESCENT,WINNIPEG,R3M 0C1,MB,Province of Manitoba,550 wellington crescent winnipeg r3m 0c1 mb,550,wellington crescent
7,ST. MAURICE SCHOOL,K-12,0,1,1,1,1,ARCH. OF WINNIPEG CATHOLIC SCHOOLS,1639 PEMBINA HIGHWAY WINNIPEG R3T 2G6 MB,1639 PEMBINA HIGHWAY,WINNIPEG,R3T 2G6,MB,Province of Manitoba,1639 pembina highway winnipeg r3t 2g6 mb,1639,pembina highway
8,ST. PAUL'S HIGH SCHOOL,9-12,0,0,0,1,1,ARCH. OF WINNIPEG CATHOLIC SCHOOLS,2200 GRANT AVENUE WINNIPEG R3P 0P8 MB,2200 GRANT AVENUE,WINNIPEG,R3P 0P8,MB,Province of Manitoba,2200 grant avenue winnipeg r3p 0p8 mb,2200,grant avenue
9,ACADIA COLONY SCHOOL,K-12,0,1,1,1,1,BEAUTIFUL PLAINS SCHOOL DIVISION,BOX 358 CARBERRY R0K 0H0 MB,BOX 358,CARBERRY,R0K 0H0,MB,Province of Manitoba,carberry r0k 0h0 mb,,carberry
10,BROOKDALE SCHOOL,K-8,0,1,1,1,0,BEAUTIFUL PLAINS SCHOOL DIVISION,GENERAL DELIVERY BROOKDALE R0K 0G0 MB,GENERAL DELIVERY,BROOKDALE,R0K 0G0,MB,Province of Manitoba,general delivery brookdale r0k 0g0 mb,,general delivery brookdale
11,CARBERRY COLLEGIATE,5-12,0,0,1,1,1,BEAUTIFUL PLAINS SCHOOL DIVISION,BOX 518 CARBERRY R0K 0H0 MB,BOX 518,CARBERRY,R0K 0H0,MB,Province of Manitoba,carberry r0k 0h0 mb,,carberry
12,FAIRWAY COLONY SCHOOL,K-12,0,1,1,1,1,BEAUTIFUL PLAINS SCHOOL DIVISION,P.O.BOX 330 DOUGLAS R0K 0R0 MB,P.O.BOX 330,DOUGLAS,R0K 0R0,MB,Province of Manitoba,pobox 330 douglas r0k 0r0 mb,,
13,HAZEL M. KELLINGTON SCHOOL,K-5,0,1,1,0,0,BEAUTIFUL PLAINS SCHOOL DIVISION,BOX 696 NEEPAWA R0J 1H0 MB,BOX 696,NEEPAWA,R0J 1H0,MB,Province of Manitoba,neepawa r0j 1h0 mb,,
14,J. M. YOUNG SCHOOL,K-8,0,1,1,1,0,BEAUTIFUL PLAINS SCHOOL DIVISION,GENERAL DELIVERY EDEN R0J 0M0 MB,GENERAL DELIVERY,EDEN,R0J 0M0,MB,Province of Manitoba,general delivery eden r0j 0m0 mb,,general delivery eden
15,NEEPAWA AREA COLLEGIATE,6-12,0,0,1,1,1,BEAUTIFUL PLAINS SCHOOL DIVISION,BOX 430 NEEPAWA R0J 1H0 MB,BOX 430,NEEPAWA,R0J 1H0,MB,Province of Manitoba,neepawa r0j 1h0 mb,,
16,NEEPAWA MIDDLE SCHOOL,5-8,0,0,1,1,0,BEAUTIFUL PLAINS SCHOOL DIVISION,275 HOSPITAL STREET NEEPAWA R0J 1H0 MB,275 HOSPITAL STREET,NEEPAWA,R0J 1H0,MB,Province of Manitoba,275 hospital street neepawa r0j 1h0 mb,275,hospital street
17,R. J. WAUGH ELEMENTARY,K-4,0,1,1,0,0,BEAUTIFUL PLAINS SCHOOL DIVISION,BOX 639 CARBERRY R0K 0H0 MB,BOX 639,CARBERRY,R0K 0H0,MB,Province of Manitoba,carberry r0k 0h0 mb,,carberry
18,RIVERBEND COLONY SCHOOL,K-12,0,1,1,1,1,BEAUTIFUL PLAINS SCHOOL DIVISION,RIVERBEND COLONY BOX 344 CARBERRY R0K 0H0 MB,RIVERBEND COLONY,CARBERRY,R0K 0H0,MB,Province of Manitoba,riverbend colony carberry r0k 0h0 mb,,riverbend colony carberry
19,RIVERSIDE COLONY SCHOOL,K-12,0,1,1,1,1,BEAUTIFUL PLAINS SCHOOL DIVISION,RIVERSIDE COLONY BOX 1360 NEEPAWA R0J 1H0 MB,RIVERSIDE COLONY,NEEPAWA,R0J 1H0,MB,Province of Manitoba,riverside colony neepawa r0j 1h0 mb,,
20,ROLLING ACRES SCHOOL,K-12,0,1,1,1,1,BEAUTIFUL PLAINS SCHOOL DIVISION,BOX 38 BIRNIE R0J 0J0 MB,BOX 38,BIRNIE,R0J 0J0,MB,Province of Manitoba,birnie r0j 0j0 mb,,
21,SPRUCE WOODS SCHOOL,K-12,0,1,1,1,1,BEAUTIFUL PLAINS SCHOOL DIVISION,SPRUCE WOODS COLONY BROOKDALE R0K 0G0 MB,SPRUCE WOODS COLONY,BROOKDALE,R0K 0G0,MB,Province of Manitoba,spruce woods colony brookdale r0k 0g0 mb,,spruce woods colony brookdale
22,TWILIGHT COLONY SCHOOL,K-12,0,1,1,1,1,BEAUTIFUL PLAINS SCHOOL DIVISION,BOX 2380 NEEPAWA R0J 1H0 MB,BOX 2380,NEEPAWA,R0J 1H0,MB,Province of Manitoba,neepawa r0j 1h0 mb,,
23,WILLERTON SCHOOL,K-12,0,1,1,1,1,BEAUTIFUL PLAINS SCHOOL DIVISION,SPRINGHILL COLONY BOX 1930 NEEPAWA R0J 1H0 MB,SPRINGHILL COLONY,NEEPAWA,R0J 1H0,MB,Province of Manitoba,springhill colony neepawa r0j 1h0 mb,,springhill colony
24,BLUE CLAY COLONY SCHOOL,K-12,0,1,1,1,1,BORDER LAND SCHOOL DIVISION,BOX 220 DOMINION CITY R0A 0H0 MB,BOX 220,DOMINION CITY,R0A 0H0,MB,Province of Manitoba,dominion city r0a 0h0 mb,,
25,ÉCOLE ELMWOOD SCHOOL,K-3,0,1,1,0,0,BORDER LAND SCHOOL DIVISION,27 - 4TH STREET S.W. ALTONA R0G 0B2 MB,27 - 4TH STREET S.W.,ALTONA,R0G 0B2,MB,Province of Manitoba,27 4th street sw altona r0g 0b2 mb,27,4th street sw
26,ÉCOLE PARKSIDE SCHOOL,7-8,0,0,0,1,0,BORDER LAND SCHOOL DIVISION,155 - 5TH STREET N.W. ALTONA R0G 0B1 MB,155 - 5TH STREET N.W.,ALTONA,R0G 0B1,MB,Province of Manitoba,155 5th street nw altona r0g 0b1 mb,155,5th street nw
27,ÉCOLE WEST PARK SCHOOL,4-6,0,0,1,0,0,BORDER LAND SCHOOL DIVISION,83 - 3RD STREET N.W. ALTONA R0G 0B1 MB,83 - 3RD STREET N.W.,ALTONA,R0G 0B1,MB,Province of Manitoba,83 3rd street nw altona r0g 0b1 mb,83,3rd street nw
28,EMERSON ELEMENTARY,K-8,0,1,1,1,0,BORDER LAND SCHOOL DIVISION,BOX 422 EMERSON R0A 0L0 MB,BOX 422,EMERSON,R0A 0L0,MB,Province of Manitoba,emerson r0a 0l0 mb,,
29,GLENWAY COLONY SCHOOL,K-12,0,1,1,1,1,BORDER LAND SCHOOL DIVISION,GLENWAY COLONY BOX 291 DOMINION CITY R0A 0H0 MB,GLENWAY COLONY,DOMINION CITY,R0A 0H0,MB,Province of Manitoba,glenway colony dominion city r0a 0h0 mb,,glenway colony
30,GREEN RIDGE SCHOOL,K-12,0,1,1,1,1,BORDER LAND SCHOOL DIVISION,BOX 156 DOMINION CITY R0A 0H0 MB,BOX 156,DOMINION CITY,R0A 0H0,MB,Province of Manitoba,dominion city r0a 0h0 mb,,
31,GRETNA ELEMENTARY,K-8,0,1,1,1,0,BORDER LAND SCHOOL DIVISION,BOX 90 GRETNA R0G 0V0 MB,BOX 90,GRETNA,R0G 0V0,MB,Province of Manitoba,gretna r0g 0v0 mb,,
32,HORIZON COLONY SCHOOL,K-12,0,1,1,1,1,BORDER LAND SCHOOL DIVISION,120 - 9TH STREET NW ALTONA R0G 0B1 MB,120 - 9TH STREET NW,ALTONA,R0G 0B1,MB,Province of Manitoba,120 9th street nw altona r0g 0b1 mb,120,9th street nw
33,PINELAND COLONY SCHOOL,K-12,0,1,1,1,1,BORDER LAND SCHOOL DIVISION,BOX 39 PINEY R0A 1K0 MB,BOX 39,PINEY,R0A 1K0,MB,Province of Manitoba,piney r0a 1k0 mb,,
34,RIDGEVILLE COLONY SCHOOL,K-12,0,1,1,1,1,BORDER LAND SCHOOL DIVISION,BOX 10 DOMINION CITY R0A 0H0 MB,BOX 10,DOMINION CITY,R0A 0H0,MB,Province of Manitoba,dominion city r0a 0h0 mb,,
35,ROSEAU VALLEY SCHOOL,K-12,0,1,1,1,1,BORDER LAND SCHOOL DIVISION,BOX 176 DOMINION CITY R0A 0H0 MB,BOX 176,DOMINION CITY,R0A 0H0,MB,Province of Manitoba,dominion city r0a 0h0 mb,,
36,ROSENFELD ELEMENTARY,K-6,0,1,1,0,0,BORDER LAND SCHOOL DIVISION,BOX 33 ROSENFELD R0G 1X0 MB,BOX 33,ROSENFELD,R0G 1X0,MB,Province of Manitoba,rosenfeld r0g 1x0 mb,,
37,ROSS L. GRAY SCHOOL,K-12,0,1,1,1,1,BORDER LAND SCHOOL DIVISION,GENERAL DELIVERY SPRAGUE R0A 1Z0 MB,GENERAL DELIVERY,SPRAGUE,R0A 1Z0,MB,Province of Manitoba,general delivery sprague r0a 1z0 mb,,general delivery
38,SHEVCHENKO SCHOOL,K-12,0,1,1,1,1,BORDER LAND SCHOOL DIVISION,BOX 1000 VITA R0A 2K0 MB,BOX 1000,VITA,R0A 2K0,MB,Province of Manitoba,vita r0a 2k0 mb,,
39,W. C. MILLER COLLEGIATE,9-12,0,0,0,1,1,BORDER LAND SCHOOL DIVISION,181 - 6TH STREET S.E. ALTONA R0G 0B3 MB,181 - 6TH STREET S.E.,ALTONA,R0G 0B3,MB,Province of Manitoba,181 6th street se altona r0g 0b3 mb,181,6th street se
40,ALEXANDER SCHOOL,K-8,0,1,1,1,0,BRANDON SCHOOL DIVISION,BOX 21 ALEXANDER R0K 0A0 MB,BOX 21,ALEXANDER,R0K 0A0,MB,Province of Manitoba,alexander r0k 0a0 mb,,
41,BETTY GIBSON SCHOOL,K-8,0,1,1,1,0,BRANDON SCHOOL DIVISION,701 - 12TH STREET BRANDON R7A 6H7 MB,701 - 12TH STREET,BRANDON,R7A 6H7,MB,Province of Manitoba,701 12th street brandon r7a 6h7 mb,701,12th street
42,CROCUS PLAINS REGIONAL SECONDARY,9-12,0,0,0,1,1,BRANDON SCHOOL DIVISION,1930 - 1ST STREET BRANDON R7A 6Y6 MB,1930 - 1ST STREET,BRANDON,R7A 6Y6,MB,Province of Manitoba,1930 1st street brandon r7a 6y6 mb,1930,1st street
43,EARL OXFORD SCHOOL,K-8,0,1,1,1,0,BRANDON SCHOOL DIVISION,540 - 18TH STREET BRANDON R7A 5B2 MB,540 - 18TH STREET,BRANDON,R7A 5B2,MB,Province of Manitoba,540 18th street brandon r7a 5b2 mb,540,18th street
44,ÉCOLE HARRISON,K-8,0,1,1,1,0,BRANDON SCHOOL DIVISION,415 AVENUE QUEENS BRANDON R7A 1K9 MB,415 AVENUE QUEENS,BRANDON,R7A 1K9,MB,Province of Manitoba,415 avenue queens brandon r7a 1k9 mb,415,avenue
45,GEORGE FITTON SCHOOL,K-8,0,1,1,1,0,BRANDON SCHOOL DIVISION,1129 - 3RD STREET BRANDON R7A 3E7 MB,1129 - 3RD STREET,BRANDON,R7A 3E7,MB,Province of Manitoba,1129 3rd street brandon r7a 3e7 mb,1129,3rd street
46,GREEN ACRES SCHOOL,K-8,0,1,1,1,0,BRANDON SCHOOL DIVISION,335 QUEENS AVENUE EAST BRANDON R7A 2B9 MB,335 QUEENS AVENUE EAST,BRANDON,R7A 2B9,MB,Province of Manitoba,335 queens avenue east brandon r7a 2b9 mb,335,queens avenue east
47,J. R. REID SCHOOL,K-8,0,1,1,1,0,BRANDON SCHOOL DIVISION,813 - 26TH STREET BRANDON R7B 2B6 MB,813 - 26TH STREET,BRANDON,R7B 2B6,MB,Province of Manitoba,813 26th street brandon r7b 2b6 mb,813,26th street
48,KING GEORGE SCHOOL,K-8,0,1,1,1,0,BRANDON SCHOOL DIVISION,535 PARK STREET BRANDON R7A 6M6 MB,535 PARK STREET,BRANDON,R7A 6M6,MB,Province of Manitoba,535 park street brandon r7a 6m6 mb,535,park street
49,KIRKCALDY HEIGHTS SCHOOL,K-8,0,1,1,1,0,BRANDON SCHOOL DIVISION,10 KNOWLTON DRIVE BRANDON R7A 6N7 MB,10 KNOWLTON DRIVE,BRANDON,R7A 6N7,MB,Province of Manitoba,10 knowlton drive brandon r7a 6n7 mb,10,knowlton drive
50,LINDEN LANES SCHOOL,K-8,0,1,1,1,0,BRANDON SCHOOL DIVISION,49 SILVER BIRCH DRIVE BRANDON R7B 1A8 MB,49 SILVER BIRCH DRIVE,BRANDON,R7B 1A8,MB,Province of Manitoba,49 silver birch drive brandon r7b 1a8 mb,49,silver birch drive
51,MEADOWS SCHOOL,K-8,0,1,1,1,0,BRANDON SCHOOL DIVISION,1220 - 22ND STREET BRANDON R7B 1T4 MB,1220 - 22ND STREET,BRANDON,R7B 1T4,MB,Province of Manitoba,1220 22nd street brandon r7b 1t4 mb,1220,22nd street
52,NEELIN HIGH,9-12,0,0,0,1,1,BRANDON SCHOOL DIVISION,1020 BRANDON AVENUE BRANDON R7A 1K6 MB,1020 BRANDON AVENUE,BRANDON,R7A 1K6,MB,Province of Manitoba,1020 brandon avenue brandon r7a 1k6 mb,1020,brandon avenue
53,NEW ERA SCHOOL,K-8,0,1,1,1,0,BRANDON SCHOOL DIVISION,527 LOUISE AVENUE BRANDON R7A 0X1 MB,527 LOUISE AVENUE,BRANDON,R7A 0X1,MB,Province of Manitoba,527 louise avenue brandon r7a 0x1 mb,527,louise avenue
54,O'KELLY SCHOOL,K-8,0,1,1,1,0,BRANDON SCHOOL DIVISION,BOX 70 C.F.B.SHILO SHILO R0K 2A0 MB,BOX 70,SHILO,R0K 2A0,MB,Province of Manitoba,cfbshilo shilo r0k 2a0 mb,,
55,RIVERHEIGHTS SCHOOL,K-8,0,1,1,1,0,BRANDON SCHOOL DIVISION,32 E FOTHERINGHAM DRIVE BRANDON R7B 3G3 MB,32 E FOTHERINGHAM DRIVE,BRANDON,R7B 3G3,MB,Province of Manitoba,32 e fotheringham drive brandon r7b 3g3 mb,32,e fotheringham drive
56,RIVERVIEW SCHOOL,K-6,0,1,1,0,0,BRANDON SCHOOL DIVISION,1105 LOUISE AVENUE EAST BRANDON R7A 1Y2 MB,1105 LOUISE AVENUE EAST,BRANDON,R7A 1Y2,MB,Province of Manitoba,1105 louise avenue east brandon r7a 1y2 mb,1105,louise avenue east
57,SPRING VALLEY COLONY SCHOOL,K-12,0,1,1,1,1,BRANDON SCHOOL DIVISION,SPRING VALLEY COLONY C/O 1031-6TH STREET BRANDON R7A 4K5 MB,SPRING VALLEY COLONY,BRANDON,R7A 4K5,MB,Province of Manitoba,spring valley colony c/o 1031 6th street brandon r7a 4k5 mb,,c/o 1031 6th street
58,ST. AUGUSTINE SCHOOL,K-8,0,1,1,1,0,BRANDON SCHOOL DIVISION,330 3RD ST BRANDON R7A 3C3 MB,330 3RD ST,BRANDON,R7A 3C3,MB,Province of Manitoba,330 3rd st brandon r7a 3c3 mb,330,3rd st brandon
59,VALLEYVIEW CENTENNIAL SCHOOL,K-7,0,1,1,1,0,BRANDON SCHOOL DIVISION,65 WHILLIER DRIVE BRANDON R7B 0X8 MB,65 WHILLIER DRIVE,BRANDON,R7B 0X8,MB,Province of Manitoba,65 whillier drive brandon r7b 0x8 mb,65,whillier drive
60,VINCENT MASSEY HIGH,9-12,0,0,0,1,1,BRANDON SCHOOL DIVISION,715 MCDIARMID DRIVE BRANDON R7B 2H7 MB,715 MCDIARMID DRIVE,BRANDON,R7B 2H7,MB,Province of Manitoba,715 mcdiarmid drive brandon r7b 2h7 mb,715,mcdiarmid drive
61,WAVERLY PARK SCHOOL,K-8,0,1,1,1,0,BRANDON SCHOOL DIVISION,3800 PARK AVENUE BRANDON R7B 3X2 MB,3800 PARK AVENUE,BRANDON,R7B 3X2,MB,Province of Manitoba,3800 park avenue brandon r7b 3x2 mb,3800,park avenue
62,CHRIST THE KING SCHOOL,N-8,1,1,1,1,0,CATHOLIC SCHOOLS COMMISSION,12 LENNOX AVENUE WINNIPEG R2M 1A6 MB,12 LENNOX AVENUE,WINNIPEG,R2M 1A6,MB,Province of Manitoba,12 lennox avenue winnipeg r2m 1a6 mb,12,lennox avenue
63,HOLY CROSS SCHOOL,K-8,0,1,1,1,0,CATHOLIC SCHOOLS COMMISSION,300 DUBUC STREET WINNIPEG R2H 1E4 MB,300 DUBUC STREET,WINNIPEG,R2H 1E4,MB,Province of Manitoba,300 dubuc street winnipeg r2h 1e4 mb,300,dubuc street
64,IMMACULATE HEART OF MARY SCHOOL,N-8,1,1,1,1,0,CATHOLIC SCHOOLS COMMISSION,650 FLORA AVENUE WINNIPEG R2W 2S5 MB,650 FLORA AVENUE,WINNIPEG,R2W 2S5,MB,Province of Manitoba,650 flora avenue winnipeg r2w 2s5 mb,650,flora avenue
65,ST. ALPHONSUS SCHOOL,K-8,0,1,1,1,0,CATHOLIC SCHOOLS COMMISSION,343 MUNROE AVENUE WINNIPEG R2K 1H2 MB,343 MUNROE AVENUE,WINNIPEG,R2K 1H2,MB,Province of Manitoba,343 munroe avenue winnipeg r2k 1h2 mb,343,munroe avenue
66,ST. BONIFACE DIOCESAN HIGH SCHOOL,9-12,0,0,0,1,1,CATHOLIC SCHOOLS COMMISSION,282 DUBUC STREET WINNIPEG R2H 1E4 MB,282 DUBUC STREET,WINNIPEG,R2H 1E4,MB,Province of Manitoba,282 dubuc street winnipeg r2h 1e4 mb,282,dubuc street
67,ST. EMILE SCHOOL,K-8,0,1,1,1,0,CATHOLIC SCHOOLS COMMISSION,552 ST. ANNE'S ROAD WINNIPEG R2M 3G4 MB,552 ST. ANNE'S ROAD,WINNIPEG,R2M 3G4,MB,Province of Manitoba,552 st anne's road winnipeg r2m 3g4 mb,552,st anne's road
68,ST. GERARD SCHOOL,N-8,1,1,1,1,0,CATHOLIC SCHOOLS COMMISSION,40 FOSTER STREET WINNIPEG R2L 1V7 MB,40 FOSTER STREET,WINNIPEG,R2L 1V7,MB,Province of Manitoba,40 foster street winnipeg r2l 1v7 mb,40,foster street
69,ST. JOSEPH THE WORKER SCHOOL,N-6,1,1,1,0,0,CATHOLIC SCHOOLS COMMISSION,505 BREWSTER STREET WINNIPEG R2C 2W6 MB,505 BREWSTER STREET,WINNIPEG,R2C 2W6,MB,Province of Manitoba,505 brewster street winnipeg r2c 2w6 mb,505,brewster street
70,CENTRE SCOLAIRE LÉO-RÉMILLARD,9-12,0,0,0,1,1,DIVISION SCOLAIRE FRANCO-MANITOBAINE,1095 CHEMIN SAINTE-ANNE WINNIPEG R2N 4G5 MB,1095 CHEMIN SAINTE-ANNE,WINNIPEG,R2N 4G5,MB,Province of Manitoba,1095 chemin sainte anne winnipeg r2n 4g5 mb,1095,chemin sainte anne
71,COLLÈGE LOUIS-RIEL,7-12,0,0,0,1,1,DIVISION SCOLAIRE FRANCO-MANITOBAINE,585 RUE ST-JEAN-BAPTISTE SAINT-BONIFACE R2H 2Y2 MB,585 RUE ST-JEAN-BAPTISTE,SAINT-BONIFACE,R2H 2Y2,MB,Province of Manitoba,585 rue st jean baptiste saint boniface r2h 2y2 mb,585,rue st jean baptiste
72,ÉCOLE CHRISTINE-LESPÉRANCE,M-8,0,1,1,1,0,DIVISION SCOLAIRE FRANCO-MANITOBAINE,425 CHEMIN JOHN FORSYTH WINNIPEG R2N 4J3 MB,425 CHEMIN JOHN FORSYTH,WINNIPEG,R2N 4J3,MB,Province of Manitoba,425 chemin john forsyth winnipeg r2n 4j3 mb,425,chemin john forsyth
73,ÉCOLE COMMUNAUTAIRE AURÈLE-LEMOINE,M-12,0,1,1,1,1,DIVISION SCOLAIRE FRANCO-MANITOBAINE,"CASE POSTALE 900 81, CHEM.DES ANC. COMBATTANTS SAINT-LAURENT R0C 2S0 MB",CASE POSTALE 900,SAINT-LAURENT,R0C 2S0,MB,Province of Manitoba,case postale 900 81 chemdes anc combattants saint laurent r0c 2s0 mb,,anc combattants
74,ÉCOLE COMMUNAUTAIRE GILBERT-ROSSET,N-12,1,1,1,1,1,DIVISION SCOLAIRE FRANCO-MANITOBAINE,CASE POSTALE 147 108 AVENUE BÉRIAULT SAINT-CLAUDE R0G 1Z0 MB,CASE POSTALE 147,SAINT-CLAUDE,R0G 1Z0,MB,Province of Manitoba,case postale 147 108 avenue bériault saint claude r0g 1z0 mb,108,avenue bériault
75,ÉCOLE COMMUNAUTAIRE LA VOIE DU NORD,M-10,0,1,1,1,1,DIVISION SCOLAIRE FRANCO-MANITOBAINE,CASE POSTALE 1223 STATION MAIN 271 CHEMIN WEIR THOMPSON R8N 1P1 MB,CASE POSTALE 1223 STATION MAIN,THOMPSON,R8N 1P1,MB,Province of Manitoba,case postale 1223 station main 271 chemin weir thompson r8n 1p1 mb,271,chemin weir thompson
76,ÉCOLE COMMUNAUTAIRE RÉAL-BÉRARD,M-12,0,1,1,1,1,DIVISION SCOLAIRE FRANCO-MANITOBAINE,CASE POSTALE 490 377 RUE SABOURIN SAINT-PIERRE-JOLYS R0A 1V0 MB,CASE POSTALE 490,SAINT-PIERRE-JOLYS,R0A 1V0,MB,Province of Manitoba,case postale 490 377 rue sabourin saint pierre jolys r0a 1v0 mb,377,rue sabourin saint pierre
77,ÉCOLE COMMUNAUTAIRE SAINT-GEORGES,N-12,1,1,1,1,1,DIVISION SCOLAIRE FRANCO-MANITOBAINE,CASE POSTALE 159 14 BAIE CARON SAINT-GEORGES R0E 1V0 MB,CASE POSTALE 159,SAINT-GEORGES,R0E 1V0,MB,Province of Manitoba,case postale 159 14 baie caron saint georges r0e 1v0 mb,14,baie caron
78,ÉCOLE JOURS DE PLAINE,N-12,1,1,1,1,1,DIVISION SCOLAIRE FRANCO-MANITOBAINE,CASE POSTALE 135 283 - ROUTE PROV. 480 LAURIER R0J 1A0 MB,CASE POSTALE 135,LAURIER,R0J 1A0,MB,Province of Manitoba,case postale 135 283 route prov 480 laurier r0j 1a0 mb,480,laurier
79,ÉCOLE LA SOURCE,M-12,0,1,1,1,1,DIVISION SCOLAIRE FRANCO-MANITOBAINE,CASE POSTALE 240 T-102 AVENUE ST. BARBARA SHILO R0K 2A0 MB,CASE POSTALE 240,SHILO,R0K 2A0,MB,Province of Manitoba,case postale 240 t 102 avenue st barbara shilo r0k 2a0 mb,,t 102 avenue st barbara shilo
80,ÉCOLE LACERTE,M-8,0,1,1,1,0,DIVISION SCOLAIRE FRANCO-MANITOBAINE,1101 PROMENADE AUTUMNWOOD SAINT-BONIFACE R2J 1C8 MB,1101 PROMENADE AUTUMNWOOD,SAINT-BONIFACE,R2J 1C8,MB,Province of Manitoba,1101 promenade autumnwood saint boniface r2j 1c8 mb,1101,promenade autumnwood saint boniface
81,ÉCOLE LAGIMODIÈRE,M-8,0,1,1,1,0,DIVISION SCOLAIRE FRANCO-MANITOBAINE,CASE POSTALE 130 361 RUE SENEZ LORETTE R0A 0Y0 MB,CASE POSTALE 130,LORETTE,R0A 0Y0,MB,Province of Manitoba,case postale 130 361 rue senez lorette r0a 0y0 mb,361,rue senez
82,ÉCOLE NOËL-RITCHOT,M-8,0,1,1,1,0,DIVISION SCOLAIRE FRANCO-MANITOBAINE,45 AVENUE DE LA DIGUE SAINT-NORBERT R3V 1M7 MB,45 AVENUE DE LA DIGUE,SAINT-NORBERT,R3V 1M7,MB,Province of Manitoba,45 avenue de la digue saint norbert r3v 1m7 mb,45,avenue de la digue
83,ÉCOLE POINTE-DES-CHÊNES,M-12,0,1,1,1,1,DIVISION SCOLAIRE FRANCO-MANITOBAINE,90 CHEMIN ARENA SAINTE-ANNE R5H 1G6 MB,90 CHEMIN ARENA,SAINTE-ANNE,R5H 1G6,MB,Province of Manitoba,90 chemin arena sainte anne r5h 1g6 mb,90,chemin arena
84,ÉCOLE PRÉCIEUX-SANG,M-8,0,1,1,1,0,DIVISION SCOLAIRE FRANCO-MANITOBAINE,209 RUE KENNY SAINT-BONIFACE R2H 2E5 MB,209 RUE KENNY,SAINT-BONIFACE,R2H 2E5,MB,Province of Manitoba,209 rue kenny saint boniface r2h 2e5 mb,209,rue kenny
85,ÉCOLE RÉGIONALE NOTRE-DAME,M-12,0,1,1,1,1,DIVISION SCOLAIRE FRANCO-MANITOBAINE,CASE POSTALE 250 45 AVENUE NOTRE-DAME OUEST N.-D.-DE-LOURDES R0G 1M0 MB,CASE POSTALE 250,N.-D.-DE-LOURDES,R0G 1M0,MB,Province of Manitoba,case postale 250 45 avenue notre dame ouest n d de lourdes r0g 1m0 mb,45,avenue notre dame ouest
86,ÉCOLE RÉGIONALE SAINT-JEAN-BAPTISTE,M-12,0,1,1,1,1,DIVISION SCOLAIRE FRANCO-MANITOBAINE,"CASE POSTALE 130 113, 2E AVENUE SAINT-JEAN-BAPTISTE R0G 2B0 MB",CASE POSTALE 130,SAINT-JEAN-BAPTISTE,R0G 2B0,MB,Province of Manitoba,case postale 130 113 2e avenue saint jean baptiste r0g 2b0 mb,113,2e avenue
87,ÉCOLE ROMÉO-DALLAIRE,M-9,0,1,1,1,0,DIVISION SCOLAIRE FRANCO-MANITOBAINE,81 CHEMIN QUAIL RIDGE WINNIPEG R2Y 2A9 MB,81 CHEMIN QUAIL RIDGE,WINNIPEG,R2Y 2A9,MB,Province of Manitoba,81 chemin quail ridge winnipeg r2y 2a9 mb,81,chemin quail ridge
