idx,facility_name,source_id,authority_type,ISCED1,ISCED2,ISCED3,address_str,city,province,postal_code,provider,address_str_clean,street_no,street_name
458,Sister Annata Brockman Catholic Elementary/Junior High School,1427,Separate,Y,Y,N,355 Hemingway Road NW Edmonton AB T6M0L7,Edmonton,AB,T6M0L7,Province of Alberta,355 hemingway road nw edmonton ab t6m0l7,355,hemingway road nw
459,Monsignor William Irwin Catholic Elementary School,1428,Separate,Y,N,N,2629 Taylor Green NW Edmonton AB T6R3N8,Edmonton,AB,T6R3N8,Province of Alberta,2629 taylor green nw edmonton ab t6r3n8,2629,taylor green nw
460,Monsignor Fee Otterson Catholic Elementary/Junior High School,1429,Separate,Y,Y,N,1834 Rutherford Road SW Edmonton AB T6W0N5,Edmonton,AB,T6W0N5,Province of Alberta,1834 rutherford road sw edmonton ab t6w0n5,1834,rutherford road sw
461,Mother Margaret Mary Catholic High School,1430,Separate,N,N,Y,2010 Leger Rd. Edmonton AB T6R0R9,Edmonton,AB,T6R0R9,Province of Alberta,2010 leger rd edmonton ab t6r0r9,2010,leger rd
462,St. Luke's Outreach Centre Brooks,1431,Separate,N,Y,Y,"Bay 9, 1308 2 A Street West Brooks AB T1R0V5",Brooks,AB,T1R0V5,Province of Alberta,bay 9 1308 2 a street west brooks ab t1r0v5,1308,2 a street west
463,Providence Children's Centre - Hawkwood,1432,ECS Private Operator,N,N,N,5232 - 4 Street SW Calgary AB T2V0Z4,Calgary,AB,T2V0Z4,Province of Alberta,5232 4 street sw calgary ab t2v0z4,5232,4 street sw
464,Trinity Christian Academy,1433,Public,Y,Y,N,630 Westchester Road Strathmore AB T1P1H8,Strathmore,AB,T1P1H8,Province of Alberta,630 westchester road strathmore ab t1p1h8,630,westchester road
465,Pathway Montessori Inc,1434,ECS Private Operator,N,N,N,464 A Woodbine Blvd SW Calgary AB T2W5H7,Calgary,AB,T2W5H7,Province of Alberta,464 a woodbine blvd sw calgary ab t2w5h7,464 a,woodbine blvd sw
466,Atlas Learning Academy Ltd.,1435,Private School,Y,Y,N,PO Box 80055 Airdrie AB T4B2V8,Airdrie,AB,T4B2V8,Province of Alberta,airdrie ab t4b2v8,,
467,Airdrie Foundation Four Early Childhood Intervention,1437,ECS Private Operator,N,N,N,40 Canoe Circle Airdrie AB T4B2L6,Airdrie,AB,T4B2L6,Province of Alberta,40 canoe circle airdrie ab t4b2l6,40,canoe circle
468,Valhalla Community School,1439,Charter,Y,Y,N,Box 143 Valhalla Centre AB T0H3M0,Valhalla Centre,AB,T0H3M0,Province of Alberta,valhalla centre ab t0h3m0,,
469,Filipino Language and Cultural School of Calgary,1440,Private School,N,N,N,Bay 204 & 206 4656 Westwinds Dr NE Calgary AB T3J3Z5,Calgary,AB,T3J3Z5,Province of Alberta,bay 204 & 206 4656 westwinds dr ne calgary ab t3j3z5,4656,westwinds dr ne
470,Journeys Learning Academy,1443,Public,N,Y,Y,Box 104 Kikino AB T0A2B0,Kikino,AB,T0A2B0,Province of Alberta,kikino ab t0a2b0,,
471,St. Teresa Catholic Outreach School,1444,Separate,N,N,Y,2-420 King Street Spruce Grove AB T7X2C6,Spruce Grove,AB,T7X2C6,Province of Alberta,2 420 king street spruce grove ab t7x2c6,2 420,king street
472,Walshe Crossroads Campus,1445,Public,N,N,Y,PO Box 760 Fort Macleod AB T0L0Z0,Fort Macleod,AB,T0L0Z0,Province of Alberta,fort macleod ab t0l0z0,,
473,Third Academy Calgary South,1446,Private School,Y,Y,Y,"3-510, 77 Ave SE Calgary AB T2H1C3",Calgary,AB,T2H1C3,Province of Alberta,3 510 77 ave se calgary ab t2h1c3,3 510,77 ave se
474,Silver Creek School,1447,Public,Y,Y,N,RR#1 Ferintosh AB T0B1M0,Ferintosh,AB,T0B1M0,Province of Alberta,rr#1 ferintosh ab t0b1m0,,rr#1
475,Palliser Beyond Borders at Picture Butte,1448,Public,N,N,Y,Box 1280 Picture Butte AB T0K1V0,Picture Butte,AB,T0K1V0,Province of Alberta,picture butte ab t0k1v0,,
