idx,facility_name,source_id,authority_type,ISCED1,ISCED2,ISCED3,address_str,city,province,postal_code,provider,address_str_clean,street_no,street_name
0,Special Centre,1,Provincial,N,N,N,10044 - 108 Street Edmonton AB T5J5E6,Edmonton,AB,T5J5E6,Province of Alberta,10044 108 street edmonton ab t5j5e6,10044,108 street
1,Prairiehome Colony School,9,Public,Y,Y,N,6302 - 56 Street Taber AB T1G1Z9,Taber,AB,T1G1Z9,Province of Alberta,6302 56 street taber ab t1g1z9,6302,56 street
2,Spring Valley Colony School,11,Public,Y,Y,N,Box 10 Cardston AB T0K0K0,Cardston,AB,T0K0K0,Province of Alberta,cardston ab t0k0k0,,
3,FFCA High School Campus,12,Charter,N,Y,Y,2116 McKay Road N.W. Calgary AB T3B1C7,Calgary,AB,T3B1C7,Province of Alberta,2116 mckay road nw calgary ab t3b1c7,2116,mckay road nw
4,The Chinese Academy,13,Private School,N,N,Y,"#191, 1518 Centre Street N.E. Calgary AB T2E2R9",Calgary,AB,T2E2R9,Province of Alberta,#191 1518 centre street ne calgary ab t2e2r9,1518,centre street ne
5,Tompkins Mennonite School,14,Private School,N,N,N,P.O. Box 988 La Crete AB T0H2H0,La Crete,AB,T0H2H0,Province of Alberta,la crete ab t0h2h0,,
6,Centre High,17,Public,N,N,Y,Suite 200 10310 - 102 Avenue Edmonton AB T5J5A2,Edmonton,AB,T5J5A2,Province of Alberta,10310 102 avenue edmonton ab t5j5a2,10310,102 avenue
7,The Academy at King Edward,18,Public,Y,Y,Y,8525 - 101 Street Edmonton AB T6E3Z4,Edmonton,AB,T6E3Z4,Province of Alberta,8525 101 street edmonton ab t6e3z4,8525,101 street
8,Westlock Outreach,19,Public,N,Y,Y,"#1, 9919 - 106 Street Westlock AB T7P2K1",Westlock,AB,T7P2K1,Province of Alberta,#1 9919 106 street westlock ab t7p2k1,9919,106 street
9,Trinity Learning Centre,20,Separate,N,N,Y,405 - 18 Street S. Lethbridge AB T1J3E5,Lethbridge,AB,T1J3E5,Province of Alberta,405 18 street s lethbridge ab t1j3e5,405,18 street s
10,Webber Academy,21,Private School,Y,Y,Y,1515 - 93 Street SW Calgary AB T3H4A8,Calgary,AB,T3H4A8,Province of Alberta,1515 93 street sw calgary ab t3h4a8,1515,93 street sw
11,Tween Valley Christian School,22,Private School,Y,Y,Y,P.O. Box 4297 Taber AB T1G2C7,Taber,AB,T1G2C7,Province of Alberta,taber ab t1g2c7,,
12,Academy of Learning,23,Provincial,N,N,N,"Box 100 301, 10205 - 101 Street Edmonton AB T5J4H5",Edmonton,AB,T5J4H5,Province of Alberta,301 10205 101 street edmonton ab t5j4h5,301,10205 101 street
13,Quest High School,24,Public,Y,Y,Y,#202 5214 47 Avenue Red Deer AB T4N3P7,Red Deer,AB,T4N3P7,Province of Alberta,#202 5214 47 avenue red deer ab t4n3p7,5214,47 avenue
14,Ecole Publique Gabrielle-Roy,26,Francophone,Y,N,N,8728 - 93 Avenue Edmonton AB T6C1T8,Edmonton,AB,T6C1T8,Province of Alberta,8728 93 avenue edmonton ab t6c1t8,8728,93 avenue
15,Phoenix Academy,28,Private School,N,Y,Y,"Centre 170, Suite 145 10403 - 172 St Edmonton AB T5S1K9",Edmonton,AB,T5S1K9,Province of Alberta,centre 170 10403 172 st edmonton ab t5s1k9,170,10403 172 st
16,Master's Academy,30,Public,Y,N,N,4414 Crowchild Trail S.W. Calgary AB T2T5J4,Calgary,AB,T2T5J4,Province of Alberta,4414 crowchild trail sw calgary ab t2t5j4,4414,crowchild trail sw
17,The Third Academy,31,Private School,Y,N,N,"3,510-77th Ave SE Calgary AB T2H1C3",Calgary,AB,T2H1C3,Province of Alberta,3 510 77th ave se calgary ab t2h1c3,3 510,77th ave se
18,Janus Academy,32,Private School,Y,Y,N,2223 Spiller Road SE Calgary AB T2G4G9,Calgary,AB,T2G4G9,Province of Alberta,2223 spiller road se calgary ab t2g4g9,2223,spiller road se
19,Hilltop Education Centre,64,Federal Jail,N,N,Y,Drumheller Institution Box 3000 Drumheller AB T0J0Y0,Drumheller,AB,T0J0Y0,Province of Alberta,drumheller institution drumheller ab t0j0y0,,
20,Peace River Correctional Centre,67,Provincial,N,N,Y,P.O. Bag 900 40 Peace River AB T8S1T4,Peace River,AB,T8S1T4,Province of Alberta,po bag 900 40 peace river ab t8s1t4,40,po bag 900
21,Private Study,95,Provincial,N,N,N,10044 - 108 Street Edmonton AB T5J5E6,Edmonton,AB,T5J5E6,Province of Alberta,10044 108 street edmonton ab t5j5e6,10044,108 street
22,Harvest Baptist Academy,98,Private School,Y,Y,Y,"26404 Highway 16, West Spruce Grove AB T7X3H5",Spruce Grove,AB,T7X3H5,Province of Alberta,26404 highway 16 west spruce grove ab t7x3h5,26404,highway 16 west
23,Alberta Distance Learning Centre,99,Public,Y,Y,Y,P.O. Box 4000 4601 - 63 Avenue Barrhead AB T7N1P4,Barrhead,AB,T7N1P4,Province of Alberta,4601 63 avenue barrhead ab t7n1p4,4601,63 avenue
24,Britannia Children's Center,119,ECS Private Operator,N,N,N,3 Windsor Crescent S.W. Calgary AB T2V1V4,Calgary,AB,T2V1V4,Province of Alberta,3 windsor crescent sw calgary ab t2v1v4,3,windsor crescent sw
25,Clandonald Public School ECS,121,ECS Private Operator,N,N,N,P.O. Box 587 Clandonald AB T0B0X0,Clandonald,AB,T0B0X0,Province of Alberta,clandonald ab t0b0x0,,
26,Irricana Community Hall ECS,123,ECS Private Operator,N,N,N,P.O. Box 305 Irricana AB T0M1B0,Irricana,AB,T0M1B0,Province of Alberta,irricana ab t0m1b0,,
27,Youngstown School Early Childhood Services,124,ECS Private Operator,N,N,N,P.O. Box 124 Youngstown AB T0J3P0,Youngstown,AB,T0J3P0,Province of Alberta,youngstown ab t0j3p0,,
28,Providence Children's Centre,135,ECS Private Operator,N,N,N,5232 - 4 Street SW Calgary AB T2V0Z4,Calgary,AB,T2V0Z4,Province of Alberta,5232 4 street sw calgary ab t2v0z4,5232,4 street sw
29,Grit Program,136,ECS Private Operator,N,N,N,12852 141 Street NW Edmonton AB T5L4N8,Edmonton,AB,T5L4N8,Province of Alberta,12852 141 street nw edmonton ab t5l4n8,12852,141 street nw
30,Student's Union & Community Day Care Centre,140,ECS Private Operator,N,N,N,8917 - 112 Street Edmonton AB T6G2C5,Edmonton,AB,T6G2C5,Province of Alberta,8917 112 street edmonton ab t6g2c5,8917,112 street
31,Community Preschool Education,151,ECS Private Operator,N,N,N,12122-68 Street Edmonton AB T5B1R1,Edmonton,AB,T5B1R1,Province of Alberta,12122 68 street edmonton ab t5b1r1,12122,68 street
32,New Brigden School Portable ECS,167,ECS Private Operator,N,N,N,Box 414 Esther AB T0J1H0,Esther,AB,T0J1H0,Province of Alberta,esther ab t0j1h0,,
33,Milo ECS School,170,ECS Private Operator,N,N,N,P.O. Box 9 Milo AB T0L1L0,Milo,AB,T0L1L0,Province of Alberta,milo ab t0l1l0,,
34,Lotsa Tots Day Care ECS,172,ECS Private Operator,N,N,N,P.O. Box 189 Red Deer AB T4N5E8,Red Deer,AB,T4N5E8,Province of Alberta,red deer ab t4n5e8,,
35,Jasper Place Child Care/ECS Program,173,ECS Private Operator,N,N,N,16811-88 Avenue-Main Floor Cabrini Centre Edmonton AB T5R5Y6,Edmonton,AB,T5R5Y6,Province of Alberta,16811 88 avenue main floor cabrini centre edmonton ab t5r5y6,16811,88 avenue main
36,It Takes a Village Kindergarten,179,ECS Private Operator,N,N,N,P.O. Box 1116 Cochrane AB T4C1B2,Cochrane,AB,T4C1B2,Province of Alberta,cochrane ab t4c1b2,,
37,Foothills Creative Beginnings,209,ECS Private Operator,N,N,N,4201 - 101 Sunset Drive Cochrane AB T4C0W7,Cochrane,AB,T4C0W7,Province of Alberta,4201 101 sunset drive cochrane ab t4c0w7,4201,101 sunset drive
38,Society for Treatment of Autism,212,ECS Private Operator,N,N,N,404 - 94 Avenue S.E. Calgary AB T2J0E8,Calgary,AB,T2J0E8,Province of Alberta,404 94 avenue se calgary ab t2j0e8,404,94 avenue se
39,Arrowwood School,218,ECS Private Operator,N,N,N,Box 238 Arrowwood AB T0L0B0,Arrowwood,AB,T0L0B0,Province of Alberta,arrowwood ab t0l0b0,,
40,The PREP Program,230,ECS Private Operator,N,N,N,2004 - 12 Avenue N.W. Calgary AB T2N1J7,Calgary,AB,T2N1J7,Province of Alberta,2004 12 avenue nw calgary ab t2n1j7,2004,12 avenue nw
41,Champion School ECS,234,ECS Private Operator,N,N,N,P.O. Box 233 Champion AB T0L0R0,Champion,AB,T0L0R0,Province of Alberta,champion ab t0l0r0,,
42,Lethbridge Montessori Kindergarten,243,ECS Private Operator,N,N,N,Lethbridge Montessori School 915 - 6 Street S. Lethbridge AB T1J2E9,Lethbridge,AB,T1J2E9,Province of Alberta,lethbridge montessori school 915 6 street s lethbridge ab t1j2e9,915,6 street s
43,Renfrew Educational Services-Janice McTighe Centre,249,Private School,Y,N,N,2050 - 21 Street N.E. Calgary AB T2E6S5,Calgary,AB,T2E6S5,Province of Alberta,2050 21 street ne calgary ab t2e6s5,2050,21 street ne
44,Renfrew Thomas W. Buchanan Centre,250,Private School,Y,N,N,2050 - 21 Street N.E. Calgary AB T2E6S5,Calgary,AB,T2E6S5,Province of Alberta,2050 21 street ne calgary ab t2e6s5,2050,21 street ne
45,University Day Care Centre,251,ECS Private Operator,N,N,N,450 Campus Place NW Calgary AB T2N1N4,Calgary,AB,T2N1N4,Province of Alberta,450 campus place nw calgary ab t2n1n4,450,campus place nw
46,Montessori School of Calgary,254,Private School,Y,N,N,2201 Cliff Street S.W. Calgary AB T2S2G4,Calgary,AB,T2S2G4,Province of Alberta,2201 cliff street sw calgary ab t2s2g4,2201,cliff street sw
47,Foothills Alliance ECS,263,ECS Private Operator,N,N,N,333 Edgepark Boulevard N.W. Calgary AB T3A4K4,Calgary,AB,T3A4K4,Province of Alberta,333 edgepark boulevard nw calgary ab t3a4k4,333,edgepark boulevard nw
48,Marlborough Day Nursery Ltd.,264,ECS Private Operator,N,N,N,200 Rivercrest Dr. Unit 201 Calgary AB T2C2X5,Calgary,AB,T2C2X5,Province of Alberta,200 rivercrest dr unit 201 calgary ab t2c2x5,200,rivercrest dr
49,Agape Early Childhood Services,270,ECS Private Operator,N,N,N,P.O. Box 1780 Lethbridge AB T1J4K4,Lethbridge,AB,T1J4K4,Province of Alberta,lethbridge ab t1j4k4,,
50,Cause & Effect Early Intervention Services,274,ECS Private Operator,N,N,N,"#134, 6170 - 12 Street SE Calgary AB T2H2X2",Calgary,AB,T2H2X2,Province of Alberta,#134 6170 12 street se calgary ab t2h2x2,6170,12 street se
51,Renfrew Educational Services - Child Development Centre,280,Private School,N,N,N,2050 - 21 Street N.E. Calgary AB T2E6S5,Calgary,AB,T2E6S5,Province of Alberta,2050 21 street ne calgary ab t2e6s5,2050,21 street ne
52,Renfrew Educational Services - Park Place Centre,281,Private School,N,N,N,2050 - 21 Street N.E. Calgary AB T2E6S5,Calgary,AB,T2E6S5,Province of Alberta,2050 21 street ne calgary ab t2e6s5,2050,21 street ne
53,Getting Ready For Inclusion To,284,ECS Private Operator,N,N,N,#117- 4615 112th Ave. SE Calgary AB T2C5J3,Calgary,AB,T2C5J3,Province of Alberta,#117 4615 112th ave se calgary ab t2c5j3,4615,112th ave se
54,The Heartland Agency,285,ECS Private Operator,N,N,N,P.O. Box 73153 Woodbine Postal Outlet Calgary AB T2W6E4,Calgary,AB,T2W6E4,Province of Alberta,woodbine postal outlet calgary ab t2w6e4,,
55,Aspire Special Needs Resource Centre,289,ECS Private Operator,N,N,N,4826 - 47 Street Red Deer AB T4N1R2,Red Deer,AB,T4N1R2,Province of Alberta,4826 47 street red deer ab t4n1r2,4826,47 street
56,Horse Lake School,290,Federal First Nations,N,N,N,P.O. Box 303 Hythe AB T0H2C0,Hythe,AB,T0H2C0,Province of Alberta,hythe ab t0h2c0,,
57,Oliver Centre,297,ECS Private Operator,N,N,N,10227 - 118 Street Edmonton AB T5K2V4,Edmonton,AB,T5K2V4,Province of Alberta,10227 118 street edmonton ab t5k2v4,10227,118 street
58,Innisfree School,298,ECS Private Operator,N,N,N,P.O. Box 85 Innisfree AB T0B2G0,Innisfree,AB,T0B2G0,Province of Alberta,innisfree ab t0b2g0,,
59,Community Association for Lasting Success,299,ECS Private Operator,N,N,N,P.O. Box 766 Vegreville AB T9C1R9,Vegreville,AB,T9C1R9,Province of Alberta,vegreville ab t9c1r9,,
60,Pacekids Programs South,302,ECS Private Operator,N,N,N,23 Sunpark Drive SE Calgary AB T2X3V1,Calgary,AB,T2X3V1,Province of Alberta,23 sunpark drive se calgary ab t2x3v1,23,sunpark drive se
61,Immanuel Christian Elementary School,305,Public,Y,N,N,2010 - 5 Avenue N. Lethbridge AB T1H0N5,Lethbridge,AB,T1H0N5,Province of Alberta,2010 5 avenue n lethbridge ab t1h0n5,2010,5 avenue n
62,Mountain View Academy,308,Private School,Y,Y,Y,3915 34 Street NE Calgary AB T1Y6Z8,Calgary,AB,T1Y6Z8,Province of Alberta,3915 34 street ne calgary ab t1y6z8,3915,34 street ne
63,Holy Family Cyber High School,311,Separate,N,N,Y,8801 - 96 Street Peace River AB T8S1R6,Peace River,AB,T8S1R6,Province of Alberta,8801 96 street peace river ab t8s1r6,8801,96 street
64,Pine Haven School,312,Public,Y,Y,N,R.R. 2 Wetaskiwin AB T9A1W9,Wetaskiwin,AB,T9A1W9,Province of Alberta,rr 2 wetaskiwin ab t9a1w9,,rr 2
65,Monsignor J. S. Smith School,313,Separate,Y,Y,N,2919 Douglasdale Boulevard S.E Calgary AB T2Z2H9,Calgary,AB,T2Z2H9,Province of Alberta,2919 douglasdale boulevard se calgary ab t2z2h9,2919,douglasdale boulevard se
66,Morinville Learning Centre,314,Public,N,N,Y,9820 - 104 Street Morinville AB T8R1L8,Morinville,AB,T8R1L8,Province of Alberta,9820 104 street morinville ab t8r1l8,9820,104 street
67,Peace Academy of Virtual Education,319,Public,Y,Y,Y,P.O. Box 99 Spirit River AB T0H3G0,Spirit River,AB,T0H3G0,Province of Alberta,spirit river ab t0h3g0,,
68,Yellowhead Koinonia Christian School,323,Private School,Y,Y,Y,430 - 72 Street Edson AB T7E1N3,Edson,AB,T7E1N3,Province of Alberta,430 72 street edson ab t7e1n3,430,72 street
69,Chipewyan Prairie Dene High School,324,Federal First Nations,N,N,Y,General Delivery Chard AB T0P1G0,Chard,AB,T0P1G0,Province of Alberta,general delivery chard ab t0p1g0,,general delivery
70,Transitions at the Y,325,Public,N,N,Y,10211-105 Street Edmonton AB T5J1E3,Edmonton,AB,T5J1E3,Province of Alberta,10211 105 street edmonton ab t5j1e3,10211,105 street
71,Battle River Online,326,Public,Y,Y,Y,6206 - 43 Ave (West Entrance) Camrose AB T4V0A7,Camrose,AB,T4V0A7,Province of Alberta,6206 43 ave camrose ab t4v0a7,6206,43 ave
72,The Learning Connection - Grande Cache,327,Public,N,N,Y,P.O. Box 1050 Grande Cache AB T0E0Y0,Grande Cache,AB,T0E0Y0,Province of Alberta,grande cache ab t0e0y0,,
73,Ascension of Our Lord,333,Separate,Y,Y,N,509 Harvest Hills Drive N.E. Calgary AB T3K4G9,Calgary,AB,T3K4G9,Province of Alberta,509 harvest hills drive ne calgary ab t3k4g9,509,harvest hills drive ne
74,Lightning Ridge Education Centre,334,Federal Jail,N,N,Y,Grande Cache Institution Bag 4000 Grande Cache AB T0E0Y0,Grande Cache,AB,T0E0Y0,Province of Alberta,grande cache institution bag 4000 grande cache ab t0e0y0,,
75,Connect Charter School,335,Charter,Y,Y,N,5915 Lewis Drive S.W. Calgary AB T3E5Z4,Calgary,AB,T3E5Z4,Province of Alberta,5915 lewis drive sw calgary ab t3e5z4,5915,lewis drive sw
76,Ralph McCall School,336,Public,Y,N,N,1505 - 1 Avenue N.W. Airdrie AB T4B2L9,Airdrie,AB,T4B2L9,Province of Alberta,1505 1 avenue nw airdrie ab t4b2l9,1505,1 avenue nw
77,J. J. Nearing Catholic Elementary School,338,Separate,Y,N,N,196 Deer Ridge Drive St. Albert AB T8N6T6,St. Albert,AB,T8N6T6,Province of Alberta,196 deer ridge drive st albert ab t8n6t6,196,deer ridge drive
78,Red Earth Creek School,339,Public,Y,Y,Y,P.O. Bag 6000 Red Earth Creek AB T0G1X0,Red Earth Creek,AB,T0G1X0,Province of Alberta,po bag 6000 red earth creek ab t0g1x0,,
79,Palliser Beyond Borders at Coaldale,340,Public,N,N,Y,Box 1237 1915 - 20 Avenue Coaldale AB T1M1L8,Coaldale,AB,T1M1L8,Province of Alberta,1915 20 avenue coaldale ab t1m1l8,1915,20 avenue
80,Glenrose Colony School,341,Public,Y,Y,N,435A Highway 1 Strathmore AB T1P1J4,Strathmore,AB,T1P1J4,Province of Alberta,435a highway 1 strathmore ab t1p1j4,435a,highway 1
81,Twin Creeks School,342,Public,Y,Y,N,435A Highway 1 Strathmore AB T1P1J4,Strathmore,AB,T1P1J4,Province of Alberta,435a highway 1 strathmore ab t1p1j4,435a,highway 1
82,Personalized Learning Activities and Community Education,344,ECS Private Operator,N,N,N,4752-99 Street Edmonton AB T6E5H5,Edmonton,AB,T6E5H5,Province of Alberta,4752 99 street edmonton ab t6e5h5,4752,99 street
83,St. Martin De Porres High School,346,Separate,N,Y,Y,410 Yankee Valley Boulevard SW Airdrie AB T4B2M1,Airdrie,AB,T4B2M1,Province of Alberta,410 yankee valley boulevard sw airdrie ab t4b2m1,410,yankee valley boulevard sw
84,Midsun School,348,Public,N,Y,N,660 Sunmills Drive S.E. Calgary AB T2X3R5,Calgary,AB,T2X3R5,Province of Alberta,660 sunmills drive se calgary ab t2x3r5,660,sunmills drive se
85,Argyll Home School Centre,349,Public,Y,Y,Y,6859 - 100 Avenue Edmonton AB T6A0G3,Edmonton,AB,T6A0G3,Province of Alberta,6859 100 avenue edmonton ab t6a0g3,6859,100 avenue
86,Ecole Nouvelle Frontiere,367,Francophone,Y,Y,Y,11201- Pinnacle Boulevard Grande Prairie AB T8W0C6,Grande Prairie,AB,T8W0C6,Province of Alberta,11201 pinnacle boulevard grande prairie ab t8w0c6,11201,pinnacle boulevard
87,Tofield Colony School,369,Public,Y,Y,N,5402 - 48A Avenue Camrose AB T4V0L3,Camrose,AB,T4V0L3,Province of Alberta,5402 48a avenue camrose ab t4v0l3,5402,48a avenue
88,The First Step Adult Education Center,370,Private School,N,N,Y,"1, 4737 - 49B Avenue Lacombe AB T4L1K1",Lacombe,AB,T4L1K1,Province of Alberta,1 4737 49b avenue lacombe ab t4l1k1,1 4737,49b avenue
89,Carousel Children's Centre,374,ECS Private Operator,N,N,N,3 Windsor Crescent S.W. Calgary AB T2V1V4,Calgary,AB,T2V1V4,Province of Alberta,3 windsor crescent sw calgary ab t2v1v4,3,windsor crescent sw
90,Lakeside Outreach School,375,Public,N,Y,Y,Box 127 Slave Lake AB T0G2A0,Slave Lake,AB,T0G2A0,Province of Alberta,slave lake ab t0g2a0,,
91,St. Gabriel High School,378,Separate,N,N,Y,6 St. Vital Avenue Lower Level St. Albert AB T8N1K2,St. Albert,AB,T8N1K2,Province of Alberta,6 st vital avenue lower level st albert ab t8n1k2,6,st vital avenue
92,Burman University,379,Provincial,N,N,N,5415 College Avenue Lacombe AB T4L2E5,Lacombe,AB,T4L2E5,Province of Alberta,5415 college avenue lacombe ab t4l2e5,5415,college avenue
93,Portage College - St. Paul Campus,380,Provincial,N,N,Y,Box 1471 5205-50 Avenue St. Paul AB T0A3A0,St. Paul,AB,T0A3A0,Province of Alberta,5205 50 avenue st paul ab t0a3a0,5205,50 avenue
94,Portage College-Cold Lake Campus,381,Provincial,N,N,Y,101-7825-51 Street Cold Lake AB T9M0B6,Cold Lake,AB,T9M0B6,Province of Alberta,101 7825 51 street cold lake ab t9m0b6,101,7825 51 street
95,Red Deer College,383,Provincial,N,N,N,P.O. Box 5005 Red Deer AB T4N5H5,Red Deer,AB,T4N5H5,Province of Alberta,red deer ab t4n5h5,,
96,Golden Hills Learning Academy,384,Public,Y,Y,Y,116 3rd Avenue Strathmore AB T1P1B9,Strathmore,AB,T1P1B9,Province of Alberta,116 3rd avenue strathmore ab t1p1b9,116,3rd avenue
97,Rainbow Colony School,385,Public,Y,Y,N,26052 Twp Rd 350 Red Deer County AB T4G0M4,Red Deer County,AB,T4G0M4,Province of Alberta,26052 twp rd 350 red deer county ab t4g0m4,26052,twp rd 350
98,Learning Store on Whyte,386,Public,N,N,Y,10007 - 82 Avenue Edmonton AB T6E1Z2,Edmonton,AB,T6E1Z2,Province of Alberta,10007 82 avenue edmonton ab t6e1z2,10007,82 avenue
99,The Hamptons School,387,Public,Y,N,N,10330 Hamptons Boulevard N.W. Calgary AB T3A6G2,Calgary,AB,T3A6G2,Province of Alberta,10330 hamptons boulevard nw calgary ab t3a6g2,10330,hamptons boulevard nw
100,Holy Angels School,389,Separate,Y,N,N,275 Riverglen Drive SE Calgary AB T2C3T5,Calgary,AB,T2C3T5,Province of Alberta,275 riverglen drive se calgary ab t2c3t5,275,riverglen drive se
101,St. Ambrose School,390,Separate,Y,Y,N,1500 Arbour Lake Road N.W. Calgary AB T3G4X9,Calgary,AB,T3G4X9,Province of Alberta,1500 arbour lake road nw calgary ab t3g4x9,1500,arbour lake road nw
102,St. Mary's School,391,Separate,Y,N,N,42 Cimarron Trail Okotoks AB T1S2A8,Okotoks,AB,T1S2A8,Province of Alberta,42 cimarron trail okotoks ab t1s2a8,42,cimarron trail
103,Lone Pine Colony School,392,Public,Y,Y,N,P.O. Box 239 Botha AB T0C0N0,Botha,AB,T0C0N0,Province of Alberta,botha ab t0c0n0,,
104,Silver Sage Colony School,393,Public,Y,Y,N,918 - 2nd Ave. Dunmore AB T1B0K3,Dunmore,AB,T1B0K3,Province of Alberta,918 2nd ave dunmore ab t1b0k3,918,2nd ave
105,Vegreville Next Step III Outreach School,401,Public,N,N,Y,Box 696 Vegreville AB T9C1R7,Vegreville,AB,T9C1R7,Province of Alberta,vegreville ab t9c1r7,,
106,Airdrie Learning Connection,404,Public,Y,Y,Y,120 Main Street SE Airdrie AB T4B0P8,Airdrie,AB,T4B0P8,Province of Alberta,120 main street se airdrie ab t4b0p8,120,main street se
107,Sun Country Christian School,405,Private School,N,N,N,Bag 6000 Bow Island AB T0K0G0,Bow Island,AB,T0K0G0,Province of Alberta,bag 6000 bow island ab t0k0g0,,
108,Playcare ECS,424,ECS Private Operator,N,N,N,92 Canova Road S.W. Calgary AB T2W2A7,Calgary,AB,T2W2A7,Province of Alberta,92 canova road sw calgary ab t2w2a7,92,canova road sw
109,Edge School,428,Private School,Y,Y,Y,33055 Township Road 250 Calgary AB T3Z1L4,Calgary,AB,T3Z1L4,Province of Alberta,33055 township road 250 calgary ab t3z1l4,33055,township road 250
110,Greenwood Colony School,430,Public,Y,Y,N,P.O. Box 1510 Fort Macleod AB T0L0Z0,Fort Macleod,AB,T0L0Z0,Province of Alberta,fort macleod ab t0l0z0,,
111,Rosedale Christian School,431,Private School,N,N,N,"RR #1, Box 10, Site 5 Crooked Creek AB T0H0Y0",Crooked Creek,AB,T0H0Y0,Province of Alberta,rr #1 site 5 crooked creek ab t0h0y0,,rr #1
112,New Heights School and Learning Services,432,Private School,Y,Y,Y,2521 Dieppe Ave SW Calgary AB T3E7J9,Calgary,AB,T3E7J9,Province of Alberta,2521 dieppe ave sw calgary ab t3e7j9,2521,dieppe ave sw
113,Blessed Sacrament Outreach School,433,Separate,N,N,Y,912 - 3rd Avenue Wainwright AB T9W1V3,Wainwright,AB,T9W1V3,Province of Alberta,912 3rd avenue wainwright ab t9w1v3,912,3rd avenue
114,Ecole des Quatre-Vents,434,Francophone,Y,Y,Y,7401 - 99 Street Peace River AB T8S1R4,Peace River,AB,T8S1R4,Province of Alberta,7401 99 street peace river ab t8s1r4,7401,99 street
115,Prairie View Outreach School,435,Public,N,Y,Y,P.O. Box 1447 High Prairie AB T0G1E0,High Prairie,AB,T0G1E0,Province of Alberta,high prairie ab t0g1e0,,
116,Renfrew Educational Services-Bowness Centre,437,Private School,N,N,N,2050 - 21 Street N.E. Calgary AB T2E6S5,Calgary,AB,T2E6S5,Province of Alberta,2050 21 street ne calgary ab t2e6s5,2050,21 street ne
117,Ecole Saint-Christophe,438,Francophone,Y,Y,N,214 - 8 Street Wainwright AB T9W2R2,Wainwright,AB,T9W2R2,Province of Alberta,214 8 street wainwright ab t9w2r2,214,8 street
118,St. Joseph's Collegiate,439,Separate,N,Y,Y,408 - 1st Street West Brooks AB T1R0V8,Brooks,AB,T1R0V8,Province of Alberta,408 1st street west brooks ab t1r0v8,408,1st street west
119,Kayas Cultural College,441,Provincial,N,N,N,P.O. Box 99 John D'or Prairie AB T0H3X0,John D'or Prairie,AB,T0H3X0,Province of Alberta,john d'or prairie ab t0h3x0,,
120,Alpine Children's Centre,442,ECS Private Operator,N,N,N,3 Windsor Crescent S.W. Calgary AB T2V1V4,Calgary,AB,T2V1V4,Province of Alberta,3 windsor crescent sw calgary ab t2v1v4,3,windsor crescent sw
121,Bonavista Children's Centre,443,ECS Private Operator,N,N,N,3 Windsor Crescent S.W. Calgary AB T2V1V4,Calgary,AB,T2V1V4,Province of Alberta,3 windsor crescent sw calgary ab t2v1v4,3,windsor crescent sw
122,Bow Valley High School,444,Public,N,Y,Y,2000 River Heights Drive Cochrane AB T4C1Y8,Cochrane,AB,T4C1Y8,Province of Alberta,2000 river heights drive cochrane ab t4c1y8,2000,river heights drive
123,Garden River School,474,Provincial,N,N,N,Box 29 John D'or Prairie AB T0H3X0,John D'or Prairie,AB,T0H3X0,Province of Alberta,john d'or prairie ab t0h3x0,,
124,John D'Or School,475,Provincial,N,N,N,Box 99 John D'or Prairie AB T0H3X0,John D'or Prairie,AB,T0H3X0,Province of Alberta,john d'or prairie ab t0h3x0,,
125,Eastside Christian Academy,478,Private School,Y,Y,Y,1320 Abbeydale Drive SE Calgary AB T2A7L8,Calgary,AB,T2A7L8,Province of Alberta,1320 abbeydale drive se calgary ab t2a7l8,1320,abbeydale drive se
126,I.V. Macklin Public School,481,Public,Y,Y,N,8876 - 108 Avenue Grande Prairie AB T8X1N7,Grande Prairie,AB,T8X1N7,Province of Alberta,8876 108 avenue grande prairie ab t8x1n7,8876,108 avenue
127,Heart Valley Christian School,482,Private School,N,N,N,R.R. 1 Wanham AB T0H3P0,Wanham,AB,T0H3P0,Province of Alberta,rr 1 wanham ab t0h3p0,,rr 1
128,Thomas More Academy,483,Private School,Y,Y,Y,"Centre 170, Suite 145 10403 - 172 St Edmonton AB T5S1K9",Edmonton,AB,T5S1K9,Province of Alberta,centre 170 10403 172 st edmonton ab t5s1k9,170,10403 172 st
129,Amiskwaciy Academy,484,Public,N,Y,Y,101 Airport Road Edmonton AB T5G3K2,Edmonton,AB,T5G3K2,Province of Alberta,101 airport road edmonton ab t5g3k2,101,airport road
130,Newman Theological College,485,Separate,N,N,N,c/o School of Hope 10012 - 84 Street Edmonton AB T6A0B2,Edmonton,AB,T6A0B2,Province of Alberta,c/o school of hope 10012 84 street edmonton ab t6a0b2,10012,84 street
131,Prairie Land Outreach School,486,Public,N,Y,Y,P.O. Box 1270 Hanna AB T0J1P0,Hanna,AB,T0J1P0,Province of Alberta,hanna ab t0j1p0,,
132,Spirit of the North Community School,487,Public,Y,N,N,10801 - 102 Street High Level AB T0H1Z0,High Level,AB,T0H1Z0,Province of Alberta,10801 102 street high level ab t0h1z0,10801,102 street
133,West Country Outreach School,488,Public,N,Y,Y,P.O. Box 375 Rimbey AB T0C2J0,Rimbey,AB,T0C2J0,Province of Alberta,rimbey ab t0c2j0,,
