Done,KML,File,library_name,library_type,unit,street_no,street_name,street_suffix,street_direction,address_full,postcode,city,prov/terr,PRuid,CSDname,CSDuid,longitude,latitude,data_city,data_prov/terr,data_provider,file_type,filter_name,filter_value,Aquatic Centre|Arena|Badminton|Ball Diamond|Baseball|Basketball|Beach|Bocce|Casino|Cricket Pitch|Curling|Day Camp|Dog Park|Golf Club|Golf Course|Gym|Hockey|Marina|Playground|Pool|Rec Centre|Recreation Centre|Rink|Skateboad|Snowmobile Trail|Snowshoe Trail|Soccer|Softball|Splash Pad|Splash Park|Sports Centre|Sports Court|Sports Court|Sports Field|Sports Field|Stadium|Stadium|Tennis|Tennis Club|Tennis Court|Trail|Volleyball|Wading Pool|Zoo|Aréna,Aquatic Centre|Arena|Badminton|Ball Diamond|Baseball|Basketball|Beach|Bocce|Casino|Cricket Pitch|Curling|Day Camp|Dog Park|Golf Club|Golf Course|Gym|Hockey|Marina|Playground|Pool|Rec Centre|Recreation Centre|Rink|Skateboad|Snowmobile Trail|Snowshoe Trail|Soccer|Softball|Splash Pad|Splash Park|Sports Centre|Sports Court|Sports Court|Sports Field|Sports Field|Stadium|Stadium|Tennis|Tennis Club|Tennis Court|Trail|Volleyball|Wading Pool|Zoo
a,,Pickering_Facilities.csv,Name,,,,,,,Address,Postal_Code,City,,,,,,,Pickering,,,Mixed,Name,Aquatic Centre|Arena|Badminton|Ball Diamond|Baseball|Basketball|Beach|Bocce|Casino|Cricket Pitch|Curling|Day Camp|Dog Park|Golf Club|Golf Course|Gym|Hockey|Marina|Playground|Pool|Rec Centre|Recreation Centre|Rink|Skateboad|Snowmobile Trail|Snowshoe Trail|Soccer|Softball|Splash Pad|Splash Park|Sports Centre|Sports Court|Sports Court|Sports Field|Sports Field|Stadium|Stadium|Tennis|Tennis Club|Tennis Court|Trail|Volleyball|Wading Pool|Zoo|Aréna,,
x,a,PortMoody_Business_Licences.csv,Business_Name,Business_Description,,,,,,,,,,,,,x,y,PortMoody,,,Mixed,Business_Name,Aquatic Centre|Arena|Badminton|Ball Diamond|Baseball|Basketball|Beach|Bocce|Casino|Cricket Pitch|Curling|Day Camp|Dog Park|Golf Club|Golf Course|Gym|Hockey|Marina|Playground|Pool|Rec Centre|Recreation Centre|Rink|Skateboad|Snowmobile Trail|Snowshoe Trail|Soccer|Softball|Splash Pad|Splash Park|Sports Centre|Sports Court|Sports Court|Sports Field|Sports Field|Stadium|Stadium|Tennis|Tennis Club|Tennis Court|Trail|Volleyball|Wading Pool|Zoo|Aréna,,
a,,PortMoody_City_Facilities.csv,facility_name,,,,,,,address,,,,,,,,,PortMoody,,,Mixed,facility_name,Aquatic Centre|Arena|Badminton|Ball Diamond|Baseball|Basketball|Beach|Bocce|Casino|Cricket Pitch|Curling|Day Camp|Dog Park|Golf Club|Golf Course|Gym|Hockey|Marina|Playground|Pool|Rec Centre|Recreation Centre|Rink|Skateboad|Snowmobile Trail|Snowshoe Trail|Soccer|Softball|Splash Pad|Splash Park|Sports Centre|Sports Court|Sports Court|Sports Field|Sports Field|Stadium|Stadium|Tennis|Tennis Club|Tennis Court|Trail|Volleyball|Wading Pool|Zoo|Aréna,,
x,,PortMoody_Pathways.csv,location,class,,,,,,location,,,,,,,,,PortMoody,,,Trails,,,,
a,,PrinceGeorge_Business_License.csv,TradeName,LicenceCategory,,,,,,Address,,,,,,,,,PrinceGeorge,,,Mixed,TradeName,Aquatic Centre|Arena|Badminton|Ball Diamond|Baseball|Basketball|Beach|Bocce|Casino|Cricket Pitch|Curling|Day Camp|Dog Park|Golf Club|Golf Course|Gym|Hockey|Marina|Playground|Pool|Rec Centre|Recreation Centre|Rink|Skateboad|Snowmobile Trail|Snowshoe Trail|Soccer|Softball|Splash Pad|Splash Park|Sports Centre|Sports Court|Sports Court|Sports Field|Sports Field|Stadium|Stadium|Tennis|Tennis Club|Tennis Court|Trail|Volleyball|Wading Pool|Zoo|Aréna,,
x,a,PrinceGeorge_OCP_8383_Community_Facility.csv,FacilityDescription,FacilityClass,,,,,,,,,,,,,x,y,PrinceGeorge,,,Mixed,FacilityDescription,Aquatic Centre|Arena|Badminton|Ball Diamond|Baseball|Basketball|Beach|Bocce|Casino|Cricket Pitch|Curling|Day Camp|Dog Park|Golf Club|Golf Course|Gym|Hockey|Marina|Playground|Pool|Rec Centre|Recreation Centre|Rink|Skateboad|Snowmobile Trail|Snowshoe Trail|Soccer|Softball|Splash Pad|Splash Park|Sports Centre|Sports Court|Sports Court|Sports Field|Sports Field|Stadium|Stadium|Tennis|Tennis Club|Tennis Court|Trail|Volleyball|Wading Pool|Zoo|Aréna,,
x,a,PrinceGeorge_Park_Playing_Area.csv,Location,SubType_TEXT,,,,,,,,,,,,,x,y,PrinceGeorge,,,Sports Fields,,,,
x,a,PrinceGeorge_Trails.csv,TrailName,SubType_TEXT,,,,,,,,,,,,,x,y,PrinceGeorge,,,Trails,,,,
x,,QuebecCity_pisteski.csv,NOM,,,,,,,ADRESSE,,,,,,,,,QuebecCity,,,Mixed,,,,
a,a,QuebecCity_structrec.csv,,,,,,,,LOCALISATN,,,,,,,x,y,QuebecCity,,,Rec Centres,,,,
a,,QuebecCity_vdq-lieupublic (1).csv,NOM_TOPOGRAPHIE,DESCRIPTION,,NO_CIVIQUE,RUE,,,,,,,,,,long,lat,QuebecCity,,,Mixed,NOM_TOPOGRAPHIE,Aquatic Centre|Arena|Badminton|Ball Diamond|Baseball|Basketball|Beach|Bocce|Casino|Cricket Pitch|Curling|Day Camp|Dog Park|Golf Club|Golf Course|Gym|Hockey|Marina|Playground|Pool|Rec Centre|Recreation Centre|Rink|Skateboad|Snowmobile Trail|Snowshoe Trail|Soccer|Softball|Splash Pad|Splash Park|Sports Centre|Sports Court|Sports Court|Sports Field|Sports Field|Stadium|Stadium|Tennis|Tennis Club|Tennis Court|Trail|Volleyball|Wading Pool|Zoo|Aréna,,
a,,QuebecProv_Attraits.csv,ETBL_NOM_EN,ETBL_TYPE_EN,,,,,,ADR_CIVIQUE,ADR_CODE_POSTAL,ADR_MUNICIPALITE,,,,,ADR_LONGITUDE,ADR_LATITUDE,QuebecProv,,,Mixed,ETBL_NOM_EN,Aquatic Centre|Arena|Badminton|Ball Diamond|Baseball|Basketball|Beach|Bocce|Casino|Cricket Pitch|Curling|Day Camp|Dog Park|Golf Club|Golf Course|Gym|Hockey|Marina|Playground|Pool|Rec Centre|Recreation Centre|Rink|Skateboad|Snowmobile Trail|Snowshoe Trail|Soccer|Softball|Splash Pad|Splash Park|Sports Centre|Sports Court|Sports Court|Sports Field|Sports Field|Stadium|Stadium|Tennis|Tennis Club|Tennis Court|Trail|Volleyball|Wading Pool|Zoo|Aréna,,
x,,RedDeer_POI.csv,Name,Category,,,,,,Address,,,,,,,,,RedDeer,,,Mixed,Name,Aquatic Centre|Arena|Badminton|Ball Diamond|Baseball|Basketball|Beach|Bocce|Casino|Cricket Pitch|Curling|Day Camp|Dog Park|Golf Club|Golf Course|Gym|Hockey|Marina|Playground|Pool|Rec Centre|Recreation Centre|Rink|Skateboad|Snowmobile Trail|Snowshoe Trail|Soccer|Softball|Splash Pad|Splash Park|Sports Centre|Sports Court|Sports Court|Sports Field|Sports Field|Stadium|Stadium|Tennis|Tennis Club|Tennis Court|Trail|Volleyball|Wading Pool|Zoo|Aréna,,
x,,Regina_ParksAndAmenities ParksAndOpenSpaces.csv,Name,description,,,,,,ADDRESS,,,,,,,x,y,Regina,,,Mixed,Name,Aquatic Centre|Arena|Badminton|Ball Diamond|Baseball|Basketball|Beach|Bocce|Casino|Cricket Pitch|Curling|Day Camp|Dog Park|Golf Club|Golf Course|Gym|Hockey|Marina|Playground|Pool|Rec Centre|Recreation Centre|Rink|Skateboad|Snowmobile Trail|Snowshoe Trail|Soccer|Softball|Splash Pad|Splash Park|Sports Centre|Sports Court|Sports Court|Sports Field|Sports Field|Stadium|Stadium|Tennis|Tennis Club|Tennis Court|Trail|Volleyball|Wading Pool|Zoo|Aréna,,
x,,ReginaPathways Pathways.csv,ASSET_TYPE,,,,,,,,,,,,,,x,y,ReginaPathways Pathways.csv,,,Trails,,,,
a,,Repentigny_places-interet.csv,NOM,CONTACT,,,,,,ADRESSE,,,,,,,LONGITUDE,LATITUDE,Repentigny,,,Mixed,NOM,Aquatic Centre|Arena|Badminton|Ball Diamond|Baseball|Basketball|Beach|Bocce|Casino|Cricket Pitch|Curling|Day Camp|Dog Park|Golf Club|Golf Course|Gym|Hockey|Marina|Playground|Pool|Rec Centre|Recreation Centre|Rink|Skateboad|Snowmobile Trail|Snowshoe Trail|Soccer|Softball|Splash Pad|Splash Park|Sports Centre|Sports Court|Sports Court|Sports Field|Sports Field|Stadium|Stadium|Tennis|Tennis Club|Tennis Court|Trail|Volleyball|Wading Pool|Zoo|Aréna,,
a,,Rimouski_lieupublic.csv,NOM,TYPE_SITE,,,,,,ADRESSE,,MUNICIPALITE,,,,,,,Rimouski,,,Mixed,NOM,Aquatic Centre|Arena|Badminton|Ball Diamond|Baseball|Basketball|Beach|Bocce|Casino|Cricket Pitch|Curling|Day Camp|Dog Park|Golf Club|Golf Course|Gym|Hockey|Marina|Playground|Pool|Rec Centre|Recreation Centre|Rink|Skateboad|Snowmobile Trail|Snowshoe Trail|Soccer|Softball|Splash Pad|Splash Park|Sports Centre|Sports Court|Sports Court|Sports Field|Sports Field|Stadium|Stadium|Tennis|Tennis Club|Tennis Court|Trail|Volleyball|Wading Pool|Zoo|Aréna,,
y,a,SaintJohn_Arenas.csv,Name,,,,,,,,,,,,,,x,y,SaintJohn,,,Arenas,,,,
y,a,SaintJohn_Athletic_Fields.csv,Name_2,,,,,,,,,,,,,,x,y,SaintJohn,,,Sports Fields,,,,
y,a,SaintJohn_Ballfields.csv,Name,,,,,,,,,,,,,,x,y,SaintJohn,,,Sports Fields,,,,
y,b,SaintJohn_Beach_Volleyball_Courts.csv,Name,,,,,,,,,,,,,,x,y,SaintJohn,,,Volleyball,,,,
y,b,SaintJohn_Curling_Clubs.csv,Name,,,,,,,,,,,,,,x,y,SaintJohn,,,Curling,,,,
y,a,SaintJohn_Dog_Parks.csv,Name,,,,,,,,,,,,,,x,y,SaintJohn,,,Dog Parks,,,,
y,a,SaintJohn_Golf_Courses.csv,Name,Type,,,,,,,,,,,,,x,y,SaintJohn,,,Golf,,,,
y,a,SaintJohn_Gymnasiums.csv,Name,,,,,,,,,,,,,,x,y,SaintJohn,,,Gymnasiums,,,,
y,a,SaintJohn_Marinas.csv,Label_En,,,,,,,,,,,,,,x,y,SaintJohn,,,Marinas,,,,
y,a,SaintJohn_Playgrounds.csv,Name,,,,,,,,,,,,,,x,y,SaintJohn,,,Playgrounds,,,,
y,a,SaintJohn_Pools.csv,Name,,,,,,,,,,,,,,x,y,SaintJohn,,,Pools,,,,
y,a,SaintJohn_Raceway.csv,Label_En,,,,,,,,,,,,,,x,y,SaintJohn,,,Raceway,,,,
y,b,SaintJohn_Skateparks.csv,Name,,,,,,,,,,,,,,x,y,SaintJohn,,,Skateboard,,,,
y,a,SaintJohn_Soccer_Pitches.csv,Name,,,,,,,,,,,,,,x,y,SaintJohn,,,Soccer,,,,
y,a,SaintJohn_Splash_Pads.csv,Name,,,,,,,,,,,,,,x,y,SaintJohn,,,Splash Pads,,,,
y,a,SaintJohn_Tennis_Courts.csv,Name,description,,,,,,,,,,,,,x,y,SaintJohn,,,Tennis,,,,
y,a,SaintJohn_Trails.csv,Name,,,,,,,,,,,,,,x,y,SaintJohn,,,Trails,,,,
y,a,SaintJohn_Zoo.csv,Label_En,,,,,,,,,,,,,,x,y,SaintJohn,,,Zoo,,,,
x,b,Saskatoon_LeisureFacility.csv,Name,,,,,,,,,,,,,,x,y,Saskatoon,,,Sports Fields,,,,
x,b,Saskatoon_Pathway.csv,Name,,,,,,,,,,,,,,x,y,Saskatoon,,,Trails,,,,
x,,Shawinigan_Arénas.csv,NOM,,,,,,,Adresse,,,,,,,X,Y,Shawinigan,,,Arenas,,,,
x,,Shawinigan_Infrastructures_sportives.csv,Nom,sport,,,,,,Adresse,,,,,,,X,Y,Shawinigan,,,Mixed,,,,
x,,Shawinigan_Piscines_extérieures.csv,NOM,,,,,,,Adresse,,,,,,,X,Y,Shawinigan,,,Pools,,,,
x,b,Shawinigan_Sentiers_de_motoneige.csv,Name,,,,,,,,,,,,,,x,y,Shawinigan,,,Snowmobile,,,,
x,a,Shawinigan_Sentiers_de_raquette.csv,Localisation,,,,,,,,,,,,,,x,y,Shawinigan,,,Snowshoe,,,,
x,a,Shawinigan_Sentiers_de_VTT.csv,,,,,,,,,,,,,,,x,y,Shawinigan,,,Trails,,,,
x,a,Shawinigan_Sentiers_pédestres.csv,Localisation,,,,,,,,,,,,,,x,y,Shawinigan,,,Trails,,,,
x,,Sherbrooke_bain-libre-interieur.csv,LOC,CONTACT,,AD_NO,AD_SPECI,,,AD_LIEN,,AD_MUNID,,,,,long,lat,Sherbrooke,,,Pools,,,,
x,xxx,Sherbrooke_camps-jour.csv,NOM_CAMP,CONTACT,,,,,,,,,,,,,,,Sherbrooke,,,Camps,,,,
y,a,Sherbrooke_Sites_dintérêt.csv,NOM,TYPE,,,,,,,,,,,,,x,y,Sherbrooke,,,Mixed,NOM,Aquatic Centre|Arena|Badminton|Ball Diamond|Baseball|Basketball|Beach|Bocce|Casino|Cricket Pitch|Curling|Day Camp|Dog Park|Golf Club|Golf Course|Gym|Hockey|Marina|Playground|Pool|Rec Centre|Recreation Centre|Rink|Skateboad|Snowmobile Trail|Snowshoe Trail|Soccer|Softball|Splash Pad|Splash Park|Sports Centre|Sports Court|Sports Court|Sports Field|Sports Field|Stadium|Stadium|Tennis|Tennis Club|Tennis Court|Trail|Volleyball|Wading Pool|Zoo|Aréna,,
x,,StrathconaCounty_Amenity (1).csv,NAME,TYPE,,,,,,LOCATION,,,,,,,long,lat,StrathconaCounty,,,Mixed,NAME,Aquatic Centre|Arena|Badminton|Ball Diamond|Baseball|Basketball|Beach|Bocce|Casino|Cricket Pitch|Curling|Day Camp|Dog Park|Golf Club|Golf Course|Gym|Hockey|Marina|Playground|Pool|Rec Centre|Recreation Centre|Rink|Skateboad|Snowmobile Trail|Snowshoe Trail|Soccer|Softball|Splash Pad|Splash Park|Sports Centre|Sports Court|Sports Court|Sports Field|Sports Field|Stadium|Stadium|Tennis|Tennis Club|Tennis Court|Trail|Volleyball|Wading Pool|Zoo|Aréna,,
x,,StrathconaCounty_Outdoor_Rinks.csv,ParkName,RinkType,,,,,,,,,,,,,long,lat,StrathconaCounty,,,Rinks,,,,
x,,StrathconaCounty_Playing_Courts.csv,ParkName,CourtType,,,,,,,,,,,,,long,lat,StrathconaCounty,,,Sports Fields,,,,
x,,StrathconaCounty_Playing_Field.csv,Park Name,Field Type,,,,,,,,,,,,,longitude,latitude,StrathconaCounty,,,Sports Fields,,,,
x,,StrathconaCounty_Rec_Centres.csv,Name,Desc,,,,,,,,,,,,,Long,Lat,StrathconaCounty,,,Rec Centres,,,,
x,,StrathconaCounty_SC_RURAL_TRAILS.csv,Class,,,,,,,,,,,,,,Start_X,Start_Y,StrathconaCounty,,,Trails,,,,
x,,StrathconaCounty_Splash_Parks.csv,ParkName,Location,,,,,,,,,,,,,long,lat,StrathconaCounty,,,Splash Pads,,,,
x,b,StrathconaCounty_Urban_Trails.csv,location,class,,,,,,,,,,,,,x,y,StrathconaCounty,,,Trails,,,,
x,,Surrey_businesslicences2019.csv,Business Name,Products or Services,Unit,Number,Street,,,,Postal Code,,,,,,Longitude,Latitude,Surrey,,,Mixed,NAIC Description,Aquatic Centre|Arena|Badminton|Ball Diamond|Baseball|Basketball|Beach|Bocce|Casino|Cricket Pitch|Curling|Day Camp|Dog Park|Golf Club|Golf Course|Gym|Hockey|Marina|Playground|Pool|Rec Centre|Recreation Centre|Rink|Skateboad|Snowmobile Trail|Snowshoe Trail|Soccer|Softball|Splash Pad|Splash Park|Sports Centre|Sports Court|Sports Court|Sports Field|Sports Field|Stadium|Stadium|Tennis|Tennis Club|Tennis Court|Trail|Volleyball|Wading Pool|Zoo|Aréna,,
y,,Surrey_park_outdoor_recreation_facilities park_outdoor_recreation_facilities.csv,description,PARK_FACILITY_TYPE,,,,,,OPERATING_LOCATION,,,,,,,,,Surrey,,,Mixed,,,,
x,,Surrey_Park_Playgrounds park_playgrounds.csv,Name,description,,,,,,,,,,,,,x,y,Surrey,,,Playgrounds,,,,
x,,Surrey_Park_Sports_Fields park_sports_fields.csv,Name,description,,,,,,,,,,,,,x,y,Surrey,,,Sports Fields,,,,
a,,Surrey_placesofinterest.csv,NAME,FACILITY_TYPE,,,,,,,,,,,,,LONGITUDE,LATITUDE,Surrey,,,Mixed,NAME,Aquatic Centre|Arena|Badminton|Ball Diamond|Baseball|Basketball|Beach|Bocce|Casino|Cricket Pitch|Curling|Day Camp|Dog Park|Golf Club|Golf Course|Gym|Hockey|Marina|Playground|Pool|Rec Centre|Recreation Centre|Rink|Skateboad|Snowmobile Trail|Snowshoe Trail|Soccer|Softball|Splash Pad|Splash Park|Sports Centre|Sports Court|Sports Court|Sports Field|Sports Field|Stadium|Stadium|Tennis|Tennis Club|Tennis Court|Trail|Volleyball|Wading Pool|Zoo|Aréna,,
x,,Surrey_Walking_Routes walking_routes.csv,Name,,,,,,,,,,,,,,x,y,Surrey,,,Trails,,,,
x,,Toronto_bicyleTrail.csv,TRAIL_NAME,TYPE,,,ST_NAME,,,,,,,,,,LONGITUDE,LATITUDE,Toronto,,,Trails,,,,
x,,Toronto_facilities-data.csv,ns1:LocationName,ns1:FacilityType,,,,,,ns1:Address,ns1:PostalCode,,,,,,,,Toronto,,,Mixed,ns1:FacilityDisplayName,Aquatic Centre|Arena|Badminton|Ball Diamond|Baseball|Basketball|Beach|Bocce|Casino|Cricket Pitch|Curling|Day Camp|Dog Park|Golf Club|Golf Course|Gym|Hockey|Marina|Playground|Pool|Rec Centre|Recreation Centre|Rink|Skateboad|Snowmobile Trail|Snowshoe Trail|Soccer|Softball|Splash Pad|Splash Park|Sports Centre|Sports Court|Sports Court|Sports Field|Sports Field|Stadium|Stadium|Tennis|Tennis Club|Tennis Court|Trail|Volleyball|Wading Pool|Zoo|Aréna,,
x,,Toronto_indoor-ice-rinks-data.csv,Asset Name,Indoor Ice Pad Field Type,,,,,,ADDRESS,,,,,,,X Coordinate,Y Coordinate,Toronto,,,Rinks,,,,
x,,Toronto_outdoor-artificial-ice-rinks-2016-2017.csv,Asset Name,,,,,,,Address,,,,,,,X Coordinate,Y Coordinate,Toronto,,,Rinks,,,,
a,,Toronto_POI.csv,TITLE,CATEGORY,,,,,,ADDRESS,POSTAL_CD,,,,,,LONGITUDE,LATITUDE,Toronto,,,Mixed,TITLE,Aquatic Centre|Arena|Badminton|Ball Diamond|Baseball|Basketball|Beach|Bocce|Casino|Cricket Pitch|Curling|Day Camp|Dog Park|Golf Club|Golf Course|Gym|Hockey|Marina|Playground|Pool|Rec Centre|Recreation Centre|Rink|Skateboad|Snowmobile Trail|Snowshoe Trail|Soccer|Softball|Splash Pad|Splash Park|Sports Centre|Sports Court|Sports Court|Sports Field|Sports Field|Stadium|Stadium|Tennis|Tennis Club|Tennis Court|Trail|Volleyball|Wading Pool|Zoo|Aréna,,
x,,Toronto_tennis-courts-facilities-data.csv,NAME,,,,,,,ADDRESS,,,,,,,long,lat,Toronto,,,Tennis,,,,
a,,TownshipofLangley_Business_Licenses.csv,Business_Name,Licence_Desc,Civic_Unit,Civic_House,Civic_Street,,,,,,,,,,X,Y,TownshipofLangley,,,Mixed,Business_Name,Aquatic Centre|Arena|Badminton|Ball Diamond|Baseball|Basketball|Beach|Bocce|Casino|Cricket Pitch|Curling|Day Camp|Dog Park|Golf Club|Golf Course|Gym|Hockey|Marina|Playground|Pool|Rec Centre|Recreation Centre|Rink|Skateboad|Snowmobile Trail|Snowshoe Trail|Soccer|Softball|Splash Pad|Splash Park|Sports Centre|Sports Court|Sports Court|Sports Field|Sports Field|Stadium|Stadium|Tennis|Tennis Club|Tennis Court|Trail|Volleyball|Wading Pool|Zoo|Aréna,,
