idx,source_id,facility_name,facility_type,authority_name,authority_type,grade_range,grade_type,ISCED010,ISCED020,ISCED1,ISCED2,ISCED3,ISCED4+,address_str,street_addr,city,province,postal_code,provider,latitude,longitude,geo_source,telephone,idx_basic,temp,street_no,street_name,LP_City,LP_Province,LP_PostCode,LP_Unit,dupe
e7f5d24edfb9997165ea,,Aurora Virtual School,,,,K to 12,,,1,1,1,1,,"4201 4th Avenue, Whitehorse Y1A 5A1",,,YT,,Yukon Territories,,,,867-456-6777,17784,"NULL-AURORAVIRTUALSCHOOL-42014THAVENUE,WHITEHORSEY1A5A1-YUKONTERRITORIES",4201,4th avenue,whitehorse,,y1a 5a1,,True
e7f5d24edfb9997165ea,,Aurora Virtual School,,,,K to 12,,,1,1,1,1,,"4201 4th Avenue, Whitehorse Y1A 5A1",,,YT,,Yukon Territories,,,,867-456-6777,17785,"NULL-AURORAVIRTUALSCHOOL-42014THAVENUE,WHITEHORSEY1A5A1-YUKONTERRITORIES",4201,4th avenue,whitehorse,,y1a 5a1,,True
