full_name,the_geom,segment_id,type,st_name,st_type,st_dir,from_right,to_right,from_left,to_left
Moberly Ave,"MULTILINESTRING ((-97.020964662472 49.908121092807, -97.018019206024 49.908961286694))",18784,STREET,Moberly,AVE,,51,99,50,98
McGill Pl,"MULTILINESTRING ((-97.147830338738 49.798390742734, -97.148103012112 49.798460340546, -97.14838174862 49.798507498776, -97.14873637694 49.798543564485, -97.149122311683 49.7985472737, -97.149247996416 49.798577841184, -97.14930053059 49.798646509432, -97.1493280955 49.798936115587, -97.149218604302 49.799036396208))",4358,STREET,McGill,PL,,59,71,54,130
Lodge Ave,"MULTILINESTRING ((-97.262525781992 49.880052145564, -97.263915733274 49.88010895136))",8364,STREET,Lodge,AVE,,,,,
Springwater Rd,"MULTILINESTRING ((-97.200585689816 49.801125584674, -97.199332031457 49.800147750652, -97.199164710754 49.800134287508, -97.198615702029 49.800444216282, -97.198323725227 49.800637179438))",25648,STREET,Springwater,RD,,2,66,15,35
Erin St,"MULTILINESTRING ((-97.184652482623 49.890530247045, -97.184395318704 49.893723396359))",11235,STREET,Erin,ST,,841,951,840,948
Mahonee Dr,"MULTILINESTRING ((-97.057132296859 49.929709371607, -97.055620969344 49.930214743486, -97.054121435928 49.930731841418, -97.053950158087 49.930712813013, -97.053677763634 49.93048612761, -97.05355460652 49.930314997021, -97.052338042357 49.92800082908))",19930,STREET,Mahonee,DR,,33,185,28,180
Poplar Pt,"MULTILINESTRING ((-97.17811144524 49.803668209722, -97.177853158731 49.8033616031, -97.177860098702 49.803176757801, -97.178372054573 49.80300696766))",25226,STREET,Poplar,PT,,2,6,3,63
Lodge Ave,"MULTILINESTRING ((-97.263915733274 49.88010895136, -97.265028083658 49.880143595886))",8365,STREET,Lodge,AVE,,459,463,,
Tu-Pelo Ave,"MULTILINESTRING ((-97.065546908935 49.923346349662, -97.065898657841 49.923476463429, -97.066215406046 49.923628035829, -97.06644244074 49.923772099308))",20425,STREET,Tu-Pelo,AVE,,227,251,,
Ferry Rd,"MULTILINESTRING ((-97.218430092029 49.884141128116, -97.218065799726 49.887985373816))",7875,STREET,Ferry,RD,,343,447,354,440
Grey St,"MULTILINESTRING ((-97.090342837625 49.909491613602, -97.089845068182 49.9101040708))",16951,STREET,Grey,ST,,,,,
Borden Ave,"MULTILINESTRING ((-97.001544953006 49.88596572276, -97.001548351793 49.883860914646))",18174,STREET,Borden,AVE,,107,147,124,124
William Newton Ave,"MULTILINESTRING ((-97.104798619532 49.905636099147, -97.1020186377 49.905140865627))",15874,STREET,William Newton,AVE,,480,520,481,531
Ray Marius Rd,"MULTILINESTRING ((-97.037879640062 49.875702394486, -97.039703710356 49.872776096072))",17660,STREET,Ray Marius,RD,,,,,
Lake Green Pl,"MULTILINESTRING ((-97.167183238001 49.810511800642, -97.16775541401 49.810608123572))",4086,STREET,Lake Green,PL,,3,27,,
Charles St,"MULTILINESTRING ((-97.131617365673 49.91911419039, -97.130898654621 49.920047079959))",10406,STREET,Charles,ST,,355,367,,
Pearce Ave,"MULTILINESTRING ((-97.150911476301 49.939158464792, -97.152081647233 49.939536917515))",21501,STREET,Pearce,AVE,,1,9,,
Service 1 St SW,"MULTILINESTRING ((-97.14087885325 49.803439276509, -97.140552999946 49.80298631123))",5108,STREET,Service 1,ST,SW,,,,
Rossmere Cres,"MULTILINESTRING ((-97.099363545655 49.935833345218, -97.097383537473 49.935184071422, -97.097300248888 49.935092985489, -97.097364775358 49.934998717724, -97.098060790709 49.934473593599))",20971,STREET,Rossmere,CRES,,142,174,137,209
St Mary's Rd,"MULTILINESTRING ((-97.112643918237 49.843770062396, -97.112535369825 49.842985719451))",17827,STREET,St Mary's,RD,,930,938,937,937
Sandcherry Bay,"MULTILINESTRING ((-96.969185992314 49.909739744962, -96.968257152461 49.909727839248))",27062,STREET,Sandcherry,BAY,,,,,
Empress St E,"MULTILINESTRING ((-97.19451517416 49.881486369642, -97.194617064148 49.880534651369, -97.194690433509 49.880300814185, -97.194827827326 49.880083639394, -97.195037126383 49.879888471269, -97.195266030167 49.879709273343, -97.195533607444 49.879559310259, -97.19587061302 49.879423654739, -97.196393819028 49.879278386202, -97.196825801829 49.879249408285, -97.197126942752 49.87932192047, -97.197305289041 49.879428221057, -97.197348867617 49.879593113623))",15966,STREET,Empress,ST,E,7,7,1,1
John Duncan Dr,"MULTILINESTRING ((-96.969049176119 49.898400402016, -96.96763942502 49.898392075175))",18597,STREET,John Duncan,DR,,90,114,,
Southview Cres,"MULTILINESTRING ((-97.189110838592 49.785543913017, -97.188277032661 49.785832686564, -97.188071806257 49.785867203134, -97.187897103622 49.785864470485, -97.187240922652 49.785783540942))",25429,STREET,Southview,CRES,,251,265,232,256
Barry Ave,"MULTILINESTRING ((-97.025340929375 49.892022506076, -97.028515518403 49.892022573434))",18102,STREET,Barry,AVE,,807,847,808,850
Carruthers Ave,"MULTILINESTRING ((-97.136570840067 49.933001204615, -97.13907571737 49.933815001565))",10307,STREET,Carruthers,AVE,,,,,
Harlesden Dr,"MULTILINESTRING ((-97.090125108734 49.822919159082, -97.091238710133 49.822532727363))",976,STREET,Harlesden,DR,,,,16,36
Woodland Caribou Trail,"MULTILINESTRING ((-96.971481007567 49.912866329407, -96.971546738941 49.913386675329, -96.971639569503 49.913830387058, -96.97173831543 49.914274043178))",27071,STREET,Woodland Caribou,TRAIL,,,,,
Ellice Ave,"MULTILINESTRING ((-97.166454372655 49.893171157477, -97.167622589726 49.893207619726))",11156,STREET,Ellice,AVE,,765,789,770,788
Portage Ave,"MULTILINESTRING ((-97.209151921488 49.879004478928, -97.21025522583 49.878922157054))",14074,STREET,Portage,AVE,,1745,1755,,
Treger Bay,"MULTILINESTRING ((-97.065299101749 49.91680312195, -97.064258681684 49.916447661598, -97.064107505631 49.916495116054, -97.063614486152 49.917125803604))",21035,STREET,Treger,BAY,,26,70,27,47
Island Shore Blvd,"MULTILINESTRING ((-97.07041462358 49.837119785563, -97.070568682891 49.836904332123, -97.070668817091 49.83672775276, -97.070729749829 49.836540347249, -97.070766695094 49.836327123061, -97.070784853849 49.836151587471, -97.070766187667 49.835974258758, -97.070710765807 49.835767364489, -97.070605645248 49.835507879148, -97.070455094395 49.83522644935))",1093,STREET,Island Shore,BLVD,,180,180,161,201
Sgt Tommy Prince St,"MULTILINESTRING ((-97.164915084355 49.926401229552, -97.164404568098 49.927045876409))",14268,STREET,Sgt Tommy Prince,ST,,,,,
Togo Ave,"MULTILINESTRING ((-97.13689119421 49.869958425519, -97.138010732306 49.869582517533))",15359,STREET,Togo,AVE,,,,,
Evenlea Walk,"MULTILINESTRING ((-97.066668084284 49.945610067068, -97.066973563904 49.945291339578, -97.067644086116 49.944906735223, -97.067866080343 49.944629786531, -97.067828977578 49.944530355278, -97.065694291724 49.943821808381))",19678,STREET,Evenlea,WALK,,10,82,7,77
Becontree Bay,"MULTILINESTRING ((-97.112031649878 49.799845789944, -97.110982586261 49.800201886638, -97.110850517909 49.800193901692, -97.110646627756 49.800018748537, -97.110499769245 49.799928497476, -97.110335884539 49.799854123269, -97.11014404426 49.799790998195, -97.109951244525 49.799746798701, -97.109771258742 49.799723705159, -97.109578768455 49.79971980022, -97.108305131908 49.799737856073))",197,STREET,Becontree,BAY,,26,80,3,65
Newman Ave W,"MULTILINESTRING ((-97.012056473158 49.903911872295, -97.016191758125 49.903937739825))",18800,STREET,Newman,AVE,W,401,459,400,458
Gateway Rd,"MULTILINESTRING ((-97.082073587907 49.920266087071, -97.081053319971 49.921049762326))",11486,STREET,Gateway,RD,,737,757,,
Henry Ave,"MULTILINESTRING ((-97.162808200411 49.912551597262, -97.166855643437 49.913811997362))",11933,STREET,Henry,AVE,,935,1029,944,1000
Wabasha St,"MULTILINESTRING ((-96.997967433739 49.905468425712, -96.997949344187 49.906241694605))",19152,STREET,Wabasha,ST,,,,,
Claremont Ave,"MULTILINESTRING ((-97.125794769888 49.877049413184, -97.125659775323 49.87873830064))",16381,STREET,Claremont,AVE,,172,190,171,213
Portage Ave,"MULTILINESTRING ((-97.16225524264 49.887518763053, -97.162888189412 49.887348895982))",14021,STREET,Portage,AVE,,725,725,,
Pandora Ave E,"MULTILINESTRING ((-96.9788051089 49.893424197091, -96.968281661359 49.89334815905))",18827,STREET,Pandora,AVE,E,768,770,,
Harvard Ave E,"MULTILINESTRING ((-97.002619190437 49.899063181175, -97.000028623158 49.899072484394))",18531,STREET,Harvard,AVE,E,,,109,121
Magnan St,"MULTILINESTRING ((-97.322141145885 49.882558470893, -97.322092224527 49.882996468853))",8411,STREET,Magnan,ST,,649,649,646,654
Montague Ave,"MULTILINESTRING ((-97.132391112268 49.856802129856, -97.133989706804 49.856259880679, -97.134609052623 49.856008230523))",13371,STREET,Montague,AVE,,531,579,530,550
Jefferson Ave,"MULTILINESTRING ((-97.20675010299 49.960741693379, -97.218113339992 49.960754939418))",21371,STREET,Jefferson,AVE,,,,,
