full_name,the_geom,segment_id,type,st_name,st_type,st_dir,from_right,to_right,from_left,to_left
Arlington St,"MULTILINESTRING ((-97.163356729025 49.910212599739, -97.162624158375 49.911163454301))",9674,STREET,Arlington,ST,,1105,1105,1080,1098
Bridgecrest Dr,"MULTILINESTRING ((-96.976548075404 49.902442946804, -96.975377290367 49.902429101119, -96.975268729513 49.902506565907, -96.97526918901 49.903082507808, -96.975153230848 49.903168913105, -96.97401146508 49.903154233346))",18204,STREET,Bridgecrest,DR,,70,114,103,143
Jarvis Ave,"MULTILINESTRING ((-97.135456320377 49.908076167413, -97.136612047018 49.908445554927))",12125,STREET,Jarvis,AVE,,,,234,246
Cirrus Close,"MULTILINESTRING ((-97.188223899188 49.964339529686, -97.188211171113 49.965049926365))",21822,STREET,Cirrus,CLOSE,,,,2,14
Alton Way,"MULTILINESTRING ((-97.179048765245 49.970129321169, -97.178613573758 49.970691321726, -97.17855161097 49.970824816611, -97.178534159878 49.970949205281, -97.178552438336 49.971123840294))",25736,STREET,Alton,WAY,,3,23,4,26
Goswell Rd,"MULTILINESTRING ((-97.310266453953 49.88722229163, -97.31018805708 49.888006647566))",7971,STREET,Goswell,RD,,,,30,46
Kings Dr,"MULTILINESTRING ((-97.132613830034 49.803353200794, -97.132517198907 49.803052885113, -97.132376141057 49.802688833868, -97.132211770312 49.802331732759))",3953,STREET,Kings,DR,,69,79,50,80
St Martin Blvd,"MULTILINESTRING ((-96.979102786507 49.90396271861, -96.977793835967 49.903957881618))",19073,STREET,St Martin,BLVD,,,,,
Swailes Ave,"MULTILINESTRING ((-97.1332066822 49.956585831998, -97.133688444279 49.956746500406))",22434,STREET,Swailes,AVE,,,,,
Kenaston Blvd,"MULTILINESTRING ((-97.205801519747 49.866172241158, -97.20600162641 49.86415146256))",12253,STREET,Kenaston,BLVD,,283,327,290,338
Island Shore Blvd,"MULTILINESTRING ((-97.069313997591 49.834025106576, -97.068061235353 49.832912220529))",1098,STREET,Island Shore,BLVD,,250,278,271,291
Minto St,"MULTILINESTRING ((-97.180152469478 49.886955596657, -97.179884495914 49.890378481884))",13330,STREET,Minto,ST,,667,687,668,778
St Charles St,"MULTILINESTRING ((-97.320756798351 49.874712867229, -97.320593424302 49.876212648354))",8995,STREET,St Charles,ST,,363,399,362,400
St John's Ave,"MULTILINESTRING ((-97.142818780125 49.924898037576, -97.145337619625 49.925702930342))",15059,STREET,St John's,AVE,,605,639,610,640
Bohemier Trail,"MULTILINESTRING ((-97.152718124199 49.811034823134, -97.152149140446 49.810967554317, -97.150570091689 49.811059473818, -97.149937436076 49.810983568864, -97.149612167948 49.810846765597, -97.149241235136 49.810570859834))",26983,STREET,Bohemier,TRAIL,,,,,
Dudley Ave,"MULTILINESTRING ((-97.151538308023 49.865931181133, -97.153680698982 49.865218740894))",10998,STREET,Dudley,AVE,,727,777,726,764
Sandy Cove,"MULTILINESTRING ((-97.296660637178 49.86215516042, -97.297008008918 49.862169259894))",7003,STREET,Sandy,COVE,,,,5,15
Wellington Cres,"MULTILINESTRING ((-97.202574778971 49.876325526614, -97.203270750585 49.8762311272, -97.204109746331 49.876222735039, -97.205660597762 49.876206832504, -97.20601494823 49.876186976063, -97.206234201632 49.876171248045, -97.206438146017 49.876143183518, -97.206652209132 49.876102786985, -97.206868583529 49.875999984792, -97.207039448018 49.875821549002, -97.207163415545 49.875604922971, -97.20721909357 49.875405972886, -97.207234513558 49.875202401736, -97.207285116324 49.87449520312))",15705,STREET,Wellington,CRES,,,,1556,1640
Besant St,"MULTILINESTRING ((-97.08074409188 49.907084334398, -97.080280499079 49.907659805384, -97.080175562191 49.907722564389))",20508,STREET,Besant,ST,,459,469,468,472
Academy Rd,"MULTILINESTRING ((-97.199068439976 49.874343218815, -97.200277632911 49.874388985501))",9372,STREET,Academy,RD,,611,615,582,590
Sandusky Dr,"MULTILINESTRING ((-97.170260338474 49.788042954972, -97.172743033821 49.788095167021))",23754,STREET,Sandusky,DR,,3,35,2,48
Boyd Ave,"MULTILINESTRING ((-97.149661905935 49.924116948721, -97.152166554866 49.924930461303))",10037,STREET,Boyd,AVE,,731,793,732,780
Cherrywood Rd,"MULTILINESTRING ((-97.199609448028 49.786552193497, -97.199146893828 49.787506495959))",26165,STREET,Cherrywood,RD,,424,448,,
Cyril Pl,"MULTILINESTRING ((-97.075656816309 49.844852838668, -97.074660570597 49.845070164369))",16608,STREET,Cyril,PL,,3,23,,
Aikins St,"MULTILINESTRING ((-97.121475961115 49.936301647117, -97.121002265903 49.936919857302, -97.12092917005 49.937102335038))",9425,STREET,Aikins,ST,,,,,
Bill Briercliffe Dr,"MULTILINESTRING ((-97.039093905387 49.912791825082, -97.040200534583 49.912616499328, -97.040281339954 49.912507809941, -97.040052333193 49.911923301272, -97.040066019924 49.91086092858))",26730,STREET,Bill Briercliffe,DR,,,,,
Forbes Rd,"MULTILINESTRING ((-97.083864215012 49.784658172785, -97.072544445986 49.788437271549, -97.065489759047 49.790793364143, -97.059970232326 49.792617044233))",811,STREET,Forbes,RD,,1262,1686,1285,1665
Paddington Rd,"MULTILINESTRING ((-97.106069656999 49.814806392581, -97.10654275122 49.814639276172, -97.106889102755 49.814468973509, -97.107122912332 49.814330459776, -97.107346285203 49.814152616961))",1529,STREET,Paddington,RD,,165,181,166,186
McCalman Ave,"MULTILINESTRING ((-97.095283606098 49.903933005328, -97.092323957846 49.903407600789))",13022,STREET,McCalman,AVE,,708,768,705,769
Oak Forest Cres,"MULTILINESTRING ((-97.326745790432 49.874994638486, -97.327166893618 49.875048784314, -97.329094832284 49.875127393619, -97.329276253985 49.875034643889, -97.329447114941 49.874804492981, -97.329392195339 49.874610494217, -97.329154703954 49.873863032447, -97.329112033802 49.873712372132, -97.329096052585 49.873551268519, -97.329107498191 49.873427684861, -97.329168603362 49.873252223856, -97.329214073972 49.873113662053, -97.329270438544 49.873006194418))",24628,STREET,Oak Forest,CRES,,97,97,70,70
Raleigh St,"MULTILINESTRING ((-97.078592081525 49.92373449382, -97.077872663641 49.924307245996))",20934,STREET,Raleigh,ST,,,,,
Queen Elizabeth Way,"MULTILINESTRING ((-97.131173533259 49.883200345293, -97.131536106735 49.883539212916))",12723,STREET,Queen Elizabeth,WAY,,,,,
Louelda St,"MULTILINESTRING ((-97.070503733368 49.912752136916, -97.069976403709 49.913399998043))",20792,STREET,Louelda,ST,,661,661,,
Logan Ave,"MULTILINESTRING ((-97.173083601758 49.914512968481, -97.17573994889 49.915364343434))",12548,STREET,Logan,AVE,,1175,1175,1166,1226
Lake Lindero Rd,"MULTILINESTRING ((-97.167441927048 49.811547652508, -97.167193035216 49.811022674359, -97.167136365622 49.810805219842, -97.167145283127 49.810650059241, -97.167183238001 49.810511800642))",4095,STREET,Lake Lindero,RD,,,,18,42
Brunlea Key,"MULTILINESTRING ((-97.067670567177 49.945986578083, -97.067021307792 49.946884252738))",19396,STREET,Brunlea,KEY,,2,22,3,27
Sage Creek Blvd,"MULTILINESTRING ((-97.030992797838 49.830804234622, -97.030693807219 49.830228001679))",25016,STREET,Sage Creek,BLVD,,,,,
Devoy Crt,"MULTILINESTRING ((-97.212361672526 49.771061235123, -97.212804690591 49.771350698279))",26540,STREET,Devoy,CRT,,,,,
Sidebottom Dr,"MULTILINESTRING ((-97.100662856575 49.799368848868, -97.099876775602 49.799636946607))",25713,STREET,Sidebottom,DR,,,,119,127
McKellar Dr,"MULTILINESTRING ((-97.316727068385 49.846045247037, -97.316090680726 49.845947028456, -97.315661659748 49.845820679564))",26633,STREET,McKellar,DR,,,,,
Portage Ave,"MULTILINESTRING ((-97.207717391407 49.879115858074, -97.208025534168 49.879088892004))",14072,STREET,Portage,AVE,,,,,
Gilmore Ave,"MULTILINESTRING ((-97.079127585829 49.94986488966, -97.077740232841 49.949347174282))",19707,STREET,Gilmore,AVE,,228,244,231,245
Wood Sage Cres,"MULTILINESTRING ((-97.043238610475 49.829039116234, -97.044068166679 49.829140105569))",24694,STREET,Wood Sage,CRES,,,,,
Adsum Dr,"MULTILINESTRING ((-97.162302655131 49.955152641618, -97.163446551692 49.955134783828))",21668,STREET,Adsum,DR,,,,,
Coleman Cove,"MULTILINESTRING ((-97.079795045296 49.815183479647, -97.079061962829 49.815441183154))",463,STREET,Coleman,COVE,,,,3,59
West Plains Dr,"MULTILINESTRING ((-97.032660980355 49.837393741685, -97.031654109094 49.838127549985, -97.031429638089 49.838408819378, -97.031307366608 49.838706078865, -97.031268164744 49.838947733078))",26707,STREET,West Plains,DR,,3,39,2,48
Windermere Ave,"MULTILINESTRING ((-97.155182994592 49.847333498599, -97.155817146852 49.84711871522))",5546,STREET,Windermere,AVE,,1103,1111,1042,1052
Gomez St,"MULTILINESTRING ((-97.125920421619 49.901481971421, -97.125531718687 49.902528104361))",11540,STREET,Gomez,ST,,47,47,,
Truro St,"MULTILINESTRING ((-97.224101762905 49.884363084832, -97.223739568695 49.888162403601))",9154,STREET,Truro,ST,,349,431,346,430
Hamel Ave,"MULTILINESTRING ((-97.11589231089 49.888285604649, -97.114443891787 49.888298032652))",16993,STREET,Hamel,AVE,,282,302,299,301
Millbank Ave,"MULTILINESTRING ((-97.177097396168 49.809831262636, -97.175682971115 49.810321913746))",24847,STREET,Millbank,AVE,,2,22,3,15
Enfield Cres,"MULTILINESTRING ((-97.112539605076 49.880009576936, -97.112066382119 49.88077584764, -97.112001980667 49.880945302614))",16837,STREET,Enfield,CRES,,272,288,273,287
Turnstone Terr,"MULTILINESTRING ((-97.177962199732 49.773008859793, -97.179256861621 49.77328111093, -97.180265303654 49.773627709444, -97.180457516473 49.77358027518, -97.181378822292 49.772455198761))",25485,STREET,Turnstone,TERR,,3,103,22,104
Bairdmore Blvd,"MULTILINESTRING ((-97.166753276738 49.777157344201, -97.166231629525 49.777141968289, -97.165709597858 49.777194932337, -97.165257314766 49.777321262877, -97.164781284563 49.777512910766, -97.164395053187 49.777736518683, -97.164038680032 49.778049848263))",2979,STREET,Bairdmore,BLVD,,839,907,832,910
Portage Ave,"MULTILINESTRING ((-97.257860621275 49.875079878998, -97.259694785823 49.8749000141, -97.260173644501 49.874875987539, -97.260806171347 49.874901224802, -97.261177616016 49.874937738662, -97.261550496161 49.875029524772))",14118,STREET,Portage,AVE,,2515,2549,2510,2550
Makinak Bay,"MULTILINESTRING ((-97.301685874471 49.898595309509, -97.301579100489 49.897948690221, -97.301483225123 49.897883884727, -97.29963946282 49.8980041099, -97.29950446852 49.898061440277, -97.299481246597 49.898361742307, -97.299536496337 49.898734704815))",8413,STREET,Makinak,BAY,,3,85,6,76
Evanson St,"MULTILINESTRING ((-97.170984115705 49.877213616589, -97.170830991737 49.879423974154))",11252,STREET,Evanson,ST,,15,59,6,66
Grundy Ave,"MULTILINESTRING ((-97.174540150045 49.903975817574, -97.17566688028 49.904011544152))",11683,STREET,Grundy,AVE,,,,,
Attache Dr,"MULTILINESTRING ((-97.127437556266 49.948244447272, -97.12762294936 49.94836855941, -97.127824197828 49.948457485765, -97.128032359178 49.948510824637, -97.128279638245 49.948554084937, -97.128438593519 49.948592349318, -97.129201553762 49.948831558374, -97.12926067882 49.948928902197, -97.129138007507 49.949051215385, -97.128971433052 49.9491905761, -97.128742588993 49.949313712263, -97.128396668508 49.949516128865, -97.128189329483 49.949692879167, -97.12795556633 49.949942763257, -97.128010958052 49.95003497428, -97.129124588579 49.950394487247))",21117,STREET,Attache,DR,,39,107,36,108
Kestrel Way,"MULTILINESTRING ((-97.312360939413 49.841533596447, -97.312339340298 49.840343648093, -97.312475497737 49.840259655618, -97.313439718616 49.840218589148, -97.313558858076 49.840303865302, -97.3135939668 49.841491552271))",26608,STREET,Kestrel,WAY,,4,136,33,133
Dakota St,"MULTILINESTRING ((-97.103150529775 49.82582267897, -97.102579398737 49.82513869168))",544,STREET,Dakota,ST,,,,953,977
Barlow Cres,"MULTILINESTRING ((-97.087474794465 49.815733277578, -97.088557002423 49.815372282728, -97.089141723665 49.815144364535))",162,STREET,Barlow,CRES,,3,35,4,36
Molson St,"MULTILINESTRING ((-97.063819311278 49.910409726817, -97.063431049998 49.910965002399))",13354,STREET,Molson,ST,,,,,
Treasure Cove,"MULTILINESTRING ((-97.051664378919 49.829915724665, -97.051462436101 49.829721856632, -97.051346762611 49.829514595299, -97.051330892423 49.829217487194))",2625,STREET,Treasure,COVE,,,,3,67
Widlake St,"MULTILINESTRING ((-96.983786675064 49.89817944293, -96.983815289169 49.900833510905))",19208,STREET,Widlake,ST,,500,500,471,503
Sinclair St,"MULTILINESTRING ((-97.158994511138 49.920154815914, -97.158437686512 49.92087456504))",14948,STREET,Sinclair,ST,,,,174,174
Kildare Ave E,"MULTILINESTRING ((-96.998049979182 49.900783385866, -96.993506947144 49.90085775379))",18619,STREET,Kildare,AVE,E,390,434,301,365
Greensboro Sq,"MULTILINESTRING ((-97.168089333124 49.802499806482, -97.167131640276 49.802466669239))",3763,STREET,Greensboro,SQ,,87,107,88,106
Timberline Dr,"MULTILINESTRING ((-97.058730572674 49.916981160402, -97.058031053324 49.916708588113))",20404,STREET,Timberline,DR,,,,,
Arrowhead Crt,"MULTILINESTRING ((-97.126388654086 49.95121563505, -97.125937960576 49.951823577515, -97.125768706275 49.951849480727, -97.124856687242 49.951552989652))",24243,STREET,Arrowhead,CRT,,3,39,43,103
Morgan Cres,"MULTILINESTRING ((-97.304050911426 49.887935012645, -97.303815538378 49.890257808467))",8495,STREET,Morgan,CRES,,283,305,284,310
Queensbury Bay,"MULTILINESTRING ((-97.096121937384 49.816433393314, -97.095586196223 49.815780476969, -97.095635304435 49.815685826594, -97.096348511816 49.815440545951, -97.096397714174 49.815343449175, -97.095975396298 49.814827402755, -97.095829216939 49.814793181212, -97.094528484225 49.81523782641))",1657,STREET,Queensbury,BAY,,36,124,3,123
Seven Oaks Ave,"MULTILINESTRING ((-97.125603148531 49.934812309031, -97.12826008367 49.935655782915))",21567,STREET,Seven Oaks,AVE,,307,355,308,356
Stuart Ave,"MULTILINESTRING ((-97.081317267868 49.949838177151, -97.076976637081 49.948219133257))",20341,STREET,Stuart,AVE,,200,266,221,265
Antrim Rd,"MULTILINESTRING ((-97.066891721166 49.919825041057, -97.069339014884 49.920639395814, -97.069776146278 49.920777998164, -97.070290699803 49.92088011641))",19325,STREET,Antrim,RD,,151,185,166,218
Arlington St,"MULTILINESTRING ((-97.169215527911 49.887907748709, -97.169066018322 49.890019212854))",9659,STREET,Arlington,ST,,351,403,356,422
Malden Close,"MULTILINESTRING ((-97.170553981259 49.947115725907, -97.170217216135 49.947542168511, -97.169550329287 49.948132240889, -97.169573544741 49.94822586959, -97.17034087966 49.948600665956, -97.170495109131 49.948587612047, -97.171247411073 49.947945201496, -97.171614415213 49.947456268325))",22055,STREET,Malden,CLOSE,,3,91,2,90
Aulneau St,"MULTILINESTRING ((-97.118686012638 49.887332530541, -97.118789847377 49.888242715565))",16112,STREET,Aulneau,ST,,480,480,,
Rouge Rd,"MULTILINESTRING ((-97.299690583567 49.875332239238, -97.299649376839 49.875487470356, -97.299578063393 49.876158120775))",8832,STREET,Rouge,RD,,,,360,360
Arbuthnot St,"MULTILINESTRING ((-97.150661267419 49.864846778956, -97.150409048134 49.864527927311))",9629,STREET,Arbuthnot,ST,,,,,
Donald St,"MULTILINESTRING ((-97.140212311024 49.887625939026, -97.14105764069 49.889177648483))",10949,STREET,Donald,ST,,115,141,120,120
St Cross St,"MULTILINESTRING ((-97.116595594764 49.926004168065, -97.115905741722 49.92690145429))",15045,STREET,St Cross,ST,,,,,
Kingsbury Ave,"MULTILINESTRING ((-97.149996782125 49.950666393503, -97.153866614571 49.951906403019))",21400,STREET,Kingsbury,AVE,,1099,1099,1080,1080
Ainsdale Way,"MULTILINESTRING ((-96.974028051838 49.902425915433, -96.972789104514 49.902413249993))",18064,STREET,Ainsdale,WAY,,2,26,,
Jupiter Bay,"MULTILINESTRING ((-97.167616185899 49.845938630723, -97.165169652327 49.846768720723, -97.164989183897 49.846735206105, -97.164558918694 49.846203814724, -97.164605290019 49.846092139681, -97.167057808885 49.845255170485))",3908,STREET,Jupiter,BAY,,2,58,1,61
Dawnville Dr,"MULTILINESTRING ((-97.027547561173 49.905516767121, -97.026313792307 49.905505797484, -97.026200780427 49.905572995866, -97.026195642776 49.906222359444))",18405,STREET,Dawnville,DR,,103,143,96,112
Rivergrove Dr,"MULTILINESTRING ((-97.08909019781 49.954873292195, -97.088252542743 49.955646549704))",24726,STREET,Rivergrove,DR,,,,,
Manitoba Ave,"MULTILINESTRING ((-97.193124909298 49.932502091966, -97.195112531561 49.933133655815))",12881,STREET,Manitoba,AVE,,,,1700,1716
Crestview Park Dr,"MULTILINESTRING ((-97.299536496337 49.898734704815, -97.301685874471 49.898595309509))",7753,STREET,Crestview Park,DR,,1137,1165,1140,1164
Henderson Hwy,"MULTILINESTRING ((-97.114231893009 49.915522545216, -97.114018646631 49.916346617507))",11837,STREET,Henderson,HWY,,271,281,276,290
Greenmount Rd,"MULTILINESTRING ((-97.066517050734 49.856727210466, -97.066512616586 49.858069262162, -97.066393780265 49.858146643856, -97.065291653222 49.858145981494))",16930,STREET,Greenmount,RD,,2,18,1,29
Eaglemere Dr,"MULTILINESTRING ((-97.05521787171 49.915303175547, -97.054466029953 49.916043660313, -97.054189321214 49.916284368951, -97.053963273949 49.916453849265, -97.053735189282 49.916637066578, -97.053505310628 49.916864788132, -97.053204075747 49.917322891992, -97.053024210589 49.917542106962))",19637,STREET,Eaglemere,DR,,128,216,131,211
Iowa St,"MULTILINESTRING ((-97.108794697877 49.824769983175, -97.109352541988 49.825452000628))",1067,STREET,Iowa,ST,,,,,
Wihuri Rd,"MULTILINESTRING ((-97.253177792487 49.893851761523, -97.25305310609 49.895119003379))",9267,STREET,Wihuri,RD,,715,715,,
Hollington Rd,"MULTILINESTRING ((-97.185834363231 49.832300911768, -97.186123409021 49.831354486905, -97.18622218474 49.831167596297, -97.186359105187 49.831027766488, -97.18656883493 49.830882192387, -97.186823414202 49.83077690015, -97.187129124675 49.830711987568, -97.187453039534 49.830693822794, -97.188548694633 49.830742253371))",3856,STREET,Hollington,RD,,33,85,22,90
Powers St,"MULTILINESTRING ((-97.131884402646 49.930946897709, -97.13154672048 49.931391205252))",14233,STREET,Powers,ST,,,,,
Salter St,"MULTILINESTRING ((-97.123981093881 49.937106779476, -97.123378971861 49.937897588483))",14653,STREET,Salter,ST,,,,,
Bedson St,"MULTILINESTRING ((-97.307904972764 49.875659326936, -97.307835269558 49.87645885617))",7382,STREET,Bedson,ST,,355,371,,
Scurfield Blvd,"MULTILINESTRING ((-97.216293808025 49.804996839524, -97.216374086305 49.805258846453, -97.216380674141 49.805525012437, -97.216345340094 49.805769170297, -97.216259120449 49.806033620025, -97.216057991087 49.806450596815, -97.215883393988 49.806740487816, -97.215661997044 49.806965522362, -97.215466033959 49.807132759665, -97.215263570866 49.807265909473, -97.213536083158 49.808129799094, -97.213187382265 49.808332531431, -97.212994812707 49.80849766178, -97.212799703228 49.808731716858, -97.212681856802 49.808947567323, -97.212070756127 49.810176064194))",5063,STREET,Scurfield,BLVD,,893,1065,820,1016
Beecher Ave,"MULTILINESTRING ((-97.127291411642 49.953090366506, -97.129741777783 49.953894483218))",21733,STREET,Beecher,AVE,,677,717,672,714
Normand Park Dr,"MULTILINESTRING ((-97.118282303365 49.803149764476, -97.119395578189 49.802754063491))",17438,STREET,Normand Park,DR,,,,,
Gateway Rd,"MULTILINESTRING ((-97.098995145629 49.906944302323, -97.098104242802 49.907640297587))",11464,STREET,Gateway,RD,,,,,
Island Lakes Dr,"MULTILINESTRING ((-97.0565450534 49.833274833335, -97.053949210192 49.833273343642))",1083,STREET,Island Lakes,DR,,230,270,245,269
Headmaster Row,"MULTILINESTRING ((-97.055698062213 49.952532704424, -97.055032964703 49.9524316004, -97.054747250302 49.952372340366, -97.054467927083 49.952269206288))",19801,STREET,Headmaster,ROW,,,,441,441
Glenway Ave,"MULTILINESTRING ((-97.060128723395 49.958147834186, -97.051664203276 49.954380935313))",19737,STREET,Glenway,AVE,,354,538,359,431
Marion St,"MULTILINESTRING ((-97.075255049651 49.881924049553, -97.07214793139 49.881923147604))",17336,STREET,Marion,ST,,,,1031,1065
Grey St,"MULTILINESTRING ((-97.09081169069 49.908905663182, -97.090342837625 49.909491613602))",16950,STREET,Grey,ST,,,,,
Sargent Ave,"MULTILINESTRING ((-97.185192437641 49.897342865326, -97.186931026934 49.897397055224))",14721,STREET,Sargent,AVE,,,,1110,1122
Hebert St,"MULTILINESTRING ((-97.129711058592 49.89709065482, -97.128656208726 49.897361471684))",17018,STREET,Hebert,ST,,102,102,105,105
Guelph St,"MULTILINESTRING ((-97.160254834316 49.859935249671, -97.159709628655 49.859269954949))",11702,STREET,Guelph,ST,,,,,
Sloane Cres,"MULTILINESTRING ((-97.08839978755 49.805664944679, -97.088008444528 49.804604154274, -97.088078782565 49.804516462149, -97.088970702349 49.804226138001))",2340,STREET,Sloane,CRES,,2,26,3,51
Watt St,"MULTILINESTRING ((-97.087856817363 49.927620599942, -97.087329906129 49.928259550105))",15548,STREET,Watt,ST,,,,,
Cavalier Dr,"MULTILINESTRING ((-97.30035596008 49.889957528722, -97.300323239632 49.89033153206, -97.300325950979 49.890533950045, -97.300358048667 49.89079002509, -97.300483802552 49.891192891506))",7608,STREET,Cavalier,DR,,793,817,792,816
Mandalay Dr,"MULTILINESTRING ((-97.183892866117 49.954926095135, -97.183933647539 49.956806667087, -97.183918765424 49.957202209386))",22072,STREET,Mandalay,DR,,341,389,340,408
Nora St,"MULTILINESTRING ((-97.156948677053 49.910665645764, -97.156534523789 49.911188718096))",25362,STREET,Nora,ST,,,,,
Ottawa Ave,"MULTILINESTRING ((-97.110811341359 49.920351147902, -97.106809103766 49.919026560292))",20899,STREET,Ottawa,AVE,,216,298,207,297
London St,"MULTILINESTRING ((-97.067281617332 49.924706856181, -97.065798397926 49.92521282848, -97.065358840498 49.925403385422))",12610,STREET,London,ST,,1003,1035,1000,1026
Diplomat Dr,"MULTILINESTRING ((-97.128288307236 49.951829178814, -97.127291411642 49.953090366506))",21224,STREET,Diplomat,DR,,1219,1243,1200,1242
Arbuthnot St,"MULTILINESTRING ((-97.149040527293 49.862832999175, -97.148707295361 49.862449884371))",9634,STREET,Arbuthnot,ST,,,,,
Roy Ave,"MULTILINESTRING ((-97.184853932707 49.916379904475, -97.18555586991 49.916606770902))",14600,STREET,Roy,AVE,,,,1420,1426
Royal Mint Dr,"MULTILINESTRING ((-97.039406389956 49.849687263843, -97.039179468613 49.849852402526, -97.03906126535 49.849977821369, -97.038972231786 49.850102690658, -97.0388896402 49.850250991512, -97.038827111434 49.850443421387, -97.03881210687 49.850621700725, -97.038814439962 49.851251402076))",1980,STREET,Royal Mint,DR,,336,364,331,363
Corydon Ave,"MULTILINESTRING ((-97.14568786672 49.873348592175, -97.148577840153 49.872387346887))",10620,STREET,Corydon,AVE,,555,619,550,612
Royal Crest Dr,"MULTILINESTRING ((-97.197538102539 49.833358756772, -97.196851064667 49.833235217498, -97.196593216204 49.833176541827, -97.196139832817 49.833056952796))",23736,STREET,Royal Crest,DR,,2,22,,
Rushmore Rd,"MULTILINESTRING ((-97.045629519075 49.937800484092, -97.045166007763 49.937575477338, -97.044811346322 49.937354928058, -97.044357395085 49.936982826729, -97.043303486851 49.93570138767))",20217,STREET,Rushmore,RD,,190,250,187,253
Barber St,"MULTILINESTRING ((-97.123197777759 49.908481024282, -97.126855891963 49.906453345777))",9899,STREET,Barber,ST,,41,133,40,132
Portage Ave,"MULTILINESTRING ((-97.161678288365 49.887680519678, -97.16225524264 49.887518763053))",14020,STREET,Portage,AVE,,709,723,712,712
Springfield Rd,"MULTILINESTRING ((-97.077547683593 49.940528877508, -97.073586121117 49.939215880667))",20285,STREET,Springfield,RD,,390,494,415,491
Blackwater Bay,"MULTILINESTRING ((-97.106396588614 49.809279710653, -97.106913785779 49.809912020227, -97.106875606032 49.809992983922, -97.10505207331 49.810607002979))",248,STREET,Blackwater,BAY,,34,78,3,79
Battery St,"MULTILINESTRING ((-97.162319185661 49.923949465387, -97.161850357051 49.9245536907))",9919,STREET,Battery,ST,,,,,
Duffield St,"MULTILINESTRING ((-97.23668517751 49.879050273294, -97.236413415182 49.881924525501))",7825,STREET,Duffield,ST,,247,323,246,314
Brewster St,"MULTILINESTRING ((-97.020913610922 49.896777381302, -97.020936538676 49.89757833863))",18191,STREET,Brewster,ST,,,,505,505
Roblin Blvd,"MULTILINESTRING ((-97.256444812137 49.868402324313, -97.256847849907 49.868417381411))",6909,STREET,Roblin,BLVD,,3401,3401,3380,3380
Stradbrook Ave,"MULTILINESTRING ((-97.13177560545 49.883827281247, -97.132199385062 49.883764659213, -97.132585853896 49.883335537906, -97.133006446967 49.882792540383, -97.133320589091 49.882436120572, -97.133711801048 49.882103234313, -97.134512581481 49.881530015353))",23094,STREET,Stradbrook,AVE,,181,185,,
Hamilton Ave,"MULTILINESTRING ((-97.31574962078 49.891415692157, -97.317112144193 49.891471459553))",8017,STREET,Hamilton,AVE,,525,525,530,530
Nemy Cres,"MULTILINESTRING ((-97.31081825796 49.898685445247, -97.312208541637 49.898616046499, -97.312318073432 49.898542934513, -97.312372551236 49.897975957528, -97.312285375124 49.897905584841, -97.310902568098 49.897848466049))",8529,STREET,Nemy,CRES,,95,167,98,166
St Mary's Rd,"MULTILINESTRING ((-97.127916584591 49.881237602832, -97.12733809064 49.880340384041))",17780,STREET,St Mary's,RD,,4,4,3,17
Rougeau Ave,"MULTILINESTRING ((-97.04667804331 49.891871313673, -97.047825297644 49.892079538232))",19009,STREET,Rougeau,AVE,,199,203,,
Brazier St,"MULTILINESTRING ((-97.11253430877 49.911905908157, -97.111977599091 49.912607449563))",10057,STREET,Brazier,ST,,,,,
Garfield St N,"MULTILINESTRING ((-97.17698182885 49.886860800031, -97.176727546559 49.890283894343))",11419,STREET,Garfield,ST,N,591,689,588,690
Burrows Ave,"MULTILINESTRING ((-97.217020006848 49.941282220601, -97.217236269013 49.941477497932, -97.217381840314 49.941674563893, -97.217496469098 49.94194991821, -97.217541361236 49.942261683798))",10221,STREET,Burrows,AVE,,2399,2423,2398,2426
Crestwood Cres,"MULTILINESTRING ((-97.070927548483 49.856728749582, -97.069814495418 49.856728206856))",16596,STREET,Crestwood,CRES,,157,165,,
Winona St,"MULTILINESTRING ((-97.007939125068 49.903112584585, -97.007921196935 49.903885857285))",19224,STREET,Winona,ST,,,,1305,1305
Foster St,"MULTILINESTRING ((-97.0930903865 49.901630195975, -97.092671018807 49.902608093214))",16887,STREET,Foster,ST,,,,,
Aberdeen Ave,"MULTILINESTRING ((-97.168972807291 49.928525225095, -97.173901458269 49.930105109833))",9345,STREET,Aberdeen,AVE,,,,1168,1252
Argue St,"MULTILINESTRING ((-97.146581453344 49.858146597304, -97.147034283681 49.85738372227, -97.147152579702 49.857148705618))",9641,STREET,Argue,ST,,661,661,,
Orchard Hill Dr,"MULTILINESTRING ((-97.081729702858 49.839376537748, -97.082727644099 49.839181768874, -97.083083727581 49.839137959581, -97.083416950458 49.839132426939, -97.084463921834 49.839169904351))",1500,STREET,Orchard Hill,DR,,20,20,3,47
Grandmont Blvd,"MULTILINESTRING ((-97.17215954605 49.768220628799, -97.172464543461 49.76786563451))",4528,STREET,Grandmont,BLVD,,,,,
Strauss Dr,"MULTILINESTRING ((-97.264382632658 49.88591152925, -97.264272184772 49.887034653592, -97.264049245026 49.887435561551, -97.263551644521 49.887929088089))",9042,STREET,Strauss,DR,,,,,
Portage Ave,"MULTILINESTRING ((-97.315264764684 49.881748138273, -97.316746138559 49.881580766185))",14164,STREET,Portage,AVE,,3705,3715,3700,3700
