idx,facility_name,source_id,authority_type,grade_range,ISCED010,ISCED020,ISCED1,ISCED2,ISCED3,facility_type,street_addr,address_str,city,province,postal_code,provider,grade_type,address_str_clean,street_no,street_name
0,Algoma Education Connection Secondary School,902344,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,550 Northern Ave,550 Northern Ave Sault Ste Marie Ontario P6B4J4,Sault Ste Marie,Ontario,P6B4J4,Province of Ontario,,550 northern ave sault ste marie ontario p6b4j4,550,northern ave
1,Anna McCrea Public School,019186,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,250 Mark St,250 Mark St Sault Ste Marie Ontario P6A3M7,Sault Ste Marie,Ontario,P6A3M7,Province of Ontario,,250 mark st sault ste marie ontario p6a3m7,250,mark st
2,Arthur Henderson Public School,067679,Pub Dist Sch Brd (E/F),JK-3,1.0,1.0,1.0,0,0.0,Public,2 Henderson Lane 2,2 Henderson Lane 2 Bruce Mines Ontario P0R1C0,Bruce Mines,Ontario,P0R1C0,Province of Ontario,,2 henderson lane 2 bruce mines ontario p0r1c0,2,henderson lane 2
3,Ben R McMullin Public School,043362,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,24 Paradise Ave,24 Paradise Ave Sault Ste Marie Ontario P6B5K2,Sault Ste Marie,Ontario,P6B5K2,Province of Ontario,,24 paradise ave sault ste marie ontario p6b5k2,24,paradise ave
4,Blind River Public School,054542,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,19 Hanes Ave,19 Hanes Ave Blind River Ontario P0R1B0,Blind River,Ontario,P0R1B0,Province of Ontario,,19 hanes ave blind river ontario p0r1b0,19,hanes ave
5,Boreal French Immersion Public School,490822,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,232 Northern Ave,232 Northern Ave Sault Ste Marie Ontario P6B4H6,Sault Ste Marie,Ontario,P6B4H6,Province of Ontario,,232 northern ave sault ste marie ontario p6b4h6,232,northern ave
6,Central Algoma Intermediate School,137967,Pub Dist Sch Brd (E/F),7-8,0.0,0.0,0.0,1,0.0,Public,32 Kensington Road,32 Kensington Road Desbarats Ontario P0R1E0,Desbarats,Ontario,P0R1E0,Province of Ontario,,32 kensington road desbarats ontario p0r1e0,32,kensington road
7,Central Algoma Public School,285552,Pub Dist Sch Brd (E/F),JK-6,1.0,1.0,1.0,0,0.0,Public,5 Margaret St,5 Margaret St Desbarats Ontario P0R1E0,Desbarats,Ontario,P0R1E0,Province of Ontario,,5 margaret st desbarats ontario p0r1e0,5,margaret st
8,Central Algoma Secondary School,891347,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,32 Kensington Rd,32 Kensington Rd Desbarats Ontario P0R1E0,Desbarats,Ontario,P0R1E0,Province of Ontario,,32 kensington rd desbarats ontario p0r1e0,32,kensington rd
9,Central Avenue Public School,093548,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,81 Central Ave,81 Central Ave Elliot Lake Ontario P5A2G4,Elliot Lake,Ontario,P5A2G4,Province of Ontario,,81 central ave elliot lake ontario p5a2g4,81,central ave
10,Chapleau High School,900869,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,20 Teak St,20 Teak St Chapleau Ontario P0M1K0,Chapleau,Ontario,P0M1K0,Province of Ontario,,20 teak st chapleau ontario p0m1k0,20,teak st
11,Chapleau Public School,101214,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,24 Pine St,24 Pine St Chapleau Ontario P0M1K0,Chapleau,Ontario,P0M1K0,Province of Ontario,,24 pine st chapleau ontario p0m1k0,24,pine st
12,East View Public School,161276,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,75 Arizona Ave,75 Arizona Ave Sault Ste Marie Ontario P6A4L9,Sault Ste Marie,Ontario,P6A4L9,Province of Ontario,,75 arizona ave sault ste marie ontario p6a4l9,75,arizona ave
13,Echo Bay Central Public School,165042,Pub Dist Sch Brd (E/F),JK-6,1.0,1.0,1.0,0,0.0,Public,290 Church St,290 Church St Echo Bay Ontario P0S1C0,Echo Bay,Ontario,P0S1C0,Province of Ontario,,290 church st echo bay ontario p0s1c0,290,church st
14,Elliot Lake Secondary School,908010,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,303 Mississauga Ave,303 Mississauga Ave Elliot Lake Ontario P5A1E8,Elliot Lake,Ontario,P5A1E8,Province of Ontario,,303 mississauga ave elliot lake ontario p5a1e8,303,mississauga ave
15,Esten Park Public School,186783,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,115 Hergott Ave,115 Hergott Ave Elliot Lake Ontario P5A3B4,Elliot Lake,Ontario,P5A3B4,Province of Ontario,,115 hergott ave elliot lake ontario p5a3b4,115,hergott ave
16,Francis H Clergue Public School,202614,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,80 Weldon Ave,80 Weldon Ave Sault Ste Marie Ontario P6B3C6,Sault Ste Marie,Ontario,P6B3C6,Province of Ontario,,80 weldon ave sault ste marie ontario p6b3c6,80,weldon ave
17,Grand View Public School,227331,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,161 Denwood Dr,161 Denwood Dr Sault Ste Marie Ontario P6A5R4,Sault Ste Marie,Ontario,P6A5R4,Province of Ontario,,161 denwood dr sault ste marie ontario p6a5r4,161,denwood dr
18,Greenwood Public School,230561,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,8 Fourth Line W,8 Fourth Line W Sault Ste Marie Ontario P6A5K8,Sault Ste Marie,Ontario,P6A5K8,Province of Ontario,,8 fourth line w sault ste marie ontario p6a5k8,8,fourth line w
19,H M Robbins Public School,237191,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,83 East Balfour St,83 East Balfour St Sault Ste Marie Ontario P6C1X4,Sault Ste Marie,Ontario,P6C1X4,Province of Ontario,,83 east balfour st sault ste marie ontario p6c1x4,83,east balfour st
20,Hornepayne High School,917370,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,162 Fourth Avenue,162 Fourth Avenue Hornepayne Ontario P0M1Z0,Hornepayne,Ontario,P0M1Z0,Province of Ontario,,162 fourth avenue hornepayne ontario p0m1z0,162,fourth avenue
21,Hornepayne Public School,264750,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,162 Fourth Ave,162 Fourth Ave Hornepayne Ontario P0M1Z0,Hornepayne,Ontario,P0M1Z0,Province of Ontario,,162 fourth ave hornepayne ontario p0m1z0,162,fourth ave
22,Isabel Fletcher Public School,278270,Pub Dist Sch Brd (E/F),JK-6,1.0,1.0,1.0,0,0.0,Public,599 Third Line,599 Third Line Sault Ste Marie Ontario P6A6K4,Sault Ste Marie,Ontario,P6A6K4,Province of Ontario,,599 third line sault ste marie ontario p6a6k4,599,third line
23,Kiwedin Public School,302350,Pub Dist Sch Brd (E/F),JK-6,1.0,1.0,1.0,0,0.0,Public,735 North St,735 North St Sault Ste Marie Ontario P6B2C4,Sault Ste Marie,Ontario,P6B2C4,Province of Ontario,,735 north st sault ste marie ontario p6b2c4,735,north st
24,Korah Collegiate and Vocational School,920533,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,636 Goulais Ave,636 Goulais Ave Sault Ste Marie Ontario P6C5A7,Sault Ste Marie,Ontario,P6C5A7,Province of Ontario,,636 goulais ave sault ste marie ontario p6c5a7,636,goulais ave
25,Korah Intermediate School,018309,Pub Dist Sch Brd (E/F),7-8,0.0,0.0,0.0,1,0.0,Public,636 Goulais Ave,636 Goulais Ave Sault Ste Marie Ontario P6C5A7,Sault Ste Marie,Ontario,P6C5A7,Province of Ontario,,636 goulais ave sault ste marie ontario p6c5a7,636,goulais ave
26,Michipicoten High School,926086,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,86 Magpie Rd,86 Magpie Rd Wawa Ontario P0S1K0,Wawa,Ontario,P0S1K0,Province of Ontario,,86 magpie rd wawa ontario p0s1k0,86,magpie rd
27,Missarenda Consolidated Public School,368490,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,1 First Street,1 First Street Missanabie Ontario P0M2H0,Missanabie,Ontario,P0M2H0,Province of Ontario,,1 first street missanabie ontario p0m2h0,1,first street
28,Missarenda Secondary School,948426,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,1 First Street,1 First Street Missanabie Ontario P0M2H0,Missanabie,Ontario,P0M2H0,Province of Ontario,,1 first street missanabie ontario p0m2h0,1,first street
29,Mountain View Public School,195200,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,Mahler Rd 1,Mahler Rd 1 Goulais River Ontario P0S1E0,Goulais River,Ontario,P0S1E0,Province of Ontario,,mahler rd 1 goulais river ontario p0s1e0,,mahler rd 1
30,North Shore Adolescent Education School,891150,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,303 Mississauga Ave,303 Mississauga Ave Elliot Lake Ontario P5A1E8,Elliot Lake,Ontario,P5A1E8,Province of Ontario,,303 mississauga ave elliot lake ontario p5a1e8,303,mississauga ave
31,Northern Heights Public School,410870,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,210 Grand Blvd,210 Grand Blvd Sault Ste Marie Ontario P6B4S8,Sault Ste Marie,Ontario,P6B4S8,Province of Ontario,,210 grand blvd sault ste marie ontario p6b4s8,210,grand blvd
32,Parkland Public School,434922,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,54 Amber St,54 Amber St Sault Ste Marie Ontario P6A5G1,Sault Ste Marie,Ontario,P6A5G1,Province of Ontario,,54 amber st sault ste marie ontario p6a5g1,54,amber st
33,Pinewood Public School,442054,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,3924 Queen St E,3924 Queen St E Sault Ste Marie Ontario P6A5K9,Sault Ste Marie,Ontario,P6A5K9,Province of Ontario,,3924 queen st e sault ste marie ontario p6a5k9,3924,queen st e
34,Queen Elizabeth Public School,462616,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,139 Elizabeth St,139 Elizabeth St Sault Ste Marie Ontario P6A3Z5,Sault Ste Marie,Ontario,P6A3Z5,Province of Ontario,,139 elizabeth st sault ste marie ontario p6a3z5,139,elizabeth st
35,R M Moore Public School,468339,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,1272 Base Line,1272 Base Line Sault Ste Marie Ontario P6A6K4,Sault Ste Marie,Ontario,P6A6K4,Province of Ontario,,1272 base line sault ste marie ontario p6a6k4,1272,base line
36,River View Public School,485497,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,51 Wireless Ave,51 Wireless Ave Sault Ste Marie Ontario P6B1L4,Sault Ste Marie,Ontario,P6B1L4,Province of Ontario,,51 wireless ave sault ste marie ontario p6b1l4,51,wireless ave
37,Rockhaven School forExceptional Children Public School,677523,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,1459 Riverview Rd,1459 Riverview Rd Serpent River Ontario P0P1V0,Serpent River,Ontario,P0P1V0,Province of Ontario,,1459 riverview rd serpent river ontario p0p1v0,1459,riverview rd
38,Sir James Dunn Public School,515396,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,36 McKinley Ave,36 McKinley Ave Wawa Ontario P0S1K0,Wawa,Ontario,P0S1K0,Province of Ontario,,36 mckinley ave wawa ontario p0s1k0,36,mckinley ave
39,St Joseph Island Central Public School,530603,Pub Dist Sch Brd (E/F),JK-6,1.0,1.0,1.0,0,0.0,Public,1326 Richards St,1326 Richards St Richards Landing Ontario P0R1J0,Richards Landing,Ontario,P0R1J0,Province of Ontario,,1326 richards st richards landing ontario p0r1j0,1326,richards st
40,Superior Heights Collegiate and Vocational School,958050,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,750 north street,750 north street Sault Ste. Marie Ontario P6B2C5,Sault Ste. Marie,Ontario,P6B2C5,Province of Ontario,,750 north street sault ste marie ontario p6b2c5,750,north street
41,Superior Heights Community Education,672610,Pub Dist Sch Brd (E/F),7-8,0.0,0.0,0.0,1,0.0,Public,750 North Avenue,750 North Avenue Sault Ste Marie Ontario P6B2C5,Sault Ste Marie,Ontario,P6B2C5,Province of Ontario,,750 north avenue sault ste marie ontario p6b2c5,750,north avenue
42,Superior Heights Intermediate School,106913,Pub Dist Sch Brd (E/F),7-8,0.0,0.0,0.0,1,0.0,Public,750 North Street,750 North Street Sault Ste. Marie Ontario P6B2C5,Sault Ste. Marie,Ontario,P6B2C5,Province of Ontario,,750 north street sault ste marie ontario p6b2c5,750,north street
43,Tarentorus Public School,548413,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,96 Northwood St,96 Northwood St Sault Ste Marie Ontario P6B4M4,Sault Ste Marie,Ontario,P6B4M4,Province of Ontario,,96 northwood st sault ste marie ontario p6b4m4,96,northwood st
44,Thessalon Public School,551660,Pub Dist Sch Brd (E/F),JK-6,1.0,1.0,1.0,0,0.0,Public,90 Stanley St,90 Stanley St Thessalon Ontario P0R1L0,Thessalon,Ontario,P0R1L0,Province of Ontario,,90 stanley st thessalon ontario p0r1l0,90,stanley st
45,W C Eaket Secondary School,895270,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,147 Woodward Ave,147 Woodward Ave Blind River Ontario P0R1B0,Blind River,Ontario,P0R1B0,Province of Ontario,,147 woodward ave blind river ontario p0r1b0,147,woodward ave
46,White Pines Collegiate and Vocational School,953148,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,1007 Trunk Rd,1007 Trunk Rd Sault Ste Marie Ontario P6A5K9,Sault Ste Marie,Ontario,P6A5K9,Province of Ontario,,1007 trunk rd sault ste marie ontario p6a5k9,1007,trunk rd
47,White Pines Intermediate School,144872,Pub Dist Sch Brd (E/F),7-8,0.0,0.0,0.0,1,0.0,Public,1007 Trunk Road,1007 Trunk Road SAULT STE. MARIE Ontario P6A5K9,SAULT STE. MARIE,Ontario,P6A5K9,Province of Ontario,,1007 trunk road sault ste marie ontario p6a5k9,1007,trunk road
48,Archbishop O'Sullivan Catholic School,765031,Cath Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Catholic,974 Pembridge Cres,974 Pembridge Cres Kingston Ontario K7P1A3,Kingston,Ontario,K7P1A3,Province of Ontario,,974 pembridge cres kingston ontario k7p1a3,974,pembridge cres
49,Cathedrale Catholic School,827681,Cath Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Catholic,301 Johnson St,301 Johnson St Kingston Ontario K7L1Y5,Kingston,Ontario,K7L1Y5,Province of Ontario,,301 johnson st kingston ontario k7l1y5,301,johnson st
50,Georges Vanier Catholic School,708011,Cath Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Catholic,100 Tracey St E,100 Tracey St E Belleville Ontario K8P2R8,Belleville,Ontario,K8P2R8,Province of Ontario,,100 tracey st e belleville ontario k8p2r8,100,tracey st e
51,Holy Cross Catholic Secondary School,715298,Cath Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Catholic,1085 Woodbine Rd,1085 Woodbine Rd Kingston Ontario K7P2V9,Kingston,Ontario,K7P2V9,Province of Ontario,,1085 woodbine rd kingston ontario k7p2v9,1085,woodbine rd
52,Holy Name Catholic School,717703,Cath Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Catholic,370 Kingston Mills Road,370 Kingston Mills Road Kingston Ontario K7L5H6,Kingston,Ontario,K7L5H6,Province of Ontario,,370 kingston mills road kingston ontario k7l5h6,370,kingston mills road
53,Holy Name of Mary Catholic School,865257,Cath Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Catholic,7314 Old Highway 2 RR1,7314 Old Highway 2 RR1 Marysville Ontario K0K2N0,Marysville,Ontario,K0K2N0,Province of Ontario,,7314 old highway 2 rr1 marysville ontario k0k2n0,7314,old highway 2 rr1
54,Holy Rosary Catholic School,719919,Cath Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Catholic,10 Prince of Wales Dr,10 Prince of Wales Dr Belleville Ontario K8P2T4,Belleville,Ontario,K8P2T4,Province of Ontario,,10 prince of wales dr belleville ontario k8p2t4,10,prince of wales dr
55,J J O'Neill Catholic School,735523,Cath Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Catholic,240 Marilyn Ave,240 Marilyn Ave Napanee Ontario K7R2L4,Napanee,Ontario,K7R2L4,Province of Ontario,,240 marilyn ave napanee ontario k7r2l4,240,marilyn ave
56,John XXIII Catholic School,724068,Cath Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Catholic,736 High Gate Park Dr,736 High Gate Park Dr Kingston Ontario K7M5Z9,Kingston,Ontario,K7M5Z9,Province of Ontario,,736 high gate park dr kingston ontario k7m5z9,736,high gate park dr
57,Loyola Community Learning Centre,728420,Cath Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Catholic,1440 Princess Street,1440 Princess Street Kingston Ontario K7M3E5,Kingston,Ontario,K7M3E5,Province of Ontario,,1440 princess street kingston ontario k7m3e5,1440,princess street
58,Mother Teresa Catholic School,773875,Cath Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Catholic,1044 Lancaster Dr,1044 Lancaster Dr Kingston Ontario K7P2L6,Kingston,Ontario,K7P2L6,Province of Ontario,,1044 lancaster dr kingston ontario k7p2l6,1044,lancaster dr
59,Nicholson Catholic College,835099,Cath Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Catholic,301 Church St,301 Church St Belleville Ontario K8N3C7,Belleville,Ontario,K8N3C7,Province of Ontario,,301 church st belleville ontario k8n3c7,301,church st
60,Our Lady of Fatima Catholic School,742279,Cath Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Catholic,300 Sidney St,300 Sidney St Belleville Ontario K8P3Z3,Belleville,Ontario,K8P3Z3,Province of Ontario,,300 sidney st belleville ontario k8p3z3,300,sidney st
61,Our Lady of Lourdes Catholic School,746568,Cath Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Catholic,20 Cranbrook St,20 Cranbrook St Kingston Ontario K7M4M9,Kingston,Ontario,K7M4M9,Province of Ontario,,20 cranbrook st kingston ontario k7m4m9,20,cranbrook st
62,Our Lady of Mercy Catholic School,746690,Cath Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Catholic,192 Bridge St W,192 Bridge St W Bancroft Ontario K0L1C0,Bancroft,Ontario,K0L1C0,Province of Ontario,,192 bridge st w bancroft ontario k0l1c0,192,bridge st w
63,Our Lady of Mount Carmel Catholic School,706264,Cath Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Catholic,97 Park Cres,97 Park Cres Amherstview Ontario K7N1L7,Amherstview,Ontario,K7N1L7,Province of Ontario,,97 park cres amherstview ontario k7n1l7,97,park cres
64,Regiopolis/Notre-Dame Catholic High School,752932,Cath Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Catholic,130 Russell St,130 Russell St Kingston Ontario K7K2E9,Kingston,Ontario,K7K2E9,Province of Ontario,,130 russell st kingston ontario k7k2e9,130,russell st
65,Sacred Heart Catholic School,756830,Cath Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Catholic,50 Bursthall St,50 Bursthall St Marmora Ontario K0K2M0,Marmora,Ontario,K0K2M0,Province of Ontario,,50 bursthall st marmora ontario k0k2m0,50,bursthall st
66,Sacred Heart Catholic School,764370,Cath Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Catholic,31 Thomas Bata Blvd,31 Thomas Bata Blvd Batawa Ontario K0K1E0,Batawa,Ontario,K0K1E0,Province of Ontario,,31 thomas bata blvd batawa ontario k0k1e0,31,thomas bata blvd
67,Sacred Heart Catholic School,868370,Cath Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Catholic,57 Hwy 95,57 Hwy 95 Wolfe Island Ontario K0H2Y0,Wolfe Island,Ontario,K0H2Y0,Province of Ontario,,57 hwy 95 wolfe island ontario k0h2y0,57,hwy 95 wolfe
68,St Carthagh Catholic School,781142,Cath Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Catholic,114 Hungerford Rd,114 Hungerford Rd Tweed Ontario K0K3J0,Tweed,Ontario,K0K3J0,Province of Ontario,,114 hungerford rd tweed ontario k0k3j0,114,hungerford rd
69,St Francis of Assisi Catholic School,756642,Cath Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Catholic,114 Wiley Street,114 Wiley Street Kingston Ontario K7K5B5,Kingston,Ontario,K7K5B5,Province of Ontario,,114 wiley street kingston ontario k7k5b5,114,wiley street
70,St Gregory Catholic School,796220,Cath Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Catholic,7 Owen St,7 Owen St Picton Ontario K0K2T0,Picton,Ontario,K0K2T0,Province of Ontario,,7 owen st picton ontario k0k2t0,7,owen st
71,St James Major,799556,Cath Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Catholic,14608 Hwy. #38,14608 Hwy. #38 Sharbot Lake Ontario K0H2P0,Sharbot Lake,Ontario,K0H2P0,Province of Ontario,,14608 hwy #38 sharbot lake ontario k0h2p0,14608,hwy #38
72,St Joseph Catholic School,815330,Cath Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Catholic,405 Bridge St E,405 Bridge St E Belleville Ontario K8N1P7,Belleville,Ontario,K8N1P7,Province of Ontario,,405 bridge st e belleville ontario k8n1p7,405,bridge st e
73,St Joseph School,695602,Cath Dist Sch Brd (E/F),JK-5,1.0,1.0,1.0,0,0.0,Catholic,671 Brock St,671 Brock St Kingston Ontario K7L1V7,Kingston,Ontario,K7L1V7,Province of Ontario,,671 brock st kingston ontario k7l1v7,671,brock st
74,St Marguerite Bourgeoys Catholic School,830984,Cath Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Catholic,355 Waterloo Ave,355 Waterloo Ave Kingston Ontario K7M8P5,Kingston,Ontario,K7M8P5,Province of Ontario,,355 waterloo ave kingston ontario k7m8p5,355,waterloo ave
75,St Martha Catholic School,823570,Cath Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Catholic,455 St Martha St,455 St Martha St Kingston Ontario K7K7C2,Kingston,Ontario,K7K7C2,Province of Ontario,,455 st martha st kingston ontario k7k7c2,455,st martha st
76,St Martin of Tours Catholic School,824330,Cath Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Catholic,62 Post Street,62 Post Street Whitney Ontario K0J2M0,Whitney,Ontario,K0J2M0,Province of Ontario,,62 post street whitney ontario k0j2m0,62,post street
77,St Mary Catholic School,831840,Cath Dist Sch Brd (E/F),JK-6,1.0,1.0,1.0,0,0.0,Catholic,85 Campbell St,85 Campbell St Trenton Ontario K8V3A2,Trenton,Ontario,K8V3A2,Province of Ontario,,85 campbell st trenton ontario k8v3a2,85,campbell st
78,St Mary Catholic School,865125,Cath Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Catholic,1285 Read Rd RR 1,1285 Read Rd RR 1 Shannonville Ontario K0K3A0,Shannonville,Ontario,K0K3A0,Province of Ontario,,1285 read rd rr 1 shannonville ontario k0k3a0,1285,read rd rr 1
79,St Michael Catholic School,834688,Cath Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Catholic,273 Church St,273 Church St Belleville Ontario K8N3C7,Belleville,Ontario,K8N3C7,Province of Ontario,,273 church st belleville ontario k8n3c7,273,church st
80,St Patrick Catholic School,764248,Cath Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Catholic,6041 HW Y 41,6041 HW Y 41 Erinsville Ontario K0K2A0,Erinsville,Ontario,K0K2A0,Province of Ontario,,6041 hw y 41 erinsville ontario k0k2a0,6041,hw y 41
81,St Patrick Catholic School,841773,Cath Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Catholic,3889 Wilton Rd,3889 Wilton Rd Harrowsmith Ontario K0H1V0,Harrowsmith,Ontario,K0H1V0,Province of Ontario,,3889 wilton rd harrowsmith ontario k0h1v0,3889,wilton rd
82,St Paul Catholic Elementary School,706744,Cath Dist Sch Brd (E/F),7-8,0.0,0.0,0.0,1,0.0,Catholic,15 Tripp Blvd,15 Tripp Blvd Trenton Ontario K8V6M2,Trenton,Ontario,K8V6M2,Province of Ontario,,15 tripp blvd trenton ontario k8v6m2,15,tripp blvd
83,St Paul Catholic School,842761,Cath Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Catholic,266 McMahon Ave,266 McMahon Ave Kingston Ontario K7M3H2,Kingston,Ontario,K7M3H2,Province of Ontario,,266 mcmahon ave kingston ontario k7m3h2,266,mcmahon ave
84,St Paul Catholic Secondary School,841358,Cath Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Catholic,15 Tripp Blvd,15 Tripp Blvd Trenton Ontario K8V6M2,Trenton,Ontario,K8V6M2,Province of Ontario,,15 tripp blvd trenton ontario k8v6m2,15,tripp blvd
85,St Peter Catholic School,845493,Cath Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Catholic,15A Tripp Blvd,15A Tripp Blvd Trenton Ontario K8V6M2,Trenton,Ontario,K8V6M2,Province of Ontario,,15a tripp blvd trenton ontario k8v6m2,15a,tripp blvd
86,St Theresa Catholic Secondary School,851752,Cath Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Catholic,135 Adam St,135 Adam St Belleville Ontario K8N5S1,Belleville,Ontario,K8N5S1,Province of Ontario,,135 adam st belleville ontario k8n5s1,135,adam st
87,St Thomas More Catholic School,856150,Cath Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Catholic,234 Norman Rogers Dr,234 Norman Rogers Dr Kingston Ontario K7M2R4,Kingston,Ontario,K7M2R4,Province of Ontario,,234 norman rogers dr kingston ontario k7m2r4,234,norman rogers dr
88,Anne Hathaway Public School,019313,Pub Dist Sch Brd (E/F),JK-6,1.0,1.0,1.0,0,0.0,Public,77 Bruce St,77 Bruce St Stratford Ontario N5A4A2,Stratford,Ontario,N5A4A2,Province of Ontario,,77 bruce st stratford ontario n5a4a2,77,bruce st
89,Avon Maitland District E-learning Centre,893048,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,165 Princess St E,165 Princess St E Clinton Ontario N0M1L0,Clinton,Ontario,N0M1L0,Province of Ontario,,165 princess st e clinton ontario n0m1l0,165,princess st e
90,Avon Public School,028673,Pub Dist Sch Brd (E/F),JK-6,1.0,1.0,1.0,0,0.0,Public,31 Huntingdon Ave,31 Huntingdon Ave Stratford Ontario N5A6N7,Stratford,Ontario,N5A6N7,Province of Ontario,,31 huntingdon ave stratford ontario n5a6n7,31,huntingdon ave
