idx,facility_name,source_id,authority_type,grade_range,ISCED010,ISCED020,ISCED1,ISCED2,ISCED3,facility_type,street_addr,address_str,city,province,postal_code,provider,grade_type,address_str_clean,street_no,street_name
4032,Shirley Street Junior Public School,511102,Pub Dist Sch Brd (E/F),JK-6,1.0,1.0,1.0,0,0.0,Public,38 Shirley St,38 Shirley St Toronto Ontario M6K1S9,Toronto,Ontario,M6K1S9,Province of Ontario,,38 shirley st toronto ontario m6k1s9,38,shirley st
4033,Shoreham Public School,511137,Pub Dist Sch Brd (E/F),JK-5,1.0,1.0,1.0,0,0.0,Public,31 Shoreham Dr,31 Shoreham Dr North York Ontario M3N2S6,North York,Ontario,M3N2S6,Province of Ontario,,31 shoreham dr north york ontario m3n2s6,31,shoreham dr
4034,Silver Springs Public School,514314,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,222 Silver Springs Blvd,222 Silver Springs Blvd Scarborough Ontario M1V1S4,Scarborough,Ontario,M1V1S4,Province of Ontario,,222 silver springs blvd scarborough ontario m1v1s4,222,silver springs blvd
4035,Silverthorn Collegiate Institute,941425,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,291 Mill Rd,291 Mill Rd Etobicoke Ontario M9C1Y5,Etobicoke,Ontario,M9C1Y5,Province of Ontario,,291 mill rd etobicoke ontario m9c1y5,291,mill rd
4036,Silverthorn Community School,287300,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,300 Kane Ave,300 Kane Ave Toronto Ontario M6M3P1,Toronto,Ontario,M6M3P1,Province of Ontario,,300 kane ave toronto ontario m6m3p1,300,kane ave
4037,Sir Adam Beck Junior School,515132,Pub Dist Sch Brd (E/F),JK-5,1.0,1.0,1.0,0,0.0,Public,544 Horner Ave,544 Horner Ave Etobicoke Ontario M8W2C2,Etobicoke,Ontario,M8W2C2,Province of Ontario,,544 horner ave etobicoke ontario m8w2c2,544,horner ave
4038,Sir Alexander Mackenzie Senior Public School,515272,Pub Dist Sch Brd (E/F),7-8,0.0,0.0,0.0,1,0.0,Public,33 Heather Rd,33 Heather Rd Scarborough Ontario M1S2E2,Scarborough,Ontario,M1S2E2,Province of Ontario,,33 heather rd scarborough ontario m1s2e2,33,heather rd
4039,Sir Ernest MacMillan Senior Public School,515337,Pub Dist Sch Brd (E/F),7-8,0.0,0.0,0.0,1,0.0,Public,149 Huntsmill Blvd,149 Huntsmill Blvd Scarborough Ontario M1W2Y2,Scarborough,Ontario,M1W2Y2,Province of Ontario,,149 huntsmill blvd scarborough ontario m1w2y2,149,huntsmill blvd
4040,Sir John A Macdonald Collegiate Institute,941948,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,2300 Pharmacy Ave,2300 Pharmacy Ave Toronto Ontario M1W1H8,Toronto,Ontario,M1W1H8,Province of Ontario,,2300 pharmacy ave toronto ontario m1w1h8,2300,pharmacy ave
4041,Sir Oliver Mowat Collegiate Institute,941972,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,5400 Lawrence Ave E,5400 Lawrence Ave E Toronto Ontario M1C2C6,Toronto,Ontario,M1C2C6,Province of Ontario,,5400 lawrence ave e toronto ontario m1c2c6,5400,lawrence ave e
4042,Sir Samuel B Steele Junior Public School,535311,Pub Dist Sch Brd (E/F),JK-6,1.0,1.0,1.0,0,0.0,Public,131 Huntsmill Blvd,131 Huntsmill Blvd Scarborough Ontario M1W2Y2,Scarborough,Ontario,M1W2Y2,Province of Ontario,,131 huntsmill blvd scarborough ontario m1w2y2,131,huntsmill blvd
4043,Sir Wilfrid Laurier Collegiate Institute,942200,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,145 Guildwood Pkwy,145 Guildwood Pkwy Toronto Ontario M1E1P5,Toronto,Ontario,M1E1P5,Province of Ontario,,145 guildwood pkwy toronto ontario m1e1p5,145,guildwood pkwy
4044,Sir William Osler High School,942367,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,1050 Huntingwood Dr,1050 Huntingwood Dr Toronto Ontario M1S3H5,Toronto,Ontario,M1S3H5,Province of Ontario,,1050 huntingwood dr toronto ontario m1s3h5,1050,huntingwood dr
4045,Sloane Public School,517348,Pub Dist Sch Brd (E/F),JK-5,1.0,1.0,1.0,0,0.0,Public,110 Sloane Ave,110 Sloane Ave North York Ontario M4A2B1,North York,Ontario,M4A2B1,Province of Ontario,,110 sloane ave north york ontario m4a2b1,110,sloane ave
4046,Smithfield Middle School,518840,Pub Dist Sch Brd (E/F),6-8,0.0,0.0,1.0,1,0.0,Public,175 Mount Olive Dr,175 Mount Olive Dr Etobicoke Ontario M9V2E3,Etobicoke,Ontario,M9V2E3,Province of Ontario,,175 mount olive dr etobicoke ontario m9v2e3,175,mount olive dr
4047,South East Year Round Alternative Centre,960413,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,720 Midland Avenue,720 Midland Avenue Toronto Ontario M1K4C9,Toronto,Ontario,M1K4C9,Province of Ontario,,720 midland avenue toronto ontario m1k4c9,720,midland avenue
4048,Spectrum Alternative Senior School,520110,Pub Dist Sch Brd (E/F),7-8,0.0,0.0,0.0,1,0.0,Public,529 Vaughan Road,529 Vaughan Road York Ontario M6C2R1,York,Ontario,M6C2R1,Province of Ontario,,529 vaughan road york ontario m6c2r1,529,vaughan road
4049,Sprucecourt Junior Public School,528269,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,70 Spruce St,70 Spruce St Toronto Ontario M5A2J1,Toronto,Ontario,M5A2J1,Province of Ontario,,70 spruce st toronto ontario m5a2j1,70,spruce st
4050,St Andrew's Middle School,529176,Pub Dist Sch Brd (E/F),6-8,0.0,0.0,1.0,1,0.0,Public,131 Fenn Ave,131 Fenn Ave North York Ontario M2P1X7,North York,Ontario,M2P1X7,Province of Ontario,,131 fenn ave north york ontario m2p1x7,131,fenn ave
4051,St Andrews Public School,528919,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,60 Brimorton Dr,60 Brimorton Dr Scarborough Ontario M1P3Z1,Scarborough,Ontario,M1P3Z1,Province of Ontario,,60 brimorton dr scarborough ontario m1p3z1,60,brimorton dr
4052,St George's Junior School,529958,Pub Dist Sch Brd (E/F),JK-5,1.0,1.0,1.0,0,0.0,Public,70 Princess Anne Cres,70 Princess Anne Cres Etobicoke Ontario M9A2P7,Etobicoke,Ontario,M9A2P7,Province of Ontario,,70 princess anne cres etobicoke ontario m9a2p7,70,princess anne cres
4053,St Margaret's Public School,531022,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,235 Galloway Rd,235 Galloway Rd Scarborough Ontario M1E1X5,Scarborough,Ontario,M1E1X5,Province of Ontario,,235 galloway rd scarborough ontario m1e1x5,235,galloway rd
4054,Stanley Public School,534374,Pub Dist Sch Brd (E/F),JK-5,1.0,1.0,1.0,0,0.0,Public,75 Stanley Rd,75 Stanley Rd North York Ontario M3N1C2,North York,Ontario,M3N1C2,Province of Ontario,,75 stanley rd north york ontario m3n1c2,75,stanley rd
4055,Steelesview Public School,535443,Pub Dist Sch Brd (E/F),JK-5,1.0,1.0,1.0,0,0.0,Public,105 Bestview Dr,105 Bestview Dr North York Ontario M2M2Y1,North York,Ontario,M2M2Y1,Province of Ontario,,105 bestview dr north york ontario m2m2y1,105,bestview dr
4056,Stephen Leacock Collegiate Institute,945250,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,2450 Birchmount Rd,2450 Birchmount Rd Toronto Ontario M1T2M5,Toronto,Ontario,M1T2M5,Province of Ontario,,2450 birchmount rd toronto ontario m1t2m5,2450,birchmount rd
4057,Stilecroft Public School,536970,Pub Dist Sch Brd (E/F),JK-5,1.0,1.0,1.0,0,0.0,Public,50 Stilecroft Dr,50 Stilecroft Dr North York Ontario M3J1A7,North York,Ontario,M3J1A7,Province of Ontario,,50 stilecroft dr north york ontario m3j1a7,50,stilecroft dr
4058,Subway Academy I,946192,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,16 Phin Ave,16 Phin Ave Toronto Ontario M4J3T2,Toronto,Ontario,M4J3T2,Province of Ontario,,16 phin ave toronto ontario m4j3t2,16,phin ave
4059,Subway Academy II,946338,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,64 Baldwin St,64 Baldwin St Toronto Ontario M5T1L4,Toronto,Ontario,M5T1L4,Province of Ontario,,64 baldwin st toronto ontario m5t1l4,64,baldwin st
4060,Summit Heights Public School,542040,Pub Dist Sch Brd (E/F),JK-6,1.0,1.0,1.0,0,0.0,Public,139 Armour Blvd,139 Armour Blvd North York Ontario M3H1M1,North York,Ontario,M3H1M1,Province of Ontario,,139 armour blvd north york ontario m3h1m1,139,armour blvd
4061,Sunny View Junior and Senior Public School,543349,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,450 Blythwood Rd,450 Blythwood Rd Toronto Ontario M4N1A9,Toronto,Ontario,M4N1A9,Province of Ontario,,450 blythwood rd toronto ontario m4n1a9,450,blythwood rd
4062,Sunnylea Junior School,543470,Pub Dist Sch Brd (E/F),JK-5,1.0,1.0,1.0,0,0.0,Public,35 Glenroy Ave,35 Glenroy Ave Etobicoke Ontario M8Y2M2,Etobicoke,Ontario,M8Y2M2,Province of Ontario,,35 glenroy ave etobicoke ontario m8y2m2,35,glenroy ave
4063,Swansea Junior and Senior Junior and Senior Public School,544388,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,207 Windermere Ave,207 Windermere Ave Toronto Ontario M6S3J9,Toronto,Ontario,M6S3J9,Province of Ontario,,207 windermere ave toronto ontario m6s3j9,207,windermere ave
4064,Tam O'Shanter Junior Public School,547875,Pub Dist Sch Brd (E/F),JK-6,1.0,1.0,1.0,0,0.0,Public,21 King Henrys Blvd,21 King Henrys Blvd Scarborough Ontario M1T2V3,Scarborough,Ontario,M1T2V3,Province of Ontario,,21 king henrys blvd scarborough ontario m1t2v3,21,king henrys blvd
4065,Taylor Creek Public School,586765,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,644 Warden Ave,644 Warden Ave Scarborough Ontario M1L3Z3,Scarborough,Ontario,M1L3Z3,Province of Ontario,,644 warden ave scarborough ontario m1l3z3,644,warden ave
4066,Tecumseh Senior Public School,550647,Pub Dist Sch Brd (E/F),7-8,0.0,0.0,0.0,1,0.0,Public,720 Scarborough Golf Club Rd,720 Scarborough Golf Club Rd Scarborough Ontario M1G1H7,Scarborough,Ontario,M1G1H7,Province of Ontario,,720 scarborough golf club rd scarborough ontario m1g1h7,720,scarborough golf club rd
4067,Terraview-Willowfield Public School,609900,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,95 Pachino Blvd,95 Pachino Blvd Scarborough Ontario M1R4K1,Scarborough,Ontario,M1R4K1,Province of Ontario,,95 pachino blvd scarborough ontario m1r4k1,95,pachino blvd
4068,Terry Fox Public School,536393,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,185 Wintermute Blvd,185 Wintermute Blvd Scarborough Ontario M1W3M9,Scarborough,Ontario,M1W3M9,Province of Ontario,,185 wintermute blvd scarborough ontario m1w3m9,185,wintermute blvd
