Roll_No,Application_Year,Building_Permit_No,Develop__Permit__No,Date_Received,Status,Date_Of_Decision,Date_Permit_Expires,Date_Of_Occupancy_Permit,Lot,Block,Plan,Unit_No,Street_No,Street_Name,Building_Name,Business_Name,Description,No_Of_Existing_Dwelling_Units,No_Of_New_Dweling_Units,Value_of_Construction,Permit_Fee,SCC_Fee,Comments,Processing_Time
130808,2006,06BP40,,20060801,Approved,20060804,20060804,,8,FK,9311617,8,8,Antelope Lane,,,Residential,,,15000.0000000,75.0000000,4.0000000,Deck - Deck/Hot tub,Aug 1/Aug 4
040201,2006,06BP41,06DP41,20060803,Approved,20060808,20060808,,17-19,20,8385HQ,,426,Marten St,,,Residential,,,500.0000000,75.0000000,4.0000000,Deck Extension,Aug 4/Aug 8
000520,2006,06BP42,,20060814,,,,,11,26,6719BC,A,226 A,Otter St,,,Residential,,,20000.0000000,157.6000000,0.0000000,Garage Construction - Det. Garage,Jun 05  Jun 05
089502,2006,06BP43,05DP31,20060815,Withdrawn,,,,2,R3,0210662,,2,Kootenay Close,,,Residential,,,750000.0000000,1300.6900000,0.0000000,SFD-Fee not paid. File closed/withdrawn. - Single Family Dwelling,Aug 15/Aug 15
092809,2006,06BP44,,20060815,Approved,20060818,20060818,,18,R7,9410807,9,125,Cave Ave,,,Residential,,,2500.0000000,75.0000000,0.0000000,deck extension - Deck Expansion,Aug 15/Aug 18
000555,2006,06BP45,,20060817,Approved,20060818,20060818,,1-3,28,6719BC,,501,Banff Ave,,,Commercial,,,15000.0000000,104.6600000,3.6600000,garage enclosure - Garbage Encl,Aug 16/Aug 18
000645,2006,06BP46,,20060817,Approved,20060818,20060818,,5,53,360JK,,415,Squirrel St,,,Residential,,,5776.0000000,75.0000000,0.0000000,bay window,Aug 17/Aug 18
092808,2006,06BP47,,20060817,Approved,20060818,20060818,,18,R7,9410807,8,125,Cave Ave,,,Residential,,,2500.0000000,75.0000000,4.0000000,Deck Extension - Extend Deck,Aug 15/Aug 18
000347,2006,06BP48,,20060906,Approved,20060908,20060908,,1,19,1211HU,B,419,Marten St,,,Residential,,,1500.0000000,75.0000000,4.0000000,Wood Stove Installation - Wood Stove,Sept 6/Sept 8
001382,2006,06BP49,,20060906,Approved,20060908,20060908,,17,29,9911211,,17,Fairholme Pl,,,Residential,,,2000.0000000,75.0000000,4.0000000,Deck,Sept 6/Sept 8
000343,2006,06BP50,,20060911,Approved,20060912,20060912,,15,18,6719BC,,410,Squirrel St,,,Residential,,,8000.0000000,75.0000000,4.0000000,Deck Extension - Deck,Sept 11/Sept 12
