idx,facility_name,source_id,address_str,latitude,longitude,provider,address_str_clean,street_no,street_name
34,Hernewood Intermediate School,122,"34 Mill Road - Rte 136, O'Leary, PE C0B 1V0",46.7353,-64.17195,Province of Prince Edward Island,34 mill road rte 136 o'leary pe c0b 1v0,34,mill road rte 136
35,East Wiltshire Intermediate School,324,"100 Kingston Road, Cornwall, PE C0A 1H0",46.25325,-63.20765,Province of Prince Edward Island,100 kingston road cornwall pe c0a 1h0,100,kingston road
36,Summerside Intermediate School,220,"247 Central Street, Summerside, PE C1N 3M5",46.40025,-63.78981,Province of Prince Edward Island,247 central street summerside pe c1n 3m5,247,central street
37,Spring Park Elementary School,351,"30 Dunkirk Street, Charlottetown, PE C1A 3Z8",46.24492,-63.14124,Province of Prince Edward Island,30 dunkirk street charlottetown pe c1a 3z8,30,dunkirk street
38,Cardigan Consolidated School,441,"1614 North Royalty Road - Rte. 342, Cardigan, PE C0A 1G0",46.22535,-62.61503,Province of Prince Edward Island,1614 north royalty road rte 342 cardigan pe c0a 1g0,1614,north royalty road rte 342
39,O'Leary Elementary School,133,"25 Barclay Road - Rte 148, O'Leary, PE C0B 1V0",46.7036,-64.23155,Province of Prince Edward Island,25 barclay road rte 148 o'leary pe c0b 1v0,25,barclay road rte 148
40,Belfast Consolidated School,440,"3326 Trans Canada Hwy - Rte 1, Belle River, PE C0A 1B0",46.03518,-62.90332,Province of Prince Edward Island,3326 trans canada hwy rte 1 belle river pe c0a 1b0,3326,trans canada hwy rte 1
41,Montague Regional High School,410,"274 Valleyfield Road, Montague, PE C0A 1R0",46.1579,-62.6477,Province of Prince Edward Island,274 valleyfield road montague pe c0a 1r0,274,valleyfield road
42,Southern Kings Consolidated School,451,"2294 Peters Road - Rte 324, Montague, PE C0A 1R0",46.061,-62.60117,Province of Prince Edward Island,2294 peters road rte 324 montague pe c0a 1r0,2294,peters road rte 324
43,École-sur-Mer,513,"5 avenue Maris Stella, Summerside, PE C1N 6M9",46.41867,-63.80804,Province of Prince Edward Island,5 avenue maris stella summerside pe c1n 6m9,5,avenue maris stella
44,St. Jean Elementary School,354,"335 Queen Street, Charlottetown, PE C1A 4C5",46.23787,-63.13372,Province of Prince Edward Island,335 queen street charlottetown pe c1a 4c5,335,queen street
45,École Pierre-Chiasson,514,"119 Route 157, Deblois, PE C0B 2B0",46.9196,-64.07746,Province of Prince Edward Island,119 route 157 deblois pe c0b 2b0,119,route 157
46,M.E. Callaghan Intermediate School,123,"41870 Western Road - Rte 2, Elmsdale, PE C0B 1K0",46.89957,-64.08103,Province of Prince Edward Island,41870 western road rte 2 elmsdale pe c0b 1k0,41870,western road rte 2
47,Donagh Regional School,344,"928 Bethel Road, Donagh, PE C1B 0T5",46.25924,-62.94151,Province of Prince Edward Island,928 bethel road donagh pe c1b 0t5,928,bethel road
48,Queen Charlotte Intermediate School,321,"150 North River Road, Charlottetown, PE C1A 3L3",46.23928,-63.14159,Province of Prince Edward Island,150 north river road charlottetown pe c1a 3l3,150,north river road
49,Parkdale Elementary School,346,"49 Confederation Street, Charlottetown, PE C1A 5V5",46.25236,-63.12435,Province of Prince Edward Island,49 confederation street charlottetown pe c1a 5v5,49,confederation street
50,Gulf Shore Consolidated School,348,"185 Hilltop Avenue, North Rustico, PE C0A 1X0",46.4586,-63.3319,Province of Prince Edward Island,185 hilltop avenue north rustico pe c0a 1x0,185,hilltop avenue
51,Three Oaks Senior High School,215,"10 Kenmoore Avenue, Summerside, PE C1N 4V9",46.4006,-63.77762,Province of Prince Edward Island,10 kenmoore avenue summerside pe c1n 4v9,10,kenmoore avenue
52,Georgetown Elementary School,445,"47 Kent Street, Georgetown, PE C0A 1L0",46.18321,-62.53437,Province of Prince Edward Island,47 kent street georgetown pe c0a 1l0,47,kent street
53,Central Queens Elementary School,341,"19821 Route 2, Hunter River, PE C0A 1N0",46.35496,-63.35255,Province of Prince Edward Island,19821 route 2 hunter river pe c0a 1n0,19821,route 2
54,West Kent Elementary School,355,"27 Viceroy Avenue, Charlottetown, PE C1A 2E4",46.23492,-63.14595,Province of Prince Edward Island,27 viceroy avenue charlottetown pe c1a 2e4,27,viceroy avenue
55,Morell Consolidated School,447,"7755 St Peter's Road - Rte 2, Morell, PE C0A 1S0",46.41544,-62.71022,Province of Prince Edward Island,7755 st peter's road rte 2 morell pe c0a 1s0,7755,st peter's road rte 2
56,L.M. Montgomery Elementary School,343,"69 MacWilliams Road, Charlottetown, PE C1C 1L4",46.28485,-63.10286,Province of Prince Edward Island,69 macwilliams road charlottetown pe c1c 1l4,69,macwilliams road
57,St. Louis Elementary School,135,"3807 Union Road - Rte 152, St. Louis, PE C0B 1Z0",46.88446,-64.14771,Province of Prince Edward Island,3807 union road rte 152 st louis pe c0b 1z0,3807,union road rte 152
58,Eliot River Elementary School,342,"79 Hilltop Drive, Cornwall, PE C0A 1H0",46.22433,-63.22832,Province of Prince Edward Island,79 hilltop drive cornwall pe c0a 1h0,79,hilltop drive
59,Birchwood Intermediate School,320,"49 Longworth Avenue, Charlottetown, PE C1A 5A6",46.24289,-63.12505,Province of Prince Edward Island,49 longworth avenue charlottetown pe c1a 5a6,49,longworth avenue
60,Souris Regional School,412,"15 Longworth Street, Souris, PE C0A 2B0",46.35796,-62.2503,Province of Prince Edward Island,15 longworth street souris pe c0a 2b0,15,longworth street
61,École La-Belle-Cloche,515,"861 Route 2, Rollo Bay, PE C0A 2B0",46.35448,-62.37449,Province of Prince Edward Island,861 route 2 rollo bay pe c0a 2b0,861,route 2
