idx,facility_name,ISCED020,ISCED1,ISCED2,ISCED3,grade_range,address_str,city,postal_code,province,provider,address_str_clean,street_no,street_name
130,St. Michael School,1,1,1,0,Gr. K-8,1111 BROWN STREET MOOSE JAW sk S6H 4L2,MOOSE JAW,S6H 4L2,sk,Province of Saskatchewan,1111 brown street moose jaw sk s6h 4l2,1111,brown street
131,Vanier Collegiate,0,0,1,1,Gr. 9-12,324 MACDONALD STREET W MOOSE JAW sk S6H 2V4,MOOSE JAW,S6H 2V4,sk,Province of Saskatchewan,324 macdonald street w moose jaw sk s6h 2v4,324,macdonald street w
132,Annaheim School,1,1,1,1,Gr. K-12,BOX 160 ANNAHEIM sk S0K 0G0,ANNAHEIM,S0K 0G0,sk,Province of Saskatchewan,annaheim sk s0k 0g0,,
133,Archerwill School,1,1,1,0,Gr. K-9,BOX 308 ARCHERWILL sk S0E 0B0,ARCHERWILL,S0E 0B0,sk,Province of Saskatchewan,archerwill sk s0e 0b0,,
134,Bruno School,1,1,1,1,Gr. K-12,BOX 160 BRUNO sk S0K 0S0,BRUNO,S0K 0S0,sk,Province of Saskatchewan,bruno sk s0k 0s0,,
135,Bulyea Elementary,1,1,0,0,Gr. K-6,BOX 70 BULYEA sk S0G 0L0,BULYEA,S0G 0L0,sk,Province of Saskatchewan,bulyea sk s0g 0l0,,
136,Cudworth School,1,1,1,1,Gr. K-12,BOX 490 CUDWORTH sk S0K 1B0,CUDWORTH,S0K 1B0,sk,Province of Saskatchewan,cudworth sk s0k 1b0,,
137,Drake School,1,1,1,0,Gr. K-8,BOX 23 DRAKE sk S0K 1H0,DRAKE,S0K 1H0,sk,Province of Saskatchewan,drake sk s0k 1h0,,
138,Englefeld School,1,1,1,1,Gr. K-12,PO BOX 100 ENGLEFELD sk S0K 1N0,ENGLEFELD,S0K 1N0,sk,Province of Saskatchewan,englefeld sk s0k 1n0,,
139,Foam Lake Composite High School,0,0,1,1,Gr. 7-12,BOX 790 FOAM LAKE sk S0A 1A0,FOAM LAKE,S0A 1A0,sk,Province of Saskatchewan,foam lake sk s0a 1a0,,
140,Foam Lake Elementary,1,1,0,0,Gr. K-6,BOX 939 FOAM LAKE sk S0A 1A0,FOAM LAKE,S0A 1A0,sk,Province of Saskatchewan,foam lake sk s0a 1a0,,
141,George Gordon Education Center,1,1,1,0,Gr. K-8,BOX 70 PUNNICHY sk S0A 3C0,PUNNICHY,S0A 3C0,sk,Province of Saskatchewan,punnichy sk s0a 3c0,,
142,Home-based School,1,1,1,1,Gr. K-12,sk,,,sk,Province of Saskatchewan,sk,,
143,Horizon Distance Learning Centre,0,0,0,1,Gr. 11-12,BOX 40 HUMBOLDT sk S0K 2A0,HUMBOLDT,S0K 2A0,sk,Province of Saskatchewan,humboldt sk s0k 2a0,,
144,Humboldt Collegiate Institute,0,0,1,1,Gr. 9-12,BOX 1780 HUMBOLDT sk S0K 2A0,HUMBOLDT,S0K 2A0,sk,Province of Saskatchewan,humboldt sk s0k 2a0,,
145,Humboldt Public School,1,1,1,0,Gr. K-8,BOX 848 HUMBOLDT sk S0K 2A0,HUMBOLDT,S0K 2A0,sk,Province of Saskatchewan,humboldt sk s0k 2a0,,
146,Imperial School,1,1,1,1,Gr. K-12,BOX 240 IMPERIAL sk S0G 2J0,IMPERIAL,S0G 2J0,sk,Province of Saskatchewan,imperial sk s0g 2j0,,
147,Ituna School,1,1,1,1,Gr. K-12,BOX 370 ITUNA sk S0A 1N0,ITUNA,S0A 1N0,sk,Province of Saskatchewan,ituna sk s0a 1n0,,
148,Kelvington High School,0,1,1,1,Gr. 6-12,BOX 400 KELVINGTON sk S0A 1W0,KELVINGTON,S0A 1W0,sk,Province of Saskatchewan,kelvington sk s0a 1w0,,
149,Lake Lenore School,1,1,1,1,Gr. K-12,BOX 40 LAKE LENORE sk S0K 2J0,LAKE LENORE,S0K 2J0,sk,Province of Saskatchewan,lake lenore sk s0k 2j0,,
150,Lakeside Colony School,1,1,1,0,Gr. K-9,BOX 580 QUILL LAKE sk S0A 3E0,QUILL LAKE,S0A 3E0,sk,Province of Saskatchewan,quill lake sk s0a 3e0,,
151,Lanigan Central High School,0,0,1,1,Gr. 9-12,BOX 639 LANIGAN sk S0K 2M0,LANIGAN,S0K 2M0,sk,Province of Saskatchewan,lanigan sk s0k 2m0,,
152,Lanigan Elementary School,1,1,1,0,Gr. K-8,BOX 789 LANIGAN sk S0K 2M0,LANIGAN,S0K 2M0,sk,Province of Saskatchewan,lanigan sk s0k 2m0,,
153,Leroy School,1,1,1,1,Gr. K-12,BOX 278 LEROY sk S0K 2P0,LEROY,S0K 2P0,sk,Province of Saskatchewan,leroy sk s0k 2p0,,
154,Muenster School,1,1,1,1,Gr. K-12,BOX 160 MUENSTER sk S0K 2Y0,MUENSTER,S0K 2Y0,sk,Province of Saskatchewan,muenster sk s0k 2y0,,
155,New Horizon Hutterian School,1,1,1,0,Gr. K-9,BOX 190 LESTOCK sk S0A 2G0,LESTOCK,S0A 2G0,sk,Province of Saskatchewan,lestock sk s0a 2g0,,
156,Nokomis School,1,1,1,0,Gr. K-8,BOX 129 NOKOMIS sk S0G 3R0,NOKOMIS,S0G 3R0,sk,Province of Saskatchewan,nokomis sk s0g 3r0,,
157,Punnichy Elementary,1,1,1,0,Gr. K-8,BOX 206 PUNNICHY sk S0A 3C0,PUNNICHY,S0A 3C0,sk,Province of Saskatchewan,punnichy sk s0a 3c0,,
158,Punnichy High School,0,0,1,1,Gr. 9-12,BOX 460 PUNNICHY sk S0A 3C0,PUNNICHY,S0A 3C0,sk,Province of Saskatchewan,punnichy sk s0a 3c0,,
159,Quill Lake School,1,1,1,1,Gr. K-12,BOX 250 QUILL LAKE sk S0A 3E0,QUILL LAKE,S0A 3E0,sk,Province of Saskatchewan,quill lake sk s0a 3e0,,
160,Raymore School,1,1,1,1,Gr. K-12,BOX 520 RAYMORE sk S0A 3J0,RAYMORE,S0A 3J0,sk,Province of Saskatchewan,raymore sk s0a 3j0,,
161,Robert Melrose Elementary,1,1,0,0,Gr. K-5,BOX 160 KELVINGTON sk S0A 1W0,KELVINGTON,S0A 1W0,sk,Province of Saskatchewan,kelvington sk s0a 1w0,,
162,Rose Valley School,1,1,1,1,Gr. K-12,BOX 400 ROSE VALLEY sk S0E 1M0,ROSE VALLEY,S0E 1M0,sk,Province of Saskatchewan,rose valley sk s0e 1m0,,
163,Sask Central Hutterian School,0,1,1,1,Gr. 2-12,BOX 24 SEMANS sk S0A 3S0,SEMANS,S0A 3S0,sk,Province of Saskatchewan,semans sk s0a 3s0,,
164,Schell School,1,1,1,1,Gr. K-11,BOX 28 HOLDFAST sk S0G 2H0,HOLDFAST,S0G 2H0,sk,Province of Saskatchewan,holdfast sk s0g 2h0,,
165,St. Brieux School,1,1,1,1,Gr. K-12,BOX 70 ST BRIEUX sk S0K 3V0,ST BRIEUX,S0K 3V0,sk,Province of Saskatchewan,st brieux sk s0k 3v0,,
166,Three Lakes School,1,1,1,1,Gr. K-12,BOX 38 MIDDLE LAKE sk S0K 2X0,MIDDLE LAKE,S0K 2X0,sk,Province of Saskatchewan,middle lake sk s0k 2x0,,
167,Viscount Central School,1,1,1,1,Gr. K-12,BOX 280 VISCOUNT sk S0K 4M0,VISCOUNT,S0K 4M0,sk,Province of Saskatchewan,viscount sk s0k 4m0,,
168,Wadena Composite School,0,0,1,1,Gr. 7-12,BOX 970 WADENA sk S0A 4J0,WADENA,S0A 4J0,sk,Province of Saskatchewan,wadena sk s0a 4j0,,
169,Wadena Elementary,1,1,0,0,Gr. K-6,BOX 1150 WADENA sk S0A 4J0,WADENA,S0A 4J0,sk,Province of Saskatchewan,wadena sk s0a 4j0,,
170,Wakaw School,1,1,1,1,Gr. K-12,BOX 850 WAKAW sk S0K 4P0,WAKAW,S0K 4P0,sk,Province of Saskatchewan,wakaw sk s0k 4p0,,
171,Watrous Elementary,1,1,1,0,Gr. K-7,BOX 789 WATROUS sk S0K 4T0,WATROUS,S0K 4T0,sk,Province of Saskatchewan,watrous sk s0k 4t0,,
172,Watrous Winston High School,0,0,1,1,Gr. 8-12,BOX 1089 WATROUS sk S0K 4T0,WATROUS,S0K 4T0,sk,Province of Saskatchewan,watrous sk s0k 4t0,,
173,Watson School,1,1,1,1,Gr. K-12,BOX 100 WATSON sk S0K 4V0,WATSON,S0K 4V0,sk,Province of Saskatchewan,watson sk s0k 4v0,,
174,William Derby School,1,1,1,1,Gr. K-12,BOX 517 STRASBOURG sk S0G 4V0,STRASBOURG,S0G 4V0,sk,Province of Saskatchewan,strasbourg sk s0g 4v0,,
175,Wynyard Composite High School,0,0,1,1,Gr. 7-12,BOX 880 WYNYARD sk S0A 4T0,WYNYARD,S0A 4T0,sk,Province of Saskatchewan,wynyard sk s0a 4t0,,
176,Wynyard Elementary,1,1,0,0,Gr. K-6,BOX 789 WYNYARD sk S0A 4T0,WYNYARD,S0A 4T0,sk,Province of Saskatchewan,wynyard sk s0a 4t0,,
177,Rossignol Elementary School,1,1,0,0,Gr. K-6,BOX 70 ILE-A-LA-CROSSE sk S0M 1C0,ILE-A-LA-CROSSE,S0M 1C0,sk,Province of Saskatchewan,ile a la crosse sk s0m 1c0,,
178,Rossignol High School,0,0,1,1,Gr. 7-12,BOX 570 ILE-A-LA-CROSSE sk S0M 1C0,ILE-A-LA-CROSSE,S0M 1C0,sk,Province of Saskatchewan,ile a la crosse sk s0m 1c0,,
179,École Monseigneur Blaise Morand,1,1,1,0,Gr. K-7,1651 96TH STREET NORTH BATTLEFORD sk S9A 0H7,NORTH BATTLEFORD,S9A 0H7,sk,Province of Saskatchewan,1651 96th street north battleford sk s9a 0h7,1651,96th street
180,Holy Family School,1,1,1,0,Gr. K-7,9201 19TH AVENUE NORTH BATTLEFORD sk S9A 2W2,NORTH BATTLEFORD,S9A 2W2,sk,Province of Saskatchewan,9201 19th avenue north battleford sk s9a 2w2,9201,19th avenue
181,Home-based School,1,1,1,1,Gr. K-12,sk,,,sk,Province of Saskatchewan,sk,,
182,John Paul II Collegiate,0,0,1,1,Gr. 8-12,1491 97TH STREET NORTH BATTLEFORD sk S9A 0K1,NORTH BATTLEFORD,S9A 0K1,sk,Province of Saskatchewan,1491 97th street north battleford sk s9a 0k1,1491,97th street
183,Notre Dame School,1,1,1,0,Gr. K-7,1241 105TH STREET NORTH BATTLEFORD sk S9A 1S8,NORTH BATTLEFORD,S9A 1S8,sk,Province of Saskatchewan,1241 105th street north battleford sk s9a 1s8,1241,105th street
184,Rivier Elementary School,1,1,0,0,Gr. K-6,BOX 678 SPIRITWOOD sk S0J 2M0,SPIRITWOOD,S0J 2M0,sk,Province of Saskatchewan,spiritwood sk s0j 2m0,,
185,St. Mary School,1,1,1,0,Gr. K-7,1352 110TH STREET NORTH BATTLEFORD sk S9A 2J1,NORTH BATTLEFORD,S9A 2J1,sk,Province of Saskatchewan,1352 110th street north battleford sk s9a 2j1,1352,110th street
186,St. Peter's School,1,1,0,0,Gr. K-6,BOX 598 UNITY sk S0K 4L0,UNITY,S0K 4L0,sk,Province of Saskatchewan,unity sk s0k 4l0,,
187,Battleford Central Elementary,1,1,0,0,Gr. K-6,BOX 400 BATTLEFORD sk S0M 0E0,BATTLEFORD,S0M 0E0,sk,Province of Saskatchewan,battleford sk s0m 0e0,,
188,Bready Elementary,1,1,0,0,Gr. K-6,9001 17TH AVENUE NORTH BATTLEFORD sk S9A 2V1,NORTH BATTLEFORD,S9A 2V1,sk,Province of Saskatchewan,9001 17th avenue north battleford sk s9a 2v1,9001,17th avenue
189,Cando Community School,1,1,1,1,Gr. K-12,BOX 250 CANDO sk S0K 0V0,CANDO,S0K 0V0,sk,Province of Saskatchewan,cando sk s0k 0v0,,
190,Connaught Elementary School,1,1,0,0,Gr. K-6,902 107TH STREET NORTH BATTLEFORD sk S9A 1Y7,NORTH BATTLEFORD,S9A 1Y7,sk,Province of Saskatchewan,902 107th street north battleford sk s9a 1y7,902,107th street
191,Cut Knife Community School,1,1,1,1,Gr. K-12,BOX 430 CUT KNIFE sk S0M 0N0,CUT KNIFE,S0M 0N0,sk,Province of Saskatchewan,cut knife sk s0m 0n0,,
192,Hafford Central School,1,1,1,1,Gr. K-12,BOX 97 HAFFORD sk S0J 1A0,HAFFORD,S0J 1A0,sk,Province of Saskatchewan,hafford sk s0j 1a0,,
193,Hartley Clark Elementary School,1,1,0,0,Gr. K-6,BOX 729 SPIRITWOOD sk S0J 2M0,SPIRITWOOD,S0J 2M0,sk,Province of Saskatchewan,spiritwood sk s0j 2m0,,
194,Heritage Christian School,1,1,1,0,Gr. K-8,BOX 490 BATTLEFORD sk S0M 0E0,BATTLEFORD,S0M 0E0,sk,Province of Saskatchewan,battleford sk s0m 0e0,,
195,Hillsvale Colony School,0,1,1,0,Gr. 1-8,BOX 368 CUT KNIFE sk S0M 0N0,CUT KNIFE,S0M 0N0,sk,Province of Saskatchewan,cut knife sk s0m 0n0,,
196,Home-based School,1,1,1,1,Gr. K-12,sk,,,sk,Province of Saskatchewan,sk,,
197,Kerrobert Composite School,1,1,1,1,Gr. K-12,BOX 258 KERROBERT sk S0L 1R0,KERROBERT,S0L 1R0,sk,Province of Saskatchewan,kerrobert sk s0l 1r0,,
198,Lakeview Colony School,0,1,1,0,Gr. 1-8,BOX 366 UNITY sk S0K 4L0,UNITY,S0K 4L0,sk,Province of Saskatchewan,unity sk s0k 4l0,,
199,Lawrence Elementary School,1,1,0,0,Gr. K-6,1942 102ND STREET NORTH BATTLEFORD sk S9A 1H7,NORTH BATTLEFORD,S9A 1H7,sk,Province of Saskatchewan,1942 102nd street north battleford sk s9a 1h7,1942,102nd street
200,Leoville Central School,1,1,1,1,Gr. K-12,BOX 39 LEOVILLE sk S0J 1N0,LEOVILLE,S0J 1N0,sk,Province of Saskatchewan,leoville sk s0j 1n0,,
201,Luseland School,1,1,1,1,Gr. K-12,BOX 399 LUSELAND sk S0L 2A0,LUSELAND,S0L 2A0,sk,Province of Saskatchewan,luseland sk s0l 2a0,,
202,Macklin School,1,1,1,1,Gr. K-12,"BOX 518, MACKLIN sk S0L 2C0",MACKLIN,S0L 2C0,sk,Province of Saskatchewan,macklin sk s0l 2c0,,
203,Maymont Central School,1,1,1,1,Gr. K-12,BOX 129 MAYMONT sk S0M 1T0,MAYMONT,S0M 1T0,sk,Province of Saskatchewan,maymont sk s0m 1t0,,
204,McKitrick Community School,1,1,0,0,Gr. K-6,1500 101ST STREET NORTH BATTLEFORD sk S9A 1A4,NORTH BATTLEFORD,S9A 1A4,sk,Province of Saskatchewan,1500 101st street north battleford sk s9a 1a4,1500,101st street
205,McLurg High School,0,0,1,1,Gr. 7-12,BOX 489 WILKIE sk S0K 4W0,WILKIE,S0K 4W0,sk,Province of Saskatchewan,wilkie sk s0k 4w0,,
206,Meadow Lake Christian Academy,1,1,1,1,Gr. K-11,APT 208 - 9TH AVENUE EAST MEADOW LAKE sk S9X 1G3,MEADOW LAKE,S9X 1G3,sk,Province of Saskatchewan,apt 208 9th avenue east meadow lake sk s9x 1g3,,9th avenue east
207,Medstead Central School,1,1,1,1,Gr. K-12,BOX 150 MEDSTEAD sk S0M 1W0,MEDSTEAD,S0M 1W0,sk,Province of Saskatchewan,medstead sk s0m 1w0,,
208,Norman Carter Elementary School,1,1,0,0,Gr. K-6,BOX 879 WILKIE sk S0K 4W0,WILKIE,S0K 4W0,sk,Province of Saskatchewan,wilkie sk s0k 4w0,,
209,North Battleford Comprehensive High School,0,0,1,1,Gr. 7-12,1791 110TH STREET NORTH BATTLEFORD sk S9A 2Y2,NORTH BATTLEFORD,S9A 2Y2,sk,Province of Saskatchewan,1791 110th street north battleford sk s9a 2y2,1791,110th street
210,Scott Colony School,1,1,1,0,Gr. K-7,BOX 1510 UNITY sk S0K 4L0,UNITY,S0K 4L0,sk,Province of Saskatchewan,unity sk s0k 4l0,,
211,Spiritwood High School,0,0,1,1,Gr. 7-12,BOX 280 SPIRITWOOD sk S0J 2M0,SPIRITWOOD,S0J 2M0,sk,Province of Saskatchewan,spiritwood sk s0j 2m0,,
212,St. Vital Catholic School,1,1,1,0,Gr. K-7,BOX 358 BATTLEFORD sk S0M 0E0,BATTLEFORD,S0M 0E0,sk,Province of Saskatchewan,battleford sk s0m 0e0,,
213,Unity Composite High School,0,0,1,1,Gr. 7-12,BOX 1000 UNITY sk S0K 4L0,UNITY,S0K 4L0,sk,Province of Saskatchewan,unity sk s0k 4l0,,
214,Unity Public School,1,1,0,0,Gr. K-6,BOX 1150 UNITY sk S0K 4L0,UNITY,S0K 4L0,sk,Province of Saskatchewan,unity sk s0k 4l0,,
215,École St. Thomas Elementary,1,1,1,0,Gr. K-7,6524 35TH ST LLOYDMINSTER sk T9V 3H1,LLOYDMINSTER,T9V 3H1,sk,Province of Saskatchewan,6524 35th st lloydminster sk t9v 3h1,6524,35th st
216,Father Gorman Community School,1,1,1,0,Gr. K-7,3112 47TH AVENUE LLOYDMINSTER sk S9V 1G5,LLOYDMINSTER,S9V 1G5,sk,Province of Saskatchewan,3112 47th avenue lloydminster sk s9v 1g5,3112,47th avenue
217,Holy Rosary High School,0,0,1,1,Gr. 8-12,6611A 39TH STREET LLOYDMINSTER sk T9V 2Z4,LLOYDMINSTER,T9V 2Z4,sk,Province of Saskatchewan,6611a 39th street lloydminster sk t9v 2z4,6611a,39th street
218,Home-based School,0,1,1,1,Gr. 1-12,sk,,,sk,Province of Saskatchewan,sk,,
219,Mother Teresa Early Childhood Education Center,1,1,0,0,Gr. K-2,5216 44TH ST LLOYDMINSTER sk T9V 1R6,LLOYDMINSTER,T9V 1R6,sk,Province of Saskatchewan,5216 44th st lloydminster sk t9v 1r6,5216,44th st
220,St. Joseph Elementary School,1,1,1,0,Gr. K-7,5706 27TH STREET LLOYDMINSTER sk T9V 2B8,LLOYDMINSTER,T9V 2B8,sk,Province of Saskatchewan,5706 27th street lloydminster sk t9v 2b8,5706,27th street
221,St. Mary's Elementary School,1,1,1,0,Gr. K-7,5207 42ND ST LLOYDMINSTER sk T9V 1M8,LLOYDMINSTER,T9V 1M8,sk,Province of Saskatchewan,5207 42nd st lloydminster sk t9v 1m8,5207,42nd st
222,Avery Outreach School,0,1,1,1,Gr. 5-12,4111 48 AVENUE LLOYDMINSTER sk S9V 0V7,LLOYDMINSTER,S9V 0V7,sk,Province of Saskatchewan,4111 48 avenue lloydminster sk s9v 0v7,4111,48 avenue
223,Barr Colony School,1,1,0,0,Gr. K-6,3103 52ND AVENUE LLOYDMINSTER sk T9V 1M9,LLOYDMINSTER,T9V 1M9,sk,Province of Saskatchewan,3103 52nd avenue lloydminster sk t9v 1m9,3103,52nd avenue
224,Bishop Lloyd Middle School,0,0,1,0,Gr. 7-9,5524 31ST STREET LLOYDMINSTER sk T9V 1W1,LLOYDMINSTER,T9V 1W1,sk,Province of Saskatchewan,5524 31st street lloydminster sk t9v 1w1,5524,31st street
225,College Park School,1,1,1,0,Gr. K-9,2115 56 AVE LLOYDMINSTER sk T9V 2W2,LLOYDMINSTER,T9V 2W2,sk,Province of Saskatchewan,2115 56 ave lloydminster sk t9v 2w2,2115,56 ave
226,E.S. Laird Middle School,0,0,1,0,Gr. 7-9,4808 45TH AVENUE LLOYDMINSTER sk S9V 0X4,LLOYDMINSTER,S9V 0X4,sk,Province of Saskatchewan,4808 45th avenue lloydminster sk s9v 0x4,4808,45th avenue
227,Jack Kemp School,1,1,0,0,Gr. K-6,3701 47 AVENUE LLOYDMINSTER sk S9V 1K9,LLOYDMINSTER,S9V 1K9,sk,Province of Saskatchewan,3701 47 avenue lloydminster sk s9v 1k9,3701,47 avenue
228,Lloydminster Comprehensive High School,0,0,0,1,Gr. 10-12,5615 42ND ST LLOYDMINSTER sk T9V 0A2,LLOYDMINSTER,T9V 0A2,sk,Province of Saskatchewan,5615 42nd st lloydminster sk t9v 0a2,5615,42nd st
229,Queen Elizabeth School,1,1,0,0,Gr. K-6,5512 51ST AVENUE LLOYDMINSTER sk T9V 0Y7,LLOYDMINSTER,T9V 0Y7,sk,Province of Saskatchewan,5512 51st avenue lloydminster sk t9v 0y7,5512,51st avenue
230,Rendell Park School,1,1,0,0,Gr. K-6,3401 57TH AVENUE LLOYDMINSTER sk T9V 2K6,LLOYDMINSTER,T9V 2K6,sk,Province of Saskatchewan,3401 57th avenue lloydminster sk t9v 2k6,3401,57th avenue
231,Winston Churchill School,1,1,0,0,Gr. K-6,4402 27TH STREET LLOYDMINSTER sk S9V 1R8,LLOYDMINSTER,S9V 1R8,sk,Province of Saskatchewan,4402 27th street lloydminster sk s9v 1r8,4402,27th street
232,Arborfield School,1,1,1,1,Gr. K-12,BOX 70 ARBORFIELD sk S0E 0A0,ARBORFIELD,S0E 0A0,sk,Province of Saskatchewan,arborfield sk s0e 0a0,,
233,Bjorkdale School,1,1,1,1,Gr. K-12,BOX 98 BJORKDALE sk S0E 0E0,BJORKDALE,S0E 0E0,sk,Province of Saskatchewan,bjorkdale sk s0e 0e0,,
234,Brunswick School,1,1,0,0,Gr. K-6,BOX 6100 MELFORT sk S0E 1A0,MELFORT,S0E 1A0,sk,Province of Saskatchewan,melfort sk s0e 1a0,,
235,Carrot River Elementary School,1,1,0,0,Gr. K-4,BOX 700 CARROT RIVER sk S0E 0L0,CARROT RIVER,S0E 0L0,sk,Province of Saskatchewan,carrot river sk s0e 0l0,,
236,Carrot River Jr. Sr. High School,0,1,1,1,Gr. 5-12,BOX 759 CARROT RIVER sk S0E 0L0,CARROT RIVER,S0E 0L0,sk,Province of Saskatchewan,carrot river sk s0e 0l0,,
237,Central Park Elementary School,1,1,0,0,Gr. K-3,BOX 10 NIPAWIN sk S0E 1E0,NIPAWIN,S0E 1E0,sk,Province of Saskatchewan,nipawin sk s0e 1e0,,
238,Gronlid Central School,1,1,1,0,Gr. K-8,BOX 114 GRONLID sk S0E 0W0,GRONLID,S0E 0W0,sk,Province of Saskatchewan,gronlid sk s0e 0w0,,
239,Home-based School,1,1,1,1,Gr. K-12,sk,,,sk,Province of Saskatchewan,sk,,
240,Hudson Bay Community School,1,1,1,1,Gr. K-12,BOX 1268 HUDSON BAY sk S0E 0Y0,HUDSON BAY,S0E 0Y0,sk,Province of Saskatchewan,hudson bay sk s0e 0y0,,
241,L.P. Miller Comprehensive School,0,0,1,1,Gr. 7-12,BOX 2650 NIPAWIN sk S0E 1E0,NIPAWIN,S0E 1E0,sk,Province of Saskatchewan,nipawin sk s0e 1e0,,
242,Maude Burke Elementary School,1,1,0,0,Gr. K-6,BOX 6300 MELFORT sk S0E 1A0,MELFORT,S0E 1A0,sk,Province of Saskatchewan,melfort sk s0e 1a0,,
243,Melfort & Unit Comprehensive Collegiate,0,0,1,1,Gr. 7-12,PO BOX 99 MELFORT sk S0E 1A0,MELFORT,S0E 1A0,sk,Province of Saskatchewan,melfort sk s0e 1a0,,
244,Naicam School,1,1,1,1,Gr. K-12,BOX 220 NAICAM sk S0K 2Z0,NAICAM,S0K 2Z0,sk,Province of Saskatchewan,naicam sk s0k 2z0,,
245,Porcupine Plain Comprehensive School,1,1,1,1,Gr. K-12,P O BOX 579 PORCUPINE PLAIN sk S0E 1H0,PORCUPINE PLAIN,S0E 1H0,sk,Province of Saskatchewan,p o porcupine plain sk s0e 1h0,,
246,Reynolds Central School,1,1,0,0,Gr. K-6,BOX 2829 MELFORT sk S0E 1A0,MELFORT,S0E 1A0,sk,Province of Saskatchewan,melfort sk s0e 1a0,,
247,Star City Colony School,0,1,1,0,Gr. 3-9,BOX 340 STAR CITY sk S0E 1P0,STAR CITY,S0E 1P0,sk,Province of Saskatchewan,star city sk s0e 1p0,,
248,Star City School,1,1,1,1,Gr. K-12,BOX 400 STAR CITY sk S0E 1P0,STAR CITY,S0E 1P0,sk,Province of Saskatchewan,star city sk s0e 1p0,,
249,Tisdale Elementary School,1,1,0,0,Gr. K-5,BOX 1928 TISDALE sk S0E 1T0,TISDALE,S0E 1T0,sk,Province of Saskatchewan,tisdale sk s0e 1t0,,
250,Tisdale Middle & Secondary School,0,1,1,1,Gr. 6-12,BOX 1000 TISDALE sk S0E 1T0,TISDALE,S0E 1T0,sk,Province of Saskatchewan,tisdale sk s0e 1t0,,
251,Wagner Elementary School,0,1,0,0,Gr. 4-6,BOX 460 NIPAWIN sk S0E 1E0,NIPAWIN,S0E 1E0,sk,Province of Saskatchewan,nipawin sk s0e 1e0,,
252,White Fox School,1,1,1,0,Gr. K-9,BOX 250 WHITE FOX sk S0J 3B0,WHITE FOX,S0J 3B0,sk,Province of Saskatchewan,white fox sk s0j 3b0,,
253,William Mason School,1,1,1,1,Gr. K-12,BOX 219 CHOICELAND sk S0J 0M0,CHOICELAND,S0J 0M0,sk,Province of Saskatchewan,choiceland sk s0j 0m0,,
254,Ben Mcintyre School,1,1,1,0,Gr. K-9,BOX 222 URANIUM CITY sk S0J 2W0,URANIUM CITY,S0J 2W0,sk,Province of Saskatchewan,uranium city sk s0j 2w0,,
255,Charlebois Community School,1,1,1,1,Gr. K-12,BOX 40 CUMBERLAND HOUSE sk S0E 0S0,CUMBERLAND HOUSE,S0E 0S0,sk,Province of Saskatchewan,cumberland house sk s0e 0s0,,
256,Churchill Community High School,0,0,1,1,Gr. 7-12,BAG SERVICE #7500 LA RONGE sk S0J 1L0,LA RONGE,S0J 1L0,sk,Province of Saskatchewan,bag service #7500 la ronge sk s0j 1l0,,
257,Dene High School,0,1,1,1,Gr. 6-12,BAG SERVICE 3 LA LOCHE sk S0M 1G0,LA LOCHE,S0M 1G0,sk,Province of Saskatchewan,bag service 3 la loche sk s0m 1g0,,
258,Ducharme Elementary School,1,1,0,0,Gr. K-6,BAG SERVICE 4 LA LOCHE sk S0M 1G0,LA LOCHE,S0M 1G0,sk,Province of Saskatchewan,bag service 4 la loche sk s0m 1g0,,
259,Gordon Denny Community School,1,1,0,0,Gr. K-6,BAG SERVICE #7300 LA RONGE sk S0J 1L0,LA RONGE,S0J 1L0,sk,Province of Saskatchewan,bag service #7300 la ronge sk s0j 1l0,,
260,Hector Thiboutot Community School,1,1,1,1,Gr. K-12,BOX 150 SANDY BAY sk S0P 0G0,SANDY BAY,S0P 0G0,sk,Province of Saskatchewan,sandy bay sk s0p 0g0,,
261,Home-based School,0,1,1,1,Gr. 1-11,sk,,,sk,Province of Saskatchewan,sk,,
262,Jans Bay School,1,1,1,0,Gr. K-8,GENERAL DELIVERY CANOE NARROWS sk S0M 0K0,CANOE NARROWS,S0M 0K0,sk,Province of Saskatchewan,general delivery canoe narrows sk s0m 0k0,,general delivery
263,Kiskahikan School,1,1,1,0,Gr. K-9,BOX 72 WEYAKWIN sk S0J 1W0,WEYAKWIN,S0J 1W0,sk,Province of Saskatchewan,weyakwin sk s0j 1w0,,
264,Lakeview School,1,1,1,0,Gr. K-8,BOX 50 COLE BAY sk S0M 0M0,COLE BAY,S0M 0M0,sk,Province of Saskatchewan,cole bay sk s0m 0m0,,
265,Masinahikana School,0,0,0,1,Gr. 10-12,BAG SERVICE #6500 LA RONGE sk S0J 1L0,LA RONGE,S0J 1L0,sk,Province of Saskatchewan,bag service #6500 la ronge sk s0j 1l0,,
266,Minahik Waskahigan Elementary School,1,1,0,0,Gr. K-6,BOX 160 PINEHOUSE LAKE sk S0J 2B0,PINEHOUSE LAKE,S0J 2B0,sk,Province of Saskatchewan,pinehouse lake sk s0j 2b0,,
267,Minahik Waskahigan High School,0,0,1,1,Gr. 7-12,BOX 160 PINEHOUSE LAKE sk S0J 2B0,PINEHOUSE LAKE,S0J 2B0,sk,Province of Saskatchewan,pinehouse lake sk s0j 2b0,,
