idx,facility_name,ISCED020,ISCED1,ISCED2,ISCED3,grade_range,address_str,city,postal_code,province,provider,address_str_clean,street_no,street_name
32,Maple Creek Composite School,0,1,1,1,Gr. 6-12,PO BOX 369 MAPLE CREEK sk S0N 1N0,MAPLE CREEK,S0N 1N0,sk,Province of Saskatchewan,maple creek sk s0n 1n0,,
33,Maverick School,0,0,0,1,Gr. 10-12,580 6TH AVE SE SWIFT CURRENT sk S9H 3P6,SWIFT CURRENT,S9H 3P6,sk,Province of Saskatchewan,580 6th ave se swift current sk s9h 3p6,580,6th ave se
34,McMahon Colony School,0,1,1,0,Gr. 1-9,P.O. BOX 490 SWIFT CURRENT sk S9H 3V3,SWIFT CURRENT,S9H 3V3,sk,Province of Saskatchewan,swift current sk s9h 3v3,,
35,Norfolk Hutterite School,1,1,1,1,Gr. K-10,BOX 357 HODGEVILLE sk S0H 2B0,HODGEVILLE,S0H 2B0,sk,Province of Saskatchewan,hodgeville sk s0h 2b0,,
36,O.M. Irwin School,1,1,1,0,Gr. K-8,999 GEORGE STREET E SWIFT CURRENT sk S6H 1Z3,SWIFT CURRENT,S6H 1Z3,sk,Province of Saskatchewan,999 george street e swift current sk s6h 1z3,999,george street e
37,Pelletier Hill Hutterite School,1,1,1,0,Gr. K-9,R.R. #1 ADMIRAL sk S0N 0B0,ADMIRAL,S0N 0B0,sk,Province of Saskatchewan,rr #1 admiral sk s0n 0b0,,rr #1
38,Pennant Colony School,1,1,1,1,Gr. K-10,BOX 38 PENNANT sk S0N 1X0,PENNANT,S0N 1X0,sk,Province of Saskatchewan,pennant sk s0n 1x0,,
39,Ponteix School,1,1,1,1,Gr. K-12,BOX 630 PONTEIX sk S0N 1Z0,PONTEIX,S0N 1Z0,sk,Province of Saskatchewan,ponteix sk s0n 1z0,,
40,Ruskin Hutterian School,1,1,1,1,Gr. K-10,PO BOX 894 STN MAIN SWIFT CURRENT sk S9H 3W8,SWIFT CURRENT,S9H 3W8,sk,Province of Saskatchewan,stn main swift current sk s9h 3w8,,
41,Sand Lake Hutterite Elementary,0,1,1,0,Gr. 1-8,BOX 278 VAL MARIE sk S0N 2T0,VAL MARIE,S0N 2T0,sk,Province of Saskatchewan,val marie sk s0n 2t0,,
42,Shaunavon High School,0,0,1,1,Gr. 8-12,BOX 1148 SHAUNAVON sk S0N 2M0,SHAUNAVON,S0N 2M0,sk,Province of Saskatchewan,shaunavon sk s0n 2m0,,
43,Shaunavon Public School,1,1,1,0,Gr. K-7,BOX 1628 SHAUNAVON sk S0N 2M0,SHAUNAVON,S0N 2M0,sk,Province of Saskatchewan,shaunavon sk s0n 2m0,,
44,Sidney Street School,1,1,0,0,Gr. K-5,BOX 69 MAPLE CREEK sk S0N 1N0,MAPLE CREEK,S0N 1N0,sk,Province of Saskatchewan,maple creek sk s0n 1n0,,
45,Sierra Hutterite School,1,1,1,0,Gr. K-9,BOX 33 SHAUNAVON sk S0N 2M0,SHAUNAVON,S0N 2M0,sk,Province of Saskatchewan,shaunavon sk s0n 2m0,,
46,Southland Hutterite School,1,1,1,0,Gr. K-9,BOX 459 HERBERT sk S0H 2A0,HERBERT,S0H 2A0,sk,Province of Saskatchewan,herbert sk s0h 2a0,,
