OBJECTID,AssetID,FacilityID,LegacyID,LifeCycleStatus,SubType,Enabled,Location,StreetName,InstallDate,RecordedLength,WarrantyDate,AssetOwner,AssetManager,Contractor,RoadUse,AreaAdjustments,NetworkID,NetworkName,NetworkComments,Comments,StreetType,DesignSpeed,DowelLength,DowelSize,ReinforcingSize,ReinforcingSpacing,PrimaryImage,OneWay,Description,BridgeDesign,DesignLoadRating,SpanType,SpanLength,PaintType,PaintColor,DeckMaterial,DeckThickness,FaceCurbWidth,DeckWidth,RailType,RailHeight,WidthBetweenRails,TrafficType,ConditionDate,AcquisitionCost,DeprecationMethod,ExpectedLife,ResidualValue,created_user,created_date,last_edited_user,last_edited_date,SubType_TEXT,Condition,CoFScore,CoFDate,RiskScore,Link,DF,Shape__Length
416,17,17,,Active,5,True,5072 Willow Cale Rd,Willow Cale Rd,2008-01-01T00:00:00.000Z,,,CPG,,,Major Collector,,,,,B23,,,,,,,,False,,,,,,,Grey,,,,10.85,,,,Vehicle,,,,,,TLATKOWSKI,2014-06-12T20:56:28.000Z,GISADMIN,2014-08-06T00:03:01.000Z,,,,,,,,15.8160277480074
417,18,18,,Active,5,True,1414 Willowbrook Rd,Willowbrook Rd,1975-01-01T00:00:00.000Z,,,CPG,,,Local,,,,,B24,,,,,,,,False,,,,,,,,,,,2.22,,,,Vehicle,,,,,,TLATKOWSKI,2014-06-12T21:01:47.000Z,GISADMIN,2014-08-06T00:03:03.000Z,,,,,,,,2.3330268618797
801,19,19,,Active,5,True,Yellowhead Bridge,HWY 16,1988-01-01T00:00:00.000Z,,,MOH,,,Highway,,,,,Yellowhead Bridge,,,,,,,,False,,,,,,,,,,,,,,,Vehicle,,,,,,TLATKOWSKI,2014-06-13T17:57:48.000Z,GISADMIN,2015-06-02T20:35:17.000Z,,,,,,,,500.962417317784
802,20,20,,Active,2,True,CNR Rail Bridge,,1914-01-01T00:00:00.000Z,,,Other,,,,,,,,CNR Rail Bridge,,,,,,,,False,,,,,,,,,,,,,,,Railroad,,,,,,TLATKOWSKI,2014-06-13T18:02:06.000Z,TLATKOWSKI,2014-08-22T23:39:56.000Z,RTruss,,,,,,,813.535413405103
803,21,21,,Active,5,True,Simon Fraser Bridge,HWY 97,2009-01-01T00:00:00.000Z,,,MOH,,,Highway,,,,,Simon Fraser Bridge - Northbound,,,,,,,,False,,,,,,,,,,,,,,,Vehicle,,,,,,TLATKOWSKI,2014-06-13T18:10:10.000Z,GISADMIN,2015-06-02T20:58:40.000Z,,,,,,,,392.810941437306
804,22,22,,Active,2,True,Simon Fraser Bridge,HWY 97,1963-01-01T00:00:00.000Z,,,MOH,,,Highway,,,,,Simon Fraser Bridge- Southbound,,,,,,,,True,,,,,,,,,,,,,,,Vehicle,,,,,,TLATKOWSKI,2014-06-13T18:11:30.000Z,GISADMIN,2015-06-02T20:58:33.000Z,RTruss,,,,,,,391.231661223558
805,23,23,,Active,5,True,John Hart Bridge,HWY 97,1960-01-01T00:00:00.000Z,,,MOH,,,Highway,,,,,John Hart Bridge - Northbound,,,,,,,,False,,,,,,,,,,,,,,,Vehicle,,,,,,TLATKOWSKI,2014-06-13T19:24:47.000Z,GISADMIN,2015-06-02T20:58:28.000Z,,,,,,,,231.725533103869
806,24,24,,Active,5,True,John Hart Bridge,HWY 97,2001-01-01T00:00:00.000Z,,,MOH,,,Highway,,,,,John Hart Bridge - Southbound - new twinned bridge,,,,,,,,False,,,,,,,,,,,,,,,Vehicle,,,,,,TLATKOWSKI,2014-06-13T19:26:37.000Z,GISADMIN,2015-06-02T20:35:35.000Z,,,,,,,,228.25426436387
807,25,25,,Active,5,True,632 Hart Hwy,HWY 97,1960-01-01T00:00:00.000Z,,,MOH,,,Highway,,,,,Overpass north of John Hart Bridge,,,,,,,,False,,,,,,,,,,,,,,,Vehicle,,,,,,TLATKOWSKI,2014-06-13T19:38:08.000Z,GISADMIN,2014-08-06T00:03:17.000Z,,,,,,,,50.527495852561
1201,26,26,,Active,2,True,460 River Rd,,,,,,,,,,,,,,,,"18""","3/4""",0.75,"3.00""",,False,,,,,,,,,,,,,,,,,,,,,TLATKOWSKI,2015-03-12T23:45:29.000Z,GISADMIN,2019-05-01T23:29:43.000Z,RTruss,,,,,,,13.9810729561184
1601,27,27,,Active,2,True,Cottonwood Island Nature Park,,2018-01-01T00:00:00.000Z,,,CPG,,,,,,,,I-Beam,,,"18""","3/4""",0.75,"3.00""",,False,,,,,,,,,,,,,,,,,,,,,TLATKOWSKI,2018-04-16T18:02:03.000Z,GISADMIN,2018-04-17T08:13:53.000Z,RTruss,,,,,,,32.2008408166237
2001,28,28,,Active,2,True,Carrie Jane Grey Park,,,,,CPG,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,TLATKOWSKI,2018-05-02T16:26:35.000Z,GISADMIN,2018-05-03T08:18:43.000Z,RTruss,,,,,,,7.66157695935398
