Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,idx1,idx2,Name_1,Name_2,Name_DL,Name_CS,Addr_CS,Addr_LCS,Address_1,Address_2,StrNum_Match,StrName_DL,StrName_CS,PC_Match,Distance,ISCED020_Match,ISCED1_Match,ISCED2_Match,ISCED3_Match,ISCED4+_Match,Check_1,Check_2,manual,idx_keep,idx_name,reason,errors,hierarchy_keep
16,16,16,16,16,16,7b0723cb9985c80314e3,10cd32282fa01765b240,SD57 StrongStart Centre 01,SD57 StrongStart Centre 06,0.961538462,0.939393939,0.618589574,0.582278481,3805 Rainbow Dr Prince George BC V2M 3W2,251 Ogilive St Prince George BC V2M 3M4,0,0.2,0.0,0,,1,1,1,1,1,False,False,False,,,different address,,NA
17,17,17,17,17,17,7b0723cb9985c80314e3,584040600e690748ce47,SD57 StrongStart Centre 01,SD57 StrongStart Centre 05,0.961538462,0.939393939,0.610830961,0.567901235,3805 Rainbow Dr Prince George BC V2M 3W2,3500 Westwood Dr Prince George BC V2N 1S1,0,0.363636364,0.261116484,0,3.516598264,1,1,1,1,1,False,False,False,,,different address,,NA
18,18,18,18,18,18,7b0723cb9985c80314e3,9472ddf6018b1510a2c4,SD57 StrongStart Centre 01,SD57 StrongStart Centre 04,0.961538462,0.939393939,0.581486165,0.556962025,3805 Rainbow Dr Prince George BC V2M 3W2,1193 Harper St Prince George BC V2M 2X1,0,0.2,0.095346259,0,1.069070689,1,1,1,1,1,False,False,False,,,different address,,NA
19,19,19,19,19,19,7b0723cb9985c80314e3,a992a28215897c1c0830,SD57 StrongStart Centre 01,SD57 StrongStart Centre 03,0.961538462,0.939393939,0.591836735,0.564102564,3805 Rainbow Dr Prince George BC V2M 3W2,1401 17th Ave Prince George BC V2L 3Z2,0,0.1,0.0,0,,1,1,1,1,1,False,False,False,,,different address,,NA
20,20,20,20,20,20,7b0723cb9985c80314e3,7a96cbba7cf2b8f0230b,SD57 StrongStart Centre 01,SD57 StrongStart Centre 02,0.961538462,0.939393939,0.544331054,0.49382716,3805 Rainbow Dr Prince George BC V2M 3W2,2579 Victoria St Prince George BC V2L 2M3,0,0.181818182,0.0,0,3.142278199,1,1,1,1,1,False,False,False,,,different address,,NA
21,21,21,21,21,21,132b8b9b0fc08d0a2693,1df0d9ad328d56f8a820,Alexis Park AM StrongStart Centre,Alexis Park PM StrongStart Centre,0.96969697,0.952380952,1.0,1.0,4205 35 St Vernon BC V1T 6C4,4205 35 St Vernon BC V1T 6C4,1,1.0,1.0,1,0.0,1,1,1,1,1,True,True,False,,,different names,,NA
22,22,22,22,22,22,92d4eb233d29f3740692,d7cf1cfcc94bb6cd2729,Glenmore Elementary,North Glenmore Elementary,0.76,0.902109796,0.386356231,0.432432432,960 Glenmore Dr Kelowna BC V1Y 4P1,125 Snowsell St North Kelowna BC V1V 2E3,0,0.076923077,0.0,0,3.668532704,1,1,1,1,1,False,False,False,,,different address,,NA
23,23,23,23,23,23,7f6acd70438384dd8bf1,a9f87bd2e88312bc62d5,SD 47 StrongStart BC Outreach Program #1,SD 47 StrongStart BC Outreach Program #2,0.975,0.959183673,1.0,1.0,4351 Ontario Ave Powell River BC V8A 1V3,4351 Ontario Ave Powell River BC V8A 1V3,1,1.0,1.0,1,0.0,1,1,1,1,1,True,True,False,,,different names,,NA
24,24,24,24,24,24,fa23d47ee532e800aa00,a003169c1de0f22d5101,Vancouver Career College Vancouver,Vancouver College,0.5,0.915249233,0.512764563,0.529411765,5th Floor 549 Howe Street Vancouver British Columbia V6C2C2 Canada,5400 Cartier St Vancouver BC V6M 3A5,0,0.4,0.319801075,0,5.560730829,0,0,0,0,0,False,False,False,,,different address,,NA
25,25,25,25,25,25,f6cc68b7cb58d53392aa,a003169c1de0f22d5101,Q College Vancouver,Vancouver College,0.157894737,0.953462589,0.471435664,0.475247525,700 333 Terminal Avenue Vancouver British Columbia V6A 4C1 Canada,5400 Cartier St Vancouver BC V6M 3A5,0,0.272727273,0.087038828,0,4.963969639,0,0,0,0,0,False,False,False,,,different address,,NA
