idx1,idx2,Name_1,Name_2,Name_DL,Name_CS,Addr_CS,Addr_LCS,Address_1,Address_2,StrNum_Match,StrName_DL,StrName_CS,PC_Match,Distance,ISCED020_Match,ISCED1_Match,ISCED2_Match,ISCED3_Match,ISCED4+_Match
10cd32282fa01765b240,9e2cb8badc47497149a2,SD57 StrongStart Centre 06,SD57 StrongStart Centre 08,0.9615384615384616,0.9393939393939394,0.5400617248673217,0.5476190476190477,251 Ogilive St Prince George BC V2M 3M4,7151 Heather Park Rd Prince George BC V2K 5Y3,0,0.07692307692307687,0.0,0,,1,1,1,1,1
584040600e690748ce47,9e2cb8badc47497149a2,SD57 StrongStart Centre 05,SD57 StrongStart Centre 08,0.9615384615384616,0.9393939393939394,0.5319745242113929,0.46511627906976744,3500 Westwood Dr Prince George BC V2N 1S1,7151 Heather Park Rd Prince George BC V2K 5Y3,0,0.3076923076923077,0.14433756729740646,0,12.286381536669653,1,1,1,1,1
584040600e690748ce47,10cd32282fa01765b240,SD57 StrongStart Centre 05,SD57 StrongStart Centre 06,0.9615384615384616,0.9393939393939394,0.595879571531124,0.5,3500 Westwood Dr Prince George BC V2N 1S1,251 Ogilive St Prince George BC V2M 3M4,0,0.09090909090909094,0.08703882797784893,0,,1,1,1,1,1
9472ddf6018b1510a2c4,9e2cb8badc47497149a2,SD57 StrongStart Centre 04,SD57 StrongStart Centre 08,0.9615384615384616,0.9393939393939394,0.6043672230190352,0.6428571428571429,1193 Harper St Prince George BC V2M 2X1,7151 Heather Park Rd Prince George BC V2K 5Y3,0,0.3846153846153846,0.23717082451262844,0,9.243266118305156,1,1,1,1,1
9472ddf6018b1510a2c4,10cd32282fa01765b240,SD57 StrongStart Centre 04,SD57 StrongStart Centre 06,0.9615384615384616,0.9393939393939394,0.6963106238227914,0.6410256410256411,1193 Harper St Prince George BC V2M 2X1,251 Ogilive St Prince George BC V2M 3M4,0,0.30000000000000004,0.28603877677367767,0,,1,1,1,1,1
9472ddf6018b1510a2c4,584040600e690748ce47,SD57 StrongStart Centre 04,SD57 StrongStart Centre 05,0.9615384615384616,0.9393939393939394,0.6001482030404225,0.5,1193 Harper St Prince George BC V2M 2X1,3500 Westwood Dr Prince George BC V2N 1S1,0,0.09090909090909094,0.18257418583505536,0,3.133079917113686,1,1,1,1,1
a992a28215897c1c0830,9e2cb8badc47497149a2,SD57 StrongStart Centre 03,SD57 StrongStart Centre 08,0.9615384615384616,0.9393939393939394,0.5345224838248488,0.5783132530120482,1401 17th Ave Prince George BC V2L 3Z2,7151 Heather Park Rd Prince George BC V2K 5Y3,0,0.23076923076923073,0.08838834764831843,0,,1,1,1,1,1
a992a28215897c1c0830,10cd32282fa01765b240,SD57 StrongStart Centre 03,SD57 StrongStart Centre 06,0.9615384615384616,0.9393939393939394,0.6392092266028,0.6753246753246753,1401 17th Ave Prince George BC V2L 3Z2,251 Ogilive St Prince George BC V2M 3M4,0,0.09999999999999998,0.0,0,,1,1,1,1,1
a992a28215897c1c0830,584040600e690748ce47,SD57 StrongStart Centre 03,SD57 StrongStart Centre 05,0.9615384615384616,0.9393939393939394,0.6108309612131453,0.5569620253164557,1401 17th Ave Prince George BC V2L 3Z2,3500 Westwood Dr Prince George BC V2N 1S1,0,0.18181818181818177,0.0,0,,1,1,1,1,1
a992a28215897c1c0830,9472ddf6018b1510a2c4,SD57 StrongStart Centre 03,SD57 StrongStart Centre 04,0.9615384615384616,0.9393939393939394,0.6030226891555273,0.5194805194805194,1401 17th Ave Prince George BC V2L 3Z2,1193 Harper St Prince George BC V2M 2X1,0,0.11111111111111116,0.0,0,,1,1,1,1,1
7a96cbba7cf2b8f0230b,9e2cb8badc47497149a2,SD57 StrongStart Centre 02,SD57 StrongStart Centre 08,0.9615384615384616,0.9393939393939394,0.5091750772173156,0.46511627906976744,2579 Victoria St Prince George BC V2L 2M3,7151 Heather Park Rd Prince George BC V2K 5Y3,0,0.23076923076923073,0.0,0,11.251423419169722,1,1,1,1,1
7a96cbba7cf2b8f0230b,10cd32282fa01765b240,SD57 StrongStart Centre 02,SD57 StrongStart Centre 06,0.9615384615384616,0.9393939393939394,0.6874649261535879,0.625,2579 Victoria St Prince George BC V2L 2M3,251 Ogilive St Prince George BC V2M 3M4,0,0.2727272727272727,0.26111648393354675,0,,1,1,1,1,1
7a96cbba7cf2b8f0230b,584040600e690748ce47,SD57 StrongStart Centre 02,SD57 StrongStart Centre 05,0.9615384615384616,0.9393939393939394,0.5417363388859614,0.4878048780487805,2579 Victoria St Prince George BC V2L 2M3,3500 Westwood Dr Prince George BC V2N 1S1,0,0.18181818181818177,0.08333333333333334,0,2.1384719698656802,1,1,1,1,1
7a96cbba7cf2b8f0230b,9472ddf6018b1510a2c4,SD57 StrongStart Centre 02,SD57 StrongStart Centre 04,0.9615384615384616,0.9393939393939394,0.67700320038633,0.625,2579 Victoria St Prince George BC V2L 2M3,1193 Harper St Prince George BC V2M 2X1,0,0.36363636363636365,0.27386127875258304,0,2.2051659457184094,1,1,1,1,1
7a96cbba7cf2b8f0230b,a992a28215897c1c0830,SD57 StrongStart Centre 02,SD57 StrongStart Centre 03,0.9615384615384616,0.9393939393939394,0.5832118435198043,0.5569620253164557,2579 Victoria St Prince George BC V2L 2M3,1401 17th Ave Prince George BC V2L 3Z2,0,0.18181818181818177,0.0,0,,1,1,1,1,1
