idx,facility_name,source_id,authority_type,grade_range,facility_type,address_str,street_addr,city,province,postal_code,provider,address_str_clean,street_no,street_name
0,'Na Aksa Gyilak'yoo,8297024,Independent School,K-12,Standard School,PO Box 544 STN Main Terrace BC V8G 4B5,PO Box 544 STN Main,Terrace,BC,V8G 4B5,Province of British Columbia,stn main terrace bc v8g 4b5,,
1,100 Mile House Elementary,2727012,Public School,K-7,Standard School,PO Box 460 100 Mile House BC V0K 2E0,PO Box 460,100 Mile House,BC,V0K 2E0,Province of British Columbia,100 mile house bc v0k 2e0,,
2,100 Mile StrongStart Centre,2725035,StrongStart BC,Pre-K,Early Learning Program,PO Box 460 100 Mile House BC V0K 2E0,PO Box 460,100 Mile House,BC,V0K 2E0,Province of British Columbia,100 mile house bc v0k 2e0,,
3,150 Mile Elementary,2727027,Public School,K-6,Standard School,PO Box 259 150 Mile House BC V0K 2G0,PO Box 259,150 Mile House,BC,V0K 2G0,Province of British Columbia,150 mile house bc v0k 2g0,,
4,?A'q'amnik Primary School,597007,Independent School,K-6,Standard School,7500 Mission Rd Cranbrook BC V1C 7E5,7500 Mission Rd,Cranbrook,BC,V1C 7E5,Province of British Columbia,7500 mission rd cranbrook bc v1c 7e5,7500,mission rd
5,@ KOOL,7399103,Public School,"K-12, EU, SU, GA",Distributed Learning Programs,1770 Springview Pl Kamloops BC V2E 1X9,1770 Springview Pl,Kamloops,BC,V2E 1X9,Province of British Columbia,1770 springview pl kamloops bc v2e 1x9,1770,springview pl
6,A D Rundle Middle School,3333033,Public School,08-Jun,Standard School,45660 Hocking Ave Chilliwack BC V2P 1A1,45660 Hocking Ave,Chilliwack,BC,V2P 1A1,Province of British Columbia,45660 hocking ave chilliwack bc v2p 1a1,45660,hocking ave
7,A E Perry Elementary,7324039,Public School,K-6,Standard School,1380 Sherbrooke Ave Kamloops BC V2B 1W9,1380 Sherbrooke Ave,Kamloops,BC,V2B 1W9,Province of British Columbia,1380 sherbrooke ave kamloops bc v2b 1w9,1380,sherbrooke ave
8,A E Perry StrongStart Centre,7325427,StrongStart BC,Pre-K,Early Learning Program,1380 Sherbrooke Ave Kamloops BC V2B 1W9,1380 Sherbrooke Ave,Kamloops,BC,V2B 1W9,Province of British Columbia,1380 sherbrooke ave kamloops bc v2b 1w9,1380,sherbrooke ave
9,A H P Matthew Elementary,3636051,Public School,K-7,Standard School,13367 97 Ave Surrey BC V3T 1A4,13367 97 Ave,Surrey,BC,V3T 1A4,Province of British Columbia,13367 97 ave surrey bc v3t 1a4,13367,97 ave
10,A J Elliott Elementary,8585001,Public School,K-7,Standard School,PO Box 149 Sointula BC V0N 3E0,PO Box 149,Sointula,BC,V0N 3E0,Province of British Columbia,sointula bc v0n 3e0,,
11,A J McLellan Elementary,3636178,Public School,K-7,Standard School,16545 61 Ave Surrey BC V3S 5V4,16545 61 Ave,Surrey,BC,V3S 5V4,Province of British Columbia,16545 61 ave surrey bc v3s 5v4,16545,61 ave
12,A L Fortune Secondary,8389002,Public School,12-Jul,Standard School,500 Bass Ave Enderby BC V0E 1V2,500 Bass Ave,Enderby,BC,V0E 1V2,Province of British Columbia,500 bass ave enderby bc v0e 1v2,500,bass ave
13,A S Matheson Elementary,2323031,Public School,K-6,Standard School,2090 Gordon Dr Kelowna BC V1Y 3H9,2090 Gordon Dr,Kelowna,BC,V1Y 3H9,Province of British Columbia,2090 gordon dr kelowna bc v1y 3h9,2090,gordon dr
14,A S Matheson StrongStart Centre,2325033,StrongStart BC,Pre-K,Early Learning Program,2090 Gordon Dr Kelowna BC V1Y 3H9,2090 Gordon Dr,Kelowna,BC,V1Y 3H9,Province of British Columbia,2090 gordon dr kelowna bc v1y 3h9,2090,gordon dr
15,A W Neill StrongStart Centre,7025172,StrongStart BC,Pre-K,Early Learning Program,5055 Compton Rd Port Alberni BC V9Y 7B5,5055 Compton Rd,Port Alberni,BC,V9Y 7B5,Province of British Columbia,5055 compton rd port alberni bc v9y 7b5,5055,compton rd
16,A W Neill Elementary,7070028,Public School,K-7,Standard School,5055 Compton Rd Port Alberni BC V9Y 7B5,5055 Compton Rd,Port Alberni,BC,V9Y 7B5,Province of British Columbia,5055 compton rd port alberni bc v9y 7b5,5055,compton rd
17,A.R. MacNeill Secondary,3838064,Public School,12-Aug,Standard School,6611 No. 4 Rd Richmond BC V6Y 2T2,6611 No. 4 Rd,Richmond,BC,V6Y 2T2,Province of British Columbia,6611 no 4 rd richmond bc v6y 2t2,6611,no 4 rd
18,Aatse Davie School,8797074,Independent School,K-12,Standard School,PO Box 79 Fort Ware BC V0J 3B0,PO Box 79,Fort Ware,BC,V0J 3B0,Province of British Columbia,fort ware bc v0j 3b0,,
19,Abbotsford Christian School,3496069,Independent School,K-12,Standard School,35011 Old Clayburn Rd Abbotsford BC V2S 7L7,35011 Old Clayburn Rd,Abbotsford,BC,V2S 7L7,Province of British Columbia,35011 old clayburn rd abbotsford bc v2s 7l7,35011,old clayburn rd
20,Abbotsford Middle School,3434025,Public School,08-Jun,Standard School,33231 Bevan Ave Abbotsford BC V2S 0A9,33231 Bevan Ave,Abbotsford,BC,V2S 0A9,Province of British Columbia,33231 bevan ave abbotsford bc v2s 0a9,33231,bevan ave
21,Abbotsford Senior Secondary School,3434022,Public School,12-Sep,Standard School,33355 Bevan Ave Abbotsford BC V2S 0E7,33355 Bevan Ave,Abbotsford,BC,V2S 0E7,Province of British Columbia,33355 bevan ave abbotsford bc v2s 0e7,33355,bevan ave
22,Abbotsford Traditional Middle School,3434020,Public School,08-Jun,Standard School,2272 Windsor St Abbotsford BC V2T 6M1,2272 Windsor St,Abbotsford,BC,V2T 6M1,Province of British Columbia,2272 windsor st abbotsford bc v2t 6m1,2272,windsor st
23,Abbotsford Traditional Senior Secondary,3434061,Public School,12-Sep,Standard School,2272 Windsor St Abbotsford BC V2T 6M1,2272 Windsor St,Abbotsford,BC,V2T 6M1,Province of British Columbia,2272 windsor st abbotsford bc v2t 6m1,2272,windsor st
24,Abbotsford Virtual School,3499101,Public School,"K-12, GA",Distributed Learning Programs,33952 Pine St Abbotsford BC V2S 2P3,33952 Pine St,Abbotsford,BC,V2S 2P3,Province of British Columbia,33952 pine st abbotsford bc v2s 2p3,33952,pine st
25,Aberdeen Elementary,3434026,Public School,K-5,Standard School,2975 Bradner Rd Abbotsford BC V4X 1K6,2975 Bradner Rd,Abbotsford,BC,V4X 1K6,Province of British Columbia,2975 bradner rd abbotsford bc v4x 1k6,2975,bradner rd
26,Aberdeen Elementary,7324071,Public School,K-7,Standard School,2191 Van Horne Dr Kamloops BC V1S 1L9,2191 Van Horne Dr,Kamloops,BC,V1S 1L9,Province of British Columbia,2191 van horne dr kamloops bc v1s 1l9,2191,van horne dr
27,Aberdeen Hall Preparatory School,2396689,Independent School,K-5,Standard School,950 Academy Way Kelowna BC V1V 3A4,950 Academy Way,Kelowna,BC,V1V 3A4,Province of British Columbia,950 academy way kelowna bc v1v 3a4,950,academy way
28,Aberdeen Hall Senior,2396825,Independent School,12-Jun,Standard School,890 Academy Way Kelowna BC V1V 3A4,890 Academy Way,Kelowna,BC,V1V 3A4,Province of British Columbia,890 academy way kelowna bc v1v 3a4,890,academy way
29,Acwsalcta Band School,4997170,Independent School,K-12,Standard School,PO Box 778 Bella Coola BC V0T 1C0,PO Box 778,Bella Coola,BC,V0T 1C0,Province of British Columbia,bella coola bc v0t 1c0,,
30,Adam Robertson Elementary,886004,Public School,K-7,Standard School,PO Box 1549 421 9 Ave n Creston BC V0B 1G0,PO Box 1549 421 9 Ave n,Creston,BC,V0B 1G0,Province of British Columbia,421 9 ave n creston bc v0b 1g0,421,9 ave n
31,Adams Road Elementary,3636153,Public School,K-7,Standard School,18228 68 Ave Surrey BC V3S 9H5,18228 68 Ave,Surrey,BC,V3S 9H5,Province of British Columbia,18228 68 ave surrey bc v3s 9h5,18228,68 ave
32,Admiral Seymour Elementary,3939032,Public School,K-7,Standard School,1130 Keefer St Vancouver BC V6A 1Z3,1130 Keefer St,Vancouver,BC,V6A 1Z3,Province of British Columbia,1130 keefer st vancouver bc v6a 1z3,1130,keefer st
33,Admiral Seymour StrongStart Centre,3925416,StrongStart BC,Pre-K,Early Learning Program,1130 Keefer St Vancouver BC V6A 1Z3,1130 Keefer St,Vancouver,BC,V6A 1Z3,Province of British Columbia,1130 keefer st vancouver bc v6a 1z3,1130,keefer st
34,Adolescent Psychiatric Program,2395064,Public School,No Enrolment Reported,Short Term PRP,1940 Underhill St Kelowna BC V1X 5X7,1940 Underhill St,Kelowna,BC,V1X 5X7,Province of British Columbia,1940 underhill st kelowna bc v1x 5x7,1940,underhill st
35,Adolescent Psychiatric Unit Prog,3695058,Public School,No Enrolment Reported,Short Term PRP,14033 92 Ave Surrey BC V3V 0B7,14033 92 Ave,Surrey,BC,V3V 0B7,Province of British Columbia,14033 92 ave surrey bc v3v 0b7,14033,92 ave
36,Adult Education SD#23,2323000,Public School,"12, SU, GA",Continuing Education,1825 Richter St Kelowna BC V1Y 2M8,1825 Richter St,Kelowna,BC,V1Y 2M8,Province of British Columbia,1825 richter st kelowna bc v1y 2m8,1825,richter st
37,Adult Learning Centre,7979000,Public School,"11-12, SU, GA",Continuing Education,1033 Nagle St Duncan BC V9L 2E6,1033 Nagle St,Duncan,BC,V9L 2E6,Province of British Columbia,1033 nagle st duncan bc v9l 2e6,1033,nagle st
38,Advance Alternate,3599201,Public School,12-Nov,Alternate Programs,26850 29 Ave Aldergrove BC V4W 3C1,26850 29 Ave,Aldergrove,BC,V4W 3C1,Province of British Columbia,26850 29 ave aldergrove bc v4w 3c1,26850,29 ave
39,Agassiz Centre for Education,7899183,Public School,12-Aug,Alternate Programs,PO Box 69 Agassiz BC V0M 1A0,PO Box 69,Agassiz,BC,V0M 1A0,Province of British Columbia,agassiz bc v0m 1a0,,
40,Agassiz Christian School,7896105,Independent School,K-7,Standard School,7571 Morrow Rd Agassiz BC V0M 1A2,7571 Morrow Rd,Agassiz,BC,V0M 1A2,Province of British Columbia,7571 morrow rd agassiz bc v0m 1a2,7571,morrow rd
41,Agassiz Elem-Secondary,7876003,Public School,12-Jul,Standard School,PO Box 1100 Agassiz BC V0M 1A0,PO Box 1100,Agassiz,BC,V0M 1A0,Province of British Columbia,agassiz bc v0m 1a0,,
42,Agnes L Mathers Elementary Secondary,5050004,Public School,K-7,Standard School,PO Box 227 Sandspit BC V0T 1T0,PO Box 227,Sandspit,BC,V0T 1T0,Province of British Columbia,sandspit bc v0t 1t0,,
43,Agnes L Mathers StrongStart Centre,5025149,StrongStart BC,Pre-K,Early Learning Program,PO Box 227 Sandspit BC V0T 1T0,PO Box 227,Sandspit,BC,V0T 1T0,Province of British Columbia,sandspit bc v0t 1t0,,
44,Airport Elementary,7171077,Public School,K-7,Standard School,PO Box 40 Lazo BC V0R 2K0,PO Box 40,Lazo,BC,V0R 2K0,Province of British Columbia,lazo bc v0r 2k0,,
45,Al-Hidayah School,4096747,Independent School,K-7,Standard School,7 - 6th St New Westminster BC V3L 2Y7,7 - 6th St,New Westminster,BC,V3L 2Y7,Province of British Columbia,7 6th st new westminster bc v3l 2y7,7,6th st
46,Alberni District Secondary,7070001,Public School,12-Aug,Standard School,4000 Roger St Port Alberni BC V9Y 0B1,4000 Roger St,Port Alberni,BC,V9Y 0B1,Province of British Columbia,4000 roger st port alberni bc v9y 0b1,4000,roger st
47,Alberni Elementary,7070006,Public School,K-7,Standard School,4645 Helen St Port Alberni BC V9Y 6P6,4645 Helen St,Port Alberni,BC,V9Y 6P6,Province of British Columbia,4645 helen st port alberni bc v9y 6p6,4645,helen st
48,Albert McMahon Elementary,7575028,Public School,K-6,Standard School,32865 Cherry Ave Mission BC V2V 2V1,32865 Cherry Ave,Mission,BC,V2V 2V1,Province of British Columbia,32865 cherry ave mission bc v2v 2v1,32865,cherry ave
49,Albion Elementary,4242005,Public School,K-7,Standard School,10031 240th St Maple Ridge BC V2W 1G2,10031 240th St,Maple Ridge,BC,V2W 1G2,Province of British Columbia,10031 240th st maple ridge bc v2w 1g2,10031,240th st
50,Aldergrove Christian Academy,3596573,Independent School,K-11,Standard School,26245 28th Ave Aldergrove BC V4W 2W3,26245 28th Ave,Aldergrove,BC,V4W 2W3,Province of British Columbia,26245 28th ave aldergrove bc v4w 2w3,26245,28th ave
51,Aldergrove Community Secondary,3535020,Public School,12-Sep,Standard School,26850 29 Ave Aldergrove BC V4W 3C1,26850 29 Ave,Aldergrove,BC,V4W 3C1,Province of British Columbia,26850 29 ave aldergrove bc v4w 3c1,26850,29 ave
52,Alderson Elementary,4343004,Public School,K-5,Standard School,825 Gauthier Ave Coquitlam BC V3K 7C4,825 Gauthier Ave,Coquitlam,BC,V3K 7C4,Province of British Columbia,825 gauthier ave coquitlam bc v3k 7c4,825,gauthier ave
53,Alert Bay Elementary,8585008,Public School,K-7,Standard School,PO Box 29 Alert Bay BC V0N 1A0,PO Box 29,Alert Bay,BC,V0N 1A0,Province of British Columbia,alert bay bc v0n 1a0,,
54,Alex Aitken,7965025,Public School,K-7,Standard School,2494 Roome Rd Duncan BC V9L 4L2,2494 Roome Rd,Duncan,BC,V9L 4L2,Province of British Columbia,2494 roome rd duncan bc v9l 4l2,2494,roome rd
55,Alex Hope Elementary,3535047,Public School,K-7,Standard School,21150 85 Ave Langley BC V1M 2M4,21150 85 Ave,Langley,BC,V1M 2M4,Province of British Columbia,21150 85 ave langley bc v1m 2m4,21150,85 ave
56,Alexander Academy,3996870,Independent School,"9-12, SU",Standard School,688 Hastings St W Suite 200 Vancouver BC V6B 1P1,688 Hastings St W Suite 200,Vancouver,BC,V6B 1P1,Province of British Columbia,688 hastings st w vancouver bc v6b 1p1,688,hastings st
57,Alexander Elementary,3434021,Public School,K-5,Standard School,2250 Lobban Rd Abbotsford BC V2S 3W1,2250 Lobban Rd,Abbotsford,BC,V2S 3W1,Province of British Columbia,2250 lobban rd abbotsford bc v2s 3w1,2250,lobban rd
58,Alexander Elementary,7965014,Public School,K-7,Standard School,2471 Beverly St Duncan BC V9L 3A3,2471 Beverly St,Duncan,BC,V9L 3A3,Province of British Columbia,2471 beverly st duncan bc v9l 3a3,2471,beverly st
59,Alexander Park Elementary,618008,Public School,K-3,Standard School,PO Box 464 Golden BC V0A 1H0,PO Box 464,Golden,BC,V0A 1H0,Province of British Columbia,golden bc v0a 1h0,,
60,Alexander Park StrongStart Centre,625029,StrongStart BC,Pre-K,Early Learning Program,PO Box 464 Golden BC V0A 1H0,PO Box 464,Golden,BC,V0A 1H0,Province of British Columbia,golden bc v0a 1h0,,
61,Alexander Robinson Elementary,4242042,Public School,K-7,Standard School,11849 238B St Maple Ridge BC V4R 2T8,11849 238B St,Maple Ridge,BC,V4R 2T8,Province of British Columbia,11849 238b st maple ridge bc v4r 2t8,11849,238b st
62,Alexander StrongStart Centre,3425019,StrongStart BC,Pre-K,Early Learning Program,2250 Lobban Rd Abbotsford BC V2S 3W1,2250 Lobban Rd,Abbotsford,BC,V2S 3W1,Province of British Columbia,2250 lobban rd abbotsford bc v2s 3w1,2250,lobban rd
63,Alexander StrongStart Centre,7925074,StrongStart BC,Pre-K,Early Learning Program,2471 Beverly St Duncan BC V9L 3A3,2471 Beverly St,Duncan,BC,V9L 3A3,Province of British Columbia,2471 beverly st duncan bc v9l 3a3,2471,beverly st
64,Alexis Creek Elementary/Secondary,2727071,Public School,K-10,Standard School,PO Box 199 Alexis Creek BC V0L 1A0,PO Box 199,Alexis Creek,BC,V0L 1A0,Province of British Columbia,alexis creek bc v0l 1a0,,
65,Alexis Park AM StrongStart Centre,2225279,StrongStart BC,Pre-K,Early Learning Program,4205 35 St Vernon BC V1T 6C4,4205 35 St,Vernon,BC,V1T 6C4,Province of British Columbia,4205 35 st vernon bc v1t 6c4,4205,35 st
66,Alexis Park Elementary,2222020,Public School,K-7,Standard School,4205 35 St Vernon BC V1T 6C4,4205 35 St,Vernon,BC,V1T 6C4,Province of British Columbia,4205 35 st vernon bc v1t 6c4,4205,35 st
67,Alexis Park PM StrongStart Centre,2225018,StrongStart BC,Pre-K,Early Learning Program,4205 35 St Vernon BC V1T 6C4,4205 35 St,Vernon,BC,V1T 6C4,Province of British Columbia,4205 35 st vernon bc v1t 6c4,4205,35 st
68,Alfred B Dixon Elementary,3838020,Public School,K-7,Standard School,9331 Diamond Rd Richmond BC V7E 1P5,9331 Diamond Rd,Richmond,BC,V7E 1P5,Province of British Columbia,9331 diamond rd richmond bc v7e 1p5,9331,diamond rd
69,Alice Brown Elementary,3535038,Public School,K-7,Standard School,20011 44 Ave Langley BC V3A 6L8,20011 44 Ave,Langley,BC,V3A 6L8,Province of British Columbia,20011 44 ave langley bc v3a 6l8,20011,44 ave
70,Alouette Elementary,4242035,Public School,K-7,Standard School,22155 Isaac Cres Maple Ridge BC V2X 0V9,22155 Isaac Cres,Maple Ridge,BC,V2X 0V9,Province of British Columbia,22155 isaac cres maple ridge bc v2x 0v9,22155,isaac cres
71,Alpha Secondary,4141005,Public School,"8-12, SU",Standard School,4600 Parker St Burnaby BC V5C 3E2,4600 Parker St,Burnaby,BC,V5C 3E2,Province of British Columbia,4600 parker st burnaby bc v5c 3e2,4600,parker st
72,Alternate Community Programs,5799140,Public School,12-Aug,Alternate Programs,3400 Westwood Dr Prince George BC V2N 1S1,3400 Westwood Dr,Prince George,BC,V2N 1S1,Province of British Columbia,3400 westwood dr prince george bc v2n 1s1,3400,westwood dr
73,Alternative Learning Program,2299152,Public School,11-Aug,Alternate Programs,1401 15 St Vernon BC V1T 8S8,1401 15 St,Vernon,BC,V1T 8S8,Province of British Columbia,1401 15 st vernon bc v1t 8s8,1401,15 st
74,Alvin A McKay Elementary,9292009,Public School,K-7,Standard School,311 Church St Greenville BC V0J 1X0,311 Church St,Greenville,BC,V0J 1X0,Province of British Columbia,311 church st greenville bc v0j 1x0,311,church st
75,Alwin Holland Elementary,6060025,Public School,K-6,Standard School,10615 96 St Fort St John BC V1J 3R3,10615 96 St,Fort St John,BC,V1J 3R3,Province of British Columbia,10615 96 st fort st john bc v1j 3r3,10615,96 st
76,Amy Woodland Elementary,502023,Public School,K-6,Standard School,911 6th St S Cranbrook BC V1C 1L6,911 6th St S,Cranbrook,BC,V1C 1L6,Province of British Columbia,911 6th st s cranbrook bc v1c 1l6,911,6th st s
77,Amy Woodland StrongStart Centre,525017,StrongStart BC,Pre-K,Early Learning Program,911 6th St S Cranbrook BC V1C 1L6,911 6th St S,Cranbrook,BC,V1C 1L6,Province of British Columbia,911 6th st s cranbrook bc v1c 1l6,911,6th st s
78,Anahim Lake Elem-Jr Secondary,2727054,Public School,K-10,Standard School,PO Box 3350 General Delivery Anahim Lake BC V0L 1C0,PO Box 3350 General Delivery,Anahim Lake,BC,V0L 1C0,Province of British Columbia,general delivery anahim lake bc v0l 1c0,,general delivery
79,Anchor Academy (DL),8396713,Independent School,"K-12, SU",Distributed Learning Programs,PO Box 3015 Salmon Arm BC V1E 4R8,PO Box 3015,Salmon Arm,BC,V1E 4R8,Province of British Columbia,salmon arm bc v1e 4r8,,
80,Anchor Point Montessori,3996693,Independent School,K-7,Standard School,PO Box 32138 Richmond BC V6X 3R9,PO Box 32138,Richmond,BC,V6X 3R9,Province of British Columbia,richmond bc v6x 3r9,,
81,Andre-Piolat,9344004,Public School,K-9,Standard School,380 Kings Rd W North Vancouver BC V7N 2L9,380 Kings Rd W,North Vancouver,BC,V7N 2L9,Province of British Columbia,380 kings rd w north vancouver bc v7n 2l9,380,kings rd w
82,Anmore Elementary,4343002,Public School,K-5,Standard School,30 Elementary Rd Anmore BC V3H 4Y6,30 Elementary Rd,Anmore,BC,V3H 4Y6,Province of British Columbia,30 elementary rd anmore bc v3h 4y6,30,elementary rd
83,Anne Hebert StrongStart Centre,9325187,StrongStart BC,Pre-K,Early Learning Program,7051 Killarney St Vancouver BC V5S 2Y5,7051 Killarney St,Vancouver,BC,V5S 2Y5,Province of British Columbia,7051 killarney st vancouver bc v5s 2y5,7051,killarney st
84,Anne McClymont Elementary,2323070,Public School,K-5,Standard School,4489 Lakeshore Rd Kelowna BC V1W 1W9,4489 Lakeshore Rd,Kelowna,BC,V1W 1W9,Province of British Columbia,4489 lakeshore rd kelowna bc v1w 1w9,4489,lakeshore rd
85,Anne Roberts Young Elementary,6060066,Public School,No Enrolment Reported,Standard School,10112 105 Ave Fort St. John BC V1J 4S4,10112 105 Ave,Fort St. John,BC,V1J 4S4,Province of British Columbia,10112 105 ave fort st john bc v1j 4s4,10112,105 ave
86,Anne-Hebert,9339111,Public School,K-6,Standard School,7051 Killarney St Vancouver BC V5S 2Y5,7051 Killarney St,Vancouver,BC,V5S 2Y5,Province of British Columbia,7051 killarney st vancouver bc v5s 2y5,7051,killarney st
87,Annieville Elementary,3737009,Public School,K-7,Standard School,9240 112 St Delta BC V4C 4X8,9240 112 St,Delta,BC,V4C 4X8,Province of British Columbia,9240 112 st delta bc v4c 4x8,9240,112 st
88,Annunciation School,5296122,Independent School,K-8,Standard School,627 5th Ave W Prince Rupert BC V8J 1V1,627 5th Ave W,Prince Rupert,BC,V8J 1V1,Province of British Columbia,627 5th ave w prince rupert bc v8j 1v1,627,5th ave w
89,Arbutus Global Middle School,6161062,Public School,"6-8, SU",Standard School,2306 Edgelow St Victoria BC V8N 1R5,2306 Edgelow St,Victoria,BC,V8N 1R5,Province of British Columbia,2306 edgelow st victoria bc v8n 1r5,2306,edgelow st
90,Archbishop Carney Regional Secondary,4396629,Independent School,"8-12, SU",Standard School,1335 Dominion Ave Port Coquitlam BC V3B 8G7,1335 Dominion Ave,Port Coquitlam,BC,V3B 8G7,Province of British Columbia,1335 dominion ave port coquitlam bc v3b 8g7,1335,dominion ave
91,Archibald Blair Elementary,3838060,Public School,K-7,Standard School,6551 Lynas Lane Richmond BC V7C 3K8,6551 Lynas Lane,Richmond,BC,V7C 3K8,Province of British Columbia,6551 lynas lane richmond bc v7c 3k8,6551,lynas lane
92,Arden Elementary,7171060,Public School,K-5,Standard School,3040 Lake Trail Rd Courtenay BC V9N 9M1,3040 Lake Trail Rd,Courtenay,BC,V9N 9M1,Province of British Columbia,3040 lake trail rd courtenay bc v9n 9m1,3040,lake trail rd
93,Argyle Secondary,4444022,Public School,12-Aug,Standard School,1131 Frederick Rd North Vancouver BC V7K 1J3,1131 Frederick Rd,North Vancouver,BC,V7K 1J3,Province of British Columbia,1131 frederick rd north vancouver bc v7k 1j3,1131,frederick rd
94,Ark Elementary,3896781,Independent School,K-3,Standard School,502-14 Begbie St New Westminster BC V3M 0C4,502-14 Begbie St,New Westminster,BC,V3M 0C4,Province of British Columbia,502 14 begbie st new westminster bc v3m 0c4,502 14,begbie st
95,Armstrong Elementary,4141015,Public School,K-7,Standard School,8757 Armstrong Ave Burnaby BC V3N 2H8,8757 Armstrong Ave,Burnaby,BC,V3N 2H8,Province of British Columbia,8757 armstrong ave burnaby bc v3n 2h8,8757,armstrong ave
96,Armstrong Elementary,8321001,Public School,K-5,Standard School,3010 Pleasant Valley Rd Armstrong BC V0E 1B2,3010 Pleasant Valley Rd,Armstrong,BC,V0E 1B2,Province of British Columbia,3010 pleasant valley rd armstrong bc v0e 1b2,3010,pleasant valley rd
97,Arrow Heights Elementary,1919015,Public School,K-7,Standard School,PO Bag 7400 Revelstoke BC V0E 2S0,PO Bag 7400,Revelstoke,BC,V0E 2S0,Province of British Columbia,po bag 7400 revelstoke bc v0e 2s0,,
98,Arrow Lakes Distributed Learning,1099217,Public School,"K-12, SU",Distributed Learning Programs,Po Box 130 New Denver BC V0G 1S0,Po Box 130,New Denver,BC,V0G 1S0,Province of British Columbia,new denver bc v0g 1s0,,
99,Arrowsmith Independent School,6996656,Independent School,K-7,Standard School,861 Hilliers Rd Qualicum Beach BC V9K 1X5,861 Hilliers Rd,Qualicum Beach,BC,V9K 1X5,Province of British Columbia,861 hilliers rd qualicum beach bc v9k 1x5,861,hilliers rd
100,Arrowview Elementary,6969020,Public School,"K-7, EU",Standard School,650 Bennett Rd Qualicum Beach BC V9K 1N1,650 Bennett Rd,Qualicum Beach,BC,V9K 1N1,Province of British Columbia,650 bennett rd qualicum beach bc v9k 1n1,650,bennett rd
101,Artemis Place Secondary,6196827,Independent School,12-Oct,Standard School,3020 Richmond Rd Victoria BC V8R 4V1,3020 Richmond Rd,Victoria,BC,V8R 4V1,Province of British Columbia,3020 richmond rd victoria bc v8r 4v1,3020,richmond rd
102,Arthur Hatton Elementary,7324036,Public School,K-6,Standard School,315 Chestnut Ave Kamloops BC V2B 1L4,315 Chestnut Ave,Kamloops,BC,V2B 1L4,Province of British Columbia,315 chestnut ave kamloops bc v2b 1l4,315,chestnut ave
103,Arthur Hatton StrongStart Centre,7325015,StrongStart BC,Pre-K,Early Learning Program,315 Chestnut Ave Kamloops BC V2B 1L4,315 Chestnut Ave,Kamloops,BC,V2B 1L4,Province of British Columbia,315 chestnut ave kamloops bc v2b 1l4,315,chestnut ave
104,Arthur Stevenson Elementary,7324031,Public School,K-7,Standard School,2890 Bank Rd Kamloops BC V2B 6Y7,2890 Bank Rd,Kamloops,BC,V2B 6Y7,Province of British Columbia,2890 bank rd kamloops bc v2b 6y7,2890,bank rd
105,ArtsCalibre Academy,6196891,Independent School,K-9,Standard School,4201 Tyndall Ave Victoria BC V8N 3R9,4201 Tyndall Ave,Victoria,BC,V8N 3R9,Province of British Columbia,4201 tyndall ave victoria bc v8n 3r9,4201,tyndall ave
106,ASCEND Online Distributed Learning Prg.,7396838,Independent School,K-12,Distributed Learning Programs,635a Tranquille Rd Kamloops BC V2B 3H5,635a Tranquille Rd,Kamloops,BC,V2B 3H5,Province of British Columbia,635a tranquille rd kamloops bc v2b 3h5,635a,tranquille rd
107,ASIA - North Poplar,3434005,Public School,K-5,Standard School,32041 Marshall Rd Abbotsford BC V2T 1A2,32041 Marshall Rd,Abbotsford,BC,V2T 1A2,Province of British Columbia,32041 marshall rd abbotsford bc v2t 1a2,32041,marshall rd
108,ASIA - Sumas Mountain 6-9,3434062,Public School,08-Jun,Standard School,36232 Lower Sumas Mtn Rd Abbotsford BC V3G 2J3,36232 Lower Sumas Mtn Rd,Abbotsford,BC,V3G 2J3,Province of British Columbia,36232 lower sumas mtn rd abbotsford bc v3g 2j3,36232,lower sumas mtn rd
109,ASIA - Sumas Mountain 9-12,3434064,Public School,12-Sep,Standard School,36232 Lower Sumas Mtn Rd Abbotsford BC V3G 2J3,36232 Lower Sumas Mtn Rd,Abbotsford,BC,V3G 2J3,Province of British Columbia,36232 lower sumas mtn rd abbotsford bc v3g 2j3,36232,lower sumas mtn rd
110,Aspen Park Elementary,7171155,Public School,K-7,Standard School,2250 Bolt Ave Comox BC V9M 4E7,2250 Bolt Ave,Comox,BC,V9M 4E7,Province of British Columbia,2250 bolt ave comox bc v9m 4e7,2250,bolt ave
111,Aspengrove School,6896730,Independent School,K-12,Standard School,7660 Clark Dr RR 2 Lantzville BC V0R 2H0,7660 Clark Dr RR 2,Lantzville,BC,V0R 2H0,Province of British Columbia,7660 clark dr rr 2 lantzville bc v0r 2h0,7660,clark dr rr 2
112,Aspenwood Elementary,4343071,Public School,K-5,Standard School,2001 Panorama Dr Port Moody BC V3H 5G8,2001 Panorama Dr,Port Moody,BC,V3H 5G8,Province of British Columbia,2001 panorama dr port moody bc v3h 5g8,2001,panorama dr
113,Assumption School,4796088,Independent School,K-9,Standard School,7091 Glacier St Powell River BC V8A 1R8,7091 Glacier St,Powell River,BC,V8A 1R8,Province of British Columbia,7091 glacier st powell river bc v8a 1r8,7091,glacier st
114,Atlin School,8787010,Public School,K-12,Standard School,PO Box 83 Atlin BC V0W 1A0,PO Box 83,Atlin,BC,V0W 1A0,Province of British Columbia,atlin bc v0w 1a0,,
