idx,facility_name,source_id,authority_type,grade_range,facility_type,address_str,street_addr,city,province,postal_code,provider,address_str_clean,street_no,street_name
440,Continuing Ed SD 06,606000,Public School,12,Continuing Education,Box 430 Invermere BC V0A 1K0,Box 430,Invermere,BC,V0A 1K0,Province of British Columbia,invermere bc v0a 1k0,,
441,Continuing Ed SD 22,2222000,Public School,"12, GA",Continuing Education,3033 30 St Vernon BC V1T 5E4,3033 30 St,Vernon,BC,V1T 5E4,Province of British Columbia,3033 30 st vernon bc v1t 5e4,3033,30 st
442,Continuing Ed SD 33,3333000,Public School,"11-12, SU, GA",Continuing Education,46361 Yale Rd Chilliwack BC V2P 2P8,46361 Yale Rd,Chilliwack,BC,V2P 2P8,Province of British Columbia,46361 yale rd chilliwack bc v2p 2p8,46361,yale rd
443,Continuing Ed SD 36,3636000,Public School,"10-12, GA",Continuing Education,14033 92 Ave Surrey BC V3V 0B7,14033 92 Ave,Surrey,BC,V3V 0B7,Province of British Columbia,14033 92 ave surrey bc v3v 0b7,14033,92 ave
444,Continuing Ed SD 38,3838000,Public School,"10-12, SU, GA",Continuing Education,7811 Granville Ave Richmond BC V6Y 3E3,7811 Granville Ave,Richmond,BC,V6Y 3E3,Province of British Columbia,7811 granville ave richmond bc v6y 3e3,7811,granville ave
445,Continuing Ed SD 42,4242000,Public School,"10-12, SU, GA",Continuing Education,20575 Thorne Ave Maple Ridge BC V2X 9A6,20575 Thorne Ave,Maple Ridge,BC,V2X 9A6,Province of British Columbia,20575 thorne ave maple ridge bc v2x 9a6,20575,thorne ave
446,Continuing Ed SD 43,4343000,Public School,"12, SU, GA",Continuing Education,380 Montgomery St Coquitlam BC V3K 5G2,380 Montgomery St,Coquitlam,BC,V3K 5G2,Province of British Columbia,380 montgomery st coquitlam bc v3k 5g2,380,montgomery st
447,Continuing Ed SD 44,4444000,Public School,No Enrolment Reported,Continuing Education,3365 Mahon Ave North Vancouver BC V7N 3T7,3365 Mahon Ave,North Vancouver,BC,V7N 3T7,Province of British Columbia,3365 mahon ave north vancouver bc v7n 3t7,3365,mahon ave
448,Continuing Ed SD 46,4646000,Public School,GA,Continuing Education,PO Box 369 Gibsons BC V0N 1V0,PO Box 369,Gibsons,BC,V0N 1V0,Province of British Columbia,gibsons bc v0n 1v0,,
449,Continuing Ed SD 47,4747000,Public School,"10-12, GA",Continuing Education,5400 Marine Ave Powell River BC V8A 2L6,5400 Marine Ave,Powell River,BC,V8A 2L6,Province of British Columbia,5400 marine ave powell river bc v8a 2l6,5400,marine ave
450,Continuing Ed SD 57,5757000,Public School,"11-12, GA",Continuing Education,3400 Westwood Dr Prince George BC V2N 1S1,3400 Westwood Dr,Prince George,BC,V2N 1S1,Province of British Columbia,3400 westwood dr prince george bc v2n 1s1,3400,westwood dr
451,Continuing Ed SD 58,5858000,Public School,No Enrolment Reported,Continuing Education,PO Box 4700 Merritt BC V1K 1B8,PO Box 4700,Merritt,BC,V1K 1B8,Province of British Columbia,merritt bc v1k 1b8,,
452,Continuing Ed SD 63,6363000,Public School,12-Nov,Continuing Education,104A-4420 Chatterton Way Victoria BC V8X 5J2,104A-4420 Chatterton Way,Victoria,BC,V8X 5J2,Province of British Columbia,104a 4420 chatterton way victoria bc v8x 5j2,4420,chatterton way
453,Continuing Ed SD 64,6464000,Public School,No Enrolment Reported,Continuing Education,232 Rainbow Rd SALT SPRING ISLAND BC V8K 2A9,232 Rainbow Rd,SALT SPRING ISLAND,BC,V8K 2A9,Province of British Columbia,232 rainbow rd salt spring island bc v8k 2a9,232,rainbow rd
454,Continuing Ed SD 68,6868000,Public School,"11-12, SU, GA",Continuing Education,550 Seventh St Nanaimo BC V9R 3Z2,550 Seventh St,Nanaimo,BC,V9R 3Z2,Province of British Columbia,550 seventh st nanaimo bc v9r 3z2,550,seventh st
455,Continuing Ed SD 69,6969000,Public School,"12, GA",Continuing Education,140 Renz Rd Parksville BC V9P 1E8,140 Renz Rd,Parksville,BC,V9P 1E8,Province of British Columbia,140 renz rd parksville bc v9p 1e8,140,renz rd
456,Continuing Ed SD 72,7272000,Public School,"12, SU, GA",Continuing Education,740 Robron Rd Campbell River BC V9W 6J7,740 Robron Rd,Campbell River,BC,V9W 6J7,Province of British Columbia,740 robron rd campbell river bc v9w 6j7,740,robron rd
457,Continuing Ed SD 73,7373000,Public School,"12, GA",Continuing Education,655 Holt St Kamloops BC V2B 5G2,655 Holt St,Kamloops,BC,V2B 5G2,Province of British Columbia,655 holt st kamloops bc v2b 5g2,655,holt st
458,Continuing Ed SD 75,7575000,Public School,12-Nov,Continuing Education,33919 Dewdney Trunk Rd Mission BC V2V 6Y4,33919 Dewdney Trunk Rd,Mission,BC,V2V 6Y4,Province of British Columbia,33919 dewdney trunk rd mission bc v2v 6y4,33919,dewdney trunk rd
459,Continuing Ed SD 84,8484000,Public School,No Enrolment Reported,Continuing Education,General Delivery Kyuquot BC V0P 1J0,General Delivery,Kyuquot,BC,V0P 1J0,Province of British Columbia,general delivery kyuquot bc v0p 1j0,,general delivery
460,Continuing Ed SD 91,9191000,Public School,No Enrolment Reported,Continuing Education,PO Bag 8000 Vanderhoof BC V0J 3A0,PO Bag 8000,Vanderhoof,BC,V0J 3A0,Province of British Columbia,po bag 8000 vanderhoof bc v0j 3a0,,
461,Coquihalla Elementary,7832006,Public School,K-6,Standard School,PO Box 969 Hope BC V0X 1L0,PO Box 969,Hope,BC,V0X 1L0,Province of British Columbia,hope bc v0x 1l0,,
462,Coquihalla StrongStart Centre,7825072,StrongStart BC,Pre-K,Early Learning Program,PO Box 969 Hope BC V0X 1L0,PO Box 969,Hope,BC,V0X 1L0,Province of British Columbia,hope bc v0x 1l0,,
463,Coquitlam Alternate Basic Education,4343060,Public School,12-Oct,Alternate Programs,1411 Foster Ave Coquitlam BC V3J 2N1,1411 Foster Ave,Coquitlam,BC,V3J 2N1,Province of British Columbia,1411 foster ave coquitlam bc v3j 2n1,1411,foster ave
464,Coquitlam College - Brookmere Secondary,4396349,Independent School,12-Oct,Standard School,516 Brookmere Ave Coquitlam BC V3J 1W9,516 Brookmere Ave,Coquitlam,BC,V3J 1W9,Province of British Columbia,516 brookmere ave coquitlam bc v3j 1w9,516,brookmere ave
465,Coquitlam Open Learning 10-12,4399143,Public School,"10-12, SU, GA",Distributed Learning Programs,1432 Brunette Ave Coquitlam BC V3K 1G5,1432 Brunette Ave,Coquitlam,BC,V3K 1G5,Province of British Columbia,1432 brunette ave coquitlam bc v3k 1g5,1432,brunette ave
466,Coquitlam River StrongStart Centre,4325141,StrongStart BC,Pre-K,Early Learning Program,4250 Shaughnessy St Port Coquitlam BC V3E 3E5,4250 Shaughnessy St,Port Coquitlam,BC,V3E 3E5,Province of British Columbia,4250 shaughnessy st port coquitlam bc v3e 3e5,4250,shaughnessy st
