OBJECTID;DT_MAJ_GDUNO;CD_IMM;CD_CS;NUM_IMM_CS;NOM_OFFCL;ADRS_GEO_L1_GDUNO;ADRS_GEO_L2_GDUNO;CD_MUNCP;NOM_MUNCP;STAT_MUNCP;CD_POSTL_GDUNO;PRESC;PRIM;SEC;FORM_PRO;ADULTE;STAT_PROP_IMM;COORD_X_LL84;COORD_Y_LL84;ORDRE_ENS;TYPE_CS;STYLE_CART
379;20201019;821021;821000;021;Phare, du;39, rue Principale;;19110;Saint-Michel-de-Bellechasse;M;G0R3S0;1;1;0;0;1;Propriété de la CS;-70.915003;46.874711;Préscolaire - Primaire - Éducation aux adultes;Franco;1_Imm_Franco_primaire
380;20201019;821028;821000;028;CFER de Bellechasse;3, avenue du Couvent;;19082;Saint-Raphaël;M;G0R4C0;0;0;1;0;0;Propriété de la CS;-70.753343;46.794648;Secondaire;Franco;3_Imm_Franco_secondaire
381;20201019;821024;821000;024;Source, de la;88, rue du Foyer;;19082;Saint-Raphaël;M;G0R4C0;1;1;0;0;1;Propriété de la CS;-70.751516;46.793501;Préscolaire - Primaire - Éducation aux adultes;Franco;1_Imm_Franco_primaire
382;20201019;821025;821000;025;Nouvelle-Cadie, de la;177, rue Principale;;19075;Saint-Gervais;M;G0R3C0;1;1;0;0;1;Propriété de la CS;-70.889381;46.715734;Préscolaire - Primaire - Éducation aux adultes;Franco;1_Imm_Franco_primaire
383;20201019;821023;821000;023;Plein-Soleil;539, rue Piedmont;;19090;La Durantaye;P;G0R1W0;1;1;0;0;1;Propriété de la CS;-70.855383;46.835832;Préscolaire - Primaire - Éducation aux adultes;Franco;1_Imm_Franco_primaire
384;20201019;821022;821000;022;Ruche - De Lanaudière, de la;364, rue Principale;;19117;Saint-Vallier;M;G0R4J0;1;1;0;0;1;Propriété de la CS;-70.822379;46.893641;Préscolaire - Primaire - Éducation aux adultes;Franco;1_Imm_Franco_primaire
385;20201019;821027;821000;027;Saint-Charles, secondaire de;24, rue Saint-Georges;;19097;Saint-Charles-de-Bellechasse;M;G0R2T0;0;1;1;0;0;Propriété de la CS;-70.941898;46.774121;Primaire - Secondaire;Franco;2_Imm_Franco_prim_sec
386;20201019;821020;821000;020;Marelle, de la;116, rue du Domaine;;19105;Beaumont;M;G0R1C0;1;1;0;0;1;Propriété de la CS;-71.017657;46.830866;Préscolaire - Primaire - Éducation aux adultes;Franco;1_Imm_Franco_primaire
387;20201019;821026;821000;026;Étincelle, de l';2829, avenue Royale;;19097;Saint-Charles-de-Bellechasse;M;G0R2T0;1;1;0;0;1;Propriété de la CS;-70.941444;46.773026;Préscolaire - Primaire - Éducation aux adultes;Franco;1_Imm_Franco_primaire
388;20201019;824012;824000;012;Gagnon;117, rue Belleau;;19068;Saint-Henri;M;G0R3E0;1;1;0;0;0;Propriété de la CS;-71.065632;46.694083;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
