OBJECTID;DT_MAJ_GDUNO;CD_ORGNS;NOM_COURT;NOM_OFFCL;ADRS_GEO_L1_GDUNO;ADRS_GEO_L2_GDUNO;CD_MUNCP;NOM_MUNCP;STAT_MUNCP;CD_POSTL_GDUNO;PRESC;PRIM;SEC;FORM_PRO;ADULTE;TYPE_ORGNS;RESEAU;SITE_WEB;COORD_X_LL84;COORD_Y_LL84;ORDRE_ENS;STYLE_CART
73;20201019;032600;École Pakuaushipu;École Pakua Shipi;C. P. 68;;98012;Saint-Augustin;M;G0G2R0;1;1;1;0;0;École gouvernementale;Gouvernemental;;-58.671687;51.224324;Préscolaire - Primaire - Secondaire;1_Gouv
78;20201019;034600;Inst. tourisme hôt. du Québec;Institut de tourisme et d'hôtellerie du Québec;3535 rue Saint-Denis;;66023;Montréal;V;H2X3P1;0;0;0;1;0;École gouvernementale;Gouvernemental;;-73.568679;45.51798;Formation professionnelle;1_Gouv
82;20201019;036600;Kateri School;Kateri School;C.P. 1000;;67802;Kahnawake;R;J0L1B0;1;1;0;0;0;École gouvernementale;Gouvernemental;;-73.678769;45.41456;Préscolaire - Primaire;1_Gouv
85;20201019;037600;Kahnawake Survival School;Kahnawake Survival School;Nation Mohawk C.P. 1978;;67802;Kahnawake;R;J0L1B0;0;0;1;0;0;École gouvernementale;Gouvernemental;;-73.613722;45.397137;Secondaire;1_Gouv
86;20201019;038600;École Teueikan;École Teueikan;29 rue Tshiash Innuat;;98808;Mingan;R;G0G1V0;1;1;1;0;0;École gouvernementale;Gouvernemental;;-64.03127;50.291708;Préscolaire - Primaire - Secondaire;1_Gouv
87;20201019;039600;Karonhianonha School;Karonhianonha School; C.P. 100;;67802;Kahnawake;R;J0L1B0;0;1;0;0;0;École gouvernementale;Gouvernemental;;-73.686357;45.40714;Primaire;1_Gouv
88;20201019;040600;CDFM Huron-Wendat;Centre de développement de la formation et de la main-d'oeuvre Huron-Wendat;100, rue de l'Ours;;23802;Wendake;R;G0A4V0;0;0;0;0;1;École gouvernementale;Gouvernemental;;-71.35423;46.866002;Éducation aux adultes;1_Gouv
92;20201019;041600;Ratihen:te High School;Ratihen:te High School;681A Ste-Philomène;;72802;Kanesatake;EI;J0N1E0;1;1;1;0;1;École gouvernementale;Gouvernemental;;-74.129978;45.483669;Préscolaire - Primaire - Secondaire - Éducation aux adultes;1_Gouv
93;20201019;042600;École Mikizicec;École Mikizicec;15, Okonum Mikana;;89802;Kitcisakik;EI;J9P7C5;0;1;0;0;0;École gouvernementale;Gouvernemental;http://www.kitcisakik.ca;-77.458741;47.538799;Primaire;1_Gouv
94;20201019;043600;Centre régional d'éducation Kitci-Amik;Centre régional d'éducation des adultes Kitci-Amik;1030 boul. Cicip;;89804;Lac-Simon;R;J0Y3M0;0;0;0;0;1;École gouvernementale;Gouvernemental;http://www.cdrhpnq.qc.ca/index.html;-77.352735;48.058527;Éducation aux adultes;1_Gouv
99;20201019;044600;Centre rég. éducation adultes Kahnawake;Centre régional d'éducation pour adultes Kahnawake;2, route River;;67802;Kahnawake;R;J0L1B0;0;0;0;0;1;École gouvernementale;Gouvernemental;;-73.620568;45.395115;Éducation aux adultes;1_Gouv
100;20201019;045600;Centre rég. d'éducation adultes Listuguj;Centre régional d'éducation pour adultes Listuguj;2, Promenade Pacific;;06804;Listuguj;R;G0C2R0;0;0;0;0;1;École gouvernementale;Gouvernemental;;-66.703738;48.012985;Éducation aux adultes;1_Gouv
103;20201019;046600;CREA Uashat mak Mani-Utenam;Centre régional d'éducation des adultes de Uashat mak Mani-Utenam;265, boul. des Montagnais;;97802;Uashat;R;G4R4L9;0;0;0;0;1;École gouvernementale;Gouvernemental;;-66.399294;50.225884;Éducation aux adultes;1_Gouv
104;20201019;047600;Rotiwennakéhte School;Rotiwennakéhte School;407, rue Saint-Michel;;72802;Kanesatake;EI;J0N1E0;1;1;0;0;0;École gouvernementale;Gouvernemental;www.monecole-myschool.com/rotiwennakehte;-74.103899;45.465405;Préscolaire - Primaire;1_Gouv
107;20201019;048600;Amo Ososwan School;Amo Ososwan School;117 Kakinwawigak Mikana;;85070;Laforce;M;J0Z2J0;1;1;0;0;0;École gouvernementale;Gouvernemental;;-78.564754;47.577644;Préscolaire - Primaire;1_Gouv
