idx,facility_name,facility_type,longitude,latitude,street_addr,provider
57,Manoir Sainte-Marie,Résidence pour personnes âgées,45.499707,-75.607934,156 Boulevard Lorrain,Gatineau
58,Caserne 7 Joseph-Roy,Incendie,45.498217,-75.581197,475 Avenue du Cheval-Blanc,Gatineau
59,Centre communautaire Frank-Robinson,Centre communautaire,45.393687,-75.843306,96 Rue du Patrimoine,Gatineau
60,École des Trois-Portages,École primaire,45.406373,-75.844382,120 Rue Broad,Gatineau
61,Centre de services Aylmer,Édifice municipal,45.395235,-75.844885,115 Rue Principale,Gatineau
62,École secondaire Grande-Rivière,École secondaire,45.403717,-75.843769,100 Rue Broad,Gatineau
63,Pavillon du Parc (Hull-Aylmer),Autres services médicaux et de santé,45.406681,-75.848516,200 Rue Robert-Wright,Gatineau
64,École internationale du Village Immeuble Limoges,École primaire,45.395619,-75.851105,19 Rue Symmes,Gatineau
65,École Lord Aylmer Campus senior,École primaire,45.391427,-75.83967,116 Avenue Frank-Robinson,Gatineau
66,C.L.S.C de Gatineau (LeGuerrier),C.L.S.C.,45.39946,-75.836049,425 Rue LeGuerrier,Gatineau
67,Parc des Trembles,Parc récréatif,45.426779,-75.767335,150 Boulevard des Trembles,Gatineau
68,École Euclide-Lanthier,École primaire,45.392361,-75.831162,50 Rue Elizabeth,Gatineau
69,École Lord Aylmer Campus junior,École primaire,45.393401,-75.840264,130 Avenue Frank-Robinson,Gatineau
70,Centre hospitalier Pierre-Janet,Centre hospitalier,45.425276,-75.739988,20 Rue Pharand,Gatineau
71,École Jean-de-Brébeuf,École primaire,45.42061,-75.748419,360 Boulevard de Lucerne,Gatineau
72,U.Q.O. Pavillon Alexandre-Taché,Université,45.421916,-75.738094,283 Boulevard Alexandre-Taché,Gatineau
73,Centre communautaire Tétreau,Centre communautaire,45.419419,-75.748688,361 Boulevard de Lucerne,Gatineau
74,École du Lac-des-Fées,École primaire,45.438205,-75.745175,4 Rue Camille-Gay,Gatineau
75,Centre récréatif Saint-Joseph,Centre communautaire,45.43543,-75.734891,122 Rue Berri,Gatineau
76,École Saint-Jean-Bosco,École primaire,45.428695,-75.736712,71 Rue Saint-Jean-Bosco,Gatineau
77,École Pierre-Elliott-Trudeau,École primaire,45.425476,-75.7294,2 Rue Millar,Gatineau
78,U.Q.O. Pavillon Lucien-Brault,Université,45.428736,-75.738269,101 Rue Saint-Jean-Bosco,Gatineau
79,Parc Saint-Jean-Bosco,Parc récréatif,45.428161,-75.732433,70 Boulevard Saint-Joseph,Gatineau
80,Hôpital de Hull,Centre hospitalier,45.444341,-75.745987,116 Boulevard Lionel-Émond,Gatineau
81,Centre d'hébergement Foyer du Bonheur,C.H.S.L.D.,45.445323,-75.748442,125 Boulevard Lionel-Émond,Gatineau
82,Bibliothèque Lucien-Lalonde,Bibliothèque,45.442477,-75.735515,225 Rue Berri,Gatineau
83,Parc Laurent-Groulx,Parc récréatif,45.445746,-75.739741,1 Rue Lévesque,Gatineau
84,Parc Montpetit,Parc récréatif,45.446745,-75.742665,97 Boulevard Saint-Raymond,Gatineau
85,Collège Saint-Joseph,École secondaire,45.431612,-75.710656,174 Rue de Notre-Dame-de-l'Île,Gatineau
86,École Notre-Dame,École primaire,45.429894,-75.71688,170 Rue Papineau,Gatineau
87,Place du Portage I,Édifice fédéral,45.427832,-75.714565,105 Rue de l'Hôtel-de-Ville,Gatineau
88,Parc Sainte-Bernadette,Parc récréatif,45.428032,-75.722179,40 Rue Pilon,Gatineau
89,Maison du Citoyen,Édifice municipal,45.427857,-75.710935,25 Rue Laurier,Gatineau
90,Place du Portage II,Édifice fédéral,45.428026,-75.712776,165 Rue de l'Hôtel-de-Ville,Gatineau
91,Place du Portage III,Édifice fédéral,45.425573,-75.713082,11 Rue Laurier,Gatineau
92,Place du Portage IV,Édifice fédéral,45.425558,-75.71555,140 Promenade du Portage,Gatineau
93,Bibliothèque Maison du Citoyen,Bibliothèque,45.428106,-75.711068,25 Rue Laurier,Gatineau
94,Centre Robert-Guertin,Aréna,45.434264,-75.724392,125 Rue de Carillon,Gatineau
95,École Saint-Paul,École primaire,45.459465,-75.746706,145 Rue Isabelle,Gatineau
96,Centre communautaire Eugène-Sauvageau,Centre communautaire,45.455331,-75.738724,179 Rue Mutchmore,Gatineau
97,École du Dôme,École primaire,45.47283,-75.750331,40 Rue du Dôme,Gatineau
98,Poste police secteur de Hull,Police municipale,45.452291,-75.730326,777 Boulevard de la Carrière,Gatineau
99,Gare d'Autobus et d'Entretien STO,Atelier et garage municipaux,45.465524,-75.734494,111 Rue Jean-Proulx,Gatineau
100,Sureté du Québec,Police provincial,45.467489,-75.741263,85 Rue Jean-Proulx,Gatineau
101,Bibliothèque Bernard-Lonergan,Bibliothèque,45.590917,-75.411036,181 Rue Joseph,Gatineau
102,C.L.S.C Vallée-de-la-Lièvre,C.L.S.C.,45.588029,-75.402762,578 Rue Maclaren Est,Gatineau
103,École secondaire Hormisdas-Gamelin,École secondaire,45.587275,-75.400107,580 Rue Maclaren Est,Gatineau
104,Musée Canadien de la Nature,Musée,45.444363,-75.811461,1740 Chemin Pink,Gatineau
105,École secondaire Mont-Bleu,École secondaire,45.461833,-75.771125,389 Boulevard de la Cité-des-Jeunes,Gatineau
106,Cabane en bois rond,Édifice communautaire,45.457858,-75.767525,331 Boulevard de la Cité-des-Jeunes,Gatineau
107,Poste police secteur de Buckingham,Police municipale,45.573417,-75.423343,830 Rue Georges,Gatineau
108,École du Boisé,École primaire,45.587746,-75.405793,231 Rue Dorchester,Gatineau
109,Parc de Lucerne-Nord,Parc récréatif,45.458372,-75.878278,674 Rue des Écureuils,Gatineau
110,Poste police secteur d'Aylmer,Police municipale,45.400174,-75.80762,625 Chemin d'Aylmer,Gatineau
111,Centre communautaire André-Touchet,Centre communautaire,45.383825,-75.80397,57 Chemin Vanier,Gatineau
112,École South Hull,École primaire,45.397347,-75.804044,86 Promenade Crescent,Gatineau
113,Résidence de la Gappe Phase 1,Résidence pour personnes âgées,45.47956,-75.699063,465 Boulevard de la Gappe,Gatineau
114,La Cité-Jardin plus,Résidence pour personnes âgées,45.486747,-75.686447,90 Rue de la Futaie,Gatineau
115,Garderie éducative Parfaitement Petit,Service de garderie,45.437324,-75.803738,201 Rue du Prado,Gatineau
116,CPE Les petits Fripons (Lépine),Service de garderie,45.576035,-75.398472,195 Avenue Lépine,Gatineau
117,Garderie éducative Le petit Caneton,Service de garderie,45.440098,-75.734439,39 Boulevard Montclair,Gatineau
118,Garderie Imagine 2,Service de garderie,45.45483,-75.751586,104 Rue Bédard,Gatineau
119,Garderie éducative Parfaitement plus Grand,Service de garderie,45.437232,-75.803604,201(A) Rue du Prado,Gatineau
120,Garderie Maison d'enfants Montessori Gatineau,Service de garderie,45.48422,-75.718776,123 Avenue Gatineau,Gatineau
121,Centre de plein air Hélène-Larochelle,Centre récréatif,45.491536,-75.622567,741 Boulevard Maloney Est,Gatineau
122,Parc John-R.-Luck,Autre parc,45.483555,-75.645652,172 Rue Fernand-Arvisais,Gatineau
123,Parc Racicot,Parc récréatif,45.479637,-75.632136,77 Rue Sabourin,Gatineau
124,Parc Hector-Aubin,Parc récréatif,45.522561,-75.627025,27 Rue Thérèse,Gatineau
125,Parc Irène,Parc récréatif,45.527679,-75.640359,1307 Rue Gilles,Gatineau
126,Parc Gérard-Marchand,Parc récréatif,45.523283,-75.498863,101 Rue d'Arizona,Gatineau
127,Parc Gilles-Maisonneuve,Parc récréatif,45.526499,-75.488459,1100 Rue Yvon-Pichette,Gatineau
128,Parc Valpin,Parc récréatif,45.528662,-75.493347,39(A) Rue de Grandpré,Gatineau
129,Parc des Jardins-Lavigne,Parc récréatif,45.417686,-75.838583,250 Avenue du Bois-Franc,Gatineau
130,Réservoir McConnell,Réservoir d'eau potable,45.412412,-75.824681,401 Chemin McConnell,Gatineau
131,Parc des Petits-Seigneurs,Parc récréatif,45.399902,-75.829564,237(A) Avenue des Explorateurs,Gatineau
132,Parc Prospérine,Parc récréatif,45.38803,-75.820304,125 Chemin Foley,Gatineau
133,Parc Victor-Beaudry,Autre parc,45.389972,-75.817275,107 Rue Victor-Beaudry,Gatineau
134,Parc-école South Hull,Parc récréatif,45.397212,-75.805435,86 Promenade Crescent,Gatineau
135,Parc Kenneth-Lloyd,Parc récréatif,45.383054,-75.807734,26 Rue Arthur-Whelan,Gatineau
136,Parc Madaire,Parc récréatif,45.383627,-75.803699,57 Chemin Vanier,Gatineau
137,Parc Émile-Zola,Parc récréatif,45.409114,-75.795373,15 Rue Émile-Zola,Gatineau
138,Parc Allen,Parc récréatif,45.410493,-75.785168,100 Chemin Allen,Gatineau
139,Parc de Saint-Malo,Parc récréatif,45.423874,-75.79575,41 Rue de Saint-Malo,Gatineau
140,Parc des Jonquilles,Parc récréatif,45.42504,-75.758964,83 Avenue des Jonquilles,Gatineau
141,Parc Cholette,Autre parc,45.447914,-75.751097,156 Boulevard de la Cité-des-Jeunes,Gatineau
142,Parc Moncion,Parc récréatif,45.45331,-75.746283,43 Rue St-Onge,Gatineau
143,Parc de la Guadeloupe,Parc récréatif,45.455139,-75.752662,14 Rue Thérien,Gatineau
144,Parc des Ormes,Parc récréatif,45.458458,-75.763748,32 Rue des Ormes,Gatineau
145,Parc Décosse,Parc récréatif,45.462009,-75.767151,15 Rue Décosse,Gatineau
146,Parc des Spiritains,Autre parc,45.496813,-75.755502,10 Rue des Spiritains,Gatineau
147,Parc Maisonneuve,Autre parc,45.469017,-75.693746,42 Rue de l'Abbé-Desautels,Gatineau
148,Parc Laflèche,Parc récréatif,45.47709,-75.684457,181 Rue de Lausanne,Gatineau
149,Parc Tecumseh,Parc récréatif,45.474958,-75.678576,280 Chemin de la Savane,Gatineau
150,Parc du Spoutnik,Parc récréatif,45.487727,-75.672865,10 Ruelle du Spoutnik,Gatineau
151,Parc Émile-Nelligan,Autre parc,45.480223,-75.694973,100 Rue Nelligan,Gatineau
152,Parc Joseph-H.-Maloney,Parc récréatif,45.505048,-75.635255,548 Rue A.-Gibeault,Gatineau
153,Parc Lauzon,Parc récréatif,45.510387,-75.639015,191 Rue de Castagnier,Gatineau
154,Parc Marlene-Goyet,Parc récréatif,45.501516,-75.601374,102 Rue Marlene-Goyet,Gatineau
155,Parc des Marguerites,Parc récréatif,45.508582,-75.60381,11 Rue des Marguerites,Gatineau
156,Parc des Oiseaux,Parc récréatif,45.50234,-75.576777,528 Rue de la Blanche,Gatineau
157,Parc de Laverdière,Parc récréatif,45.499982,-75.569825,24 Rue de Fréville,Gatineau
158,Parc Williams,Autre parc,45.497016,-75.593868,165 Rue des Sables,Gatineau
159,Parc Bisson,Parc récréatif,45.456161,-75.756092,36(A) Rue Thérien,Gatineau
160,Parc Bisson,Parc récréatif,45.454807,-75.755395,36(A) Rue Thérien,Gatineau
161,Parc des Trembles,Parc récréatif,45.426456,-75.769272,180 Boulevard des Trembles,Gatineau
162,Parc de l'Érablière,Parc récréatif,45.55928,-75.438875,185 Rue des Samares,Gatineau
163,École du Ruisseau,École primaire,45.558637,-75.439002,175 Rue des Samares,Gatineau
164,Parc de l'Église,Autre parc,45.543911,-75.419507,1 Chemin de Montréal Est,Gatineau
165,Parc des Becs-Scie,Parc récréatif,45.522477,-75.485944,100 Rue des Becs-Scie,Gatineau
166,Parc Mallish,Parc récréatif,45.592947,-75.410737,431 Rue de la Scierie,Gatineau
167,Parc Acres,Autre parc,45.577656,-75.423488,695 Rue Allaire,Gatineau
168,Parc Légion,Parc récréatif,45.589623,-75.410994,481 Rue James,Gatineau
169,M-Ado jeunes (Buckingham),Autre centre de services sociaux,45.56849,-75.423281,948 Rue Georges,Gatineau
170,Parc de Beauchampville,Parc récréatif,45.568941,-75.423839,930 Rue Georges,Gatineau
