idx,facility_name,source_id,ISCED020,ISCED1,ISCED2,ISCED3,address_str,city,province,postal_code,provider,address_str_clean,street_no,street_name
110,Gander Academy,417,1,1,0,0,"Fraser Road Gander, NL A1V 1K8",Gander,NL,A1V 1K8,Province of Newfoundland and Labrador,fraser road gander nl a1v 1k8,,fraser road
111,Gander Collegiate,418,0,0,0,1,"3 Magee Road Gander, NL A1V 1W1",Gander,NL,A1V 1W1,Province of Newfoundland and Labrador,3 magee road gander nl a1v 1w1,3,magee road
112,St. Paul's Intermediate School,420,0,0,1,0,"5 Magee Road Gander, NL A1V 1W1",Gander,NL,A1V 1W1,Province of Newfoundland and Labrador,5 magee road gander nl a1v 1w1,5,magee road
113,Gander Elementary,495,0,1,0,0,"10 Penney's Avenue Gander, NL A1V 0J3",Gander,NL,A1V 0J3,Province of Newfoundland and Labrador,10 penney's avenue gander nl a1v 0j3,10,penney's avenue
114,Victoria Academy,138,0,1,1,1,"Box 10 Gaultois, NL A0H 1N0",Gaultois,NL,A0H 1N0,Province of Newfoundland and Labrador,gaultois nl a0h 1n0,,
115,Lakewood Academy,421,1,1,1,1,"P.O. Box 10 Glenwood, NL A0G 2K0",Glenwood,NL,A0G 2K0,Province of Newfoundland and Labrador,glenwood nl a0g 2k0,,
116,Glovertown Academy,422,1,1,1,1,"P.O. Box 100 Glovertown, NL A0G 2L0",Glovertown,NL,A0G 2L0,Province of Newfoundland and Labrador,glovertown nl a0g 2l0,,
117,John Burke High School,214,0,0,1,1,"P.O. Box 550, 48 Main Street Grand Bank, NL A0E 1W0",Grand Bank,NL,A0E 1W0,Province of Newfoundland and Labrador,48 main street grand bank nl a0e 1w0,48,main street
118,Woodland Primary,142,1,1,0,0,"18A St. Catherine St Grand Falls-Windsor, NL A2A 1V8",Grand Falls-Windsor,NL,A2A 1V8,Province of Newfoundland and Labrador,18a st catherine st grand falls windsor nl a2a 1v8,18a,st catherine st
119,Sprucewood Academy,144,0,1,0,0,"26 Price's Ave. Grand Falls-Windsor, NL A2B 1C9",Grand Falls-Windsor,NL,A2B 1C9,Province of Newfoundland and Labrador,26 price's ave grand falls windsor nl a2b 1c9,26,price's ave
120,Exploits Valley High,480,0,0,0,1,"392 Grenfell Hgts Grand Falls-Windsor, NL A2A 2J2",Grand Falls-Windsor,NL,A2A 2J2,Province of Newfoundland and Labrador,392 grenfell hgts grand falls windsor nl a2a 2j2,392,grenfell hgts
121,Exploits Valley Intermediate,481,0,0,1,0,"19 Greenwood Ave Grand Falls-Windsor, NL A2A 1S6",Grand Falls-Windsor,NL,A2A 1S6,Province of Newfoundland and Labrador,19 greenwood ave grand falls windsor nl a2a 1s6,19,greenwood ave
122,Forest Park Primary,494,1,1,0,0,"28 Price's Ave. Grand Falls-Windsor, NL A2B 1C9",Grand Falls-Windsor,NL,A2B 1C9,Province of Newfoundland and Labrador,28 price's ave grand falls windsor nl a2b 1c9,28,price's ave
123,King Academy,149,0,0,1,1,"Box 250 Harbour Breton, NL A0H 1P0",Harbour Breton,NL,A0H 1P0,Province of Newfoundland and Labrador,harbour breton nl a0h 1p0,,
124,St. Joseph's Elementary,150,1,1,0,0,"Box 329 Harbour Breton, NL A0H 1P0",Harbour Breton,NL,A0H 1P0,Province of Newfoundland and Labrador,harbour breton nl a0h 1p0,,
125,Jane Collins Academy,187,0,0,0,1,"Box 159 Hare Bay, NL A0G 2P0",Hare Bay,NL,A0G 2P0,Province of Newfoundland and Labrador,hare bay nl a0g 2p0,,
126,John Watkins Academy,151,1,1,1,1,"Box 100 Hermitage, NL A0H 1S0",Hermitage,NL,A0H 1S0,Province of Newfoundland and Labrador,hermitage nl a0h 1s0,,
127,Random Island Academy,242,1,1,1,1,"P.O. Box 138 Hickman's Harbour, NL A0C 1P0",Hickman's Harbour,NL,A0C 1P0,Province of Newfoundland and Labrador,hickman's harbour nl a0c 1p0,,
128,St. Mark's School,430,0,1,1,1,"P.O. Box 84 King's Cove, NL A0C 1S0",King's Cove,NL,A0C 1S0,Province of Newfoundland and Labrador,king's cove nl a0c 1s0,,
129,Sandstone Academy,188,1,1,0,0,"General Delivery Ladle Cove, NL A0G 2Y0",Ladle Cove,NL,A0G 2Y0,Province of Newfoundland and Labrador,general delivery ladle cove nl a0g 2y0,,general delivery
130,St. Joseph's Academy,218,1,1,1,1,"Box 70 Lamaline, NL A0E 2C0",Lamaline,NL,A0E 2C0,Province of Newfoundland and Labrador,lamaline nl a0e 2c0,,
131,Holy Name of Mary Academy,427,1,1,1,1,"Box 39 Lawn, NL A0E 2E0",Lawn,NL,A0E 2E0,Province of Newfoundland and Labrador,lawn nl a0e 2e0,,
132,Leading Tickles Primary,155,0,1,0,0,"P.O. Box 29 Leading Tickles, NL A0H 1T0",Leading Tickles,NL,A0H 1T0,Province of Newfoundland and Labrador,leading tickles nl a0h 1t0,,
133,Heritage Collegiate,471,0,0,1,1,"P. O. Box 40 Lethbridge, NL A0C 1V0",Lethbridge,NL,A0C 1V0,Province of Newfoundland and Labrador,p o lethbridge nl a0c 1v0,,
134,Lewisporte Academy,189,1,1,0,0,"P.O.Box 640 Lewisporte, NL A0G 3A0",Lewisporte,NL,A0G 3A0,Province of Newfoundland and Labrador,pobox 640 lewisporte nl a0g 3a0,,
135,Lewisporte Collegiate,190,0,0,0,1,"Box 250 Lewisporte, NL A0G 3A0",Lewisporte,NL,A0G 3A0,Province of Newfoundland and Labrador,lewisporte nl a0g 3a0,,
136,Lewisporte Intermediate,486,0,0,1,0,"P.O.Box 729 Lewisporte, NL A0G 3A0",Lewisporte,NL,A0G 3A0,Province of Newfoundland and Labrador,pobox 729 lewisporte nl a0g 3a0,,
137,Southwest Arm Academy,431,1,1,1,1,"Box 40 Little Heart's Ease, NL A0E 2K0",Little Heart's Ease,NL,A0E 2K0,Province of Newfoundland and Labrador,little heart's ease nl a0e 2k0,,
138,Lumsden Academy,192,1,1,1,0,"Box 10 Lumsden, NL A0G 3E0",Lumsden,NL,A0G 3E0,Province of Newfoundland and Labrador,lumsden nl a0g 3e0,,
139,Marystown Central High School,219,0,0,0,1,"P.O. Box 549 Marystown, NL A0E 2M0",Marystown,NL,A0E 2M0,Province of Newfoundland and Labrador,marystown nl a0e 2m0,,
140,Sacred Heart Academy,220,1,1,1,0,"P.O. Box 79 Marystown, NL A0E 2M0",Marystown,NL,A0E 2M0,Province of Newfoundland and Labrador,marystown nl a0e 2m0,,
141,St. Peter's All Grade,157,0,0,1,1,"P.O.Box 10 McCallum, NL A0H 2J0",McCallum,NL,A0H 2J0,Province of Newfoundland and Labrador,pobox 10 mccallum nl a0h 2j0,,
142,Bay d'Espoir Academy,407,1,1,1,1,"P.O. Box 190 Milltown, NL A0H 2E0",Milltown,NL,A0H 2E0,Province of Newfoundland and Labrador,milltown nl a0h 2e0,,
143,Gill Memorial Academy,194,1,1,1,1,"Box 70 Musgrave Harbour, NL A0G 3J0",Musgrave Harbour,NL,A0G 3J0,Province of Newfoundland and Labrador,musgrave harbour nl a0g 3j0,,
144,Anthony Paddon Elementary,237,1,1,0,0,"Box 8 Musgravetown, NL A0C 1Z0",Musgravetown,NL,A0C 1Z0,Province of Newfoundland and Labrador,musgravetown nl a0c 1z0,,
145,Bayview Primary,160,0,0,0,0,,Nipper's Harbour,NL,,Province of Newfoundland and Labrador,,,
146,Hillview Academy,426,1,1,1,0,"P. O. Box 10 Norris Arm South, NL A0G 3M0",Norris Arm,NL,A0G 3M0,Province of Newfoundland and Labrador,p o norris arm south nl a0g 3m0,,
147,Point Leamington Academy,163,1,1,1,1,"Box 100 Point Leamington, NL A0H 1Z0",Point Leamington,NL,A0H 1Z0,Province of Newfoundland and Labrador,point leamington nl a0h 1z0,,
148,Bishop White School,240,1,1,1,1,"P.O. Box 70 Port Rexton, NL A0C 2H0",Port Rexton,NL,A0C 2H0,Province of Newfoundland and Labrador,port rexton nl a0c 2h0,,
149,St. Stephen's All Grade,165,0,1,1,1,"Box 59 Rencontre East, NL A0H 2C0",Rencontre East,NL,A0H 2C0,Province of Newfoundland and Labrador,rencontre east nl a0h 2c0,,
150,Christ the King School,223,1,1,1,1,"General Delivery Rushoon, NL A0E 2S0",Rushoon,NL,A0E 2S0,Province of Newfoundland and Labrador,general delivery rushoon nl a0e 2s0,,general delivery
151,Pearce Junior High School,209,0,0,1,0,"P.O. Box 130 Burin Bay Arm, NL A0E 1G0",Salt Pond,NL,A0E 1G0,Province of Newfoundland and Labrador,burin bay arm nl a0e 1g0,,
152,Riverside Elementary,243,1,1,0,0,"22 Thomas Pl. Clarenville, NL A5A 4P3",Shoal Harbour,NL,A5A 4P3,Province of Newfoundland and Labrador,22 thomas pl clarenville nl a5a 4p3,22,thomas pl
153,St. Anne's School,225,0,1,1,1,"General Delivery South East Bight, NL A0E 3B0",South East Bight,NL,A0E 3B0,Province of Newfoundland and Labrador,general delivery south east bight nl a0e 3b0,,general delivery
154,Fortune Bay Academy,226,1,1,1,1,P.O. Box 129 St. Bernard's - Jacques Font A0E 2T0,St. Bernard's - Jacques Fontaine,NL,A0E 2T0,Province of Newfoundland and Labrador,st bernard's jacques font a0e 2t0,,st bernard's jacques font a0e
155,St. Gabriel's All Grade,196,0,1,1,0,"P.O. Box 10 St. Brendan's, NL A0G 3V0",St. Brendan's,NL,A0G 3V0,Province of Newfoundland and Labrador,st brendan's nl a0g 3v0,,
156,St. Lawrence Academy,228,1,1,1,1,"P.O. Box 336 St. Lawrence, NL A0E 2V0",St. Lawrence,NL,A0E 2V0,Province of Newfoundland and Labrador,st lawrence nl a0e 2v0,,
157,New World Island Academy,478,1,1,1,1,"Box 130 Summerford, NL A0G 4E0",Summerford,NL,A0G 4E0,Province of Newfoundland and Labrador,summerford nl a0g 4e0,,
158,Swift Current Academy,246,1,1,0,0,"P. O. Box 40 Swift Current, NL A0E 2W0",Swift Current,NL,A0E 2W0,Province of Newfoundland and Labrador,p o swift current nl a0e 2w0,,
159,St. Joseph's All Grade,229,1,1,1,1,"P.O. Box 70 Terrenceville, NL A0E 2X0",Terrenceville,NL,A0E 2X0,Province of Newfoundland and Labrador,terrenceville nl a0e 2x0,,
160,J.M. Olds Collegiate,201,0,0,1,1,"Box 460 Twillingate, NL A0G 4M0",Twillingate,NL,A0G 4M0,Province of Newfoundland and Labrador,twillingate nl a0g 4m0,,
161,Twillingate Island Elementary,202,1,1,0,0,"P.O. Box 370 Twillingate, NL A0G 4M0",Twillingate,NL,A0G 4M0,Province of Newfoundland and Labrador,twillingate nl a0g 4m0,,
162,Pearson Academy,204,1,1,1,1,"Box 100 Wesleyville, NL A0G 4R0",Wesleyville,NL,A0G 4R0,Province of Newfoundland and Labrador,wesleyville nl a0g 4r0,,
163,Riverwood Academy,206,1,1,1,1,"General Delivery Wing's Point, NL A0G 4T0",Wing's Point,NL,A0G 4T0,Province of Newfoundland and Labrador,general delivery wing's point nl a0g 4t0,,general delivery
164,Roncalli Central High,247,0,0,1,1,"P. O. Box 260 Avondale, NL A0A 1B0",Avondale,NL,A0A 1B0,Province of Newfoundland and Labrador,p o avondale nl a0a 1b0,,
165,Tricon Elementary,433,1,1,0,0,"P.O. Box 100 Bay de Verde, NL A0A 1E0",Bay de Verde,NL,A0A 1E0,Province of Newfoundland and Labrador,bay de verde nl a0a 1e0,,
166,Amalgamated Academy,248,0,1,1,0,"P.O. Box 460 Bay Roberts, NL A0A 1G0",Bay Roberts,NL,A0A 1G0,Province of Newfoundland and Labrador,bay roberts nl a0a 1g0,,
167,Ascension Collegiate,249,0,0,0,1,"Box 370 Bay Roberts, NL A0A 1G0",Bay Roberts,NL,A0A 1G0,Province of Newfoundland and Labrador,bay roberts nl a0a 1g0,,
168,St. Augustine's Elementary,294,1,1,0,0,"P.O. Box 820 Bell Island, NL A0A 4H0",Bell Island,NL,A0A 4H0,Province of Newfoundland and Labrador,bell island nl a0a 4h0,,
169,St. Michael's Regional High,296,0,0,1,1,"P.O. Box 400 Bell Island, NL A0A 4H0",Bell Island,NL,A0A 4H0,Province of Newfoundland and Labrador,bell island nl a0a 4h0,,
