X,Y,OBJECTID,CSJGISSDE_GISDATA_Civics_patspa,CSJGISSDE_GISDATA_Civics_ABADTX,CSJGISSDE_GISDATA_Civics_Expr1,CSJGISSDE_GISDATA_Civics_ENCIVS,CSJGISSDE_GISDATA_Civics_FRCIVS,CSJGISSDE_sde_BP200AL4_BPLCID,CSJGISSDE_sde_BP200AL4_BPPCB,CSJGISSDE_sde_BP200AL4_BPPYER,CSJGISSDE_sde_BP200AL4_BPPCNB,CSJGISSDE_sde_BP200AL4_BPTNNB,CSJGISSDE_sde_BP200AL4_BPATYP,CSJGISSDE_sde_BP200AL4_BPASTS,CSJGISSDE_sde_BP200AL4_BPASDC,CSJGISSDE_sde_BP200AL4_BPASDT,CSJGISSDE_sde_BP200AL4_BPADAC,CSJGISSDE_sde_BP200AL4_BPADAT,CSJGISSDE_sde_BP200AL4_BPAMPN,CSJGISSDE_sde_BP200AL4_BPAOCA,CSJGISSDE_sde_BP200AL4_BPAPRB,CSJGISSDE_sde_BP200AL4_BPATNM,CSJGISSDE_sde_BP200AL4_BPEVAL,CSJGISSDE_sde_BP200AL4_BPPBLD,CSJGISSDE_sde_BP200AL4_BPAPGP,CSJGISSDE_sde_BP200AL4_BPUSTS,CSJGISSDE_sde_BP200AL4_BPRDCD,CSJGISSDE_sde_BP200AL4_BPASQF,CSJGISSDE_sde_BP200AL4_BPAPPN,CSJGISSDE_sde_BP200AL4_BPAPDS,CSJGISSDE_sde_BP200AL4_BPAEBY
2524898.350000001490116,7366262.8,33330,01508328,CN6397,55207021,40 Natures Way,40 voie Natures,87790,1,19,460,     ,B112,AP,1,190603,1,190524,          ,200,PB ,                         ,15000, ,      ,PI,BI,0,502300    ,Construct 16'x24' detached garage.                ,JR7430    
2526008.55,7365265.55,33497,06053873,CN6535,55204572,7 Morna Court,7 cour Morna,88058,1,17,421,     ,B112,AP,1,170524,1,170516,          ,0,PB ,                         ,23000, ,      ,CI,BI,0,542129    ,Construct 24 x 24 garage on slab                  ,JC1473    
2523876.95,7365301.0,33518,01509934,CN6557,00295881,49 Henderson Road,49 chemin Henderson,88098,1,16,919,     ,B112,AP,1,160916,1,160909,          ,0,PB ,                         ,48000, ,      ,CI,BI,0,444908    ,Construct 30 x 40 detached garage with washroom   ,JC1473    
2524013.45,7365432.600000001490116,33533,01510066,CN6570,00296012,11 Curtis Street,11 rue Curtis,88120,1,15,223,     ,GAR ,AP,1,150408,1,150331,          ,0,PB ,                         ,22000, ,      ,PI,BI,0,238161    ,construct 24'x24' detached garage                 ,PH1623    
2538310.3,7369333.399999998509884,33997,01514955,CN6949,00299834,35 Morgan Road,35 chemin Morgan,75686,1,19,435,     ,B112,AP,1,190605,1,190517,          ,200,PB ,                         ,15000, ,      ,PI,BI,0,743990    ,Construct new detached garage                     ,JR7430    
2537724.600000001490116,7368772.899999998509884,34360,01517636,CN7220,00302547,109 Todd Street,109 rue Todd,76182,1,17,574,     ,B112,AP,1,170615,1,170612,          ,0,PB ,                         ,25000, ,      ,CI,BI,0,413018    ,Construct 25'x25' detached garage                 ,PH1623    
2534989.600000001490116,7363588.350000001490116,34641,01624530,CN740,00007401,54 Orange Street,54 rue Orange,76532,1,17,706,     ,B112,AP,1,170714,1,170707,          ,0,PB ,                         ,16000, ,      ,CI,BI,0,138462    ,Replace 16'x25' detached garage                   ,PH1623    
2538321.7,7368432.149999998509884,35045,01523873,CN7628,00307066,43 Parkhill Drive,43 promenade Parkhill,76980,1,18,1145,     ,B112,AP,1,181024,1,181019,          ,200,PB ,                         ,11000, ,      ,PI,BI,0,018255    ,Construct 12'x24' detached garage                 ,PH1623    
2540999.899999998509884,7370230.95,35549,01530228,CN7928,00310300,189 Hillcrest Road,189 chemin Hillcrest,88822,1,15,500,     ,GAR ,AP,1,150624,1,150610,          ,0,PB ,                         ,50000, ,      ,PI,BI,0,968000    ,construct 30'x40' 2 storey detached garage        ,PH1623    
2539686.100000001490116,7369971.100000001490116,35594,01530650,CN7973,00310755,39 Baxter Road,39 chemin Baxter,88912,1,18,678,     ,B112,AP,1,180709,1,180703,          ,200,PB ,                         ,19000, ,      ,PI,BI,0,655730    ,construct 20x30 garage                            ,AB2476    
