idx1,idx2,Name_1,Name_2,Name_DL,Name_CS,Name_Q,Addr_DL,Addr_CS,StrNum_Match,StrName_DL,StrName_CS,PC_Match,Distance
1527,1425,Didsbury High School,Didsbury Career High School,0.7407407407407407,0.8660254037844387,0.75,0.6206896551724138,0.8111071056538125,0,0.0,0.0,1,0.0
117,44,Renfrew Educational Services Bowness Centre,Renfrew Educational Services Janice McTighe Centre,0.74,0.8187458870652156,0.7058823529411765,1.0,1.0,1,1.0,1.0,1,0.0
52,117,Renfrew Educational Services Child Development Centre,Renfrew Educational Services Bowness Centre,0.7169811320754718,0.8046797987672248,0.6666666666666666,1.0,1.0,1,1.0,1.0,1,0.0
53,44,Renfrew Educational Services Park Place Centre,Renfrew Educational Services Janice McTighe Centre,0.78,0.8306932538857421,0.7450980392156863,1.0,1.0,1,1.0,1.0,1,0.0
53,117,Renfrew Educational Services Park Place Centre,Renfrew Educational Services Bowness Centre,0.782608695652174,0.8306144860301817,0.7659574468085106,1.0,1.0,1,1.0,1.0,1,0.0
322,29,Providence Children s Centre Falconridge,Providence Children s Centre,0.7,0.8981702924222439,0.7073170731707317,1.0,1.0,1,1.0,0.9999999999999998,1,0.0
346,29,Providence Children s Centre Beddington,Providence Children s Centre,0.717948717948718,0.8966530605331446,0.725,1.0,1.0,1,1.0,0.9999999999999998,1,0.0
346,322,Providence Children s Centre Beddington,Providence Children s Centre Falconridge,0.75,0.8212630929949859,0.7317073170731707,1.0,1.0,1,1.0,0.9999999999999998,1,0.0
782,61,Pacekids Programs North,Pacekids Programs South,0.9130434782608696,0.857142857142857,0.8333333333333334,0.5,0.4459957386704484,0,0.23076923076923073,0.08333333333333333,0,21.88850071524269
577,29,Providence Children s Centre McKenzie Towne,Providence Children s Centre,0.6511627906976745,0.8863799356486772,0.6590909090909091,1.0,1.0,1,1.0,0.9999999999999998,1,0.0
577,322,Providence Children s Centre McKenzie Towne,Providence Children s Centre Falconridge,0.7209302325581395,0.8186191730378781,0.6818181818181818,1.0,1.0,1,1.0,0.9999999999999998,1,0.0
577,346,Providence Children s Centre McKenzie Towne,Providence Children s Centre Beddington,0.7674418604651163,0.8077806958015601,0.6818181818181818,1.0,1.0,1,1.0,0.9999999999999998,1,0.0
579,574,Montessori Children s House Academy Ltd #2,Montessori Children s House Academy Ltd #1,0.9761904761904762,0.9534883720930234,0.9534883720930233,0.4878048780487805,0.498307947770062,0,0.125,0.14509525002200233,0,8.896014470473505
580,574,Montessori Children s House Academy Ltd #3,Montessori Children s House Academy Ltd #1,0.9761904761904762,0.9534883720930234,0.9534883720930233,0.5135135135135135,0.5452497568062707,0,0.36363636363636365,0.27386127875258304,0,8.115390351980098
580,579,Montessori Children s House Academy Ltd #3,Montessori Children s House Academy Ltd #2,0.9761904761904762,0.9534883720930234,0.9534883720930233,0.5365853658536586,0.47871355387816905,0,0.3125,0.26490647141300877,0,6.771778025129395
623,622,Canadian Montessori School West,Canadian Montessori School North,0.875,0.849394767744346,0.8181818181818182,1.0,1.0,1,1.0,1.0,1,0.0
401,400,St Joan of Arc Elementary/Junior High School,St Basil Elementary/Junior High School,0.7727272727272727,0.8060638717580533,0.7333333333333333,0.5526315789473684,0.4941662111074007,0,0.33333333333333337,0.2672612419124244,0,7.524613662975707
408,407,Northeast Elementary Campus,Southeast Elementary Campus,0.9259259259259259,0.857142857142857,0.8571428571428571,0.5555555555555556,0.5264828210920953,0,0.3846153846153846,0.2857142857142857,0,11.043409465638762
409,408,Northwest Elementary Campus,Northeast Elementary Campus,0.9259259259259259,0.8928571428571428,0.8928571428571429,0.5277777777777778,0.42927285527410686,0,0.23076923076923073,0.0890870806374748,0,5.648030833098839
411,407,Southwest Elementary Campus,Southeast Elementary Campus,0.9259259259259259,0.8928571428571428,0.8928571428571429,0.4871794871794872,0.4496937504132879,0,0.2941176470588235,0.1709408646894569,0,2.796526868998999
411,409,Southwest Elementary Campus,Northwest Elementary Campus,0.9259259259259259,0.857142857142857,0.8571428571428571,0.4871794871794872,0.41066160187147627,0,0.17647058823529416,0.07106690545187015,0,14.986726479605206
458,410,North Middle School Campus,South Middle School Campus,0.9230769230769231,0.857690027870236,0.8518518518518519,0.5526315789473684,0.4358974358974359,0,0.375,0.19446111706564934,0,13.408042132503374
437,29,Providence Children s Centre Midnapore,Providence Children s Centre,0.736842105263158,0.9222246683267759,0.7435897435897436,1.0,1.0,1,1.0,0.9999999999999998,1,0.0
437,322,Providence Children s Centre Midnapore,Providence Children s Centre Falconridge,0.775,0.8549499226759616,0.7560975609756098,1.0,1.0,1,1.0,0.9999999999999998,1,0.0
437,346,Providence Children s Centre Midnapore,Providence Children s Centre Beddington,0.7948717948717949,0.8249579113843054,0.725,1.0,1.0,1,1.0,0.9999999999999998,1,0.0
437,577,Providence Children s Centre Midnapore,Providence Children s Centre McKenzie Towne,0.7674418604651163,0.8494578986499104,0.7045454545454546,1.0,1.0,1,1.0,0.9999999999999998,1,0.0
464,29,Providence Children s Centre Hawkwood,Providence Children s Centre,0.7567567567567568,0.9093531090412993,0.7631578947368421,1.0,1.0,1,1.0,0.9999999999999998,1,0.0
464,322,Providence Children s Centre Hawkwood,Providence Children s Centre Falconridge,0.775,0.8167539478627004,0.7073170731707317,1.0,1.0,1,1.0,0.9999999999999998,1,0.0
464,346,Providence Children s Centre Hawkwood,Providence Children s Centre Beddington,0.7692307692307692,0.8153742483272114,0.725,1.0,1.0,1,1.0,0.9999999999999998,1,0.0
464,577,Providence Children s Centre Hawkwood,Providence Children s Centre McKenzie Towne,0.6976744186046512,0.8060323502739514,0.6590909090909091,1.0,1.0,1,1.0,0.9999999999999998,1,0.0
464,437,Providence Children s Centre Hawkwood,Providence Children s Centre Midnapore,0.7894736842105263,0.8386278693775346,0.7435897435897436,1.0,1.0,1,1.0,0.9999999999999998,1,0.0
532,624,Fresh Start Outreach Program,Junior High Fresh Start Outreach Program,0.7,0.8703882797784892,0.7073170731707317,0.7096774193548387,0.5833333333333334,0,0.625,0.502518907629606,0,8.532356822211058
1071,1067,Calgary International Academy ECS,Calgary International Academy,0.8787878787878788,0.9511897312113419,0.8823529411764706,1.0,0.9999999999999998,0,1.0,1.0,1,0.0
808,292,CUPS One World Child Development Centre,One World Child Development Centre,0.8717948717948718,0.9551094400921769,0.875,0.7272727272727273,0.6948792289723034,0,0.7,0.7035264706814485,0,0.6340628260746929
813,622,Canadian Montessori School,Canadian Montessori School North,0.8125,0.9158437663089954,0.8181818181818182,1.0,1.0,0,1.0,1.0,1,0.0
813,623,Canadian Montessori School,Canadian Montessori School West,0.8387096774193549,0.9284766908852594,0.84375,1.0,1.0,0,1.0,1.0,1,0.0
814,1066,North Point School for Boys,North Point School for Boys,1.0,1.0,1.0,1.0,1.0000000000000002,0,1.0,1.0,1,0.0
1695,645,Almadina Language Charter Academy Mountain View Campus,Almadina Language Charter Academy Ogden Campus,0.7777777777777778,0.8542977006895832,0.7636363636363637,0.48571428571428577,0.5205792062953536,0,0.23076923076923073,0.2672612419124244,0,5.324621795564917
2354,528,Maple Ridge School,Saddle Ridge School,0.8421052631578947,0.8017837257372733,0.75,0.5121951219512195,0.40476190476190477,0,0.42105263157894735,0.2795084971874737,0,20.861166534179663
2204,403,St Hubert Elementary School,St Jerome Elementary School,0.7777777777777778,0.8124999999999998,0.7857142857142857,0.4565217391304348,0.39789178504159506,0,0.18181818181818177,0.06950480468569159,0,4.504922644904828
2256,2252,St James Elementary Junior High School,St Augustine Elementary Junior High School,0.8095238095238095,0.8262822258676935,0.7674418604651163,0.6129032258064516,0.50709255283711,0,0.5,0.4216370213557839,0,2.5000359593061576
2257,401,St Joseph Elementary Junior High School,St Joan of Arc Elementary/Junior High School,0.7727272727272727,0.8003991905551558,0.7333333333333333,0.4473684210526315,0.4313979814072881,0,0.19999999999999996,0.17677669529663687,0,9.561896179684085
2257,2252,St Joseph Elementary Junior High School,St Augustine Elementary Junior High School,0.8095238095238095,0.8172515478767465,0.7674418604651163,0.7333333333333334,0.6375355777548621,0,0.7142857142857143,0.5590169943749475,0,9.3366493772624
2257,2256,St Joseph Elementary Junior High School,St James Elementary Junior High School,0.8974358974358975,0.8791739645277159,0.85,0.6129032258064516,0.5388159060803248,0,0.5,0.35355339059327373,0,8.600976749268185
2218,2252,St Vincent De Paul Elementary Junior High School,St Augustine Elementary Junior High School,0.7291666666666667,0.8165701889135352,0.7346938775510204,0.6129032258064516,0.5217939320872035,0,0.625,0.5270462766947299,0,12.620363637660283
2223,403,St Catherine Elementary School,St Jerome Elementary School,0.8,0.8000946913656627,0.7419354838709677,0.5434782608695652,0.4472135954999579,0,0.40909090909090906,0.14744195615489716,0,23.663491940235538
2224,403,St Henry Elementary School,St Jerome Elementary School,0.8148148148148149,0.8067793113007157,0.75,0.4347826086956522,0.42931483143468957,0,0.2272727272727273,0.20851441405707477,0,4.3503103963654155
2224,2204,St Henry Elementary School,St Hubert Elementary School,0.8518518518518519,0.8366600265340756,0.7857142857142857,0.6451612903225806,0.5846845821518305,0,0.375,0.1111111111111111,0,1.292803409566248
2225,403,St Mark Elementary School,St Jerome Elementary School,0.8148148148148149,0.8068715304598785,0.75,0.4347826086956522,0.366007208697342,0,0.2727272727272727,0.16718346377260587,0,12.928180253629929
2225,2204,St Mark Elementary School,St Hubert Elementary School,0.8148148148148149,0.8068715304598785,0.75,0.5277777777777778,0.5017452060042544,0,0.3076923076923077,0.2672612419124244,0,8.849351393144056
2225,2224,St Mark Elementary School,St Henry Elementary School,0.8461538461538461,0.8332380897952962,0.7777777777777778,0.5,0.42460388780422337,0,0.23076923076923073,0.0890870806374748,0,9.818567682744902
2229,403,St Peter Elementary School,St Jerome Elementary School,0.8148148148148149,0.8206652053732659,0.7857142857142857,0.3913043478260869,0.2984188387811963,0,0.13636363636363635,0.0,0,15.281827454167964
2229,2204,St Peter Elementary School,St Hubert Elementary School,0.8518518518518519,0.8206652053732659,0.7857142857142857,0.7,0.5757575757575758,0,0.375,0.10050378152592121,0,11.171041241738225
2229,2224,St Peter Elementary School,St Henry Elementary School,0.8461538461538461,0.8160942667466479,0.7777777777777778,0.6774193548387097,0.5846845821518305,0,0.5,0.40201512610368484,0,12.099413596683116
2229,2225,St Peter Elementary School,St Mark Elementary School,0.8076923076923077,0.8136762043449725,0.7777777777777778,0.5277777777777778,0.5296199396711575,0,0.23076923076923073,0.08058229640253803,0,2.35369102093703
2231,403,St Bede Elementary School,St Jerome Elementary School,0.8518518518518519,0.8351913809763262,0.7857142857142857,0.4782608695652174,0.46348977465932156,0,0.2727272727272727,0.27863910628767646,0,2.7605555387742777
2231,2204,St Bede Elementary School,St Hubert Elementary School,0.8148148148148149,0.8351913809763262,0.7857142857142857,0.5714285714285714,0.4518259957799241,0,0.23076923076923073,0.0890870806374748,0,2.135405988834073
2231,2222,St Bede Elementary School,St Boniface Elementary School,0.7931034482758621,0.8351913809763262,0.7666666666666667,0.5384615384615384,0.3912927904356148,0,0.3529411764705882,0.1709408646894569,0,21.189458632683685
2231,2224,St Bede Elementary School,St Henry Elementary School,0.8461538461538461,0.8305395344999218,0.7777777777777778,0.5714285714285714,0.4875084344749437,0,0.3076923076923077,0.2672612419124244,0,1.6033437558667256
2231,2225,St Bede Elementary School,St Mark Elementary School,0.84,0.828078671210825,0.8076923076923077,0.5555555555555556,0.4415956834462115,0,0.46153846153846156,0.2857142857142857,0,10.979829280080457
2231,2229,St Bede Elementary School,St Peter Elementary School,0.8846153846153846,0.8071417672951359,0.7777777777777778,0.4571428571428572,0.3388694968349431,0,0.15384615384615385,0.0,0,13.305233669942307
2242,2225,St Maria Goretti Elementary School,St Mark Elementary School,0.7058823529411764,0.8185874846865605,0.6857142857142857,0.5675675675675675,0.49354811679282456,0,0.4666666666666667,0.4008918628686366,0,16.61441010841385
2248,2256,Holy Cross Elementary Junior High School,St James Elementary Junior High School,0.8,0.809243648999924,0.7560975609756098,0.6451612903225806,0.5833333333333334,0,0.625,0.4444444444444444,0,9.861653221231947
2248,2257,Holy Cross Elementary Junior High School,St Joseph Elementary Junior High School,0.775,0.8003991905551558,0.7560975609756098,0.6129032258064516,0.4789474720713998,0,0.25,0.1178511301977579,0,8.20543807827553
2250,2252,St Alphonsus Elementary Junior High School,St Augustine Elementary Junior High School,0.8095238095238095,0.8297872340425532,0.813953488372093,0.47058823529411764,0.3890390100637099,0,0.16666666666666663,0.0,0,8.640941394750957
2250,2256,St Alphonsus Elementary Junior High School,St James Elementary Junior High School,0.8095238095238095,0.8480264949694749,0.7906976744186046,0.5588235294117647,0.4931969619160719,0,0.33333333333333337,0.2773500981126146,0,8.617473317097513
2250,2257,St Alphonsus Elementary Junior High School,St Joseph Elementary Junior High School,0.8095238095238095,0.8387581675577135,0.7906976744186046,0.5294117647058824,0.47243087628599406,0,0.25,0.09805806756909201,0,2.5586861828389424
2366,2332,West Dalhousie School,Dalhousie School,0.7619047619047619,0.8897565210026093,0.7727272727272727,0.6285714285714286,0.5694424517739723,0,0.5,0.5547001962252291,0,1.4034754181113702
2397,490,McKenzie Lake School,McKenzie Towne School,0.8095238095238095,0.816496580927726,0.7727272727272727,0.5227272727272727,0.46328624665692747,0,0.30000000000000004,0.270226409466627,0,2.5336133289196145
2267,2235,St John XXIII School,St John Paul II School,0.7727272727272727,0.808290376865476,0.7391304347826086,0.725,0.6813598225089799,0,0.7058823529411764,0.6499999999999999,0,1.485767954791255
2503,1543,Bow Valley College Main Campus,Bow Valley College Airdrie Campus,0.8181818181818181,0.8624886920341298,0.7941176470588235,1.0,0.9999999999999998,1,1.0,0.9999999999999998,1,0.0
2448,2322,Queen Elizabeth High School,Queen Elizabeth School,0.8148148148148149,0.9136643851522572,0.8214285714285714,0.9333333333333333,0.903225806451613,0,1.0,1.0,1,0.06776890941295531
2467,291,Discovering Choices,Discovering Choices 2,0.9047619047619048,0.9534625892455921,0.9090909090909091,0.5111111111111111,0.5114896104728048,0,0.2142857142857143,0.10540925533894598,0,1.6897675075526568
2471,265,Calgary Academy,Calgary Arts Academy,0.75,0.9135002783911397,0.7619047619047619,0.5294117647058824,0.43306556956861336,0,0.2727272727272727,0.16116459280507606,0,12.134893808484874
2471,200,Calgary Academy,Calgary Academy Collegiate,0.5769230769230769,0.8174238913695991,0.5925925925925926,0.9705882352941176,0.9607689228305227,1,0.9090909090909091,0.8894991799933215,1,0.0
2472,2471,Calgary Jewish Academy,Calgary Academy,0.6818181818181819,0.8606629658238704,0.6956521739130435,0.5675675675675675,0.5682911427735109,0,0.4285714285714286,0.5185629788417315,0,10.485195509943662
2478,753,River Valley School,River Valley School ECS,0.8260869565217391,0.9128709291752769,0.8333333333333334,1.0,1.0,0,1.0,1.0,1,0.0
2488,1523,Rundle College Senior High School,Rundle College Junior High School,0.9393939393939394,0.9285714285714286,0.9117647058823529,1.0,1.0,1,1.0,1.0,1,0.0
2491,1522,Calgary Chinese Private School,Calgary Chinese Alliance School,0.8064516129032258,0.8058066296105564,0.75,0.475,0.39229933572445613,0,0.2222222222222222,0.06900655593423542,0,8.231413040190189
2496,2473,West Island College Class Afloat,West Island College,0.59375,0.8235321051453477,0.6060606060606061,1.0,1.0,1,1.0,0.9999999999999998,1,0.0
2497,2469,Calgary Christian High School,Calgary Christian School,0.8275862068965517,0.9235481451827989,0.8333333333333334,0.6774193548387097,0.6236750662286364,0,0.5,0.40201512610368484,0,0.33801635876275
18758,2474,AGA Academy,Akiva Academy,0.6923076923076923,0.8017837257372732,0.7142857142857143,0.2666666666666667,0.3434710325928735,0,0.16666666666666663,0.09245003270420486,0,11.779011653663952
18770,2504,Southern Alberta Institute of Technology,Southern Alberta Institute of Technology,1.0,1.0,1.0,0.574468085106383,0.6454972243679027,0,1.0,1.0,0,0.0
18568,2492,Columbia College,Columbia College,1.0,1.0000000000000002,1.0,0.5882352941176471,0.6561673228343176,0,1.0,1.0,0,0.0
18592,18591,Academy of Learning Calgary South,Academy of Learning Calgary NE,0.8484848484848485,0.8837879163470619,0.8235294117647058,0.5964912280701755,0.6313358105322218,0,0.19047619047619047,0.1421338109037403,0,10.33723265990788
18593,18558,CDI College of Business Technology and Health Care Calgary City Centre,Reeves College Calgary City Centre,0.41428571428571426,0.8050500218366249,0.43661971830985913,0.7333333333333334,0.8235795036461986,0,0.8888888888888888,0.7999999999999998,0,0.3144356692860396
