Province,City/Region,Source,Open data,License of Terms of Use,Attribution statement,Special note
AB,Edmonton,https://data.edmonton.ca/Emergency-Services/Fire-Stations/b4y7-zhnz,Y,,,
AB,Lethbridge,http://opendata.lethbridge.ca/datasets/49562195f8c14a26ae9908bc764bb324_0,Y,,,
BC,Vancouver,https://data.vancouver.ca/datacatalogue/index.htm#t,Y,,,
BC,Chilliwack,https://www.chilliwack.com/main/page.cfm?id=2331&odAction=viewItem&odID=52,Y,,,
BC,New Westminster,http://opendata.newwestcity.ca/datasets/significant-buildings-fire,Y,,,
BC,Surrey,https://data.surrey.ca/dataset/places-of-interest,Y,,,Public buildings including fire stations
MB,Winnipeg,https://data.winnipeg.ca/Fire-and-Rescue-Response/Fire-Paramedic-Station/s9qh-5s77,Y,,,
NB,Moncton,https://catalogue-moncton.opendata.arcgis.com/datasets/points-of-interest,Y,,,Public buildings including fire stations
ON,Peel Region,http://geohub.brampton.ca/datasets/2c53a937c0494c2786f01b75d4339f0c_6,Y,,,Public buildings including fire stations (shouldbe contained in Peel region as well)
ON,Cambridge,https://rowopendata-rmw.opendata.arcgis.com/datasets/cityofcambridge::emergency-services,Y,,,Public buildings including fire stations
ON,Peel Region,http://opendata.peelregion.ca/data-categories/facilities-and-structures/landmarks.aspx,Y,,,Public buildings including fire stations
ON,Guelph,http://data.open.guelph.ca/organization/city-of-guelph?q=fire&sort=score+desc%2C+metadata_modified+desc,Y,,,Fire stations
ON,Oshawa,http://opendata.durham.ca/datasets/oshawa::oshawa-fire-station-locations,Y,,,Fire stations
ON,Hamilton,http://open.hamilton.ca/datasets/dbb028cd6bcc4b218c607952b760fd04_5,Y,,,Fire Stations
ON,Huron County,https://data-huron.opendata.arcgis.com/datasets/emergency-services,Y,,,Public buildings including fire stations
ON,Kingston,https://opendatakingston.cityofkingston.ca/explore/dataset/point-of-interest/information/?disjunctive.description&disjunctive.name,Y,,,Public buildings including fire stations
ON,Kitchener,http://open-kitchenergis.opendata.arcgis.com/datasets/emergency-services,Y,,,Public buildings including fire stations
ON,York Region,http://insights-york.opendata.arcgis.com/datasets/02532059bb684e40baa15313b8ab3bb3_0,Y,,,
ON,Mississauga,http://data.mississauga.ca/datasets/e84a2af2c2c6489cbd42086769df9b5e_0,Y,,,
ON,Niagara Falls,https://niagaraopendata.ca/dataset/city-of-niagara-falls-fire-services,Y,,,
ON,Norfolk County,http://opendata.norfolkcounty.ca/datasets/fire-halls,Y,,,
ON,Toronto,https://www.toronto.ca/city-government/data-research-maps/open-data/open-data-catalogue/#8b80c323-f37b-d861-28cc-66103b4e1619,Y,,,
QC,Gatineau,https://www.donneesquebec.ca/recherche/fr/dataset/vgat_1267315911,Y,,,Public buildings including fire stations
QC,Montreal,https://www.donneesquebec.ca/recherche/fr/dataset/vmtl-casernes-pompiers,Y,,,
QC,Longueuil,https://www.donneesquebec.ca/recherche/fr/dataset/casernes-d-incendie,Y,,,Coordinates only
QC,Laval,https://www.donneesquebec.ca/recherche/fr/dataset/lieux-et-edifices-municipaux,Y,,,Public buildings including fire stations
QC,Quebec City,https://www.donneesquebec.ca/recherche/fr/dataset/vque_14,Y,,,Public buildings including fire stations
QC,Repentigny,https://www.donneesquebec.ca/recherche/fr/dataset/postes-de-police-et-casernes-de-pompiers,Y,,,Police and fire stations
