,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,idx1,idx2,Name_1,Name_2,Name_DL,Name_CS,Addr_CS,Addr_LCS,Address_1,Address_2,StrNum_Match,StrName_DL,StrName_CS,PC_Match,Distance,ISCED020_Match,ISCED1_Match,ISCED2_Match,ISCED3_Match,ISCED4+_Match,Check_1,Check_2,manual,idx_keep,idx_name,reason,errors,hierarchy_keep
342,342,342,342,342,342,47636ea54078a19b76d2,71c53e7da6a52a928a34,College Salette,College Salette inc ,0.75,0.912870929,0.805629233,0.777777778,3536 Boul St Laurent Montreal Quebec H2X 2V1 Canada,3536 boul Saint Laurent Montreal H2X2V1,1,0.833333333,0.872871561,1,0.032836563,1,1,1,1,1,False,False,True,71c53e7da6a52a928a34,idx2,Quebec > ESDC,,71c53e7da6a52a928a34
343,343,343,343,343,343,bde3f5e9ed56925efda6,17856742b2d6a86e7dda,College O sullivan de Montreal,College O Sullivan de Montreal inc ,0.828571429,0.947330933,0.898100419,0.847826087,1191 rue de la Montagne Montreal Quebec H3G1Z2 Canada,1191 rue de la Montagne Montreal H3G1Z2,1,1.0,1.0,1,0.021363467,1,1,1,1,1,False,True,True,bde3f5e9ed56925efda6,idx1,longer address,,17856742b2d6a86e7dda
344,344,344,344,344,344,88c9dbd94112a78ded95,017420a9725ecac5769b,College Inter Dec,College Inter Dec,1.0,1.0,0.828026497,0.75862069,2000 rue Sainte Catherine W Suite 8000 Montreal Quebec H3H 2T2 Canada,2000 rue Sainte Catherine Ouest Montreal H3H2T2,1,0.909090909,0.864126412,1,0.010796475,1,1,1,1,1,False,False,True,017420a9725ecac5769b,idx2,Quebec > ESDC,,017420a9725ecac5769b
347,347,347,347,347,347,3728991eb49f4ab6594f,1d0478e4ee937d4e9633,Cegep Gerald Godin,Cegep Gerald Godin,1.0,1.0,0.791925562,0.782608696,15615 boul Gauvin Ouest Montreal Quebec H9H 5K8 Canada,15615 boul Gouin Ouest Montreal H9H5K8,1,0.846153846,0.759072115,1,,1,1,1,1,1,False,False,True,1d0478e4ee937d4e9633,idx2,Quebec > ESDC,,1d0478e4ee937d4e9633
350,350,350,350,350,350,0eb442ce27fef044a104,68d2736cf9c46a9c39dc,CEGEP du Vieux Montreal,Cegep du Vieux Montreal,0.826086957,1.0,0.837707817,0.8,255 Rue Ontario Est Montreal Quebec H2X 1X6 Canada,255 rue Ontario Est Montreal H2X1X6,1,1.0,1.0,1,0.073897416,1,1,1,1,1,False,True,True,0eb442ce27fef044a104,idx1,longer address,,68d2736cf9c46a9c39dc
378,378,378,378,378,378,947e17ab521fd2fbbd5e,342b921a35a77dbe533b,Cegep Edouard Montpetit,Cegep Edouard Montpetit,1.0,1.0,0.83452296,0.734177215,945 Ch Chambly Longueuil Quebec J4H3M6 Canada,945 ch de Chambly Longueuil J4H3M6,1,0.769230769,0.912870929,1,0.084860066,1,1,1,1,1,False,True,True,947e17ab521fd2fbbd5e,idx1,longer address,,342b921a35a77dbe533b
384,384,384,384,384,384,5f4ebb5e1e4f12c3018c,f839821ce415fd74b407,Institut de Technologie Agroalimentaire St Hyacinthe,Institut de technologie agroalimentaire campus de Saint Hyacinthe,0.769230769,0.932179375,0.8610584,0.816326531,3230 rue Sicotte Saint Hyacinthe Quebec J2S7B3 Canada,3230 rue Sicotte CP 70 Saint Hyacinthe J2S7B3,1,1.0,1.0,1,0.26660948,1,1,1,1,1,False,True,True,5f4ebb5e1e4f12c3018c,idx1,longer address,,f839821ce415fd74b407
389,389,389,389,389,389,e8b1197078cd703f2eea,d3148d0e6842dd42455a,Universite de Sherbrooke,Universite de Sherbrooke,1.0,1.0,0.87210285,0.792079208,2500 Boul De L Universite Sherbrooke Quebec J1K 2R1 Canada,2500 boul de l Universite Sherbrooke J1K2R1,1,1.0,1.0,1,0.796790661,1,1,1,1,1,False,True,True,e8b1197078cd703f2eea,idx1,longer address,,d3148d0e6842dd42455a
391,391,391,391,391,391,dba0e9caf257ef7de070,3679377a061ce8b49330,CEGEP de Sherbrooke,Cegep de Sherbrooke,0.789473684,1.0,0.864534642,0.804878049,475 Rue du Cegep Sherbrooke Quebec J1E4K1 Canada,475 rue du Cegep Sherbrooke J1E4K1,1,1.0,1.0,1,0.064115739,1,1,1,1,1,False,True,True,dba0e9caf257ef7de070,idx1,longer address,,3679377a061ce8b49330
398,398,398,398,398,398,205ad38606f1bcaf3145,018632635315832511fa,Universite du Quebec Trois Rivieres,Universite du Quebec a Trois Rivieres,0.945945946,0.977008421,0.901849951,0.816326531,3351 Boul Des Forges Trois Rivieres Quebec G9A5H7 Canada,3351 boul des Forges Trois Rivieres G9A5H7,1,1.0,1.0,1,,1,1,1,1,1,True,True,True,205ad38606f1bcaf3145,idx1,longer address,,018632635315832511fa
400,400,400,400,400,400,452c39b9b9c83733f02d,b80ce0ee6f40b843b1e2,College Lafleche,College Lafleche,1.0,1.0,0.780189498,0.721649485,1687 Blvd Du Carmel Trois Rivieres Quebec G8Z 3R8 Canada,1687 boul du Carmel Trois Rivieres G8Z3R8,1,0.785714286,0.751469149,1,0.142167479,1,1,1,1,1,False,False,True,452c39b9b9c83733f02d,idx1,longer address,,b80ce0ee6f40b843b1e2
402,402,402,402,402,402,d76159564e6c9492a4b4,fa75159b36cd5bc8bdf8,CEGEP DE THETFORD,Cegep de Thetford,0.235294118,1.0,0.804779715,0.814159292,671 boul Frontenac Ouest Thetford Mines Quebec Quebec G6G1N1 Canada,671 boul Frontenac Ouest Thetford Mines G6G1N1,1,1.0,1.0,1,0.19363479,1,1,1,1,1,False,True,True,d76159564e6c9492a4b4,idx1,longer address,,fa75159b36cd5bc8bdf8
405,405,405,405,405,405,6e2ab3e0a59c0a65f307,c15607aeb91c64f989eb,Universite du Quebec Tele Universite,Universite du Quebec,0.555555556,0.906424986,0.814618279,0.684210526,455 Rue Du Parvis Quebec Quebec G1K9H6 Canada,475 rue du Parvis Quebec G1K9H7,0,0.65,0.835917319,0,0.037033112,1,1,1,1,1,False,False,True,6e2ab3e0a59c0a65f307,idx1,correct postal,,c15607aeb91c64f989eb
406,406,406,406,406,406,6a30e470ba720bd3b66e,e1d29ed6830077341b58,Universite Laval,Universite Laval,1.0,1.0,0.565919324,0.375,Bureau bourses et aide finan Pavillon Alphonse Desjardins 2325 rue de l Universite loc Quebec Quebec G1V0A6 Canada,Universite Laval Quebec G1V0A6,0,0.0,0.0,1,0.043356382,1,1,1,1,1,False,False,True,6a30e470ba720bd3b66e,idx1,longer address,,e1d29ed6830077341b58
407,407,407,407,407,407,6764592561beca5d0133,6e2ab3e0a59c0a65f307,Tele universite,Universite du Quebec Tele Universite,0.388888889,0.901491302,0.900367572,0.763157895,455 rue du Parvis Quebec G1K9H6,455 Rue Du Parvis Quebec Quebec G1K9H6 Canada,1,1.0,1.0,1,0.037033112,1,1,1,1,1,True,True,True,6e2ab3e0a59c0a65f307,idx2,longer address,,6764592561beca5d0133
412,412,412,412,412,412,dfa4078a0e714468c185,2c86f6c7bcee681901a4,Institut national de la recherche scientifique,Institut national de recherche scientifiques,0.913043478,0.952728874,0.92245011,0.837209302,490 rue de la Couronne Quebec G1K9A9,490 rue de la Couronne Quebec Quebec G1K9A9 Canada,1,1.0,1.0,1,0.057464976,1,1,1,1,1,True,True,True,dfa4078a0e714468c185,idx1,longer address,,dfa4078a0e714468c185
426,426,426,426,426,426,a158fe4e35700789f4c6,421301fe08a5a04fa2d7,Universite du Quebec Rimouski,Universite du Quebec a Rimouski,0.935483871,0.968245837,0.870988341,0.847826087,300 Allee Des Ursulines Rimouski Quebec G5L3A1 Canada,300 allee des Ursulines Rimouski G5L3A1,1,1.0,1.0,1,0.229075082,1,1,1,1,1,False,True,True,a158fe4e35700789f4c6,idx1,longer address,,421301fe08a5a04fa2d7
427,427,427,427,427,427,3206b5ecf2301a950622,89fb48b1f0d6f9a8e049,Institut Maritime du Quebec,Institut maritime du Quebec,0.962962963,1.0,0.820782682,0.791208791,53 St Germain Ouest Rimouski Quebec G5L4B4 Canada,53 rue Saint Germain Ouest Rimouski G5L4B4,1,0.631578947,0.792593924,1,0.077740184,1,1,1,1,1,False,False,True,3206b5ecf2301a950622,idx1,longer address,,89fb48b1f0d6f9a8e049
431,431,431,431,431,431,331cdbbfb8fa84b250b6,9c7654e3cf2d623877f5,Atlantic Hairstyling and Aesthetics Academy,Atlantic Hairstyling and Aesthetics Academy Ltd,0.914893617,0.971123245,0.975239917,0.990654206,23 Sunbury St Fredericton New Brunswick E3B 3S9 Canada,23 Sunbury St Fredericton New Brunswick E3B3S9 Canada,1,1.0,1.0,1,0.0,1,1,1,1,1,True,True,True,331cdbbfb8fa84b250b6,idx1,name matches web,,331cdbbfb8fa84b250b6
