ID,NOM_TOPOGRAPHIE,NO_CIVIQUE,RUE,DESCRIPTION,SUPERFICIE,PERIMETRE,GEOMETRIE
200892,Bassin de rétention de Compostelle,,Avenue du Patrimoine-Mondial,Bassins de rétention,0,0,POINT (-71.34058968144268 46.848309550173326)
200959,Bassin de rétention de Gaudarville,,Avenue de Gaudarville,Bassins de rétention,0,0,POINT (-71.35109993708244 46.78221514424351)
202663,Bassin de rétention de Genève,,Rue de Genève,Bassins de rétention,0,0,POINT (-71.32054209206306 46.9167158616297)
200369,Bassin de rétention de la Belle-Arrivée,,Rue de la Boudinière,Bassins de rétention,0,0,POINT (-71.3208987018223 46.83583348701107)
202664,Bassin de rétention de la Belle-Dame,,Rue Gaudias-Villeneuve,Bassins de rétention,0,0,POINT (-71.35185192841804 46.90606394667068)
203006,Bassin de rétention de la Chaudière,,Avenue Blaise-Pascal,Bassins de rétention,0,0,POINT (-71.352914201206 46.775447788970304)
200830,Bassin de rétention de la Comtoise,,Rue de la Comtoise,Bassins de rétention,0,0,POINT (-71.31784554566246 46.839919982277586)
200888,Bassin de rétention de la Gerboise,,Rue de la Gerboise,Bassins de rétention,0,0,POINT (-71.28688653462476 46.846358637416046)
203007,Bassin de rétention de la Griotte,,Rue de la Gandolière,Bassins de rétention,0,0,POINT (-71.29054135377437 46.84521921581271)
200889,Bassin de rétention de la Havane,,Rue de La Havane,Bassins de rétention,0,0,POINT (-71.3319244519176 46.841056684055026)
202671,Bassin de rétention de la Java,,Rue de la Java,Bassins de rétention,0,0,POINT (-71.39652138415077 46.8569373723239)
200513,Bassin de rétention de la Parmentière,,Rue de la Parmentière,Bassins de rétention,0,0,POINT (-71.2116753507615 46.876730658699735)
200781,Bassin de rétention de la Pinède,,Rue de la Pinède,Bassins de rétention,0,0,POINT (-71.27294576284982 46.88363949882269)
200860,Bassin de rétention de la Rive-Boisée-Nord-1,,Rue de la Rive-Boisée Nord,Bassins de rétention,0,0,POINT (-71.3159496757075 46.832861025118866)
200861,Bassin de rétention de la Rive-Boisée-Nord-2,,Rue de la Rive-Boisée Nord,Bassins de rétention,0,0,POINT (-71.31463747560673 46.83443516701983)
200893,Bassin de rétention de la Sultane NORD,,Boulevard Robert-Bourassa,Bassins de rétention,0,0,POINT (-71.33911637544546 46.852201210818514)
202811,Bassin de rétention de la Sultane SUD,,Boulevard Robert-Bourassa,Bassins de rétention,0,0,POINT (-71.33839817813781 46.85155739983229)
203002,Bassin de rétention de la Varappe,,Rue de la Varappe,Bassins de rétention,0,0,POINT (-71.31107651625511 46.89781224696665)
200951,Bassin de rétention de l'Acropole,,Rue de Vénus,Bassins de rétention,0,0,POINT (-71.33293765706881 46.87750625272758)
200817,Bassin de rétention de l'Alaska,,Rue de l'Alaska,Bassins de rétention,0,0,POINT (-71.20826841748944 46.90508885172161)
202648,Bassin de rétention de l'Alliance,,Rue de l'Alliance,Bassins de rétention,0,0,POINT (-71.34962456139151 46.87752575244236)
200453,Bassin de rétention de l'Alouette,,Rue de l'Alouette,Bassins de rétention,0,0,POINT (-71.40748002449031 46.836119940110166)
202666,Bassin de rétention de l'Amiral,,Rue des Calèches,Bassins de rétention,0,0,POINT (-71.40168890210518 46.84127585561941)
203051,Bassin de rétention de l'Apogée,7190,Rue de l'Apogée,Bassins de rétention,0,0,POINT (-71.32385558823432 46.88207476677835)
202647,Bassin de rétention de l'Aquarelle,,Rue Alfred-Cloutier,Bassins de rétention,0,0,POINT (-71.33988389230083 46.871819852931985)
200444,Bassin de rétention de l'Éclair,,Rue de l'Éclair,Bassins de rétention,0,0,POINT (-71.41867106808841 46.85167677773681)
200428,Bassin de rétention de l'Élégance,,Rue de l'Élégance,Bassins de rétention,0,0,POINT (-71.37307849523879 46.8956092933662)
200897,Bassin de rétention de l'Élysée,,Rue de l'Élysée,Bassins de rétention,0,0,POINT (-71.42667113777105 46.848067969991554)
200839,Bassin de rétention de l'Épilobe,,Rue de la Corolle,Bassins de rétention,0,0,POINT (-71.38502057598814 46.8868042045542)
200896,Bassin de rétention de l'Équinoxe,,Rue de l'Équinoxe,Bassins de rétention,0,0,POINT (-71.42863575865974 46.852175742961265)
200834,Bassin de rétention de l'Escarpement Est,,Boulevard Robert-Bourassa,Bassins de rétention,0,0,POINT (-71.3066792970118 46.8344128265531)
200833,Bassin de rétention de l'Escarpement Ouest,,Boulevard Robert-Bourassa,Bassins de rétention,0,0,POINT (-71.30809526770524 46.8337242693298)
200895,Bassin de rétention de l'Etna,,Rue de l'Etna,Bassins de rétention,0,0,POINT (-71.42786927883868 46.84948152973189)
200903,Bassin de rétention de l'Étrave,,Rue de l'Étrave,Bassins de rétention,0,0,POINT (-71.42172545655414 46.849998525764796)
200965,Bassin de rétention de l'Iliade,,Avenue des Affaires,Bassins de rétention,0,0,POINT (-71.41305669767753 46.861931432529325)
202673,Bassin de rétention de l'Interlude,,Rue de l'Interlude,Bassins de rétention,0,0,POINT (-71.40653471772681 46.859983457042745)
202672,Bassin de rétention de l'Interlude,,Rue de l'Interlude,Bassins de rétention,0,0,POINT (-71.40598620641114 46.85981628658232)
200928,Bassin de rétention de l'Opale,,Rue de l'Opale,Bassins de rétention,0,0,POINT (-71.26227164638915 46.88161831101871)
200935,Bassin de rétention de l'Orignal,,Avenue de l'Orignal,Bassins de rétention,0,0,POINT (-71.29655549279921 46.8815872872794)
202818,Bassin de rétention de Montolieu,,Rue de Montolieu,Bassins de rétention,0,0,POINT (-71.44707492548514 46.873352116734054)
203152,Bassin de rétention de Mouzène,,Avenue Joseph-Giffard,Bassins de rétention,0,0,POINT (-71.2127650761058 46.87469548515886)
202819,Bassin de rétention de Porto Nord,,Avenue de Porto,Bassins de rétention,0,0,POINT (-71.33224536332409 46.8428636780894)
200885,Bassin de rétention de Porto SUD,,Avenue de Porto,Bassins de rétention,0,0,POINT (-71.33161920573798 46.84222432848303)
200886,Bassin de rétention de Tolède,,Rue de Tolède,Bassins de rétention,0,0,POINT (-71.33777848365749 46.84430110616684)
200859,Bassin de rétention de Venise,,Rue de Venise,Bassins de rétention,0,0,POINT (-71.33940363288266 46.84353974784651)
200953,Bassin de rétention de Vénus,,Rue de Vénus,Bassins de rétention,0,0,POINT (-71.32291437390941 46.87914870092731)
200851,Bassin de rétention de Vérone,,Rue de Vérone,Bassins de rétention,0,0,POINT (-71.33810234521209 46.84919869853782)
200446,Bassin de rétention d'Érié,,Rue d'Érié,Bassins de rétention,0,0,POINT (-71.43187739109723 46.8616590850452)
202668,Bassin de rétention des Abatis,,Rue des Abatis,Bassins de rétention,0,0,POINT (-71.39807920975159 46.838448943267416)
200913,Bassin de rétention des Aboiteaux,,Rue des Récoltes,Bassins de rétention,0,0,POINT (-71.21284928817742 46.881434720835735)
200695,Bassin de rétention des Affaires,,Avenue des Affaires,Bassins de rétention,0,0,POINT (-71.40884963011712 46.85850869513651)
200970,Bassin de rétention des Affaires Sud,,Avenue des Affaires,Bassins de rétention,0,0,POINT (-71.4193124232695 46.86489764566803)
200587,Bassin de rétention des Autochtones,,Rue des Autochtones,Bassins de rétention,0,0,POINT (-71.29713440758908 46.899799425597266)
202839,Bassin de rétention des Autochtones,,Rue des Autochtones,Bassins de rétention,0,0,POINT (-71.29658008264799 46.89979100539581)
200947,Bassin de rétention des Basses-Terres,,Rue Bouvier,Bassins de rétention,0,0,POINT (-71.28397054964054 46.82956184875065)
200946,Bassin de rétention des Basses-Terres 2,,Rue Bouvier,Bassins de rétention,0,0,POINT (-71.28103856017518 46.83074267920071)
202831,Bassin de rétention des Basses-Terres 3,,Rue Bouvier,Bassins de rétention,0,0,POINT (-71.27695302674742 46.83226153426215)
202832,Bassin de rétention des Basses-Terres 4a,,Rue Bouvier,Bassins de rétention,0,0,POINT (-71.27470713517735 46.83332000806538)
202833,Bassin de rétention des Basses-Terres 4b,,Rue Bouvier,Bassins de rétention,0,0,POINT (-71.26772414144101 46.8370312251724)
202734,Bassin de rétention des Bourgs,,Rue de Manselmont,Bassins de rétention,0,0,POINT (-71.21899928336482 46.89614882442236)
202977,Bassin de rétention des Canoés,,Rue des Canoés,Bassins de rétention,0,0,POINT (-71.40557370772477 46.84178987736208)
200442,Bassin de rétention des Charmilles,,Rue des Cithares,Bassins de rétention,0,0,POINT (-71.41486560134827 46.84322770419205)
202822,Bassin de rétention des Commissaires,,Rue de la Belle-Angélique,Bassins de rétention,0,0,POINT (-71.25718374156014 46.8938367494645)
200559,Bassin de rétention des Comptines,,Rue des Comptines,Bassins de rétention,0,0,POINT (-71.42082848126286 46.843686702268904)
200511,Bassin de rétention des Cormiers,,Rue de la Pinède,Bassins de rétention,0,0,POINT (-71.27219500465769 46.88193910079349)
202667,Bassin de rétention des Élans,,Rue des Élans,Bassins de rétention,0,0,POINT (-71.42986913190829 46.844816919231576)
200931,Bassin de rétention des Émeraudes,,Rue des Émeraudes,Bassins de rétention,0,0,POINT (-71.2593745545943 46.88570040251304)
200933,Bassin de rétention des Émeraudes,,Rue des Émeraudes,Bassins de rétention,0,0,POINT (-71.260189107033 46.8860573219475)
200858,Bassin de rétention des Framboisiers,,Rue des Framboisiers,Bassins de rétention,0,0,POINT (-71.34459287564448 46.93212729822875)
202959,Bassin de rétention des Gazouillis,,Rue des Moqueurs,Bassins de rétention,0,0,POINT (-71.21096763587184 46.84460455524867)
202835,Bassin de rétention des Grandes-Marées,,Rue des Grandes-Marées,Bassins de rétention,0,0,POINT (-71.35899755596932 46.73930115580299)
200906,Bassin de rétention des Harpes,,Rue des Harpes,Bassins de rétention,0,0,POINT (-71.44977265332636 46.87400779055194)
202808,Bassin de rétention des Hautes-Terres,,Rue des Hautes-Terres,Bassins de rétention,0,0,POINT (-71.21118702411395 46.9557010530214)
202809,Bassin de rétention des Impératrices,,Rue des Impératrices,Bassins de rétention,0,0,POINT (-71.4278228445842 46.86486584875395)
201661,Bassin de rétention des Jésuites,,Avenue des Jésuites,Bassins de rétention,0,0,POINT (-71.249462518225 46.79728121271793)
202682,Bassin de rétention des Jouvenceaux,,Rue des Jouvenceaux,Bassins de rétention,0,0,POINT (-71.28809671940397 46.85340891319155)
200967,Bassin de rétention des Lièvres,,Rue des Lièvres,Bassins de rétention,0,0,POINT (-71.28898708600518 46.893267992580824)
202954,Bassin de rétention des Manitobains,,Rue des Manitobains,Bassins de rétention,0,0,POINT (-71.28840216512891 46.89805494404735)
202953,Bassin de rétention des Manitobains,,Rue des Manitobains,Bassins de rétention,0,0,POINT (-71.28808108297203 46.89810025720825)
202781,Bassin de rétention des Mauriciens,,Rue des Manitobains,Bassins de rétention,0,0,POINT (-71.29190158556966 46.90323479180738)
202960,Bassin de rétention des Moqueurs,,Rue des Moqueurs,Bassins de rétention,0,0,POINT (-71.21040185864987 46.84310862102191)
200709,Bassin de rétention des Ombrettes,,Rue des Ombrettes,Bassins de rétention,0,0,POINT (-71.39319806667426 46.8463563499542)
200775,Bassin de rétention des Pigamons,,Rue des Pigamons,Bassins de rétention,0,0,POINT (-71.29106543376753 46.89403213734351)
200842,Bassin de rétention des Pionnières-de-Beauport,,Rue des Pionnières-de-Beauport,Bassins de rétention,0,0,POINT (-71.16558763516817 46.87127184992415)
203003,Bassin de rétention des Pruches,,Boulevard du Loiret,Bassins de rétention,0,0,POINT (-71.26781923211593 46.88362708168291)
200914,Bassin de rétention des Récoltes,,Rue des Récoltes,Bassins de rétention,0,0,POINT (-71.21304260602237 46.88037218772063)
200543,Bassin de rétention des Santolines,,Rue des Santolines,Bassins de rétention,0,0,POINT (-71.295502634725 46.8909048206252)
200923,Bassin de rétention des Topazes,,Rue des Topazes,Bassins de rétention,0,0,POINT (-71.25287559004008 46.88303185058972)
200517,Bassin de rétention des Yvelines,615,Rue des Yvelines,Bassins de rétention,0,0,POINT (-71.31852630982036 46.90180243515309)
200890,Bassin de rétention d'Oviedo,,Rue de Vérone,Bassins de rétention,0,0,POINT (-71.33565031368406 46.84528536081796)
200912,Bassin de rétention du Balkan,,Rue du Balkan,Bassins de rétention,0,0,POINT (-71.20532049183215 46.90472274775765)
200832,Bassin de rétention du Bastingage,,Rue de la Rive-Boisée Nord,Bassins de rétention,0,0,POINT (-71.3316876091109 46.83573104446694)
200973,Bassin de rétention du Boisé-Royal,,Avenue de l'Amiral,Bassins de rétention,0,0,POINT (-71.41582482078447 46.8405532951954)
203004,Bassin de rétention du Bourg-Royal,,Rue de Dover,Bassins de rétention,0,0,POINT (-71.24618669324653 46.88063479617331)
203151,Bassin de rétention du Brévent,,Rue des Aigremoines,Bassins de rétention,0,0,POINT (-71.20539949134155 46.917156256906985)
200450,Bassin de rétention du Cabestan,,Rue du Cabestan,Bassins de rétention,0,0,POINT (-71.42346342392064 46.84338252154627)
203115,Bassin de rétention du Calcaire-1,,Rue du Calcaire,Bassins de rétention,0,0,POINT (-71.2998383909584 46.8500356752872)
203116,Bassin de rétention du Calcaire-2,,Rue du Calcaire,Bassins de rétention,0,0,POINT (-71.29836895893797 46.8498374208643)
202653,Bassin de rétention du Calumet,,Rue de la Camomille,Bassins de rétention,0,0,POINT (-71.33033335005818 46.84438994990935)
200573,Bassin de rétention du Centenaire,,Avenue du Centenaire,Bassins de rétention,0,0,POINT (-71.25366269632732 46.86323306639169)
203153,Bassin de rétention du Clair-Soleil,,Rue François-Paquet,Bassins de rétention,0,0,POINT (-71.36645724599416 46.90178652285684)
202669,Bassin de rétention du Corail,,Rue de l'Escarpement,Bassins de rétention,0,0,POINT (-71.4003581848298 46.84901923567985)
200934,Bassin de rétention du Daim,,Rue du Daim,Bassins de rétention,0,0,POINT (-71.30151865913051 46.882608345156314)
200899,Bassin de rétention du Domaine-de-la-Pente-Douce,,Rue du Colombage,Bassins de rétention,0,0,POINT (-71.42082749491053 46.840424050342655)
203005,Bassin de rétention du Faubourg-du-Cap,,Boulevard de la Chaudière,Bassins de rétention,0,0,POINT (-71.34743904874502 46.765581869511635)
202665,Bassin de rétention du Gabare,,Rue du Gabare,Bassins de rétention,0,0,POINT (-71.34456148998213 46.88087056324442)
200919,Bassin de rétention du Golf-Beauport,,Rue Marie-Louise-Marmette,Bassins de rétention,0,0,POINT (-71.21082372266538 46.86677561389692)
200917,Bassin de rétention du Harfang,,Rue du Harfang,Bassins de rétention,0,0,POINT (-71.2170134529164 46.873165702871574)
200921,Bassin de rétention du Loiret,,Boulevard du Loiret,Bassins de rétention,0,0,POINT (-71.2606022883925 46.877081472421665)
200937,Bassin de rétention du Marigot,,Rue du Marigot,Bassins de rétention,0,0,POINT (-71.30444087934974 46.881633620816906)
200845,Bassin de rétention du Mélézin,,Rue Blanche-Lamontagne,Bassins de rétention,0,0,POINT (-71.22394539559254 46.876391497683926)
202812,Bassin de rétention du Nordet,,Rue Louis-Cuisinier,Bassins de rétention,0,0,POINT (-71.36420420287799 46.78134452596476)
200561,Bassin de rétention du Panorama,,Rue du Panorama,Bassins de rétention,0,0,POINT (-71.21652798656693 46.90068830622548)
200840,Bassin de rétention du Parc-Technologique,,Boulevard du Parc-Technologique,Bassins de rétention,0,0,POINT (-71.30430896352706 46.79778638601409)
200779,Bassin de rétention du Piémont,,Rue du Piémont,Bassins de rétention,0,0,POINT (-71.35364987323449 46.90379792692783)
200944,Bassin de rétention du Platine,,Rue de l'Argon,Bassins de rétention,0,0,POINT (-71.32033879022384 46.88851754279031)
200945,Bassin de rétention du Platine,,Rue du Platine,Bassins de rétention,0,0,POINT (-71.31881309784877 46.889176577444054)
200925,Bassin de rétention du Prince-Albert,,Rue du Prince-Albert,Bassins de rétention,0,0,POINT (-71.27122808442445 46.888684912192524)
200823,Bassin de rétention du Ruisseau,,Rue du Ruisseau,Bassins de rétention,0,0,POINT (-71.19953410621916 46.887939800931946)
202813,Bassin de rétention du Ruisseau des Friches,,Route Sainte-Geneviève,Bassins de rétention,0,0,POINT (-71.39413185520267 46.82386226242911)
202979,Bassin de rétention du Ruisseau Mont-Châtel,,Rue John-Simons,Bassins de rétention,0,0,POINT (-71.37317480538158 46.82822560216088)
202815,Bassin de rétention du Ruisseau-de-Sainte-Barbe,,Boulevard Couture,Bassins de rétention,0,0,POINT (-71.36412671933469 46.83508488372931)
202646,Bassin de rétention du Semoir,,"Bretelle Aut. 40 Ouest, Québec, Montréal",Bassins de rétention,0,0,POINT (-71.2006664866411 46.87194575006555)
202955,Bassin de rétention du Yukon,,Rue du Yukon,Bassins de rétention,0,0,POINT (-71.20491928743067 46.903860364650015)
200526,Bassin de rétention Dunham,,Rue Dunham,Bassins de rétention,0,0,POINT (-71.3042757354079 46.897170213437136)
200441,Bassin de rétention Emerson,,Boulevard Pie-XI Nord,Bassins de rétention,0,0,POINT (-71.41750721319627 46.85698504514899)
200949,Bassin de rétention Émond,,Rue Émond,Bassins de rétention,0,0,POINT (-71.42647795873107 46.855025865444425)
202816,Bassin de rétention Ernest-Gagnon,,Avenue Ernest-Gagnon,Bassins de rétention,0,0,POINT (-71.2527972846972 46.798435608881015)
200909,Bassin de rétention Frédéric-Légaré,,Rue Frédéric-Légaré,Bassins de rétention,0,0,POINT (-71.36643759002787 46.85684244747978)
200741,Bassin de rétention Gabriel-Lajeunesse,,Rue Gabriel-Lajeunesse,Bassins de rétention,0,0,POINT (-71.224176209302 46.847704812367894)
203052,Bassin de rétention Garage municipale Charlesbourg,1615,Boulevard Jean-Talon Ouest,Bassins de rétention,0,0,POINT (-71.29096106214377 46.85859382198403)
202713,Bassin de rétention Gastonguay,,Boulevard Gastonguay,Bassins de rétention,0,0,POINT (-71.37164219666305 46.84103742464488)
200922,Bassin de rétention Gattebois,,Rue Gattebois,Bassins de rétention,0,0,POINT (-71.25275739812825 46.88393657587819)
200841,Bassin de rétention Gaudias-Villeneuve,,Rue Gaudias-Villeneuve,Bassins de rétention,0,0,POINT (-71.3478750323805 46.90741424194392)
201617,Bassin de rétention Grimaldi,1240,Rue Grimaldi,Bassins de rétention,0,0,POINT (-71.44166406534045 46.86947617862223)
200447,Bassin de rétention Hêtrière,,Rue de l'Hêtrière,Bassins de rétention,0,0,POINT (-71.37167408667916 46.7586538578548)
200955,Bassin de rétention Houde,,Rue Houde,Bassins de rétention,0,0,POINT (-71.26985365644516 46.82574390551069)
200443,Bassin de rétention Jade,,Rue du Jade,Bassins de rétention,0,0,POINT (-71.38689069559035 46.85762570083926)
202579,Bassin de rétention Jean-Gauvin,25,Route Jean-Gauvin,Bassins de rétention,0,0,POINT (-71.4333418060252 46.807129676662015)
202859,Bassin de rétention Joseph-E.-Bédard,290,Rue Joseph-E.-Bédard,Bassins de rétention,0,0,POINT (-71.34821550973545 46.765128025329695)
200975,Bassin de rétention Joviale,,Rue Joviale,Bassins de rétention,0,0,POINT (-71.40930295055085 46.85639594073268)
200963,Bassin de rétention Labelle,,Boulevard Raymond,Bassins de rétention,0,0,POINT (-71.18268607275067 46.88570572445291)
200857,Bassin de rétention Lafrance,,Rue Lafrance,Bassins de rétention,0,0,POINT (-71.32191594119104 46.90591122327011)
200843,Bassin de rétention Latouche,,Avenue du Sous-Bois,Bassins de rétention,0,0,POINT (-71.16881284599923 46.86828394581131)
201663,Bassin de rétention Lepire,,Rue Lepire,Bassins de rétention,0,0,POINT (-71.38466982640738 46.8909362979272)
202645,Bassin de rétention Lionel-Audet,,Rue Lionel-Audet,Bassins de rétention,0,0,POINT (-71.22145767320407 46.867794733265086)
202670,Bassin de rétention Louise-Carrier,,Rue Louise-Carrier,Bassins de rétention,0,0,POINT (-71.39517348523123 46.85039355738873)
202821,Bassin de rétention Louise-Fiset,,Rue Louise-Fiset,Bassins de rétention,0,0,POINT (-71.35641090285183 46.76931669032383)
200930,Bassin de rétention Lyonnais,,Boulevard Jean-Talon Ouest,Bassins de rétention,0,0,POINT (-71.28029819564422 46.87046491955215)
200535,Bassin de rétention Mélanie,,Rue Mélanie,Bassins de rétention,0,0,POINT (-71.23534341425027 46.87047296209978)
202676,Bassin de rétention Michelet,,Rue Michelet,Bassins de rétention,0,0,POINT (-71.32655395549811 46.80973939847578)
200911,Bassin de rétention Nordique,,Boulevard Raymond,Bassins de rétention,0,0,POINT (-71.1885421416352 46.888508605363654)
200941,Bassin de rétention Ovila-Rhéaume,,Rue Ovila-Rhéaume,Bassins de rétention,0,0,POINT (-71.31033068900886 46.892797166326226)
202661,Bassin de rétention Phydime-Deschênes,,Rue Phydime-Deschênes,Bassins de rétention,0,0,POINT (-71.30740914772713 46.89071310017701)
200448,Bassin de rétention Pie-XI,,Boulevard Pie-XI Sud,Bassins de rétention,0,0,POINT (-71.39465942431235 46.840708871102684)
200939,Bassin de rétention Prénoveau,,Rue Prénoveau,Bassins de rétention,0,0,POINT (-71.30745745056252 46.89289210009717)
200837,Bassin de rétention Provençal,,Rue Provençal,Bassins de rétention,0,0,POINT (-71.199076449039 46.907977819659884)
