idx1,idx2,Name_1,Name_2,Name_DL,Name_CS,Addr_CS,Addr_LCS,Address_1,Address_2,StrNum_Match,StrName_DL,StrName_CS,PC_Match,Distance,ISCED020_Match,ISCED1_Match,ISCED2_Match,ISCED3_Match,ISCED4+_Match
4320,4322,SD57 StrongStart Centre 06,SD57 StrongStart Centre 08,0.9615384615384616,0.9393939393939394,0.5499719409228703,0.5609756097560976,251 ogilive st prince george bc v2m 3m4,7151 heather pk rd prince george bc v2k 5y3,0,0.07692307692307687,0.0,0,8.168015349372528,1,1,1,1,1
4319,4322,SD57 StrongStart Centre 05,SD57 StrongStart Centre 08,0.9615384615384616,0.9393939393939394,0.5417363388859614,0.47619047619047616,3500 westwood dr prince george bc v2n 1s1,7151 heather pk rd prince george bc v2k 5y3,0,0.3076923076923077,0.14433756729740646,0,12.290539792409907,1,1,1,1,1
4319,4320,SD57 StrongStart Centre 05,SD57 StrongStart Centre 06,0.9615384615384616,0.9393939393939394,0.595879571531124,0.55,3500 westwood dr prince george bc v2n 1s1,251 ogilive st prince george bc v2m 3m4,0,0.09090909090909094,0.08703882797784893,0,4.122532541827083,1,1,1,1,1
4318,4322,SD57 StrongStart Centre 04,SD57 StrongStart Centre 08,0.9615384615384616,0.9393939393939394,0.5949422064001082,0.6097560975609756,1193 harper st prince george bc v2m 2x1,7151 heather pk rd prince george bc v2k 5y3,0,0.3846153846153846,0.23717082451262844,0,9.240330561160222,1,1,1,1,1
4318,4320,SD57 StrongStart Centre 04,SD57 StrongStart Centre 06,0.9615384615384616,0.9393939393939394,0.6963106238227914,0.6410256410256411,1193 harper st prince george bc v2m 2x1,251 ogilive st prince george bc v2m 3m4,0,0.30000000000000004,0.28603877677367767,0,1.2208807748234567,1,1,1,1,1
4318,4319,SD57 StrongStart Centre 04,SD57 StrongStart Centre 05,0.9615384615384616,0.9393939393939394,0.6001482030404225,0.55,1193 harper st prince george bc v2m 2x1,3500 westwood dr prince george bc v2n 1s1,0,0.09090909090909094,0.18257418583505536,0,3.1311426161356555,1,1,1,1,1
4317,4322,SD57 StrongStart Centre 03,SD57 StrongStart Centre 08,0.9615384615384616,0.9393939393939394,0.5333964609104418,0.6,1401 17th av prince george bc v2l 3z2,7151 heather pk rd prince george bc v2k 5y3,0,0.23076923076923073,0.08838834764831843,0,10.239912334756408,1,1,1,1,1
4317,4320,SD57 StrongStart Centre 03,SD57 StrongStart Centre 06,0.9615384615384616,0.9393939393939394,0.5875120888504802,0.631578947368421,1401 17th av prince george bc v2l 3z2,251 ogilive st prince george bc v2m 3m4,0,0.09999999999999998,0.0,0,2.8055699858142917,1,1,1,1,1
4317,4319,SD57 StrongStart Centre 03,SD57 StrongStart Centre 05,0.9615384615384616,0.9393939393939394,0.6001482030404225,0.5641025641025641,1401 17th av prince george bc v2l 3z2,3500 westwood dr prince george bc v2n 1s1,0,0.18181818181818177,0.0,0,3.0899015814723185,1,1,1,1,1
4317,4318,SD57 StrongStart Centre 03,SD57 StrongStart Centre 04,0.9615384615384616,0.9393939393939394,0.5909090909090909,0.5263157894736842,1401 17th av prince george bc v2l 3z2,1193 harper st prince george bc v2m 2x1,0,0.11111111111111116,0.0,0,1.6885214952952394,1,1,1,1,1
