Name,Address,StreetNumber,StreetName,PostalCode,City,Province,Latitude,Longitude,CSDUID,ISCED020,ISCED1,ISCED2,ISCED3,ISCED4+,ISCED_SUM,NameClean,dupe
Centre Jules Leger EP Surdicecite,281 av Lanark Ottawa Ontario K1Z6R8,281,av lanark,k1z6r8,Ottawa,ON,45.39935,-75.7542,3506008.0,1.0,1.0,1.0,0.0,0,3,centre jules leger ep surdicecite,True
Centre Jules Leger EP Surdicecite,281 av Lanark Ottawa Ontario K1Z6R8,281,av lanark,k1z6r8,Ottawa,ON,45.39935,-75.7542,3506008.0,0.0,0.0,1.0,1.0,0,2,centre jules leger ep surdicecite,True
Centre Jules Leger EA Difficulte,281 av Lanark Ottawa Ontario K1Z6R8,281,av lanark,k1z6r8,Ottawa,ON,45.39935,-75.7542,3506008.0,0.0,1.0,1.0,0.0,0,2,centre jules leger ea difficulte,True
Centre Jules Leger EA Difficulte,281 av Lanark Ottawa Ontario K1Z6R8,281,av lanark,k1z6r8,Ottawa,ON,45.39935,-75.7542,3506008.0,0.0,0.0,1.0,1.0,0,2,centre jules leger ea difficulte,True
Le Rucher,100 33e Avenue Nord Bois des Filion J6Z2C4,100,33e av n,j6z2c4,Bois-des-Filion,QC,45.670079,-73.75781,2473030.0,0.0,1.0,0.0,0.0,0.0,1,le rucher,True
Le Rucher,100 33e Avenue Nord Bois des Filion J6Z2C4,100,33e av n,j6z2c4,Bois-des-Filion,QC,45.670079,-73.75781,2473030.0,0.0,1.0,0.0,0.0,0.0,1,le rucher,True
Ecole nationale de cirque,8181 2e Avenue Montreal H1Z4N9,8181,2e av,h1z4n9,Montreal,QC,45.561794,-73.613646,2466023.0,0.0,0.0,1.0,1.0,0.0,2,ecole nationale de cirque,True
Ecole nationale de cirque,8181 2e Avenue Montreal H1Z4N9,8181,2e av,h1z4n9,Montreal,QC,45.561794,-73.613646,2466023.0,0,0,0,0,1.0,1,ecole nationale de cirque,True
Institut de tourisme et d hotellerie du Quebec,3535 rue Saint Denis Montreal H2X3P1,3535,rue saint-denis,h2x3p1,Montreal,QC,45.51798,-73.568679,2466023.0,0,0,0,0,1.0,1,institut de tourisme et d hotellerie du quebec,True
Institut de tourisme et d hotellerie du Quebec,3535 rue Saint Denis Montreal H2X3P1,3535,rue saint-denis,h2x3p1,Montreal,QC,45.51798,-73.568679,2466023.0,0.0,0.0,0.0,0.0,1.0,1,institut de tourisme et d hotellerie du quebec,True
Institut Teccart,3030 rue Hochelaga Montreal H1W1G2,3030,rue hochelaga,h1w1g2,Montreal,QC,45.540421,-73.554851,2466023.0,0.0,0.0,0.0,0.0,1.0,1,institut teccart,True
Institut Teccart,3030 rue Hochelaga Montreal H1W1G2,3030,rue hochelaga,h1w1g2,Montreal,QC,45.540421,-73.554851,2466023.0,0,0,0,0,1.0,1,institut teccart,True
College international Marie de France,4635 ch Queen Mary Montreal H3W1W3,4635,ch queen mary,h3w1w3,Montreal,QC,45.490252,-73.625122,2466023.0,1.0,1.0,1.0,1.0,0.0,4,college international marie de france,True
College international Marie de France,4635 ch Queen Mary Montreal H3W1W3,4635,ch queen-mary,h3w1w3,Montreal,QC,45.490252,-73.625122,2466023.0,0,0,0,0,1.0,1,college international marie de france,True
College St Michel,1995 rue Belanger Montreal H2G1B8,1995,rue belanger,h2g1b8,Montreal,QC,45.548009,-73.602282,2466023.0,0.0,0.0,0.0,0.0,1.0,1,college st michel,True
College St Michel,1995 rue Belanger Montreal H2G1B8,1995,rue belanger,h2g1b8,Montreal,QC,45.548009,-73.602282,2466023.0,0,0,0,0,1.0,1,college st michel,True
College St Jean Vianney,12630 boul Gouin Est Montreal H1C1B9,12630,boul gouin e,h1c1b9,Montreal,QC,45.691773,-73.51985,2466023.0,0.0,0.0,1.0,1.0,0.0,2,college st jean vianney,True
College St Jean Vianney,12630 boul Gouin Est Montreal H1C1B9,12630,boul gouin e,h1c1b9,Montreal,QC,45.691773,-73.51985,2466023.0,1.0,1.0,0.0,0.0,0.0,2,college st jean vianney,True
College Herzing,1616 boul Rene Levesque Ouest Montreal H3H1P8,1616,boul rene-levesque o,h3h1p8,Montreal,QC,45.493246,-73.575236,2466023.0,0.0,0.0,0.0,0.0,1.0,1,college herzing,True
College Herzing,1616 boul Rene Levesque Ouest Montreal H3H1P8,1616,boul rene-levesque o,h3h1p8,Montreal,QC,45.493246,-73.575236,2466023.0,0,0,0,0,1.0,1,college herzing,True
College CDI Administration Technologie Sante Saint Leonard,9480 boul Lacordaire Bureau 204 Montreal H1R0C4,9480,boul lacordaire,h1r0c4,Montreal,QC,45.600248,-73.615176,2466023.0,0,0,0,0,1.0,1,college cdi administration technologie sante saint leonard,True
College CDI Administration Technologie Sante Saint Leonard,9480 boul Lacordaire Bureau 204 Montreal H1R0C4,9480,boul lacordaire,h1r0c4,Montreal,QC,45.600248,-73.615176,2466023.0,0,0,0,0,1.0,1,college cdi administration technologie sante saint leonard,True
Seminaire de Sherbrooke,195 rue Marquette Sherbrooke J1H1L6,195,rue marquette,j1h1l6,Sherbrooke,QC,45.403012,-71.894517,2443027.0,0.0,0.0,1.0,1.0,0.0,2,seminaire de sherbrooke,True
Seminaire de Sherbrooke,195 rue Marquette Sherbrooke J1H1L6,195,rue marquette,j1h1l6,Sherbrooke,QC,45.403012,-71.894517,2443027.0,0,0,0,0,1.0,1,seminaire de sherbrooke,True
College Ellis campus de Trois Rivieres,90 rue Dorval Trois Rivieres G8T5X7,90,rue dorval,g8t5x7,Trois-Rivieres,QC,46.36319,-72.50922,2437067.0,0,0,0,0,1.0,1,college ellis campus de trois rivieres,True
College Ellis campus de Trois Rivieres,90 rue Dorval Trois Rivieres G8T5X7,90,rue dorval,g8t5x7,Trois-Rivieres,QC,46.36319,-72.50922,2437067.0,0,0,0,0,1.0,1,college ellis campus de trois rivieres,True
Campus Notre Dame de Foy,5000 rue Clement Lockquell Saint Augustin de Desmaures G3A1B3,5000,rue clement-lockquell,g3a1b3,Saint-Augustin-de-Desmaures,QC,46.736869,-71.399553,2423072.0,0.0,0.0,0.0,0.0,1.0,1,campus notre dame de foy,True
Campus Notre Dame de Foy,5000 rue Clement Lockquell Saint Augustin de Desmaures G3A1B3,5000,rue clement-lockquell,g3a1b3,Saint-Augustin-de-Desmaures,QC,46.736869,-71.399553,2423072.0,0,0,0,0,1.0,1,campus notre dame de foy,True
PDSB Online School,,,,,,ON,,,,1.0,1.0,1.0,0.0,0,3,pdsb online school,True
PDSB Online School,,,,,,ON,,,,0.0,0.0,1.0,1.0,0,2,pdsb online school,True
