idx,facility_name,source_id,authority_type,grade_range,address_str,street_addr,postal_code,city,provider,address_str_clean,street_no,street_name
303,Centre scolaire Étoile de l'Acadie,387,public,PP - 12,"15, rue Inglis Sydney N.-É. B1P 7C6 NS","15, rue Inglis",B1P 7C6,Sydney N.-É.,Province of Nova Scotia,15 rue inglis sydney n é b1p 7c6 ns,15,rue inglis sydney n
304,École acadienne de Pomquet,145,public,PP - 12,"791, rue Taylor Pomquet N.-É. B2G 2L4 NS","791, rue Taylor",B2G 2L4,Pomquet N.-É.,Province of Nova Scotia,791 rue taylor pomquet n é b2g 2l4 ns,791,rue taylor pomquet n é
305,École acadienne de Truro,433,public,PP - 12,"50, rue Aberdeen Truro N.-É. B2N 4V3 NS","50, rue Aberdeen",B2N 4V3,Truro N.-É.,Province of Nova Scotia,50 rue aberdeen truro n é b2n 4v3 ns,50,rue aberdeen truro n é
306,École Beaubassin,947,public,PP - 5,"54, boul. Larry Uteck Halifax N.-É. B3M 4R9 NS","54, boul. Larry Uteck",B3M 4R9,Halifax N.-É.,Province of Nova Scotia,54 boul larry uteck halifax n é b3m 4r9 ns,54,boul larry uteck halifax n é
307,École Beau-Port,982,public,PP - 12,"2359, rt. 206 Arichat N.-É. B0E 2L0 NS","2359, rt. 206",B0E 2L0,Arichat N.-É.,Province of Nova Scotia,2359 rt 206 arichat n é b0e 2l0 ns,2359,rt 206 arichat n é
308,École Belleville,744,public,PP - 6,"84, chemin Belleville Tusket N.-É. B0W 3M0 NS","84, chemin Belleville",B0W 3M0,Tusket N.-É.,Province of Nova Scotia,84 chemin belleville tusket n é b0w 3m0 ns,84,chemin belleville tusket n é
309,École Bois-Joli,948,public,PP - 5,"211, av. du Portage Dartmouth N.-É. B2X 3T4 NS","211, av. du Portage",B2X 3T4,Dartmouth N.-É.,Province of Nova Scotia,211 av du portage dartmouth n é b2x 3t4 ns,211,av du portage dartmouth n é
310,École des Beaux-Marais,1173,public,PP - 8,"5261, autoroute 7 Porters Lake N.-É. B3E 1J7 NS","5261, autoroute 7",B3E 1J7,Porters Lake N.-É.,Province of Nova Scotia,5261 autoroute 7 porters lake n é b3e 1j7 ns,5261,autoroute 7 porters lake n é
311,École du Carrefour,68,public,06 - 12,"201A, av. du Portage Dartmouth N.-É. B2X 3T4 NS","201A, av. du Portage",B2X 3T4,Dartmouth N.-É.,Province of Nova Scotia,201a av du portage dartmouth n é b2x 3t4 ns,,201a av du portage dartmouth n é
312,École du Grand-Portage,1188,public,PP - 6,"100, Stokil Dr Lower Sackville N.-É. B4C 2G5 NS","100, Stokil Dr",B4C 2G5,Lower Sackville N.-É.,Province of Nova Scotia,100 stokil dr lower sackville n é b4c 2g5 ns,100,stokil dr
313,École Joseph-Dugas,217,public,PP - 6,"450, ch. Patrice Pointe-de-l'Église N.-É. B0W 1M0 NS","450, ch. Patrice",B0W 1M0,Pointe-de-l'Église N.-É.,Province of Nova Scotia,450 ch patrice pointe de l'église n é b0w 1m0 ns,450,ch patrice pointe de l'église n é
314,École Mer et Monde,1197,public,PP - 7,"5750, rue Atlantic Halifax N.-É. B3H 1G9 NS","5750, rue Atlantic",B3H 1G9,Halifax N.-É.,Province of Nova Scotia,5750 rue atlantic halifax n é b3h 1g9 ns,5750,rue atlantic halifax n é
315,École NDA,378,public,PP - 12,CP 100 Chéticamp N.-É. B0E 1H0 NS,CP 100,B0E 1H0,Chéticamp N.-É.,Province of Nova Scotia,chéticamp n é b0e 1h0 ns,,chéticamp n é
316,École Pubnico-Ouest,156,public,PP - 6,CP 40 Pubnico-Ouest N.-É. B0W 3S0 NS,CP 40,B0W 3S0,Pubnico-Ouest N.-É.,Province of Nova Scotia,pubnico ouest n é b0w 3s0 ns,,pubnico ouest n é
317,École Rose-des-Vents,57,public,PP - 12,"6, ch. Bedford Greenwood N.-É. B0P 1N0 NS","6, ch. Bedford",B0P 1N0,Greenwood N.-É.,Province of Nova Scotia,6 ch bedford greenwood n é b0p 1n0 ns,6,ch bedford greenwood n
318,École secondaire de Clare,225,public,07 - 12,"80, ch. Placide Comeau La Butte N.-É. B0W 2L0 NS","80, ch. Placide Comeau",B0W 2L0,La Butte N.-É.,Province of Nova Scotia,80 ch placide comeau la butte n é b0w 2l0 ns,80,ch placide comeau la butte n é
319,École secondaire de Par-en-Bas,980,public,07 - 12,"4258, route 308 Tusket N.-É. B0W 3M0 NS","4258, route 308",B0W 3M0,Tusket N.-É.,Province of Nova Scotia,4258 route 308 tusket n é b0w 3m0 ns,4258,route 308 tusket n é
320,École secondaire du Sommet,1152,public,06 - 12,"500, boul. Larry Uteck Halifax N.-É. B3M 0E6 NS","500, boul. Larry Uteck",B3M 0E6,Halifax N.-É.,Province of Nova Scotia,500 boul larry uteck halifax n é b3m 0e6 ns,500,boul larry
