idx,facility_name,source_id,authority_type,grade_range,address_str,street_addr,postal_code,city,provider,address_str_clean,street_no,street_name
14,Glace Bay High School,8,public,09 - 12,201 Reserve St Glace Bay NS B1A 4W3 NS,201 Reserve St,B1A 4W3,Glace Bay NS,Province of Nova Scotia,201 reserve st glace bay ns b1a 4w3 ns,201,reserve st
15,Greenfield Elementary School,963,public,PP - 5,25 James St River Ryan NS B1H 1B8 NS,25 James St,B1H 1B8,River Ryan NS,Province of Nova Scotia,25 james st river ryan ns b1h 1b8 ns,25,james st
16,Harbourside Elementary School,964,public,PP - 5,15 Church St Sydney NS B1N 2R3 NS,15 Church St,B1N 2R3,Sydney NS,Province of Nova Scotia,15 church st sydney ns b1n 2r3 ns,15,church st
17,John Bernard Croak V.C. Memorial School,549,public,PP - 5,10 Second St Glace Bay NS B1A 5Z4 NS,10 Second St,B1A 5Z4,Glace Bay NS,Province of Nova Scotia,10 second st glace bay ns b1a 5z4 ns,10,second st
18,Jubilee Elementary School,960,public,PP - 5,755 Main St Sydney Mines NS B1V 2L4 NS,755 Main St,B1V 2L4,Sydney Mines NS,Province of Nova Scotia,755 main st sydney mines ns b1v 2l4 ns,755,main st
19,Malcolm Munroe Middle School,202,public,06 - 8,125 Kenwood Dr Sydney NS B1S 1T8 NS,125 Kenwood Dr,B1S 1T8,Sydney NS,Province of Nova Scotia,125 kenwood dr sydney ns b1s 1t8 ns,125,kenwood dr
20,Marion Bridge School,183,public,PR - 5,3845 Gabarus Hwy Marion Bridge NS B1K 1A6 NS,3845 Gabarus Hwy,B1K 1A6,Marion Bridge NS,Province of Nova Scotia,3845 gabarus hwy marion bridge ns b1k 1a6 ns,3845,gabarus hwy
21,Memorial Composite High School,82,public,09 - 12,300 Memorial Dr Sydney Mines NS B1V 2Y5 NS,300 Memorial Dr,B1V 2Y5,Sydney Mines NS,Province of Nova Scotia,300 memorial dr sydney mines ns b1v 2y5 ns,300,memorial dr
22,Middle River Consolidated,83,public,PR - 5,2248 Cabot Trail Middle River NS B0E 1B0 NS,2248 Cabot Trail,B0E 1B0,Middle River NS,Province of Nova Scotia,2248 cabot trail middle river ns b0e 1b0 ns,2248,cabot trail
23,Mountainview Elementary School,997,public,PP - 5,21 Delta Dr Howie Centre NS B1L 1G9 NS,21 Delta Dr,B1L 1G9,Howie Centre NS,Province of Nova Scotia,21 delta dr howie centre ns b1l 1g9 ns,21,delta dr
24,North Highlands Elementary School,961,public,PP - 5,1363 Bay St. Lawrence Rd Aspy Bay NS B0C 1G0 NS,1363 Bay St. Lawrence Rd,B0C 1G0,Aspy Bay NS,Province of Nova Scotia,1363 bay st lawrence rd aspy bay ns b0c 1g0 ns,1363,bay st lawrence rd
25,Oceanview Education Centre,1154,public,06 - 8,60 Wallaces Rd Glace Bay NS B1A 4N5 NS,60 Wallaces Rd,B1A 4N5,Glace Bay NS,Province of Nova Scotia,60 wallaces rd glace bay ns b1a 4n5 ns,60,wallaces rd
26,Rankin School of the Narrows,1142,public,PP - 12,4144 Hwy 223 Iona NS B2C 1A4 NS,4144 Hwy 223,B2C 1A4,Iona NS,Province of Nova Scotia,4144 hwy 223 iona ns b2c 1a4 ns,4144,hwy 223
27,Riverside School,973,public,PP - 8,7430 Hornes Rd Albert Bridge NS B0A 1P0 NS,7430 Hornes Rd,B0A 1P0,Albert Bridge NS,Province of Nova Scotia,7430 hornes rd albert bridge ns b0a 1p0 ns,7430,hornes rd
28,Riverview High School,203,public,09 - 12,57 Coxheath Rd Sydney NS B1R 1R4 NS,57 Coxheath Rd,B1R 1R4,Sydney NS,Province of Nova Scotia,57 coxheath rd sydney ns b1r 1r4 ns,57,coxheath rd
29,Robin Foote Elementary School,182,public,PP - 5,125 Sunnydale Dr Westmount NS B1R 1J4 NS,125 Sunnydale Dr,B1R 1J4,Westmount NS,Province of Nova Scotia,125 sunnydale dr westmount ns b1r 1j4 ns,125,sunnydale dr
30,Seton Elementary School,113,public,PR - 5,25 Wilkie Ave North Sydney NS B2A 1Y5 NS,25 Wilkie Ave,B2A 1Y5,North Sydney NS,Province of Nova Scotia,25 wilkie ave north sydney ns b2a 1y5 ns,25,wilkie ave
31,Sherwood Park Education Centre,646,public,06 - 8,500 Terrace St Sydney NS B1P 6N1 NS,500 Terrace St,B1P 6N1,Sydney NS,Province of Nova Scotia,500 terrace st sydney ns b1p 6n1 ns,500,terrace st
32,Shipyard Elementary School,972,public,PP - 5,30 Mt. Kemmel St Sydney NS B1S 3V6 NS,30 Mt. Kemmel St,B1S 3V6,Sydney NS,Province of Nova Scotia,30 mt kemmel st sydney ns b1s 3v6 ns,30,mt kemmel st
33,St. Anne's Elementary School,561,public,PP - 5,30 Official Row Glace Bay NS B1A 2W9 NS,30 Official Row,B1A 2W9,Glace Bay NS,Province of Nova Scotia,30 official row glace bay ns b1a 2w9 ns,30,official row
34,Sydney Academy,688,public,09 - 12,49 Terrace St Sydney NS B1P 2L4 NS,49 Terrace St,B1P 2L4,Sydney NS,Province of Nova Scotia,49 terrace st sydney ns b1p 2l4 ns,49,terrace st
35,Sydney Mines Middle School,117,public,06 - 8,596 Main St Sydney Mines NS B1V 2K8 NS,596 Main St,B1V 2K8,Sydney Mines NS,Province of Nova Scotia,596 main st sydney mines ns b1v 2k8 ns,596,main st
36,Sydney River Elementary School,185,public,PP - 5,35 Phillips St Sydney River NS B1S 1M8 NS,35 Phillips St,B1S 1M8,Sydney River NS,Province of Nova Scotia,35 phillips st sydney river ns b1s 1m8 ns,35,phillips st
37,Tompkins Memorial Elementary School,175,public,PP - 5,60 Main St Reserve Mines NS B1E 1E5 NS,60 Main St,B1E 1E5,Reserve Mines NS,Province of Nova Scotia,60 main st reserve mines ns b1e 1e5 ns,60,main st
38,Whitney Pier Memorial Middle School,667,public,06 - 8,199 Jamieson St Whitney Pier NS B1N 2P7 NS,199 Jamieson St,B1N 2P7,Whitney Pier NS,Province of Nova Scotia,199 jamieson st whitney pier ns b1n 2p7 ns,199,jamieson st
39,Antigonish Education Centre,934,public,PP - 4,30 Appleseed Dr Antigonish NS B2G 3B6 NS,30 Appleseed Dr,B2G 3B6,Antigonish NS,Province of Nova Scotia,30 appleseed dr antigonish ns b2g 3b6 ns,30,appleseed dr
40,Bayview Education Centre,932,public,PP - 8,133 Company Rd Port Hood NS B0E 2W0 NS,133 Company Rd,B0E 2W0,Port Hood NS,Province of Nova Scotia,133 company rd port hood ns b0e 2w0 ns,133,company rd
41,Cape Breton Highlands Education Centre/Academy,974,public,PP - 12,11070 Cabot Trail Margaree Harbour NS B0E 2B0 NS,11070 Cabot Trail,B0E 2B0,Margaree Harbour NS,Province of Nova Scotia,11070 cabot trail margaree harbour ns b0e 2b0 ns,11070,cabot trail
42,Chedabucto Ed Centre/Guysborough Academy,986,public,PP - 12,27 Green St Guysborough NS B0H 1N0 NS,27 Green St,B0H 1N0,Guysborough NS,Province of Nova Scotia,27 green st guysborough ns b0h 1n0 ns,27,green st
43,Dalbrae Academy,930,public,08 - 12,11156 Hwy 19 SW Mabou Mabou NS B0E 1X0 NS,11156 Hwy 19 SW Mabou,B0E 1X0,Mabou NS,Province of Nova Scotia,11156 hwy 19 sw mabou mabou ns b0e 1x0 ns,11156,hwy 19
44,Dr. John Hugh Gillis Regional High,707,public,09 - 12,105 Braemore Ave Antigonish NS B2G 1L3 NS,105 Braemore Ave,B2G 1L3,Antigonish NS,Province of Nova Scotia,105 braemore ave antigonish ns b2g 1l3 ns,105,braemore ave
45,East Antigonish Education Centre/Academy,975,public,PP - 12,10128 Rte 4 Monastery NS B0H 1W0 NS,10128 Rte 4,B0H 1W0,Monastery NS,Province of Nova Scotia,10128 rte 4 monastery ns b0h 1w0 ns,10128,rte 4
46,East Richmond Education Centre,484,public,PP - 8,9359 Pepperell St St. Peter`s NS B0E 3B0 NS,9359 Pepperell St,B0E 3B0,St. Peter`s NS,Province of Nova Scotia,9359 pepperell st st peter`s ns b0e 3b0 ns,9359,pepperell st st
47,Fanning Education Centre/Canso Academy,266,public,PP - 12,129 Tickle Rd Guysborough NS B0H 1H0 NS,129 Tickle Rd,B0H 1H0,Guysborough NS,Province of Nova Scotia,129 tickle rd guysborough ns b0h 1h0 ns,129,tickle rd
48,Felix Marchand Education Centre,471,public,PP - 4,380 Main St Louisdale NS B0E 1V0 NS,380 Main St,B0E 1V0,Louisdale NS,Province of Nova Scotia,380 main st louisdale ns b0e 1v0 ns,380,main st
49,H.M. MacDonald Elementary School,143,public,PP - 6,2811 Hwy 245 Maryvale NS B2G 2J1 NS,2811 Hwy 245,B2G 2J1,Maryvale NS,Province of Nova Scotia,2811 hwy 245 maryvale ns b2g 2j1 ns,2811,hwy 245
50,Inverness Education Centre/Academy,1106,public,PP - 12,59 Veterans Memorial Crt Inverness NS B0E 1N0 NS,59 Veterans Memorial Crt,B0E 1N0,Inverness NS,Province of Nova Scotia,59 veterans memorial crt inverness ns b0e 1n0 ns,59,veterans memorial crt
51,Pleasant Bay School,390,public,PR - 6,456 Pleasant Bay Rd Pleasant Bay NS B0E 2P0 NS,456 Pleasant Bay Rd,B0E 2P0,Pleasant Bay NS,Province of Nova Scotia,456 pleasant bay rd pleasant bay ns b0e 2p0 ns,456,pleasant bay rd
52,Richmond Education Centre/Academy,931,public,05 - 12,3238 Whiteside Rd Louisdale NS B0E 1V0 NS,3238 Whiteside Rd,B0E 1V0,Louisdale NS,Province of Nova Scotia,3238 whiteside rd louisdale ns b0e 1v0 ns,3238,whiteside rd
53,St. Andrew Junior School,152,public,05 - 8,2 Appleseed Dr Antigonish NS B2G 3B6 NS,2 Appleseed Dr,B2G 3B6,Antigonish NS,Province of Nova Scotia,2 appleseed dr antigonish ns b2g 3b6 ns,2,appleseed dr
54,St. Andrews Consolidated School,149,public,PP - 6,3892 Hwy 316 St. Andrews NS B0H 1X0 NS,3892 Hwy 316,B0H 1X0,St. Andrews NS,Province of Nova Scotia,3892 hwy 316 st andrews ns b0h 1x0 ns,3892,hwy 316
55,St. Mary's Education Centre/Academy,1160,public,PP - 12,121 Old Rd Hill Sherbrooke NS B0J 3C0 NS,121 Old Rd Hill,B0J 3C0,Sherbrooke NS,Province of Nova Scotia,121 old rd hill sherbrooke ns b0j 3c0 ns,121,old rd hill
56,Strait Area Education and Recreation Centre,655,public,09 - 12,304 Pitt St Unit 1 Port Hawkesbury NS B9A 2T9 NS,304 Pitt St Unit 1,B9A 2T9,Port Hawkesbury NS,Province of Nova Scotia,304 pitt st unit 1 port hawkesbury ns b9a 2t9 ns,304,pitt st
57,Tamarac Education Centre,936,public,PP - 8,57 Tamarac Dr Port Hawkesbury NS B9A 3G2 NS,57 Tamarac Dr,B9A 3G2,Port Hawkesbury NS,Province of Nova Scotia,57 tamarac dr port hawkesbury ns b9a 3g2 ns,57,tamarac dr
58,Whycocomagh Education Centre,388,public,PP - 8,50 Norman McLeod Rd Whycocomagh NS B0E 3M0 NS,50 Norman McLeod Rd,B0E 3M0,Whycocomagh NS,Province of Nova Scotia,50 norman mcleod rd whycocomagh ns b0e 3m0 ns,50,norman mcleod rd
59,A. G. Baillie Memorial School,639,public,PP - 6,477 Victoria Ave Ext New Glasgow NS B2H 1X1 NS,477 Victoria Ave Ext,B2H 1X1,New Glasgow NS,Province of Nova Scotia,477 victoria ave ext new glasgow ns b2h 1x1 ns,477,victoria ave ext
60,Advocate District School,248,public,PR - 12,3521 Hwy 209 Advocate Harbour NS B0M 1A0 NS,3521 Hwy 209,B0M 1A0,Advocate Harbour NS,Province of Nova Scotia,3521 hwy 209 advocate harbour ns b0m 1a0 ns,3521,hwy 209
61,Amherst Regional High School,705,public,09 - 12,190 Willow St Amherst NS B4H 3W5 NS,190 Willow St,B4H 3W5,Amherst NS,Province of Nova Scotia,190 willow st amherst ns b4h 3w5 ns,190,willow st
62,Bible Hill Consolidated School,1194,public,PP - 4,103 Pictou Rd Truro NS B2N 2S2 NS,103 Pictou Rd,B2N 2S2,Truro NS,Province of Nova Scotia,103 pictou rd truro ns b2n 2s2 ns,103,pictou rd
63,Bible Hill Junior High School,7,public,08 - 9,741 College Rd Truro NS B2N 5Y9 NS,741 College Rd,B2N 5Y9,Truro NS,Province of Nova Scotia,741 college rd truro ns b2n 5y9 ns,741,college rd
64,Brookfield Elementary School,16,public,PP - 6,233 Hwy 289 Brookfield NS B0N 1C0 NS,233 Hwy 289,B0N 1C0,Brookfield NS,Province of Nova Scotia,233 hwy 289 brookfield ns b0n 1c0 ns,233,hwy 289
65,CCRCE Alternate High School,1198,public,08 - 12,37 Dickie St Trenton NS B0K 1X0 NS,37 Dickie St,B0K 1X0,Trenton NS,Province of Nova Scotia,37 dickie st trenton ns b0k 1x0 ns,37,dickie st
66,Central Colchester Junior High School,20,public,06 - 9,61 Onslow Rd Central Onslow NS B6L 5K4 NS,61 Onslow Rd,B6L 5K4,Central Onslow NS,Province of Nova Scotia,61 onslow rd central onslow ns b6l 5k4 ns,61,onslow rd
67,Chiganois Elementary School,27,public,PP - 5,11145 Hwy 2 Masstown NS B0M 1G0 NS,11145 Hwy 2,B0M 1G0,Masstown NS,Province of Nova Scotia,11145 hwy 2 masstown ns b0m 1g0 ns,11145,hwy 2
68,Cobequid Consolidated Elementary School,14,public,PP - 5,2998 Hwy 236 Old Barns NS B6L 1K3 NS,2998 Hwy 236,B6L 1K3,Old Barns NS,Province of Nova Scotia,2998 hwy 236 old barns ns b6l 1k3 ns,2998,hwy 236
69,Cobequid District Elementary School,36,public,PP - 6,8993 Hwy 354 Noel NS B0N 2C0 NS,8993 Hwy 354,B0N 2C0,Noel NS,Province of Nova Scotia,8993 hwy 354 noel ns b0n 2c0 ns,8993,hwy 354
70,Cobequid Educational Centre,44,public,10 - 12,34 Lorne St Truro NS B2N 3K3 NS,34 Lorne St,B2N 3K3,Truro NS,Province of Nova Scotia,34 lorne st truro ns b2n 3k3 ns,34,lorne st
71,Cumberland North Academy,1104,public,PP - 6,879 Hwy 204 Brookdale NS B4H 3Y1 NS,879 Hwy 204,B4H 3Y1,Brookdale NS,Province of Nova Scotia,879 hwy 204 brookdale ns b4h 3y1 ns,879,hwy 204
72,Cyrus Eaton Elementary School,230,public,PP - 6,171 Queen St Pugwash NS B0K 1L0 NS,171 Queen St,B0K 1L0,Pugwash NS,Province of Nova Scotia,171 queen st pugwash ns b0k 1l0 ns,171,queen st
73,Debert Elementary School,28,public,PP - 6,1320 Masstown Rd Debert NS B0M 1G0 NS,1320 Masstown Rd,B0M 1G0,Debert NS,Province of Nova Scotia,1320 masstown rd debert ns b0m 1g0 ns,1320,masstown rd
74,Dr. W.A. MacLeod Consolidated School,408,public,PR - 8,6193 Trafalgar Rd Riverton NS B0K 1S0 NS,6193 Trafalgar Rd,B0K 1S0,Riverton NS,Province of Nova Scotia,6193 trafalgar rd riverton ns b0k 1s0 ns,6193,trafalgar rd
75,E. B. Chandler Junior High School,750,public,07 - 8,28 Dickey St Amherst NS B4H 4B9 NS,28 Dickey St,B4H 4B9,Amherst NS,Province of Nova Scotia,28 dickey st amherst ns b4h 4b9 ns,28,dickey st
76,East Pictou Middle School,432,public,07 - 8,163 School Rd Thorburn NS B0K 1W0 NS,163 School Rd,B0K 1W0,Thorburn NS,Province of Nova Scotia,163 school rd thorburn ns b0k 1w0 ns,163,school rd
77,Elmsdale District Elementary School,31,public,PR - 5,75 MacMillan Dr Elmsdale NS B2S 1A5 NS,75 MacMillan Dr,B2S 1A5,Elmsdale NS,Province of Nova Scotia,75 macmillan dr elmsdale ns b2s 1a5 ns,75,macmillan dr
78,Enfield District School,30,public,PR - 5,29 Catherine St Enfield NS B2T 1L4 NS,29 Catherine St,B2T 1L4,Enfield NS,Province of Nova Scotia,29 catherine st enfield ns b2t 1l4 ns,29,catherine st
79,F.H. MacDonald Elementary School,414,public,PP - 6,123 School Rd Thorburn NS B0K 1W0 NS,123 School Rd,B0K 1W0,Thorburn NS,Province of Nova Scotia,123 school rd thorburn ns b0k 1w0 ns,123,school rd
80,G.R. Saunders Elementary School,665,public,PR - 6,71 Bridge Avenue Stellarton NS B0K 1S0 NS,71 Bridge Avenue,B0K 1S0,Stellarton NS,Province of Nova Scotia,71 bridge avenue stellarton ns b0k 1s0 ns,71,bridge avenue
81,Great Village Elementary School,26,public,PP - 4,8849 Hwy 2 Great Village NS B0M 1L0 NS,8849 Hwy 2,B0M 1L0,Great Village NS,Province of Nova Scotia,8849 hwy 2 great village ns b0m 1l0 ns,8849,hwy 2
82,Hants East Rural High School,42,public,09 - 12,2331 Hwy 2 Milford NS B0N 1Y0 NS,2331 Hwy 2,B0N 1Y0,Milford NS,Province of Nova Scotia,2331 hwy 2 milford ns b0n 1y0 ns,2331,hwy 2
83,Hants North Rural High School,41,public,07 - 12,4369 Hwy 236 Kennetcook NS B0N 1P0 NS,4369 Hwy 236,B0N 1P0,Kennetcook NS,Province of Nova Scotia,4369 hwy 236 kennetcook ns b0n 1p0 ns,4369,hwy 236
84,Harmony Heights Elementary School,1145,public,PR - 5,25 Cedar Dr Truro NS B2N 5W3 NS,25 Cedar Dr,B2N 5W3,Truro NS,Province of Nova Scotia,25 cedar dr truro ns b2n 5w3 ns,25,cedar dr
85,Hilden Elementary School,15,public,PP - 6,1737 Truro Rd Hilden NS B0N 1C0 NS,1737 Truro Rd,B0N 1C0,Hilden NS,Province of Nova Scotia,1737 truro rd hilden ns b0n 1c0 ns,1737,truro rd
86,Junction Road Elementary School,661,public,PP - 6,19 Junction Rd Springhill NS B0M 1X0 NS,19 Junction Rd,B0M 1X0,Springhill NS,Province of Nova Scotia,19 junction rd springhill ns b0m 1x0 ns,19,junction rd
87,Kennetcook District Elementary School,38,public,PP - 6,4369 Hwy 236 Kennetcook NS B0N 1P0 NS,4369 Hwy 236,B0N 1P0,Kennetcook NS,Province of Nova Scotia,4369 hwy 236 kennetcook ns b0n 1p0 ns,4369,hwy 236
88,Maple Ridge Elementary School,949,public,PR - 5,1066 Hwy 2 Lantz NS B2S 1M8 NS,1066 Hwy 2,B2S 1M8,Lantz NS,Province of Nova Scotia,1066 hwy 2 lantz ns b2s 1m8 ns,1066,hwy 2
89,McCulloch Education Centre,971,public,PR - 8,350 Wellington St Pictou NS B0K 1H0 NS,350 Wellington St,B0K 1H0,Pictou NS,Province of Nova Scotia,350 wellington st pictou ns b0k 1h0 ns,350,wellington st
90,New Glasgow Academy,1189,public,PP - 8,93 Albert St New Glasgow NS B2H 5W8 NS,93 Albert St,B2H 5W8,New Glasgow NS,Province of Nova Scotia,93 albert st new glasgow ns b2h 5w8 ns,93,albert st
91,North Nova Education Centre,988,public,09 - 12,343 Park St New Glasgow NS B2H 6B2 NS,343 Park St,B2H 6B2,New Glasgow NS,Province of Nova Scotia,343 park st new glasgow ns b2h 6b2 ns,343,park st
92,North River Elementary School,9,public,PP - 6,80 Mountain Lee Rd North River NS B6L 6M2 NS,80 Mountain Lee Rd,B6L 6M2,North River NS,Province of Nova Scotia,80 mountain lee rd north river ns b6l 6m2 ns,80,mountain lee rd
93,Northport Consolidated Elementary School,231,public,PR - 6,7110 Hwy 366 Northport NS B0L 1E0 NS,7110 Hwy 366,B0L 1E0,Northport NS,Province of Nova Scotia,7110 hwy 366 northport ns b0l 1e0 ns,7110,hwy 366
94,Northumberland Regional High School,989,public,09 - 12,104 Alma Rd Alma NS B0K 2A0 NS,104 Alma Rd,B0K 2A0,Alma NS,Province of Nova Scotia,104 alma rd alma ns b0k 2a0 ns,104,alma rd
95,Oxford Regional Education Centre,1151,public,PP - 12,249 Lower Main St Oxford NS B0M 1P0 NS,249 Lower Main St,B0M 1P0,Oxford NS,Province of Nova Scotia,249 lower main st oxford ns b0m 1p0 ns,249,lower main st
96,Parrsboro Regional Elementary School,649,public,PP - 6,43 School St Parrsboro NS B0M 1S0 NS,43 School St,B0M 1S0,Parrsboro NS,Province of Nova Scotia,43 school st parrsboro ns b0m 1s0 ns,43,school st
97,Parrsboro Regional High School,715,public,07 - 12,109 King St Parrsboro NS B0M 1S0 NS,109 King St,B0M 1S0,Parrsboro NS,Province of Nova Scotia,109 king st parrsboro ns b0m 1s0 ns,109,king st
98,Pictou Academy,650,public,09 - 12,200 Louise St Pictou NS B0K 1H0 NS,200 Louise St,B0K 1H0,Pictou NS,Province of Nova Scotia,200 louise st pictou ns b0k 1h0 ns,200,louise st
99,Pugwash District High School,252,public,07 - 12,192 Church St Pugwash NS B0K 1L0 NS,192 Church St,B0K 1L0,Pugwash NS,Province of Nova Scotia,192 church st pugwash ns b0k 1l0 ns,192,church st
100,Rawdon District Elementary School,39,public,PP - 6,3713 Hwy 354 Upper Rawdon NS B0N 2N0 NS,3713 Hwy 354,B0N 2N0,Upper Rawdon NS,Province of Nova Scotia,3713 hwy 354 upper rawdon ns b0n 2n0 ns,3713,hwy 354
101,Redcliff Middle School,916,public,05 - 7,33 Sunset Lane Valley NS B6L 4K1 NS,33 Sunset Lane,B6L 4K1,Valley NS,Province of Nova Scotia,33 sunset lane valley ns b6l 4k1 ns,33,sunset lane valley ns b6l
102,River Hebert District School,251,public,PP - 12,2843 Barronsfield Rd River Hebert NS B0L 1G0 NS,2843 Barronsfield Rd,B0L 1G0,River Hebert NS,Province of Nova Scotia,2843 barronsfield rd river hebert ns b0l 1g0 ns,2843,barronsfield rd
103,Riverside Education Centre,923,public,06 - 8,6 Riverside Dr Milford NS B0N 1Y0 NS,6 Riverside Dr,B0N 1Y0,Milford NS,Province of Nova Scotia,6 riverside dr milford ns b0n 1y0 ns,6,riverside dr
104,Salt Springs Elementary School,441,public,PP - 5,2080 West River Stn Rd Pictou NS B0K 1P0 NS,2080 West River Stn Rd,B0K 1P0,Pictou NS,Province of Nova Scotia,2080 west river stn rd pictou ns b0k 1p0 ns,2080,west river stn rd
105,Scotsburn Elementary School,4,public,PP - 5,4100 Scotsburn Rd Scotsburn NS B0K 1R0 NS,4100 Scotsburn Rd,B0K 1R0,Scotsburn NS,Province of Nova Scotia,4100 scotsburn rd scotsburn ns b0k 1r0 ns,4100,scotsburn rd
106,Shubenacadie District Elementary School,34,public,PP - 5,54 Mill Village Rd Shubenacadie NS B0N 2H0 NS,54 Mill Village Rd,B0N 2H0,Shubenacadie NS,Province of Nova Scotia,54 mill village rd shubenacadie ns b0n 2h0 ns,54,mill village rd
107,South Colchester Academy,992,public,07 - 12,207 Hwy 289 Brookfield NS B0N 1C0 NS,207 Hwy 289,B0N 1C0,Brookfield NS,Province of Nova Scotia,207 hwy 289 brookfield ns b0n 1c0 ns,207,hwy 289
108,Spring Street Academy,1105,public,PR - 6,59 Spring St Amherst NS B4H 1S4 NS,59 Spring St,B4H 1S4,Amherst NS,Province of Nova Scotia,59 spring st amherst ns b4h 1s4 ns,59,spring st
109,Springhill Junior-Senior High School,658,public,05 - 12,84 Church St Springhill NS B0M 1X0 NS,84 Church St,B0M 1X0,Springhill NS,Province of Nova Scotia,84 church st springhill ns b0m 1x0 ns,84,church st
110,Tatamagouche Regional Academy,1195,public,PP - 12,92 Blair Ave Tatamagouche NS B0K 1V0 NS,92 Blair Ave,B0K 1V0,Tatamagouche NS,Province of Nova Scotia,92 blair ave tatamagouche ns b0k 1v0 ns,92,blair ave
111,Thorburn Consolidated School,428,public,PP - 8,13 New Row Thorburn NS B0K 1W0 NS,13 New Row,B0K 1W0,Thorburn NS,Province of Nova Scotia,13 new row thorburn ns b0k 1w0 ns,13,new row
112,Trenton Elementary School,692,public,PP - 4,1 Sixth St Trenton NS B0K 1X0 NS,1 Sixth St,B0K 1X0,Trenton NS,Province of Nova Scotia,1 sixth st trenton ns b0k 1x0 ns,1,sixth st
113,Trenton Middle School,690,public,05 - 8,37 Dickie St Trenton NS B0K 1X0 NS,37 Dickie St,B0K 1X0,Trenton NS,Province of Nova Scotia,37 dickie st trenton ns b0k 1x0 ns,37,dickie st
114,Truro Elementary School,1146,public,PR - 5,125 Curtis Dr Truro NS B2N 0C5 NS,125 Curtis Dr,B2N 0C5,Truro NS,Province of Nova Scotia,125 curtis dr truro ns b2n 0c5 ns,125,curtis dr
115,Truro Junior High,45,public,06 - 9,445 Young St Truro NS B2N 7H9 NS,445 Young St,B2N 7H9,Truro NS,Province of Nova Scotia,445 young st truro ns b2n 7h9 ns,445,young st
116,Uniacke District School,40,public,PP - 9,551 Hwy 1 Mount Uniacke NS B0N 1Z0 NS,551 Hwy 1,B0N 1Z0,Mount Uniacke NS,Province of Nova Scotia,551 hwy 1 mount uniacke ns b0n 1z0 ns,551,hwy 1
117,Upper Stewiacke Elementary School,18,public,PR - 6,5327 Hwy 289 Upper Stewiacke NS B0N 2P0 NS,5327 Hwy 289,B0N 2P0,Upper Stewiacke NS,Province of Nova Scotia,5327 hwy 289 upper stewiacke ns b0n 2p0 ns,5327,hwy 289
118,Valley Elementary School,12,public,PR - 4,96 Salmon River Rd Valley NS B6L 2S5 NS,96 Salmon River Rd,B6L 2S5,Valley NS,Province of Nova Scotia,96 salmon river rd valley ns b6l 2s5 ns,96,salmon river rd
119,Wallace Consolidated Elementary School,227,public,PR - 6,3853 Hwy 307 Wallace NS B0K 1Y0 NS,3853 Hwy 307,B0K 1Y0,Wallace NS,Province of Nova Scotia,3853 hwy 307 wallace ns b0k 1y0 ns,3853,hwy 307
120,Walter Duggan Consolidated School,3,public,PP - 6,2370 Spring Garden Rd Westville NS B0K 2A0 NS,2370 Spring Garden Rd,B0K 2A0,Westville NS,Province of Nova Scotia,2370 spring garden rd westville ns b0k 2a0 ns,2370,spring garden rd
121,West Colchester Consolidated School,29,public,PP - 9,27 Maple Ave Bass River NS B0M 1B0 NS,27 Maple Ave,B0M 1B0,Bass River NS,Province of Nova Scotia,27 maple ave bass river ns b0m 1b0 ns,27,maple ave
122,West End Memorial School,662,public,PP - 6,77 McGee St Springhill NS B0M 1X0 NS,77 McGee St,B0M 1X0,Springhill NS,Province of Nova Scotia,77 mcgee st springhill ns b0m 1x0 ns,77,mcgee st
123,West Highlands Elementary School,1190,public,PP - 6,18 Maltby Crt Amherst NS B4H 2L6 NS,18 Maltby Crt,B4H 2L6,Amherst NS,Province of Nova Scotia,18 maltby crt amherst ns b4h 2l6 ns,18,maltby crt
124,West Pictou Consolidated School,407,public,PR - 8,1999 Hwy 376 Pictou NS B0K 1H0 NS,1999 Hwy 376,B0K 1H0,Pictou NS,Province of Nova Scotia,1999 hwy 376 pictou ns b0k 1h0 ns,1999,hwy 376
125,Winding River Consolidated School,1148,public,PP - 6,272 Kitchener St Stewiacke NS B0N 2J0 NS,272 Kitchener St,B0N 2J0,Stewiacke NS,Province of Nova Scotia,272 kitchener st stewiacke ns b0n 2j0 ns,272,kitchener st
126,A. J. Smeltzer Junior High School,228,public,06 - 8,46 Prince St Lower Sackville NS B4C 1L1 NS,46 Prince St,B4C 1L1,Lower Sackville NS,Province of Nova Scotia,46 prince st lower sackville ns b4c 1l1 ns,46,prince st
127,Admiral Westphal Elementary School,512,public,PP - 6,6 Fourth St Dartmouth NS B2X 3A5 NS,6 Fourth St,B2X 3A5,Dartmouth NS,Province of Nova Scotia,6 fourth st dartmouth ns b2x 3a5 ns,6,fourth st
128,Alderney Elementary School,513,public,PP - 6,2 Penhorn Dr Dartmouth NS B2Y 3K1 NS,2 Penhorn Dr,B2Y 3K1,Dartmouth NS,Province of Nova Scotia,2 penhorn dr dartmouth ns b2y 3k1 ns,2,penhorn dr
129,Ash Lee Jefferson Elementary School,317,public,PR - 6,10 Lockview Rd Fall River NS B2T 1J1 NS,10 Lockview Rd,B2T 1J1,Fall River NS,Province of Nova Scotia,10 lockview rd fall river ns b2t 1j1 ns,10,lockview rd
