,MUNID,CODEID,TYPE,NO_CIVIQUE,GENERIQUE,LIAISON,SPECIFIQUE,DIRECTION,ADR_COMPLE,NOM_TOPOGR,COTE,SECTION,ENTITEID,GEOM,LONGITUDE,LATITUDE
29,81017,1137,Service de garderie,,,,,,812 Boulevard de la Gappe,CPE Petit Felix,,,{80E4B548-5D09-487B-8FE9-E42BDAADC95A},POINT (-75.684438 45.482028),45.482028,-75.684438
30,81017,114,Incendie,,,,,,315 Rue Saint-Rédempteur,Caserne 4 Jean-Claude-Charbonneau,,,{DAE28809-53ED-4CCC-B76E-52D6E1F5174B},POINT (-75.723271 45.437883),45.437883,-75.723271
31,81017,66,Résidence pour personnes âgées,,,,,,39 Rue Amherst,Résidence Chartwell Domaine Notre-Dame,,,{F63ABB31-48C8-4FE9-B07B-1EDEE3C79EB8},POINT (-75.734505 45.433963),45.433963,-75.734505
32,81017,1112,Service de garderie,,,,,,138 Rue Lois,CPE Aux Nids des Petits ,,,{22DEFBBC-EA8F-47D1-8EDC-532E007AAEDA},POINT (-75.731588 45.436598),45.436598,-75.731588
33,81017,1160,Service de garderie,,,,,,46 Boulevard Saint-Raymond,CPE Chez Cornemuse,,,{43F3D19A-8B40-40A9-9792-A24D09798EEF},POINT (-75.737802 45.447453),45.447453,-75.737802
34,81017,369,Édifice communautaire,,,,,,23(A) Rue Saint-Alexandre,Centre communautaire Saga Jeunesse,,,{915CDEB5-CE01-4452-83D7-452DCCEC81F2},POINT (-75.755369 45.494261),45.494261,-75.755369
35,81017,1148,Service de garderie,,,,,,475 Boulevard des Hautes-Plaines,CPE des Hautes-Plaines,,,{4644D90F-0204-4FE7-A392-9041EA9FEF76},POINT (-75.762455 45.471666),45.471666,-75.762455
36,81017,1152,Service de garderie,,,,,,165 Rue de l'Atmosphère,CPE des Premiers Pas (Atmosphère),,,{9EA2F1C5-8322-4A0D-BC1C-40FDA157F9E0},POINT (-75.783867 45.438816),45.438816,-75.783867
37,81017,158,Centre communautaire,,,,,,145 Rue de l'Atmosphère,Centre communautaire du Plateau,,,{636A46C7-995E-4DBD-92D5-65D5046B219A},POINT (-75.781822 45.439406),45.439406,-75.781822
38,81017,1217,Lieu de culte,,,,,,311 Chemin Saint-Columban,Église Saint-Columban,,,{832DBA71-2BDD-43AE-8AF3-36696BBB52CF},POINT (-75.690104 45.53538),45.53538,-75.690104
39,81017,1218,Lieu de culte,,,,,,799 Rue Jacques-Cartier,Église Saint-François-de-Salle,,,{1C220861-751D-41DF-9025-2C15746BFF66},POINT (-75.699224 45.457497),45.457497,-75.699224
40,81017,1219,Lieu de culte,,,,,,111 Rue Broadway Est,Église Anglicane de Saint-George,,,{9602B237-B446-44B2-9D43-734FADD2A1DF},POINT (-75.649403 45.484841),45.484841,-75.649403
41,81017,1221,Lieu de culte,,,,,,69 Rue de Provence,Église Saint-Mathieu,,,{6AD817E6-2CAC-47F6-8405-22735D14DBC0},POINT (-75.725279 45.475065),45.475065,-75.725279
42,81017,1222,Lieu de culte,,,,,,400 Rue Raymond,Église Sainte-Trinité,,,{70C6BB21-439E-42F4-A4B4-4BEEBDD5A3A8},POINT (-75.650292 45.492086),45.492086,-75.650292
43,81017,1223,Lieu de culte,,,,,,664 Rue de Duberger,Église Sainte-Maria-Goretti,,,{22BCB061-F037-4B0B-8490-D725C000B5E9},POINT (-75.62585 45.482309),45.482309,-75.62585
44,81017,1224,Lieu de culte,,,,,,861 Boulevard Saint-René Est,Église Sainte-Rose-de-Lima,,,{6EEA326E-44FF-400D-A536-00F20B3BA2DD},POINT (-75.607869 45.498963),45.498963,-75.607869
45,81017,1225,Lieu de culte,,,,,,942 Rue Notre-Dame,Église Templeton United,,,{47F99118-82BF-400C-9D5D-974522AA0249},POINT (-75.601839 45.486422),45.486422,-75.601839
46,81017,1226,Lieu de culte,,,,,,210 Rue Laurier,Chapelle des Servantes de Jésus-Marie,,,{6154452B-0E7F-4DCA-8C86-39A8006D1DFE},POINT (-75.708188 45.436566),45.436566,-75.708188
47,81017,1227,Lieu de culte,,,,,,172 Rue de Notre-Dame-de-l'Île,Chapelle des Soeurs de la Charité,,,{17E1D91D-ACDA-4B91-A302-D0C992AF6428},POINT (-75.710666 45.431401),45.431401,-75.710666
48,81017,726,Résidence pour personnes âgées,,,,,,250 Boulevard Saint-Raymond,Domaine des Trembles,,,{9DDC8CCF-E2BE-4951-A3F2-09C26897CFB9},POINT (-75.763016 45.428943),45.428943,-75.763016
49,81017,727,Résidence pour personnes âgées,,,,,,195 Boulevard Saint-Joseph,Les Jardins Notre-Dame,,,{A3C36254-F658-4ED9-AB8C-A105C293091F},POINT (-75.733596 45.433939),45.433939,-75.733596
50,81017,157,Incendie,,,,,,535 Boulevard Gréber,Caserne 5 Aldoria-Dumulong,,,{4AE7891B-2926-44DB-911B-DD73BAECAC54},POINT (-75.702059 45.490424),45.490424,-75.702059
51,81017,53,Collège,,,,,,101 Rue Saint-Jean-Bosco,Collège Nouvelles-Frontières (collègial),,,{9A8A2F2F-81BE-4498-AD32-80E40A41D852},POINT (-75.738346 45.428148),45.428148,-75.738346
52,81017,273,École secondaire,,,,,,925 Boulevard du Plateau,École intermédiaire Symmes,,,{2ABBA690-1EA3-4B36-9554-308EF93288E4},POINT (-75.805956 45.42236),45.42236,-75.805956
53,81017,51,École secondaire,,,,,,925 Boulevard du Plateau,École secondaire D'Arcy McGee,,,{E12C1C02-AC16-439A-A1BF-4F148BDADB6A},POINT (-75.806317 45.421897),45.421897,-75.806317
54,81017,732,Pont,,,,,,Rue Leclerc,Pont Brabant-Philippe (piste cyclable),,,{2F2B7A7D-E321-4835-B1D9-97D0AF1DD256},POINT (-75.594198 45.498357),45.498357,-75.594198
55,81017,1323,Résidence pour personnes âgées,,,,,,244 Rue Maclaren Ouest,Résidence Sérénité J.D.K.,,,{B3607B4E-1B21-4F44-BFD6-967C7B859DDD},POINT (-75.429123 45.587783),45.587783,-75.429123
56,81017,1324,Résidence pour personnes âgées,,,,,,283 Rue de Melbourne,Résidence Shayla,,,{51D4AF42-D21C-4A41-A37B-EA61B1D1C9DD},POINT (-75.677304 45.47756),45.47756,-75.677304
57,81017,78,Résidence pour personnes âgées,,,,,,156 Boulevard Lorrain,Manoir Sainte-Marie,,,{54A3A653-EE8D-4ED8-8F62-C2B64C2E5790},POINT (-75.607934 45.499707),45.499707,-75.607934
58,81017,208,Incendie,,,,,,475 Avenue du Cheval-Blanc,Caserne 7 Joseph-Roy,,,{E9D71ACB-8005-4FA6-97B5-2FE9A98B68FA},POINT (-75.581197 45.498217),45.498217,-75.581197
59,81017,3,Centre communautaire,,,,,,96 Rue du Patrimoine,Centre communautaire Frank-Robinson,,,{0FC24ED1-A9E9-4660-A711-2219779A6CF4},POINT (-75.843306 45.393687),45.393687,-75.843306
60,81017,4,École primaire,,,,,,120 Rue Broad,École des Trois-Portages,,,{AE91F645-B5CD-45F0-A657-16AEDCE0B7E7},POINT (-75.844382 45.406373),45.406373,-75.844382
61,81017,5,Édifice municipal,,,,,,115 Rue Principale,Centre de services Aylmer ,,,{7F03D636-997D-4EB1-8C9C-AF57840EACCE},POINT (-75.844885 45.395235),45.395235,-75.844885
62,81017,10,École secondaire,,,,,,100 Rue Broad,École secondaire Grande-Rivière,,,{85466F67-23A5-48DA-9316-CCC479B2B860},POINT (-75.843769 45.403717),45.403717,-75.843769
63,81017,11,Autres services médicaux et de santé,,,,,,200 Rue Robert-Wright,Pavillon du Parc (Hull-Aylmer),,,{97D92463-29A5-450F-BCBC-81AFE705EE98},POINT (-75.848516 45.406681),45.406681,-75.848516
64,81017,13,École primaire,,,,,,19 Rue Symmes,École internationale du Village Immeuble Limoges,,,{77AB9ABF-60D3-4BFA-8AB1-AA69C0354C65},POINT (-75.851105 45.395619),45.395619,-75.851105
65,81017,14,École primaire,,,,,,116 Avenue Frank-Robinson,École Lord Aylmer Campus senior,,,{9A514045-C5CC-42C9-B91E-D411DFD52076},POINT (-75.83967 45.391427),45.391427,-75.83967
66,81017,17,C.L.S.C.,,,,,,425 Rue LeGuerrier,C.L.S.C de Gatineau (LeGuerrier),,,{7858F219-1CC6-494F-A45D-E469174E1EE8},POINT (-75.836049 45.39946),45.39946,-75.836049
67,81017,24,Parc récréatif,,,,,,150 Boulevard des Trembles,Parc des Trembles,,,{A3811E61-4D9B-4C0D-88B4-89B10AB0E4E3},POINT (-75.767335 45.426779),45.426779,-75.767335
68,81017,25,École primaire,,,,,,50 Rue Elizabeth,École Euclide-Lanthier,,,{7E24CEBD-10BB-4E1C-9197-D05E0A4B2E27},POINT (-75.831162 45.392361),45.392361,-75.831162
69,81017,26,École primaire,,,,,,130 Avenue Frank-Robinson,École Lord Aylmer Campus junior,,,{5A5106C5-3DE2-4325-94D6-0838D2654134},POINT (-75.840264 45.393401),45.393401,-75.840264
70,81017,27,Centre hospitalier,,,,,,20 Rue Pharand,Centre hospitalier Pierre-Janet,,,{8F669DD5-8983-4283-855D-8D8CD7D7D4AF},POINT (-75.739988 45.425276),45.425276,-75.739988
71,81017,30,École primaire,,,,,,360 Boulevard de Lucerne,École Jean-de-Brébeuf,,,{EFD17B74-AC47-4585-A5CA-B736D35565EA},POINT (-75.748419 45.42061),45.42061,-75.748419
72,81017,31,Université,,,,,,283 Boulevard Alexandre-Taché,U.Q.O. Pavillon Alexandre-Taché,,,{60338284-A79D-422E-8B13-4C0CDB21CEB8},POINT (-75.738094 45.421916),45.421916,-75.738094
73,81017,32,Centre communautaire,,,,,,361 Boulevard de Lucerne,Centre communautaire Tétreau,,,{32670F08-05D8-4758-8B3B-7BDB9977D689},POINT (-75.748688 45.419419),45.419419,-75.748688
74,81017,36,École primaire,,,,,,4 Rue Camille-Gay,École du Lac-des-Fées,,,{D89D7F5A-F6C6-4977-AF73-60DB56133C93},POINT (-75.745175 45.438205),45.438205,-75.745175
75,81017,41,Centre communautaire,,,,,,122 Rue Berri,Centre récréatif Saint-Joseph,,,{4A6602FC-2E2C-404C-AD16-5AC7A8AABF44},POINT (-75.734891 45.43543),45.43543,-75.734891
76,81017,42,École primaire,,,,,,71 Rue Saint-Jean-Bosco,École Saint-Jean-Bosco,,,{98AE5841-92B9-4B72-9651-6C134F0837BA},POINT (-75.736712 45.428695),45.428695,-75.736712
77,81017,43,École primaire,,,,,,2 Rue Millar,École Pierre-Elliott-Trudeau,,,{D0A773A4-509F-439F-9B81-79D2E0EA0035},POINT (-75.7294 45.425476),45.425476,-75.7294
78,81017,46,Université,,,,,,101 Rue Saint-Jean-Bosco,U.Q.O. Pavillon Lucien-Brault,,,{17295956-CD99-469D-AE11-2A4FFB0EB556},POINT (-75.738269 45.428736),45.428736,-75.738269
79,81017,48,Parc récréatif,,,,,,70 Boulevard Saint-Joseph,Parc Saint-Jean-Bosco,,,{F5766507-B2B6-469B-9AAA-B9022FDB4F1D},POINT (-75.732433 45.428161),45.428161,-75.732433
80,81017,49,Centre hospitalier,,,,,,116 Boulevard Lionel-Émond,Hôpital de Hull,,,{4D6996F9-A81F-43B2-94FD-143EBF895547},POINT (-75.745987 45.444341),45.444341,-75.745987
81,81017,54,C.H.S.L.D.,,,,,,125 Boulevard Lionel-Émond,Centre d'hébergement Foyer du Bonheur,,,{9A62F16D-998E-4EF8-8503-19EB29DA1309},POINT (-75.748442 45.445323),45.445323,-75.748442
82,81017,56,Bibliothèque,,,,,,225 Rue Berri,Bibliothèque Lucien-Lalonde,,,{F8B2631D-4FA0-4C25-BD63-34B2A1416425},POINT (-75.735515 45.442477),45.442477,-75.735515
83,81017,57,Parc récréatif,,,,,,1 Rue Lévesque,Parc Laurent-Groulx,,,{44B59782-1FE4-452F-BD3F-A83CA42F9484},POINT (-75.739741 45.445746),45.445746,-75.739741
84,81017,58,Parc récréatif,,,,,,97 Boulevard Saint-Raymond,Parc Montpetit,,,{1C8FDAF4-8213-4EE0-BB4D-88E97D102C6C},POINT (-75.742665 45.446745),45.446745,-75.742665
85,81017,60,École secondaire,,,,,,174 Rue de Notre-Dame-de-l'Île,Collège Saint-Joseph,,,{600FC4E8-9399-4C10-8D26-E77F1FCC9F7A},POINT (-75.710656 45.431612),45.431612,-75.710656
86,81017,61,École primaire,,,,,,170 Rue Papineau,École Notre-Dame,,,{B27E4223-50B5-4B8A-89B2-7AE3688F6D64},POINT (-75.71688 45.429894),45.429894,-75.71688
87,81017,64,Édifice fédéral,,,,,,105 Rue de l'Hôtel-de-Ville,Place du Portage I,,,{B1CF8AF7-38A6-4B8A-A50B-1FD942816594},POINT (-75.714565 45.427832),45.427832,-75.714565
88,81017,68,Parc récréatif,,,,,,40 Rue Pilon,Parc Sainte-Bernadette,,,{82BD56A7-85D3-4C16-A7D5-A0FBC14D9665},POINT (-75.722179 45.428032),45.428032,-75.722179
89,81017,70,Édifice municipal,,,,,,25 Rue Laurier,Maison du Citoyen,,,{8F8C2149-8C2B-4836-BEE3-6C2B716A9E6E},POINT (-75.710935 45.427857),45.427857,-75.710935
90,81017,71,Édifice fédéral,,,,,,165 Rue de l'Hôtel-de-Ville,Place du Portage II,,,{9C16761D-E846-4F2D-BECC-281A1FE5B6AB},POINT (-75.712776 45.428026),45.428026,-75.712776
91,81017,72,Édifice fédéral,,,,,,11 Rue Laurier,Place du Portage III,,,{25EE5FD2-2A1E-4283-ACCF-59167D0900D1},POINT (-75.713082 45.425573),45.425573,-75.713082
92,81017,73,Édifice fédéral,,,,,,140 Promenade du Portage,Place du Portage IV,,,{B5E9646D-2656-4FFD-91AF-80A13489F60B},POINT (-75.71555 45.425558),45.425558,-75.71555
93,81017,106,Bibliothèque,,,,,,25 Rue Laurier,Bibliothèque Maison du Citoyen ,,,{DE944A0F-AB09-4F1E-9460-E5A42A9E8385},POINT (-75.711068 45.428106),45.428106,-75.711068
94,81017,107,Aréna,,,,,,125 Rue de Carillon,Centre Robert-Guertin,,,{6C658548-D598-4852-98CB-BE50274781BF},POINT (-75.724392 45.434264),45.434264,-75.724392
95,81017,130,École primaire,,,,,,145 Rue Isabelle,École Saint-Paul,,,{6B59A059-EE51-4EED-88CA-32BE80AAC10A},POINT (-75.746706 45.459465),45.459465,-75.746706
96,81017,132,Centre communautaire,,,,,,179 Rue Mutchmore,Centre communautaire Eugène-Sauvageau,,,{A15CA00C-44AC-4FAC-AAE2-701860DD6375},POINT (-75.738724 45.455331),45.455331,-75.738724
97,81017,133,École primaire,,,,,,40 Rue du Dôme,École du Dôme,,,{8150D5CD-6525-4978-B32A-678008EF80C5},POINT (-75.750331 45.47283),45.47283,-75.750331
98,81017,134,Police municipale,,,,,,777 Boulevard de la Carrière,Poste police secteur de Hull,,,{C3F54E12-5988-481E-8825-BAECE2D285BB},POINT (-75.730326 45.452291),45.452291,-75.730326
99,81017,135,Atelier et garage municipaux,,,,,,111 Rue Jean-Proulx,Gare d'Autobus et d'Entretien STO,,,{D6E17D07-F799-4A15-AF59-F44D976273B5},POINT (-75.734494 45.465524),45.465524,-75.734494
100,81017,136,Police provincial,,,,,,85 Rue Jean-Proulx,Sureté du Québec,,,{9C63226E-6E9E-4572-8A60-52C82F3672E0},POINT (-75.741263 45.467489),45.467489,-75.741263
101,81017,239,Bibliothèque,,,,,,181 Rue Joseph,Bibliothèque Bernard-Lonergan,,,{46D47FCE-91E6-4BE6-A3A7-0FA4936BF13B},POINT (-75.411036 45.590917),45.590917,-75.411036
102,81017,241,C.L.S.C.,,,,,,578 Rue Maclaren Est,C.L.S.C Vallée-de-la-Lièvre,,,{38F79D1E-F5F9-4282-9EF0-1B452A7C994B},POINT (-75.402762 45.588029),45.588029,-75.402762
103,81017,242,École secondaire,,,,,,580 Rue Maclaren Est,École secondaire Hormisdas-Gamelin,,,{012E162A-199C-41A3-A657-2997EFD12E99},POINT (-75.400107 45.587275),45.587275,-75.400107
104,81017,243,Musée,,,,,,1740 Chemin Pink,Musée Canadien de la Nature,,,{3F5DAC07-4901-47DF-86A7-F6AA59175050},POINT (-75.811461 45.444363),45.444363,-75.811461
