BRIDGE_NO,BRIDGE_NAME,LOCATION,LENGTH_BRIDGE,WIDTH_CLEAR,WIDTH_OUT_TO_OUT,POSTED_CLEARANCE,POSTED_LOAD,IN_SERVICE_DATE,multipolygon
384.802,,CNR/Bow Rv SE(Bonnybrook),,,,,,1911/07/01,"MULTIPOLYGON (((-114.012629083707 51.014781818337, -114.012608059647 51.014780577321, -114.012632279539 51.014805226478, -114.012570726901 51.014829211555, -114.012570293703 51.014829380609, -114.012569830402 51.014828906897, -114.012482958199 51.014740087301, -114.012466154012 51.014722906929, -114.012452933623 51.014709389508, -114.012442431732 51.014698653234, -114.012390516766 51.014645489598, -114.012362636292 51.014616938314, -114.012343242006 51.014597077446, -114.012334442237 51.01458806702, -114.012326711615 51.014580149638, -114.012315706567 51.014568880311, -114.012307231828 51.014560201572, -114.012303187619 51.014556061305, -114.01228612126 51.014538584272, -114.01228079551 51.014533130732, -114.012197853098 51.014448193192, -114.011975989624 51.014220993156, -114.011540065925 51.013777888481, -114.011486108995 51.013723043547, -114.011547167148 51.013697077739, -114.011551407829 51.013695274868, -114.011551570274 51.013695204732, -114.011552560988 51.013696260034, -114.011567480972 51.013692542183, -114.011581608465 51.013688315586, -114.011558718284 51.013665151187, -114.011616084852 51.013643147504, -114.011597042322 51.013625106904, -114.011638181082 51.013608642525, -114.011621274498 51.013589423156, -114.011681904872 51.013563473501, -114.011713449312 51.013596250681, -114.01191508589 51.013805765012, -114.012361856897 51.014258376528, -114.012374523998 51.014271208099, -114.012390431383 51.014287641529, -114.012470773901 51.014370641915, -114.012492054168 51.014392625947, -114.012496533176 51.014397254306, -114.012499007893 51.014399810735, -114.012502628734 51.014403550096, -114.01250960242 51.014410754658, -114.012515107812 51.014416441902, -114.012534956888 51.01443694816, -114.012535088037 51.014437083892, -114.01254723641 51.014449634118, -114.012628359257 51.014533440693, -114.01264424829 51.014549855212, -114.01266087006 51.014567026588, -114.012737069489 51.014645745404, -114.012730671868 51.014650330889, -114.012743730973 51.014667931454, -114.01269127703 51.014687992462, -114.012707828575 51.014708695024, -114.012670180488 51.014723945779, -114.012686588799 51.014741995476, -114.012634221965 51.014763100162, -114.012634277555 51.014763136115, -114.012643401961 51.014775963543, -114.012629180643 51.014781916315, -114.012629083707 51.014781818337)))"
15,,,0,0,0,,,,"MULTIPOLYGON (((-113.975715783986 50.901512869423, -113.975645769996 50.901568040576, -113.975548678912 50.901649367686, -113.975449326765 50.90173925807, -113.975377065765 50.901813454926, -113.975282223797 50.901909054737, -113.975237056205 50.901963277065, -113.975162531546 50.902047463842, -113.975097036712 50.902127370582, -113.97504508786 50.902201571559, -113.97501798072 50.902245808022, -113.974975063389 50.902310020363, -113.974955045283 50.902016721523, -113.975056529771 50.901906152428, -113.975167188921 50.901777732044, -113.97527557773 50.901672144657, -113.975431379453 50.90153374393, -113.975579009082 50.901407697977, -113.975717908946 50.901308745744, -113.975715783986 50.901512869423)))"
383.406,,Goddard Ave/Nose Creek NE,26.97999954,9.75,12.03999996,,,1972/07/01,"MULTIPOLYGON (((-114.05271358081 51.097524449911, -114.052713981631 51.097529156712, -114.052714378104 51.097533805981, -114.05256890823 51.097533765396, -114.052534957835 51.097533755483, -114.052501340092 51.097533746311, -114.052413194703 51.097533722029, -114.052221831834 51.097533668313, -114.052221565305 51.097530264051, -114.052221075688 51.097523997583, -114.052217742572 51.097481374636, -114.052214684689 51.097442272812, -114.052214409456 51.097438745395, -114.052213475153 51.097426805756, -114.052415311253 51.097427026494, -114.052482730819 51.097427100532, -114.052527754291 51.097427149535, -114.052558516618 51.097427183356, -114.052705315466 51.097427342918, -114.052706296543 51.097438871705, -114.052706610551 51.097442567209, -114.052710018257 51.097482593898, -114.05271358081 51.097524449911)))"
382.129,,Macleod Tr/Glenmore Tr SE,31.63999939,63.54000092,64.40000153,5.7 M,Trucks use right lane,1973/07/01,"MULTIPOLYGON (((-114.071912975755 50.994151062035, -114.0719003629 50.994161057479, -114.071894876039 50.994168667136, -114.071881666349 50.99418699021, -114.071869417929 50.994208830404, -114.07186787093 50.994217146033, -114.071865127316 50.994231903599, -114.071867653596 50.994253515353, -114.071867707009 50.994253972002, -114.071868018824 50.994256639088, -114.071876948701 50.994279428163, -114.071894476806 50.994303955072, -114.071894782312 50.9943043819, -114.071914228935 50.994324089086, -114.071937601957 50.994340376823, -114.07195872009 50.994352127887, -114.071965788935 50.994356061071, -114.072002805665 50.99436934858, -114.071997531009 50.994376011484, -114.071993203232 50.994381478158, -114.071910479011 50.994381775424, -114.071845801923 50.994382007597, -114.071843425839 50.99438201625, -114.071684411622 50.994382399798, -114.071681663734 50.994382405978, -114.071652656356 50.994382475913, -114.071571694104 50.994382670273, -114.071422267362 50.994382429092, -114.071343860205 50.994382302594, -114.071281057269 50.994382200686, -114.071269750832 50.994382182412, -114.071195003223 50.994382028411, -114.071194796668 50.994382028537, -114.071086625459 50.99438180493, -114.071083133505 50.994376842881, -114.071079660111 50.994371907789, -114.071078282458 50.994369948848, -114.071094306385 50.994364037286, -114.071120031746 50.994353770547, -114.071126035277 50.994351374703, -114.071157645942 50.994333139398, -114.071182556174 50.994308726772, -114.071185459043 50.994304808142, -114.0711998568 50.994285366091, -114.071210319401 50.994258064846, -114.071210359926 50.994255689712, -114.071210700853 50.994235517264, -114.071210184683 50.994218438733, -114.071210135194 50.994216818799, -114.071203216017 50.99419427297, -114.071194894604 50.994181627576, -114.071186262608 50.994168953604, -114.071183629892 50.994165086892, -114.07116785812 50.994150467378, -114.071166461785 50.994149331017, -114.071149453278 50.994135466499, -114.071120756016 50.994120244441, -114.071120698989 50.99412021391, -114.071078363829 50.994103355007, -114.071082217326 50.994097888654, -114.071086922257 50.994091212654, -114.071152348278 50.994091007415, -114.071193348337 50.994090879056, -114.071214584835 50.994090812174, -114.071228576399 50.994090827918, -114.071423825816 50.994091046737, -114.071548165839 50.994091186414, -114.071653445875 50.994091300792, -114.071674144045 50.994091323156, -114.071691275234 50.994091341413, -114.071735688692 50.994091389666, -114.071793709095 50.994091452915, -114.071892355176 50.994091559467, -114.071896068882 50.994091564374, -114.071992985605 50.994091669208, -114.071996760073 50.994095959518, -114.072002539508 50.994102530206, -114.071986343692 50.994109537856, -114.071961803108 50.994120245458, -114.071956765163 50.994122443873, -114.071929829881 50.994137707181, -114.071918214394 50.994146911809, -114.071912975755 50.994151062035)))"
381.146,,36 St/Whitehorn LRT,233.8999939,2.20000005,3.20000005,NB 6.4 M / SB 6.4 M,,1981/07/01,"MULTIPOLYGON (((-113.982156191549 51.086796911121, -113.982114825981 51.086795276772, -113.982078640366 51.086767589346, -113.981411606192 51.086770742155, -113.981377985805 51.086796789762, -113.981329429242 51.086795167473, -113.981329176992 51.086716194097, -113.98138318849 51.08671863082, -113.981406448063 51.086741431421, -113.982081234743 51.086743164815, -113.982120024741 51.086720374753, -113.982158805931 51.086720380678, -113.982158775864 51.086798539545, -113.982156191549 51.086796911121)))"
381.166,,Glenmore Tr / WB Graves Pedestrian Ramp,74,3,3.5999999,,,2009/07/01,"MULTIPOLYGON (((-114.025194696283 50.987416421547, -114.024464820871 50.987939628755, -114.024420017053 50.987922674337, -114.025158842517 50.987385328985, -114.025194696283 50.987416421547)))"
16,,,0,0,0,,,,"MULTIPOLYGON (((-113.969551753015 50.88790702491, -113.969431489417 50.887798529419, -113.969314240192 50.887682422782, -113.969227055104 50.887594867129, -113.969092639881 50.887476103696, -113.968968601288 50.887131504751, -113.969152028705 50.887320832837, -113.969287315294 50.887454070297, -113.9693654888 50.887518788103, -113.969450639969 50.887597976151, -113.969551753015 50.88790702491)))"
12,,,0,0,0,,,,"MULTIPOLYGON (((-113.974896435698 50.896033426622, -113.9749023971 50.896214085709, -113.974881516792 50.896530391263, -113.97484732105 50.89685382117, -113.974761412383 50.897220580486, -113.974652946089 50.897540797388, -113.97458607147 50.897681936924, -113.974387411671 50.897666587204, -113.974399427544 50.897639210913, -113.97442489399 50.89755780161, -113.974508423826 50.897330871005, -113.97458406273 50.897070949051, -113.974635106419 50.896832522088, -113.97466231755 50.896651773118, -113.97469465328 50.896344762119, -113.974690448297 50.89603811896, -113.974896435698 50.896033426622)))"
38,,,0,0,0,,,,"MULTIPOLYGON (((-113.921972242674 51.03797791037, -113.920508562332 51.037929353876, -113.920530418291 51.037503133431, -113.921982022219 51.037545974008, -113.921972242674 51.03797791037)))"
382.182,,SB Shaganappi Tr/Crowchild Tr,72.80000305,17.29999924,21.25,6.2 M,,2000/07/01,"MULTIPOLYGON (((-114.150532176294 51.098145947153, -114.150457308426 51.098197297145, -114.150336561638 51.098280115945, -114.150329317841 51.098285083953, -114.150250546271 51.098339111455, -114.150188564245 51.098381623163, -114.150183252107 51.098385267201, -114.150046292915 51.098479203353, -114.150040982176 51.098482845585, -114.149977505408 51.098526383021, -114.149911883132 51.098571391183, -114.149905607947 51.098575695384, -114.149775764761 51.098664750598, -114.149700306874 51.098716504491, -114.149696593467 51.098714325658, -114.149670980127 51.098699298076, -114.149663667754 51.098695007683, -114.149573991171 51.098642392706, -114.149485350418 51.098590384935, -114.149478013762 51.098586080178, -114.14947726565 51.09858564154, -114.149547871064 51.098537079931, -114.149681327609 51.098445288386, -114.149687594213 51.098440978813, -114.149752657689 51.098396227697, -114.149816121273 51.098352576231, -114.149821423433 51.098348929526, -114.149963188239 51.098251423073, -114.149968491798 51.098247774561, -114.150030207074 51.098205327137, -114.150108926895 51.098151182085, -114.15011615925 51.098146206913, -114.150234656003 51.098064703719, -114.150305350996 51.098016077706, -114.150305910263 51.098016397019, -114.150313322375 51.098020640497, -114.150388419092 51.098063638552, -114.150444583662 51.09809579512, -114.15049664603 51.098125604348, -114.150504078206 51.098129860374, -114.150528141232 51.098143636612, -114.150532176294 51.098145947153)))"
382.131,,17 Ave WB/Deerfoot Tr SE,,,,SB 5.3 M,,1974/07/01,"MULTIPOLYGON (((-114.00563519671 51.037210914125, -114.005447644858 51.037216353723, -114.005369914462 51.037218607453, -114.005310511644 51.037220330804, -114.0052837674 51.037221106034, -114.005152549918 51.037224910958, -114.005023043407 51.037228666219, -114.004993915169 51.037229510705, -114.00499095515 51.037229597133, -114.004984148234 51.037229668442, -114.004845325068 51.037231131518, -114.004714033133 51.037232514116, -114.004703539017 51.037232624214, -114.004674544744 51.037232930129, -114.004662825839 51.037233053757, -114.00460853875 51.037233624961, -114.004544114 51.037234303513, -114.004535051418 51.037234399156, -114.004509774285 51.037234665331, -114.004502683627 51.03723474022, -114.004308153116 51.037235816433, -114.004303679929 51.037232032814, -114.004295743124 51.037225318666, -114.004293572838 51.03722348304, -114.004290317409 51.037220728702, -114.004282074031 51.03721375476, -114.004237777145 51.037176281725, -114.004154734757 51.037106031649, -114.004109505516 51.0370677675, -114.00410824499 51.037066701361, -114.005456999847 51.037047310125, -114.00563519671 51.037210914125)))"
381.119,,Macleod Tr/63 Ave SW,168.36000061,2.75,2.75,5.2 M,,1973/07/01,"MULTIPOLYGON (((-114.071853918376 50.996365926208, -114.071170861413 50.996366344289, -114.0711708236 50.996341625033, -114.071853880201 50.996341206953, -114.071853918376 50.996365926208)))"
382.120,,Crowchild Tr SB/Bow Tr SW,82.31999969,13.39999962,15.68999958,EB 4.7 M / WB 5.3 M,,1967/07/01,"MULTIPOLYGON (((-114.112596351261 51.043315475542, -114.11257306901 51.043313864533, -114.112548182924 51.043277710195, -114.112535017902 51.043258867793, -114.112522931435 51.043241398882, -114.112510207738 51.043222831139, -114.11249742349 51.043203987467, -114.112484746135 51.043185114924, -114.112471292599 51.043164883877, -114.112459053722 51.043146288692, -114.112447037627 51.043127822744, -114.112434333963 51.043108080013, -114.112421430816 51.043087808877, -114.112408266665 51.043066925788, -114.112393949665 51.04304400853, -114.112378640132 51.043019305064, -114.112363198472 51.042994208872, -114.112352029692 51.042975821208, -114.112341093702 51.042957574458, -114.112331772304 51.042941828, -114.112322199882 51.042925469581, -114.11231253105 51.042908749867, -114.112303202581 51.042892429868, -114.112293206261 51.042874728787, -114.112283931252 51.042858102185, -114.112273070203 51.04283838913, -114.112269366142 51.042831599142, -114.112266516943 51.042826271862, -114.112261505472 51.042816628887, -114.112255963203 51.042805670324, -114.112249592066 51.042792791449, -114.112242925117 51.042779060631, -114.112235379074 51.042763277399, -114.112227637557 51.042746856084, -114.112219624631 51.042729648426, -114.112212167381 51.042713426409, -114.112187020329 51.042656944641, -114.112176984517 51.042629346783, -114.112199376601 51.042610890928, -114.112241283548 51.042596019418, -114.112314259106 51.04257012269, -114.11235452749 51.042555832552, -114.112381844505 51.042548429309, -114.11239769692 51.042604844461, -114.112407282219 51.0426336114, -114.112411250104 51.042645119844, -114.112413304502 51.042650819162, -114.11241511577 51.04265563592, -114.112417144393 51.042660701485, -114.112419370361 51.042665996998, -114.112422619624 51.042673412206, -114.112426552041 51.042682046664, -114.11243069167 51.042690863415, -114.112435680648 51.04270122019, -114.112435746568 51.042701354073, -114.112437661116 51.042705242092, -114.112441044531 51.042712110594, -114.11244654547 51.042723065593, -114.112452518776 51.042734757295, -114.112453577335 51.042736716939, -114.11245876989 51.042746339954, -114.112465797583 51.042760031757, -114.112473117176 51.042774133211, -114.112480559568 51.042788300171, -114.112487225102 51.04280082815, -114.112493734134 51.042812913984, -114.112495074825 51.042815371388, -114.112500178339 51.042824727491, -114.112506556299 51.042836271369, -114.112513347774 51.04284839199, -114.112519696318 51.042859563721, -114.112522826724 51.042864995005, -114.112526126109 51.042870719191, -114.112526488386 51.042871337337, -114.112532670068 51.042881909611, -114.112535247452 51.042886273446, -114.112537197672 51.042889575298, -114.112541231284 51.042896406313, -114.112550153043 51.042911391708, -114.112558836824 51.042925854129, -114.112567377155 51.04293996429, -114.112575257202 51.042952877653, -114.112576701782 51.042955245058, -114.112579071166 51.042959098475, -114.112580895087 51.042962063332, -114.112584839282 51.042968474611, -114.112593919971 51.042983125431, -114.112602698321 51.042997175128, -114.112611482145 51.043011127731, -114.112613932841 51.043014990957, -114.112620430338 51.043025233899, -114.112629278074 51.043039075864, -114.112638615098 51.04305357181, -114.112647277661 51.043066906932, -114.112653665514 51.04307662138, -114.112654837741 51.043078403814, -114.112656254677 51.043080541107, -114.112663730077 51.04309181153, -114.112684166178 51.04312234076, -114.112709647921 51.04316007669, -114.112736183815 51.043199104322, -114.112769656448 51.043246580104, -114.112757876661 51.043256203299, -114.112670830149 51.043288145081, -114.112596351261 51.043315475542)))"
385.117C,,12724 Cannington Way SW-C (Babbling Brook Pk),4.8499999,1.52999997,1.52999997,,,1997/07/01,"MULTIPOLYGON (((-114.079480671155 50.93945698849, -114.079465297378 50.939463674849, -114.079447419881 50.939447266065, -114.079425791616 50.939427414001, -114.079441165387 50.939420727647, -114.079461010891 50.939438942062, -114.079480245058 50.93945659682, -114.079480671155 50.93945698849)))"
382.128,,64 Ave/Deerfoot Tr NE,,,,5.6 M,,1972/07/01,"MULTIPOLYGON (((-114.047674208672 51.110699718855, -114.046469010496 51.110729741221, -114.046448857783 51.110469563213, -114.04767310643 51.110469537982, -114.047674169265 51.110697506522, -114.047674208672 51.110699718855)))"
384.320,,Stoney Trail/CPR NW,141.92999268,19.28000069,23.79999924,,,1997/07/01,"MULTIPOLYGON (((-114.228513150075 51.101979447839, -114.228514396623 51.101984093057, -114.228418742196 51.102068097741, -114.228373411178 51.102107444127, -114.22836640764 51.102113523129, -114.228341625102 51.102135032541, -114.228339670198 51.10213673001, -114.228308050433 51.102164175153, -114.228293066576 51.102177180982, -114.228275848563 51.102192299245, -114.22827113567 51.102196435598, -114.228195685328 51.102262682034, -114.228195601453 51.102262756812, -114.228192431089 51.102265540804, -114.228064260094 51.102374358974, -114.227939004434 51.102482364048, -114.227884817138 51.10252897317, -114.227885068572 51.102536550962, -114.227880739342 51.102539743536, -114.227872340765 51.102541194653, -114.227787152685 51.102613515231, -114.227725431136 51.102666971096, -114.227688826958 51.102698674288, -114.227686580514 51.10270061953, -114.227654052041 51.10272839079, -114.227641000541 51.102739532811, -114.22763354274 51.102745899422, -114.22759717937 51.102776944973, -114.227584867227 51.102787456272, -114.227549384466 51.102818147699, -114.227502856983 51.102858390541, -114.227483797523 51.102874875101, -114.227452587347 51.102901902092, -114.227383579633 51.102961663807, -114.227317123364 51.103019687315, -114.227307601287 51.103019167345, -114.227241396657 51.10301555363, -114.227224539143 51.103014633486, -114.227147375645 51.103010421626, -114.227136355354 51.103009820949, -114.227058173537 51.103005553474, -114.22701374673 51.103003128024, -114.226975130007 51.103001020301, -114.2269672447 51.10300058972, -114.226918071868 51.102997905554, -114.226926037082 51.102991034583, -114.227054188297 51.102880492598, -114.227057870879 51.102877316592, -114.227106483129 51.102835846386, -114.227157063215 51.102792698462, -114.227157742889 51.102792119107, -114.227197178 51.102758478703, -114.227204770542 51.102751914984, -114.227238592849 51.102722670627, -114.227246290589 51.102716015007, -114.227257631034 51.102706210421, -114.227271852079 51.102693914595, -114.227290054211 51.102678176978, -114.227328487369 51.102644947506, -114.227363004792 51.10261510305, -114.227560888155 51.102444040454, -114.227761609311 51.102271089555, -114.227895726466 51.102154770841, -114.227896090454 51.10215445819, -114.227897308931 51.102153405823, -114.227919379465 51.102134353272, -114.227933185089 51.10212243484, -114.227941795468 51.102115000688, -114.227941910631 51.102114900678, -114.227968897685 51.102091603504, -114.227974203809 51.102087021918, -114.227974436989 51.102086821893, -114.228033746974 51.102035619807, -114.228123966199 51.101958266703, -114.228172285323 51.10196089719, -114.228182616978 51.101961459559, -114.228264071956 51.101965892493, -114.228339412788 51.101969992108, -114.228350468551 51.1019705944, -114.228428271632 51.101974828488, -114.228513150075 51.101979447839)))"
383.501A,,17 Ave EB/WHC SE,89.30000305,20.56999969,21.73999977,,,1980/07/01,"MULTIPOLYGON (((-114.001456493285 51.037041453864, -114.00020842183 51.037085954799, -114.000131997319 51.037039768298, -114.000104498791 51.037023149883, -114.000017637449 51.036971367199, -113.999910978772 51.036907780902, -113.999906259305 51.036904967108, -114.000208312602 51.036893082517, -114.000257896979 51.036891131643, -114.000557446354 51.036879345042, -114.000860056814 51.036867437189, -114.001030785929 51.03686071867, -114.001031108164 51.036860706081, -114.001063206219 51.036859443634, -114.001149876091 51.036856032104, -114.001151316192 51.03685690859, -114.00115678002 51.036860233842, -114.001202853302 51.036888270595, -114.001336510761 51.036969606558, -114.00139289459 51.037003918858, -114.001397571383 51.037006764056, -114.001456493285 51.037041453864)))"
381.714,,Simons Valley Rd / N of Mountain View Rd,21.29999924,1.79999995,1.79999995,,,1964/07/01,"MULTIPOLYGON (((-114.151166568889 51.190537189998, -114.151057512478 51.190694971858, -114.151035613699 51.190691561638, -114.151143179928 51.190531713236, -114.151166568889 51.190537189998)), ((-114.151057512478 51.190694971858, -114.151058996727 51.19069520277, -114.151056080099 51.190697042194, -114.151057512478 51.190694971858)))"
381.103,,Crowchild Tr/24 Ave SW,128.69999695,2.13000011,2.13000011,5.1 M,,1983/07/01,"MULTIPOLYGON (((-114.118518703969 51.0324377501, -114.117844068373 51.032444103953, -114.117844014432 51.032422834245, -114.118516401416 51.032416481773, -114.118516452049 51.0324363338, -114.118518703969 51.0324377501)))"
383.413A,,Country Hills Bv EB/W Nose Creek,41,9.39999962,14.10000038,,,1995/07/01,"MULTIPOLYGON (((-114.088426433452 51.144765709877, -114.088310234018 51.144791879134, -114.088257791234 51.144803689673, -114.088209839727 51.14481448907, -114.088125673473 51.144833445014, -114.088069986395 51.144845986069, -114.08806192661 51.14484780174, -114.087970687558 51.144868350457, -114.087930861427 51.144877319642, -114.087874404262 51.144890033782, -114.087862281369 51.14488355421, -114.087807053141 51.144854031649, -114.087743468882 51.144820043913, -114.087736516192 51.144816327442, -114.087702417985 51.144798100569, -114.087698161971 51.144795825801, -114.087757380322 51.144782435455, -114.087799147711 51.14477299202, -114.087807407475 51.144771124078, -114.08781341016 51.144769766639, -114.087871134203 51.144756714467, -114.087876422619 51.144755518476, -114.087934340906 51.144742422078, -114.087982100897 51.144731622938, -114.088052664449 51.144715668171, -114.088105672791 51.144703682001, -114.088259980666 51.144668790374, -114.088266516871 51.144672179008, -114.088299787307 51.14468943277, -114.088308168937 51.144693779198, -114.088369800219 51.144725740953, -114.088431783502 51.144757883998, -114.08844068445 51.144762499711, -114.08843279326 51.144764277524, -114.088426433452 51.144765709877)))"
382.206,,17 Ave / Sarcee Tr SW,80.62999725,34.09999847,41.36000061,,,2012/12/01,"MULTIPOLYGON (((-114.165085822236 51.039482673689, -114.165083411575 51.039865622406, -114.164783435701 51.039917327751, -114.164301883103 51.039960248534, -114.163914379991 51.039969926226, -114.163909448967 51.039598880379, -114.164198066955 51.039592507858, -114.164557965682 51.03956192108, -114.165085822236 51.039482673689)))"
381.613,Eric Harvie,110 Riverview Pa SE (Carburn Pk/Bow Rvr),120,3.0999999,3.0999999,,,1982/07/01,"MULTIPOLYGON (((-114.02647996186 50.969440527255, -114.026473379859 50.969443072875, -114.026472097559 50.969441454992, -114.026328733448 50.969498632272, -114.026264842451 50.969524113101, -114.026221854615 50.969541292472, -114.025913674167 50.969662895919, -114.025738158368 50.969732423562, -114.02557161167 50.969799162124, -114.025371897537 50.969878492546, -114.025361705544 50.969882524009, -114.025350480115 50.969886964735, -114.02526798325 50.969919596882, -114.02522681808 50.969935939436, -114.02518143515 50.969953955895, -114.025033106814 50.970012598894, -114.025010469029 50.970023599227, -114.024985903871 50.969998246817, -114.025051879898 50.969971421361, -114.025196507784 50.96991556599, -114.025197784632 50.969915060485, -114.025239211735 50.969898656754, -114.025282771146 50.969881387723, -114.025361767493 50.969849871066, -114.025382816181 50.969841473571, -114.025421418945 50.969826071858, -114.025633801904 50.969742423444, -114.025770171846 50.969688906532, -114.025929458184 50.969624866253, -114.026094153715 50.969559656766, -114.026225965905 50.969507489715, -114.026276214772 50.969487611754, -114.026313125948 50.969472959879, -114.026353934471 50.969456761758, -114.026448736368 50.969418536167, -114.026448420067 50.96941813619, -114.02647996186 50.969440527255)))"
381.172,,Horton Rd / Heritage LRT Station,201.30000305,3,3.6500001,,,2014/08/04,"MULTIPOLYGON (((-114.07335178765 50.976965625002, -114.07337660081 50.976936837438, -114.073519598149 50.976973366743, -114.073648022853 50.976964130597, -114.073722550089 50.976932696462, -114.073902457695 50.976729869095, -114.074399588637 50.976752086575, -114.074890414808 50.976896560608, -114.074659840322 50.977512776477, -114.074680042139 50.977533762928, -114.074699274591 50.977558525728, -114.074759366552 50.97756764164, -114.074738700539 50.977599042884, -114.074657883742 50.977584708122, -114.074616410433 50.977558578685, -114.074599786169 50.977527201281, -114.07463485364 50.977433014817, -114.074828619502 50.976914226586, -114.074393663419 50.976788601683, -114.073937721854 50.976759926785, -114.073898432238 50.97680441809, -114.073759875824 50.976956213694, -114.073664648989 50.976998124181, -114.073519655972 50.977009985918, -114.07335178765 50.976965625002)))"
381.133,,Shaganappi Tr/Market Mall,152.52999878,2.13000011,2.13000011,NB 5.3 M / SB 5.1 M,,1980/07/01,"MULTIPOLYGON (((-114.153208071081 51.085044668323, -114.153142183538 51.085047145001, -114.153141391597 51.085050234891, -114.153133936434 51.085047964874, -114.153076419165 51.085053643461, -114.153018533757 51.085059358461, -114.153013832325 51.085059823087, -114.153007121903 51.085060485419, -114.152916586121 51.08506942454, -114.152884252862 51.085072721988, -114.152876693546 51.085073492399, -114.152821553922 51.085079116511, -114.152766515591 51.085084730575, -114.152757353948 51.085085664887, -114.152749965848 51.085086417986, -114.152713777284 51.085090108777, -114.152700507614 51.085091402643, -114.152693387675 51.085092104148, -114.152683043048 51.085093115512, -114.152629721899 51.085098347006, -114.152577699165 51.085103450926, -114.152569564727 51.085104249037, -114.152519269889 51.085109183469, -114.152409637534 51.085120151805, -114.152315185242 51.085129600786, -114.152310010104 51.085130118141, -114.15230512664 51.085107318591, -114.152269837045 51.084956186951, -114.152244268164 51.08484437158, -114.152241527707 51.084844357169, -114.152260506139 51.084957294945, -114.152234894483 51.084959413902, -114.152210246405 51.08484545868, -114.152208569045 51.084825800439, -114.152269614324 51.084821398712, -114.152273816937 51.084841160641, -114.152305335991 51.084978525009, -114.152336171922 51.085107745607, -114.152401347346 51.085101352611, -114.15254400467 51.085087360221, -114.152563659474 51.085085441349, -114.152571704028 51.085084655042, -114.15262330875 51.085079614598, -114.152677018058 51.085074369115, -114.152687398355 51.085073355008, -114.152694696668 51.085072642484, -114.152734731079 51.085068731821, -114.15274430508 51.085067758317, -114.152751353591 51.085067038923, -114.152760536639 51.085066104584, -114.152815636361 51.085060502129, -114.152870918702 51.08505488053, -114.152878124167 51.085054147439, -114.152952364713 51.085046598795, -114.15300136308 51.085041553503, -114.153007835127 51.085040886989, -114.153012458017 51.085040410779, -114.153070372556 51.085034447629, -114.153127692099 51.08502854636, -114.153134007084 51.085027862964, -114.153164518499 51.085028286863, -114.15303855255 51.084643068827, -114.153061744175 51.084641211765, -114.153208071081 51.085044668323)))"
382.117,,9 Ave/14 St SW,38.81000137,5.19999981,6.80000019,4.2 M,,1967/07/01,"MULTIPOLYGON (((-114.095005270987 51.045460223026, -114.095005251861 51.045462724884, -114.095005356479 51.045465067524, -114.095006372646 51.045487764879, -114.095007240899 51.045507171212, -114.095007417224 51.045511104976, -114.095005719604 51.045517794718, -114.094844540538 51.045540920463, -114.094782077639 51.045549883556, -114.094759385262 51.045553151745, -114.094640575636 51.045570263777, -114.094585226826 51.045578236628, -114.094569528763 51.045580497663, -114.094556941817 51.045582459518, -114.094396355165 51.045607497181, -114.094395893812 51.045606438563, -114.094393203064 51.04560026299, -114.094393197345 51.045597449208, -114.094393150841 51.045573865577, -114.094393111953 51.045554730959, -114.094393105085 51.045551351723, -114.09439501753 51.045545066354, -114.094639785026 51.045508402459, -114.094733330564 51.045494389891, -114.094759048244 51.045490716515, -114.09484462697 51.04547849298, -114.095005270987 51.045460223026)))"
386.304,,LRT/Fish Creek SW,46.59999847,8.60000038,9.10000038,,,2000/07/01,"MULTIPOLYGON (((-114.072366481559 50.929292890664, -114.072256203613 50.929271412826, -114.072257972163 50.929267963201, -114.072287447448 50.929210448171, -114.072302343194 50.929181379953, -114.072363868982 50.9290613265, -114.072408849458 50.928973553465, -114.072438944135 50.928914829766, -114.072451408868 50.928890507013, -114.07246431607 50.928865319155, -114.072467285817 50.928859524212, -114.072593445761 50.928885869907, -114.072590889991 50.928890757514, -114.072572470562 50.928925983354, -114.072560037756 50.928949763108, -114.072526719014 50.929013486334, -114.072471188047 50.92911968989, -114.072433255289 50.929192238652, -114.072412242938 50.929232422212, -114.072381590236 50.929291046459, -114.072379319508 50.929295390894, -114.072377243409 50.929294986735, -114.072366481559 50.929292890664)))"
381.132,,36 St/Marlborough LRT,186.69999695,2.20000005,3.20000005,5.8 M,,1981/07/01,"MULTIPOLYGON (((-113.982163442722 51.059056684709, -113.982104208628 51.059056675655, -113.982104218473 51.059031134989, -113.981172076569 51.059030988564, -113.981172094099 51.058987766935, -113.981237561912 51.058987777462, -113.981237553971 51.059007423575, -113.982166578498 51.059007569002, -113.982163442722 51.059056684709)))"
382.167,,12 St/Memorial Dr NE,62,16,19.5,5.5 M,,1982/07/01,"MULTIPOLYGON (((-114.032079464152 51.048179834358, -114.031796513781 51.048179911674, -114.031796064477 51.047523661615, -114.032072431221 51.047524482382, -114.032082752889 51.048177759525, -114.032079464152 51.048179834358)))"
