OBJECTID,DT_MAJ_GDUNO,CD_IMM,CD_CS,NUM_IMM_CS,NOM_OFFCL,ADRS_GEO_L1_GDUNO,ADRS_GEO_L2_GDUNO,CD_MUNCP,NOM_MUNCP,STAT_MUNCP,CD_POSTL_GDUNO,PRESC,PRIM,SEC,FORM_PRO,ADULTE,STAT_PROP_IMM,COORD_X_LL84,COORD_Y_LL84,ORDRE_ENS,TYPE_CS,STYLE_CART,ISCED020,ISCED1,ISCED2,ISCED3,ISCED4+
2316,20201019,762082,762000,82,Saint-Clément,"4770, rue La Fontaine",,66023,Montréal,V,H1V1R3,1,1,0,0,0,Propriété de la CS,-73.533938,45.556455,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
2317,20201019,762104,762000,104,Le Vitrail,"5927, rue Boyer",,66023,Montréal,V,H2S2H8,1,1,1,0,0,Propriété de la CS,-73.59726,45.535093,Préscolaire - Primaire - Secondaire,Franco,2_Imm_Franco_prim_sec,1,1,1,1,0
2318,20201019,762253,762000,253,"ÉMICA, annexe 1","6255, 13e Avenue",,66023,Montréal,V,H1X2Y6,0,0,0,1,0,Propriété de la CS,-73.582072,45.555863,Formation professionnelle,Franco,4_Imm_Franco_Fp_Adulte,0,0,0,0,1
2319,20201019,762011,762000,11,Arc-en-Ciel,"4265, avenue Laval",,66023,Montréal,V,H2W2J6,1,1,0,0,0,Propriété de la CS,-73.580669,45.520933,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
2320,20201019,762212,762000,212,Saint-Jean-de-Matha,"6970, rue Dumas",,66023,Montréal,V,H4E3A3,1,1,0,0,0,Propriété de la CS,-73.596348,45.448348,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
2321,20201019,762338,762000,338,Saint-Donat,"3155, rue Désautels",,66023,Montréal,V,H1N3B8,1,1,0,0,0,Propriété de la CS,-73.539426,45.5837,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
2477,20201019,761055,761000,55,"Marc-Aurèle-Fortin, annexe","12550, avenue Fernand Gauthier",,66023,Montréal,V,H1E1S8,1,1,0,0,0,Propriété de la CS,-73.605059,45.63592,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
2478,20201019,762152,762000,152,Saint-Nom-de-Jésus,"4131, rue Adam",,66023,Montréal,V,H1V1S8,1,1,0,0,0,Propriété de la CS,-73.537271,45.54931,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
2479,20201019,762304,762000,304,"Sainte-Odile, annexe","12330, rue Lavigne",,66023,Montréal,V,H4J1Y4,1,1,0,0,0,Propriété de la CS,-73.712889,45.536572,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
2480,20201019,761053,761000,53,Henri-Bourassa,"6051, boul. Maurice-Duplessis",,66023,Montréal,V,H1G1Y6,0,0,1,0,0,Propriété de la CS,-73.622089,45.61428,Secondaire,Franco,3_Imm_Franco_secondaire,0,0,1,1,0
2481,20201019,762376,762000,376,La Dauversière,"11600, boulevard de l'Acadie",,66023,Montréal,V,H3M2T2,0,0,1,0,0,Propriété de la CS,-73.688717,45.537164,Secondaire,Franco,3_Imm_Franco_secondaire,0,0,1,1,0
2482,20201019,762135,762000,135,"Notre-Dame-Des-Victoires, annexe","6120, rue La Fontaine",,66023,Montréal,V,H1N2C1,1,1,0,0,0,Propriété de la CS,-73.523997,45.571142,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
2483,20201019,762003,762000,3,Saint-Benoît,"500, avenue du Mont-Cassin",,66023,Montréal,V,H3L1W6,1,1,0,0,0,Propriété de la CS,-73.667372,45.54157,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
2484,20201019,762225,762000,225,"Le 10125, rue Parthenais, annexe temporaire","10125, rue Parthenais",,66023,Montréal,V,H2B2L6,1,1,0,0,0,Propriété de la CS,-73.647758,45.571922,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
2485,20201019,762108,762000,108,"Internationale de Montréal, primaire","5010, avenue Coolbrook",,66023,Montréal,V,H3X2K9,1,1,0,0,0,Propriété de la CS,-73.629678,45.482248,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
2486,20201019,762024,762000,24,De la Petite-Bourgogne,"555, rue des Seigneurs",,66023,Montréal,V,H3J1Y1,1,1,0,0,0,Propriété de la CS,-73.569961,45.488707,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
2487,20201019,762026,762000,26,Sainte-Bibiane,"5755, 13e Avenue",,66023,Montréal,V,H1X2Y3,1,1,0,0,0,Propriété de la CS,-73.577471,45.554031,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
1972,20201019,774027,774000,27,CF multiservices du Pontiac,"1, rue Front",,84030,Campbell's Bay,M,J0X1K0,0,0,1,1,0,Propriété de la CS,-76.597189,45.725494,Secondaire - Formation professionnelle,Franco,3_Imm_Franco_secondaire,0,0,1,1,1
