OBJECTID;DT_MAJ_GDUNO;CD_ORGNS;NOM_COURT;NOM_OFFCL;ADRS_GEO_L1_GDUNO;ADRS_GEO_L2_GDUNO;CD_MUNCP;NOM_MUNCP;STAT_MUNCP;CD_POSTL_GDUNO;PRESC;PRIM;SEC;FORM_PRO;ADULTE;TYPE_ORGNS;RESEAU;SITE_WEB;CD_ORGNS_RESP;NOM_ORGNS_RESP;COORD_X_LL84;COORD_Y_LL84;ORDRE_ENS;STYLE_CART
575;20201019;552501;École trilingue Vision Rive-Sud;École trilingue Vision Rive-Sud;1165, boulevard Guillaume-Couture;;25213;Lévis;V;G6W0S2;0;1;0;0;0;Installation;Privé;ecolevision.com;552500;École trilingue Vision Rive-Sud;-71.266083;46.734751;Primaire;2_Priv_Bat_Prim
576;20201019;552502;École trilingue Vision Rive-Sud;École trilingue Vision Rive-Sud;1300, boulevard Guillaume-Couture;;25213;Lévis;V;G6W0R9;1;0;0;0;0;Installation;Privé;ecolevision.com;552500;École trilingue Vision Rive-Sud;-71.26053;46.73531;Préscolaire;1_Priv_Bat_Prescolaire
578;20201019;553501;École Vision Sherbrooke;École Vision Sherbrooke;5100, rue Henri-Labonne;;43027;Sherbrooke;V;J1N1J1;1;1;0;0;0;Installation;Privé;www.ecolevision.com;553500;École Vision Sherbrooke;-71.993428;45.369933;Préscolaire - Primaire;4_Priv_Bat_Presc_Prim
580;20201019;554501;École trilingue Vision St-Augustin;École trilingue Vision St-Augustin;4920, rue Pierre-Georges-Roy;;23072;Saint-Augustin-de-Desmaures;V;G3A1V7;1;1;0;0;0;Installation;Privé;www.ecolevision.com;554500;École trilingue Vision St-Augustin;-71.386698;46.742553;Préscolaire - Primaire;4_Priv_Bat_Presc_Prim
582;20201019;555501;École trilingue Vision Terrebonne;École trilingue Vision Terrebonne;2955, boulevard de la Pinière;;64008;Terrebonne;V;J6X0A3;1;1;0;0;0;Installation;Privé;terrebonne.ecolevision.com;555500;École trilingue Vision Terrebonne;-73.693209;45.721485;Préscolaire - Primaire;4_Priv_Bat_Presc_Prim
584;20201019;556501;École Trilingue Vision Victoriaville;École Trilingue Vision Victoriaville;905, boulevard des Bois-Francs Sud;;39062;Victoriaville;V;G6P5W1;0;1;0;0;0;Installation;Privé;www.ecolevision.com;556500;École Trilingue Vision Victoriaville;-71.917929;46.03896;Primaire;2_Priv_Bat_Prim
586;20201019;557501;Académie Trivium;Académie Trivium;88, rue Jean-René-Monette;;81017;Gatineau;V;J8P5B7;1;1;0;0;0;Installation;Privé;www.academie-trivium.com;557500;Académie Trivium;-75.647169;45.479596;Préscolaire - Primaire;4_Priv_Bat_Presc_Prim
588;20201019;579501;Académie Juillet;Académie Juillet;61, rue Radisson;;67020;Candiac;V;J5R0G1;1;1;0;0;0;Installation;Privé;www.academiejuillet.com;579500;Académie Juillet;-73.532929;45.377456;Préscolaire - Primaire;4_Priv_Bat_Presc_Prim
590;20201019;583501;École de l'Excellence;École de l'Excellence;1749, chemin Gomin;;23027;Québec;V;G1S1P1;1;1;0;0;0;Installation;Privé;www.ecoledelexcellence.ca;583500;École de l'Excellence;-71.25328;46.786917;Préscolaire - Primaire;4_Priv_Bat_Presc_Prim
592;20201019;585501;Collège LaSalle;Collège LaSalle;2000, rue Sainte-Catherine Ouest;;66023;Montréal;V;H3H2T2;0;0;0;1;0;Installation;Privé;www.collegelasalle.com;585500;Collège LaSalle;-73.581805;45.491442;Formation professionnelle;8_Priv_Bat_FP
593;20201019;585502;Collège LaSalle, Campus Laval;Collège LaSalle, Campus Laval;1595, boulevard Daniel-Johnson;;65005;Laval;V;H7V4C2;0;0;0;1;0;Installation;Privé;www.collegelasalle.com;585500;Collège LaSalle;-73.743126;45.557666;Formation professionnelle;8_Priv_Bat_FP
595;20201019;587501;Académie culturelle de Laval;Académie culturelle de Laval;1075, rue Saint-Louis;;65005;Laval;V;H7V2Z1;1;1;1;0;0;Installation;Privé;www.ecoleacl.com;587500;Académie culturelle de Laval;-73.744534;45.547334;Préscolaire - Primaire - Secondaire;5_Priv_Bat_Presc_Prim_Sec
597;20201019;589501;École le Savoir;École le Savoir;11950, boulevard Gouin Ouest;;66023;Montréal;V;H8Z1V6;0;0;1;0;0;Installation;Privé;www.lesavoir.ca;589500;École le Savoir;-73.825694;45.506747;Secondaire;3_Priv_Bat_Secondaire
599;20201019;594501;Église-École Alpha Oméga;Église-École Alpha Oméga;324, rue Denison Ouest;;47017;Granby;V;J2G4E4;0;1;1;0;0;Installation;Privé;;594500;Église-École Alpha Oméga;-72.733741;45.389535;Primaire - Secondaire;7_Priv_Bat_Prim_Sec
601;20201019;596501;Église-École Ac. chrétienne de la Foi;Église-École Académie chrétienne de la Foi;490, rue Chicoine;;71083;Vaudreuil-Dorion;V;J7V7E4;0;1;1;0;0;Installation;Privé;faith-christianacademy.com;596500;Église-École Académie chrétienne de la Foi;-74.021229;45.376713;Primaire - Secondaire;7_Priv_Bat_Prim_Sec
603;20201019;602501;Centre académique de l'Outaouais;Centre académique de l'Outaouais;858, boulevard Maloney Est;;81017;Gatineau;V;J8P1H1;1;1;1;0;0;Installation;Privé;www.cado.ca;602500;Centre académique de l'Outaouais;-75.605946;45.48504;Préscolaire - Primaire - Secondaire;5_Priv_Bat_Presc_Prim_Sec
605;20201019;605501;École Montessori - Magog;École Montessori - Magog;25, chemin Roy;;45072;Magog;V;J1X0N4;1;1;0;0;0;Installation;Privé;www.montessorimagogorford.org;605500;École Montessori;-72.180834;45.280424;Préscolaire - Primaire;4_Priv_Bat_Presc_Prim
606;20201019;605502;École Montessori - Orford;École Montessori - Orford;3165, chemin du Parc;;45115;Orford;CT;J1X7A2;0;0;1;0;1;Installation;Privé;montessorimagogorford.org;605500;École Montessori;-72.180658;45.326842;Secondaire - Éducation aux adultes;3_Priv_Bat_Secondaire
608;20201019;608501;OneSchool Global Campus de Montréal;OneSchool Global Campus de Montréal;679, rue Victoria;;66112;Baie-D'Urfé;V;H9X2K1;0;1;1;0;0;Installation;Privé;;608500;OneSchool Global Campus de Montréal;-73.920925;45.414777;Primaire - Secondaire;7_Priv_Bat_Prim_Sec
640;20201019;640501;Collège Sainte-Anne, Lachine;Collège Sainte-Anne, Lachine;1250, boulevard Saint-Joseph;;66023;Montréal;V;H8S2M8;0;0;1;0;0;Installation;Privé;http://www.sainteanne.ca/;640500;Collège Sainte-Anne;-73.67581;45.432433;Secondaire;3_Priv_Bat_Secondaire
641;20201019;640502;Collège Sainte-Anne, Dorval;Collège Sainte-Anne, Dorval;100, boulevard Bouchard;;66087;Dorval;V;H9S1A7;1;1;1;0;0;Installation;Privé;http://www.sainteanne.ca/;640500;Collège Sainte-Anne;-73.72297;45.443742;Préscolaire - Primaire - Secondaire;5_Priv_Bat_Presc_Prim_Sec
643;20201019;642501;Institut Teccart;Institut Teccart;3030, rue Hochelaga;;66023;Montréal;V;H1W1G2;0;0;0;1;0;Installation;Privé;;642500;Institut Teccart;-73.554851;45.540421;Formation professionnelle;8_Priv_Bat_FP
645;20201019;644501;École la Nouvelle Vague;École la Nouvelle Vague;938, rue Saint-Maurice;;66023;Montréal;V;H3C1L7;1;1;0;0;0;Installation;Privé;ecolelanouvellevague.com;644500;École la Nouvelle Vague;-73.561334;45.49709;Préscolaire - Primaire;4_Priv_Bat_Presc_Prim
647;20201019;645501;École Bee Lingue;École Bee Lingue;1470, rue Saint-Paul;;46112;Farnham;V;J2N2W8;1;1;0;0;0;Installation;Privé;www.ecolebeelingue.com;645500;École Bee Lingue;-72.963041;45.293765;Préscolaire - Primaire;4_Priv_Bat_Presc_Prim
